9 0 9	.C....BC.PTUBAAPTUYYYOTU..DOLL..D... 
11 5 6	.C.P...C.PTUAA..TU.YYYTUB.DOLLB.DO.. B97 P99 A99 Y99 O99 
11 5 6	.C.P.U.C.PTUBAA.TUBYYYT...DOLL..DO.. B99 P99 U99 Y99 O99 
11 5 6	.C.P...C.PTU.AA.TUYYY.TUB.DOLLB.DO.. B97 P99 Y98 O99 
11 5 6	.C.PT..C.PTU.AA.TU.YYY.UB.DOLLB.DO.. B97 P99 T99 Y99 O99 
11 5 6	.C.P.U.C.PTU.AA.TU.YYYT.B.DOLLB.DO.. B97 P99 U99 Y99 O99 
11 5 6	.C.PT..C.PTU.AA.TUBYYY.UB.DOLL..DO.. B98 P99 T99 Y99 O99 
11 5 6	.C.P.U.C.PTU.AA.TUBYYYT.B.DOLL..DO.. B98 P99 U99 Y99 O99 
11 5 6	B..P.UBC.PTU.CAATUYYYOT...DOLL..D... C99 B99 P99 U99 A99 
11 5 6	BC.PT.BC.PTU..AATUYYY..U..DOLL..DO.. B99 P99 T99 A99 O99 
11 5 6	B..PT.BC.PTU.CAATUYYYO.U..DOLL..D... C99 B99 P99 T99 A99 
11 5 6	B..P..BC.PTU.CAATUYYY.TU..DOLL..DO.. C99 B99 P99 A99 O99 
11 5 6	.C.PT.BC.PTUB.AATU..YYYU..DOLL..DO.. P99 T99 A99 Y98 O99 
11 5 6	BC.PTUBC.PTUAA..TUYYYO....DOLL..D... B99 P99 T99 U99 A99 
11 5 6	...PT.BC.PTUBCAATUYYY..U..DOLL..DO.. C99 P99 T99 A99 O99 
11 5 6	...P.UBC.PTUBCAATUYYY.T...DOLL..DO.. C99 P99 U99 A99 O99 
11 5 6	.C.PT..C.PTU.AA.TU..YYYUB.DOLLB.DO.. B97 P99 T99 Y98 O99 
11 5 6	BC.PT.BC.PTU.AA.TU..YYYU..DOLL..DO.. B99 P99 T99 Y98 O99 
11 5 6	.C.PT..C.PTU.AA.TUB.YYYUB.DOLL..DO.. B98 P99 T99 Y98 O99 
11 5 6	.C.PT..C.PTUBAA.TUB.YYYU..DOLL..DO.. B99 P99 T99 Y98 O99 
11 5 6	.C.PT.BC.PTUB.AATU.YYY.U..DOLL..DO.. P99 T99 A99 Y99 O99 
12 6 6	BC.P.UBC.PTU..AATU.YYYT...DOLL..DO.. B99 P99 U99 A99 Y99 O99 
12 3 9	.C.P.UBC.PTUBAAOTUYYYOT...D.LL..D... P99 U99 O99 
12 6 6	.C.PTUBC.PTUB.AATU..YYY...DOLL..DO.. P99 T99 U99 A99 Y98 O99 
12 6 6	BC.PT.BC.PTU..AATU..YYYU..DOLL..DO.. B99 P99 T99 A99 Y98 O99 
12 6 6	.C.PT..C.PTUB.AATUB.YYYU..DOLL..DO.. B99 P99 T99 A99 Y98 O99 
12 6 6	...PT.B..PTUB.AATU.CYYYU.CDOLL..DO.. C97 P99 T99 A99 Y98 O99 
12 6 6	...PT.B..PTUB.AATU..YYYU.CDOLL.CDO.. C96 P99 T99 A99 Y98 O99 
12 6 6	.C.PT..C.PTU.AA.TUYYY..UB.DOLLB.DO.. B97 P99 T99 Y98 O99 
12 6 6	.C.P.U.C.PTU.AA.TUYYY.T.B.DOLLB.DO.. B97 P99 U99 Y98 O99 
12 6 6	...PT.B..PTUBCAATU.CYYYU..DOLL..DO.. C98 P99 T99 A99 Y98 O99 
12 6 6	...PT.BC.PTUBCAATU..YYYU..DOLL..DO.. C99 P99 T99 A99 Y98 O99 
12 6 6	.C.P...C.PTU..AATUYYY.TUB.DOLLB.DO.. B97 P99 A99 Y98 O99 
12 6 6	...P.UBC.PTUBCAATU.YYYT...DOLL..DO.. C99 P99 U99 A99 Y99 O99 
12 3 9	.C.P..BC.PTUBAAOTUYYYOTU..DLL...D... P99 O99 L99 
10 4 6	.C.P..BC.PT.BAAOT.YYYOTU..DLLU..D..U P99 U98 O99 L99 
11 5 6	BC.P..BC.PT..AAOT.YYYOTU..DLLU..D..U B99 P99 U98 O99 L99 
11 5 6	.C.PT.BC.PT.BAAOT.YYYO.U..DLLU..D..U P99 T99 U98 O99 L99 
12 6 6	.C.PT..C.PTUAA..TU.YYY.UB.DOLLB.DO.. B97 P99 T99 A99 Y99 O99 
12 6 6	.C.PTU.C.PTU.AA.TU.YYY..B.DOLLB.DO.. B97 P99 T99 U99 Y99 O99 
12 6 6	B..PTUBC.PTU.CAATUYYYO....DOLL..D... C99 B99 P99 T99 U99 A99 
12 6 6	.C.PT..C.PTUAA..TUBYYY.UB.DOLL..DO.. B98 P99 T99 A99 Y99 O99 
12 6 6	BC.PTUBC.PTU.AA.TU.YYY....DOLL..DO.. B99 P99 T99 U99 Y99 O99 
12 3 9	BC.P..BC.PTU.AAOTUYYYOTU..D.LL..D... B99 P99 O99 
12 6 6	.C.PTU.C.PTUBAA.TUBYYY....DOLL..DO.. B99 P99 T99 U99 Y99 O99 
12 6 6	.C.PTU.C.PTU.AA.TUBYYY..B.DOLL..DO.. B98 P99 T99 U99 Y99 O99 
12 6 6	.C.PTU.C.PTU.AA.TU..YYY.B.DOLLB.DO.. B97 P99 T99 U99 Y98 O99 
12 6 6	BC.PTUBC.PTU.AA.TU..YYY...DOLL..DO.. B99 P99 T99 U99 Y98 O99 
12 6 6	.C.PTU.C.PTU.AA.TUB.YYY.B.DOLL..DO.. B98 P99 T99 U99 Y98 O99 
12 6 6	.C.PTU.C.PTUBAA.TUB.YYY...DOLL..DO.. B99 P99 T99 U99 Y98 O99 
12 6 6	.C.PTUBC.PTUB.AATU.YYY....DOLL..DO.. P99 T99 U99 A99 Y99 O99 
12 6 6	.C.P.U.C.PTUB.AATUBYYYT...DOLL..DO.. B99 P99 U99 A99 Y99 O99 
12 6 6	BC.PTUBC.PTU..AATUYYY.....DOLL..DO.. B99 P99 T99 U99 A99 O99 
12 6 6	BC.P.UBC.PTUAA..TU.YYYT...DOLL..DO.. B99 P99 U99 A99 Y99 O99 
12 6 6	...PTUBC.PTUBCAATUYYY.....DOLL..DO.. C99 P99 T99 U99 A99 O99 
12 6 6	.C.PT..C.PTUB.AATUBYYY.U..DOLL..DO.. B99 P99 T99 A99 Y99 O99 
12 6 6	...PT.BC.PTUBCAATU.YYY.U..DOLL..DO.. C99 P99 T99 A99 Y99 O99 
12 6 6	BC.PTUBC.PTUAA..TUYYY.....DOLL..DO.. B99 P99 T99 U99 A99 O99 
12 6 6	BC.PT.BC.PTUAA..TU.YYY.U..DOLL..DO.. B99 P99 T99 A99 Y99 O99 
12 6 6	...P...C.PTUBCAATUBYYYTU..DOLL..DO.. C99 P99 B99 A99 Y99 O99 
12 6 6	BC.PT.BC.PTUAA..TU..YYYU..DOLL..DO.. B99 P99 T99 A99 Y98 O99 
12 6 6	.C.P.U.C.PTU..AATU.YYYT.B.DOLLB.DO.. B97 P99 U99 A99 Y99 O99 
12 6 6	...P...C.PTU.CAATU.YYYTUB.DOLLB.DO.. C99 P99 A99 Y99 B97 O99 
12 6 6	.C.PT..C.PTU..AATU.YYY.UB.DOLLB.DO.. B97 P99 T99 A99 Y99 O99 
12 6 6	.C.PT..C.PTUAA..TUB.YYYUB.DOLL..DO.. B98 P99 T99 A99 Y98 O99 
12 6 6	.C.PTU.C.PTU.AA.TU...YYYB.DOLLB.DO.. B97 P99 T99 U99 Y97 O99 
12 6 6	.C.PTUBC.PTUB.AATU...YYY..DOLL..DO.. P99 T99 U99 A99 Y97 O99 
12 6 6	.C.PTUBC.PTUBAA.TU..DYYY..DOLL...O.. P99 T99 U99 Y97 O99 D99 
12 6 6	.C.PT..C.PTU..AATUBYYY.UB.DOLL..DO.. B98 P99 T99 A99 Y99 O99 
12 6 6	...P...C.PTU.CAATUBYYYTUB.DOLL..DO.. C99 P99 A99 B98 Y99 O99 
12 6 6	.C.P.U.C.PTUAA..TU.YYYT.B.DOLLB.DO.. B97 P99 U99 A99 Y99 O99 
12 6 6	BC.PTUBC.PTU.AA.TU...YYY..DOLL..DO.. B99 P99 T99 U99 Y97 O99 
12 6 6	B..P.UBC.PTU.CAATUYYY.T...DOLL..DO.. C99 B99 P99 U99 A99 O99 
12 6 6	.C.P...C.PTUAA..TUYYY.TUB.DOLLB.DO.. B97 P99 A99 Y98 O99 
12 6 6	.C.P.U.C.PTU..AATUBYYYT.B.DOLL..DO.. B98 P99 U99 A99 Y99 O99 
12 6 6	BC.P..BC.PT.AA.OT.YYYOTU..DLLU..D..U B99 P99 U98 A99 O99 L99 
12 6 6	.C.PTU.C.PTU.AA.TUB..YYYB.DOLL..DO.. B98 P99 T99 U99 Y97 O99 
12 6 6	BC.PT.BC.PT..AAOT.YYYO.U..DLLU..D..U B99 P99 T99 U98 O99 L99 
12 6 6	.C.PTU.C.PTUBAA.TUB..YYY..DOLL..DO.. B99 P99 T99 U99 Y97 O99 
12 6 6	BC.PT.BC.PTU..AATU.YYY.U..DOLL..DO.. B99 P99 T99 A99 Y99 O99 
12 6 6	.C.P.U.C.PTUAA..TUBYYYT.B.DOLL..DO.. B98 P99 U99 A99 Y99 O99 
12 6 6	B..P..BC.PTU.CAATU.YYYTU..DOLL..DO.. C99 B99 P99 A99 Y99 O99 
12 3 9	.C....BC..TUBAAPTUYYYPTU..DOLL..DO.. P97 O99 
12 6 6	.C.P...C.PTU.AA.TUYYYOTUB.DOLLB.D... B97 P99 Y98 O98 
12 6 6	B..PT.BC.PTU.CAATUYYY..U..DOLL..DO.. C99 B99 P99 T99 A99 O99 
12 3 9	.C.PT.BC.PTUBAAOTUYYYO.U..D.LL..D... P99 T99 O99 
12 6 6	.C.PT..C.PTU..AATU..YYYUB.DOLLB.DO.. B97 P99 T99 A99 Y98 O99 
12 6 6	.C.PT..C.PTU..AATUB.YYYUB.DOLL..DO.. B98 P99 T99 A99 Y98 O99 
12 6 6	.C.PT..C.PTUAA..TU..YYYUB.DOLLB.DO.. B97 P99 T99 A99 Y98 O99 
13 4 9	BC.PT.BC.PTU.AAOTUYYYO.U..D.LL..D... B99 P99 T99 O99 
13 7 6	BC.PTUBC.PTU..AATU.YYY....DOLL..DO.. B99 P99 T99 U99 A99 Y99 O99 
13 4 9	.C.P.UBC.PTUBAAOTUYYYOT...DLL...D... P99 U99 O99 L99 
13 7 6	.C.PTU.C.PTU..AATU.YYY..B.DOLLB.DO.. B97 P99 T99 U99 A99 Y99 O99 
13 7 6	BC.PTUBC.PTUAA..TU...YYY..DOLL..DO.. B99 P99 T99 U99 A99 Y97 O99 
13 7 6	B..PT.B..PTU..AATU..YYYU.CDOLL.CDO.. C96 B99 P99 T99 A99 Y98 O99 
13 4 9	.C...UBC.PTUBAAPTUYYY.T...DOLL..DO.. P98 U99 O99 
13 7 6	...PT..C.PTU.CAATU..YYYUB.DOLLB.DO.. C99 P99 T99 B97 A99 Y98 O99 
13 7 6	.C.P...C.PTU..AATUYYYOTUB.DOLLB.D... B97 P99 A99 Y98 O98 
13 7 6	.C.PTU.C.PTUAA..TU.YYY..B.DOLLB.DO.. B97 P99 T99 U99 A99 Y99 O99 
13 7 6	...PTUBC.PTUBCAATU.YYY....DOLL..DO.. C99 P99 T99 U99 A99 Y99 O99 
13 4 9	BC....BC.PTUAA.PTUYYYOTU..DOLL..D... B99 P98 A99 
13 7 6	BC.PTUBC.PTUAA..TU.YYY....DOLL..DO.. B99 P99 T99 U99 A99 Y99 O99 
13 7 6	.C.PTU.C.PTUAA..TU..YYY.B.DOLLB.DO.. B97 P99 T99 U99 A99 Y98 O99 
13 7 6	B..PT.BC.PTU.CAATU.YYY.U..DOLL..DO.. C99 P99 B99 T99 A99 Y99 O99 
13 7 6	B..PTUBC.PTU.CAATUYYY.....DOLL..DO.. C99 B99 P99 T99 U99 A99 O99 
13 7 6	.C.PTU.C.PTUAA..TUBYYY..B.DOLL..DO.. B98 P99 T99 U99 A99 Y99 O99 
13 4 9	.C..TUBC.PTUBAAPTUYYYO....DOLL..D... P98 T99 U99 
13 7 6	.C.PTU.C.PTU..AATUBYYY..B.DOLL..DO.. B98 P99 T99 U99 A99 Y99 O99 
13 4 9	.C.PTUBC.PTUBAAOTUYYYO....D.LL..D... P99 T99 U99 O99 
13 7 6	.C.PTU.C.PTUB.AATUBYYY....DOLL..DO.. B99 P99 T99 U99 A99 Y99 O99 
13 7 6	BC.PTUBC.PTUAA..TU..YYY...DOLL..DO.. B99 P99 T99 U99 A99 Y98 O99 
13 7 6	.C.PTU.C.PTUAA..TUB.YYY.B.DOLL..DO.. B98 P99 T99 U99 A99 Y98 O99 
13 7 6	...PT..C.PTUBCAATUBYYY.U..DOLL..DO.. C99 P99 T99 B99 A99 Y99 O99 
13 7 6	BC.PTUBC.PTU..AATU...YYY..DOLL..DO.. B99 P99 T99 U99 A99 Y97 O99 
13 7 6	...PTUBC.PTUBCAATU...YYY..DOLL..DO.. C99 P99 T99 U99 A99 Y97 O99 
13 4 9	.C..T.BC..TUBAAPTUYYYP.U..DOLL..DO.. P97 T99 O99 
13 7 6	.C.PTU.C.PTUAA..TUB..YYYB.DOLL..DO.. B98 P99 T99 U99 A99 Y97 O99 
13 4 9	.C..T.BC.PTUBAAPTUYYY..U..DOLL..DO.. P98 T99 O99 
13 7 6	...PTUB..PTUB.AATU...YYY.CDOLL.CDO.. C96 P99 T99 U99 A99 Y97 O99 
13 7 6	.C.PTU.C.PTUBAA.TUB.DYYY..DOLL...O.. B99 P99 T99 U99 Y97 O99 D99 
13 7 6	BC.PTUBC.PTU.AA.TU..DYYY..DOLL...O.. B99 P99 T99 U99 Y97 O99 D99 
13 7 6	.C.PTU.C.PTU.AA.TUB.DYYYB.DOLL...O.. B98 P99 T99 U99 Y97 O99 D99 
13 7 6	BC.PT.BC.PT.AA.OT.YYYO.U..DLLU..D..U B99 P99 T99 U98 A99 O99 L99 
13 7 6	.C.PTU.C.PTUB.AATUB..YYY..DOLL..DO.. B99 P99 T99 U99 A99 Y97 O99 
13 7 6	.C.PTU.C.PTU..AATUB..YYYB.DOLL..DO.. B98 P99 T99 U99 A99 Y97 O99 
13 7 6	...PT..C.PTU.CAATU.YYY.UB.DOLLB.DO.. C99 P99 B97 T99 A99 Y99 O99 
13 7 6	...PT..C.PTU.CAATUBYYY.UB.DOLL..DO.. C99 P99 B98 T99 A99 Y99 O99 
13 7 6	.C.PTU.C.PTU.AA.TU..DYYYB.DOLLB..O.. B97 P99 T99 U99 Y97 O99 D99 
13 7 6	...PTUB..PTUB.AATU.C.YYY.CDOLL..DO.. C97 P99 T99 U99 A99 Y97 O99 
13 7 6	...PTUB..PTUBCAATU.C.YYY..DOLL..DO.. C98 P99 T99 U99 A99 Y97 O99 
13 7 6	.C.PTU.C.PTUAA..TU...YYYB.DOLLB.DO.. B97 P99 T99 U99 A99 Y97 O99 
13 7 6	.C.PTU.C.PTU..AATU...YYYB.DOLLB.DO.. B97 P99 T99 U99 A99 Y97 O99 
13 4 9	BC.P..BC.PTUAA.OTUYYYOTU..D.LL..D... B99 P99 A99 O99 
13 4 9	BC....BC..TU.AAPTUYYYPTU..DOLL..DO.. B99 P97 O99 
13 4 9	BC....BC.PTU.AAPTUYYY.TU..DOLL..DO.. B99 P98 O99 
13 7 6	.C.PTUBC.PTUB.AATU..DYYY..DOLL...O.. P99 T99 U99 A99 Y97 O99 D99 
13 4 9	.C.PT.BC.PTUBAAOTUYYYO.U..DLL...D... P99 T99 O99 L99 
13 4 9	.C.P..BC.PT.BAAOTUYYYOTU..DLLU..D... P99 U99 O99 L99 
13 4 9	BC.P..BC.PTU.AAOTUYYYOTU..DLL...D... B99 P99 O99 L99 
13 7 6	.C.P...C.PTUAA..TUYYYOTUB.DOLLB.D... B97 P99 A99 Y98 O98 
13 7 6	...P.U.C.PTU.CAATU.YYYT.B.DOLLB.DO.. C99 P99 B97 U99 A99 Y99 O99 
13 4 9	BC...UBC.PTU.AAPTUYYYOT...DOLL..D... B99 P98 U99 
13 4 9	BC..T.BC.PTU.AAPTUYYYO.U..DOLL..D... B99 P98 T99 
13 7 6	...P.U.C.PTU.CAATUBYYYT.B.DOLL..DO.. C99 P99 B98 U99 A99 Y99 O99 
13 7 6	...P.U.C.PTUBCAATUBYYYT...DOLL..DO.. C99 P99 B99 U99 A99 Y99 O99 
13 7 6	...PT....PTU.CAATU.CYYYUB.DOLLB.DO.. C98 P99 T99 B97 A99 Y98 O99 
13 7 6	...P...C.PTU.CAATUYYY.TUB.DOLLB.DO.. C99 P99 A99 Y98 B97 O99 
13 7 6	...PT..C.PTU.CAATUB.YYYUB.DOLL..DO.. C99 P99 T99 B98 A99 Y98 O99 
13 4 9	BC.P.UBC.PTU.AAOTUYYYOT...D.LL..D... B99 P99 U99 O99 
13 7 6	.C.PT..C.PTU..AATUYYY..UB.DOLLB.DO.. B97 P99 T99 A99 Y98 O99 
13 7 6	.C.P.U.C.PTUAA..TUYYY.T.B.DOLLB.DO.. B97 P99 U99 A99 Y98 O99 
13 7 6	.C.P.U.C.PTU.AA.TUYYYOT.B.DOLLB.D... B97 P99 U99 Y98 O98 
13 7 6	...PT....PTU.CAATUBCYYYUB.DOLL..DO.. C98 P99 T99 B98 A99 Y98 O99 
13 7 6	.C.P.U.C.PTU..AATUYYY.T.B.DOLLB.DO.. B97 P99 U99 A99 Y98 O99 
13 7 6	.C.PT..C.PTU.AA.TUYYYO.UB.DOLLB.D... B97 P99 T99 Y98 O98 
13 7 6	...PT.B..PTUBAA.TU.CYYYU.CDOLL..DO.. C97 P99 T99 A98 Y98 O99 
13 7 6	...PT.B..PTUB.AATUYYY..U.CDOLL.CDO.. C96 P99 T99 A99 Y96 O99 
13 7 6	.C.PTU.C.PTU.AA.TUYYY...B.DOLLB.DO.. B97 P99 T99 U99 Y98 O99 
13 7 6	.C.PT..C.PTUAA..TUYYY..UB.DOLLB.DO.. B97 P99 T99 A99 Y98 O99 
13 7 6	...PT....PTU..AATUB.YYYUBCDOLL.CDO.. C96 P99 T99 B98 A99 Y98 O99 
13 7 6	...PT.B..PTUBAA.TU..YYYU.CDOLL.CDO.. C96 P99 T99 A98 Y98 O99 
13 7 6	...PT.B..PTUB.AATU.YYY.U.CDOLL.CDO.. C96 P99 T99 A99 Y97 O99 
13 7 6	...PT....PTU..AATU..YYYUBCDOLLBCDO.. C96 P99 T99 B97 A99 Y98 O99 
13 4 9	.C...UBC..TUBAAPTUYYYPT...DOLL..DO.. P97 U99 O99 
13 7 6	...PT....PTUB.AATUB.YYYU.CDOLL.CDO.. C96 P99 T99 B99 A99 Y98 O99 
13 7 6	...PT....PTU..AATU.CYYYUBCDOLLB.DO.. C97 P99 T99 B97 A99 Y98 O99 
13 7 6	...PT....PTU..AATUBCYYYUBCDOLL..DO.. C97 P99 T99 B98 A99 Y98 O99 
13 7 6	...PT....PTUBCAATUBCYYYU..DOLL..DO.. C98 P99 T99 B99 A99 Y98 O99 
13 7 6	...PT....PTUB.AATUBCYYYU.CDOLL..DO.. C97 P99 T99 B99 A99 Y98 O99 
13 7 6	B..PT.B..PTU..AATU.CYYYU.CDOLL..DO.. C97 B99 P99 T99 A99 Y98 O99 
13 7 6	...PT..C.PTUBCAATUB.YYYU..DOLL..DO.. C99 P99 T99 B99 A99 Y98 O99 
13 7 6	BC.PTUBC.PTU..AATU..YYY...DOLL..DO.. B99 P99 T99 U99 A99 Y98 O99 
13 7 6	B..PT.B..PTU.CAATU.CYYYU..DOLL..DO.. C98 B99 P99 T99 A99 Y98 O99 
13 7 6	B..PT.BC.PTU.CAATU..YYYU..DOLL..DO.. C99 B99 P99 T99 A99 Y98 O99 
13 4 9	.C....BC.PTUBAAPTU.YYYTU..DOLL..DO.. P98 Y99 O99 
13 7 6	.C.PTU.C.PTU..AATUB.YYY.B.DOLL..DO.. B98 P99 T99 U99 A99 Y98 O99 
13 7 6	.C.PTU.C.PTU..AATU..YYY.B.DOLLB.DO.. B97 P99 T99 U99 A99 Y98 O99 
13 7 6	...PTUB..PTUB.AATU..YYY..CDOLL.CDO.. C96 P99 T99 U99 A99 Y98 O99 
13 7 6	.C.PTU.C.PTUB.AATUB.YYY...DOLL..DO.. B99 P99 T99 U99 A99 Y98 O99 
13 7 6	...PTUB..PTUBCAATU.CYYY...DOLL..DO.. C98 P99 T99 U99 A99 Y98 O99 
13 7 6	...PTUB..PTUB.AATU.CYYY..CDOLL..DO.. C97 P99 T99 U99 A99 Y98 O99 
13 7 6	...PTUBC.PTUBCAATU..YYY...DOLL..DO.. C99 P99 T99 U99 A99 Y98 O99 
13 7 6	B..P.UBC.PTU.CAATU.YYYT...DOLL..DO.. C99 B99 P99 U99 A99 Y99 O99 
14 5 9	.C.....C.PTU.AAPTU.YYYTUB.DOLLB.DO.. B97 P98 Y99 O99 
14 5 9	BC....BC.PTUAA.PTUYYY.TU..DOLL..DO.. B99 P98 A99 O99 
