3 0 3	..DII...DCLLAABC.OJ.B.POJFFFPOJ..... 
14 10 4	..II..LL..POAADCPOJ.DC.OJ.BFFFJ.B... I99 L96 O99 D98 C99 P98 B98 F98 
14 11 3	IID..OLLD..OAA.CPOJ..CP.J.BFFFJ.B... I97 L96 O98 D96 C99 P99 B98 F98 
14 11 3	..DII.LLD..OJAACPOJ..CPOJ.BFFF..B... D96 L96 O99 A99 C99 P99 J99 B98 F98 
14 10 4	..II..LL.C.OAADCPOJ.D.POJ.BFFFJ.B... I99 L96 O99 D98 C98 P99 B98 F98 
14 11 3	..DII.LLDC.O.AACPOJ...POJ.BFFFJ.B... D96 L96 O99 A99 C98 P99 B98 F98 
14 11 3	..D.IILLD..O.AACPOJ..CPOJ.BFFFJ.B... D96 I99 L96 O99 A99 C99 P99 B98 F98 
14 10 4	IID.....DLLOAABCPOJ.BCPOJ..FFFJ..... I97 L99 O99 D96 C99 P99 B96 F98 
14 10 4	II....LL..POAADCPOJ.DC.OJ.BFFFJ.B... I97 L96 O99 D98 C99 P98 B98 F98 
14 12 2	II.CP.LLDCPOAAD..OJ....OJ.BFFFJ.B... I97 L96 O99 D97 C97 P97 B98 F98 
14 10 4	...II..LLCPOAADCPOJ.D..OJ.BFFFJ.B... D98 L97 O99 C98 P98 B98 F98 
14 10 4	IID..O..DLLOAABCPOJ.BCP.J..FFFJ..... I97 O98 L99 D96 C99 P99 B96 F98 
14 10 4	II....LL.C.OAADCPOJ.D.POJ.BFFFJ.B... I97 L96 O99 D98 C98 P99 B98 F98 
14 10 4	..II.OLLD..OAADCPOJ..CP.J.BFFFJ.B... I99 O98 L96 D97 C99 P99 B98 F98 
14 11 3	IID..OJ.DLLOJAACPOJ.BCP...BFFF...... I97 O98 D98 L99 A99 C99 P99 J98 B99 F98 
14 10 4	II....LLD..OAADCPOJ..CPOJ.BFFFJ.B... I97 L96 O99 D97 C99 P99 B98 F98 
