4 0 4	VVBC....BCDEAABCDEHJ..F.HJNNF..KK.F. 
5 1 4	VVBC....BCDEAABCDE.J..F.HJNNF.HKK.F. H99 
5 2 3	VVBCD...BCDEAABC.E.J..F.HJNNF.HKK.F. D99 H99 
5 2 3	VVBC.E..BCDEAABCD..J..F.HJNNF.HKK.F. E99 H99 
5 3 2	VVBCD...BCD.AABC...J..FEHJNNFEHKK.F. D99 E98 H99 
5 3 2	VVBCDE..BCDEAABC...J..F.HJNNF.HKK.F. D99 E99 H99 
5 3 2	VVB.DE..BCDEAABC..HJ.CF.HJNNF..KK.F. C99 D99 E99 
5 3 2	VV.CDE..BCDEAABC..HJB.F.HJNNF..KK.F. B99 D99 E99 
6 3 3	VVBC.E..BCDEAABCD..J..F.HJNNF.H.KKF. E99 H99 K99 
6 2 4	VVBC....BCDEAABCDEH...F.HJNNF..JKKF. J99 K99 
6 2 4	VVB.....BCDEAABCDE.J.CF.HJNNF.HKK.F. C99 H99 
6 3 3	VVB..E..BCDEAABCD..J.CF.HJNNF.HKK.F. C99 E99 H99 
6 4 2	.VVCDE..BCDEAABC..HJB.F.HJNNF..KK.F. V99 B99 D99 E99 
6 4 2	VVBCD...BCD.AABC...J..F.HJNNFEH.KKFE D99 E97 H99 K99 
6 4 2	VVBCD...BCD.AABC..H...F.HJNNFE.JKKFE D99 E97 J99 K99 
6 4 2	VVB.D...BCD.AABC..HJ.CFEHJNNFE.KK.F. C99 D99 E96 
6 4 2	VV..DE..BCDEAABC..HJBCF.HJNNF..KK.F. B99 C99 D99 E99 
6 4 2	VV.CDE..BCDEAABC...JB.F.HJNNF.HKK.F. B99 D99 E99 H99 
6 4 2	VVB.DE..BCDEAABC...J.CF.HJNNF.HKK.F. C99 D99 E99 H99 
6 4 2	VV.CD...BCD.AABC..HJB.FEHJNNFE..KKF. B99 D99 E98 K99 
6 3 3	VVBC....BCD.AABCD.H...FEHJNNFE.JKKF. E98 J99 K99 
6 3 3	VV.C.E..BCDEAABCD..JB.F.HJNNF.HKK.F. B99 E99 H99 
6 4 2	VVB.D...BCD.AABC...J.CFEHJNNFEHKK.F. C99 D99 E98 H99 
6 4 2	VVB.D...BCD.AABC..HJ.CFEHJNNFE..KKF. C99 D99 E98 K99 
6 4 2	VV.CD...BCD.AABC..HJB.F.HJNNFE..KKFE B99 D99 E97 K99 
6 4 2	VVB.D...BCD.AABC..HJ.CF.HJNNFE..KKFE C99 D99 E97 K99 
6 4 2	VVB.D...BCD.AABC..HJ.CF.HJNNFEKK..FE C99 D99 E97 K99 
6 4 2	VV.CDE..BCDEAABC..HJB.F.HJNNF.KK..F. B99 D99 E99 K99 
6 4 2	VVB.DE..BCDEAABC..HJ.CF.HJNNF.KK..F. C99 D99 E99 K99 
6 4 2	VV..D...BCD.AABC..HJBCFEHJNNFE.KK.F. B99 C99 D99 E98 
6 4 2	VV.CD...BCD.AABC...JB.FEHJNNFEHKK.F. B99 D99 E98 H99 
6 3 3	VVBCD...BCD.AABCF.HJ..F.HJNNFE.KK..E D99 E97 F99 
6 4 2	VV.CD...BCD.AABC..HJB.F.HJNNFEKK..FE B99 D99 E97 K99 
6 3 3	VVBC....BCD.AABCD.H...F.HJNNFE.JKKFE E97 J99 K99 
6 4 2	VVB.D...BCD.AABC..HJ.CFEHJNNFEKK..F. C99 D99 E98 K99 
6 4 2	.VVCD...BCD.AABC..HJB.FEHJNNFE.KK.F. V99 B99 D99 E98 
6 3 3	VVBC.E..BCDEAABCD.H...F.HJNNF..JKKF. E99 J99 K99 
6 4 2	VV.CD...BCD.AABC..HJB.FEHJNNFEKK..F. B99 D99 E98 K99 
6 3 3	.VVC....BCD.AABCD.HJB.FEHJNNFE.KK.F. V99 B99 E98 
6 3 3	VVBC....BCD.AABCD..J..F.HJNNFEH.KKFE E97 H99 K99 
6 3 3	VV......BCD.AABCD.HJBCFEHJNNFE.KK.F. B99 C99 E98 
6 3 3	VVB.....BCD.AABCD..J.CF.HJNNFEHKK.FE C99 E97 H99 
6 3 3	VV.C....BCD.AABCD..JB.F.HJNNFEHKK.FE B99 E97 H99 
6 3 3	VV.C....BCD.AABCD.HJB.F.HJNNFE..KKFE B99 E97 K99 
6 2 4	VV.C....BCDEAABCDEHJB.F.HJNNF.KK..F. B99 K99 
6 3 3	VV.CD...BCDEAABC.E.JB.F.HJNNF.HKK.F. B99 D99 H99 
6 3 3	.VVCD...BCDEAABC.EHJB.F.HJNNF..KK.F. V99 B99 D99 
6 3 3	VVB.....BCD.AABCD.HJ.CFEHJNNFEKK..F. C99 E98 K99 
6 3 3	VVB.....BCD.AABCD..J.CFEHJNNFEHKK.F. C99 E98 H99 
6 3 3	VV.C....BCD.AABCD..JB.FEHJNNFEHKK.F. B99 E98 H99 
6 3 3	VVBCD...BCD.AABC.EHJ..FEHJNNF...KKF. D99 E99 K99 
6 3 3	VVB.D...BCDEAABC.EHJ.CF.HJNNF.KK..F. C99 D99 K99 
6 4 2	VVBCDE..BCDEAABC...J..F.HJNNF.H.KKF. D99 E99 H99 K99 
6 3 3	VV.CD...BCDEAABC.EHJB.F.HJNNF...KKF. B99 D99 K99 
6 4 2	VVB.DE..BCDEAABC..HJ.CF.HJNNF...KKF. C99 D99 E99 K99 
6 4 2	VV.CDE..BCDEAABC..HJB.F.HJNNF...KKF. B99 D99 E99 K99 
6 3 3	VVBCD...BCD.AABC.EHJ..FEHJNNF.KK..F. D99 E99 K99 
6 3 3	VVB.D...BCD.AABC.EHJ.CFEHJNNF..KK.F. C99 D99 E99 
6 3 3	VVB..E..BCDEAABCD.HJ.CF.HJNNF...KKF. C99 E99 K99 
6 3 3	VVB.....BCD.AABCD.HJ.CF.HJNNFEKK..FE C99 E97 K99 
6 3 3	VV.C.E..BCDEAABCD.HJB.F.HJNNF...KKF. B99 E99 K99 
6 4 2	VV.CD...BCD.AABC...JB.F.HJNNFEHKK.FE B99 D99 E97 H99 
6 3 3	VVBC.E..BCDEAABCD..J..F.HJNNF.HKK.F. E95 H99 
6 3 3	VV.CD...BCDEAABC.EHJB.F.HJNNF.KK..F. B99 D99 K99 
6 3 3	VVBCD...BCD.AABCF.HJ..FEHJNNFE.KK... D99 E98 F99 
6 3 3	VVB..E..BCDEAABCD.HJ.CF.HJNNF.KK..F. C99 E99 K99 
6 3 3	VV.C.E..BCDEAABCD.HJB.F.HJNNF.KK..F. B99 E99 K99 
6 3 3	VV.C.E..BCDEAABCD.HJB.F.HJNNF..KK.F. B99 E95 
6 2 4	VVBC....BCD.AABCDEHJ..FEHJNNF.KK..F. E99 K99 
6 3 3	VV......BCD.AABCD.HJBCF.HJNNFE.KK.FE B99 C99 E97 
6 2 4	.VVC....BCDEAABCDEHJB.F.HJNNF..KK.F. V99 B99 
6 3 3	.VVC....BCD.AABCD.HJB.F.HJNNFE.KK.FE V99 B99 E97 
6 3 3	.VVC.E..BCDEAABCD.HJB.F.HJNNF..KK.F. V99 B99 E99 
6 4 2	.VVCD...BCD.AABC..HJB.F.HJNNFE.KK.FE V99 B99 D99 E97 
6 4 2	VV..D...BCD.AABC..HJBCF.HJNNFE.KK.FE B99 C99 D99 E97 
6 3 3	VVBCDE..BCDEAABCF.HJ..F.HJNNF..KK... D99 E99 F99 
6 2 4	VVBC....BCDEAABCDE.J..F.HJNNF.H.KKF. H99 K99 
6 3 3	VVBCD...BCDEAABC.E.J..F.HJNNF.H.KKF. D99 H99 K99 
6 2 4	VV.C....BCDEAABCDEHJB.F.HJNNF...KKF. B99 K99 
6 3 3	VVB.....BCD.AABCD.HJ.CFEHJNNFE..KKF. C99 E98 K99 
6 3 3	VV.C....BCD.AABCD.HJB.FEHJNNFE..KKF. B99 E98 K99 
6 4 2	VVBCD...BCD.AABC..H...FEHJNNFE.JKKF. D99 E98 J99 K99 
6 4 2	VVBCD...BCD.AABC...J..FEHJNNFEH.KKF. D99 E98 H99 K99 
7 4 3	VVB..E..BCDEAABCD..J.CF.HJNNF.H.KKF. C99 E99 H99 K99 
7 3 4	VVBCD...BCDEAABCFEHJ..F.HJNNF...KK.. D99 F99 K99 
7 4 3	VV.C....BCD.AABCD.HJB.F.HJNNFEKK..FE B99 E95 K99 
7 3 4	.VVC....BCDEAABCDEHJB.F.HJNNF...KKF. V99 B99 K99 
7 4 3	VVBCDE..BCDEAABCF.HJ..F.HJNNF.....KK D99 E99 F99 K97 
7 5 2	VVBCDE..BCDEAABC..H...F.HJNNF..JKKF. D99 E95 J99 K99 
7 4 3	VVBC.E..BCDEAABCD.....F.HJNNF.HJKKF. E99 H99 J99 K99 
7 3 4	VVB.....BCDEAABCDE.J.CF.HJNNF.H.KKF. C99 H99 K99 
7 4 3	VV...E..BCDEAABCD..JBCF.HJNNF.HKK.F. B99 C99 E99 H99 
7 5 2	.VVCDE..BCDEAABC..HJB.F.HJNNF...KKF. V99 B99 D99 E99 K99 
7 3 4	VVBC....BCD.AABCDEHJ..FEHJNNF...KKF. E95 K99 
7 4 3	VV.C.E..BCDEAABCD..JB.F.HJNNF.H.KKF. B99 E99 H99 K99 
7 5 2	VV..DE..BCDEAABC..HJBCF.HJNNF...KKF. B99 C99 D99 E99 K99 
7 4 3	VVBC....BCD.AABCD.....FEHJNNFEHJKKF. E98 H99 J99 K99 
7 5 2	VV.CDE..BCDEAABC...JB.F.HJNNF.H.KKF. B99 D99 E99 H99 K99 
7 5 2	VVB.DE..BCDEAABC...J.CF.HJNNF.H.KKF. C99 D99 E99 H99 K99 
7 3 4	VVBCD...BCDEAABCFE.J..F.HJNNF.HKK... D99 H99 F99 
7 4 3	VVBCD...BCD.AABCF.HJ..FEHJNNFE..KK.. D99 E98 F99 K99 
7 5 2	VVB.D...BCD.AABC...J.CFEHJNNFEH.KKF. C99 D99 E98 H99 K99 
7 5 2	VVBCD...BCD.AABC......FEHJNNFEHJKKF. D99 E98 H99 J99 K99 
7 4 3	VVBCDE..BCDEAABCF.HJ..F.HJNNF....KK. D99 E99 F99 K98 
7 4 3	VVBCD...BCD.AABCF.HJ..F.HJNNFEKK...E D99 E97 F99 K99 
7 4 3	.VVC....BCD.AABCD.HJB.F.HJNNFEKK..FE V99 B99 E97 K99 
7 5 2	..VVD...BCD.AABC..HJBCF.HJNNFE.KK.FE V98 B99 C99 D99 E97 
7 5 2	.VV.D...BCD.AABC..HJBCF.HJNNFE.KK.FE V99 B99 C99 D99 E97 
7 4 3	VVBCD...BCD.AABCF.HJ..F.HJNNFE..KK.E D99 E97 F99 K99 
7 3 4	.VVC....BCDEAABCDE.JB.F.HJNNF.HKK.F. V99 B99 H99 
7 4 3	VV.CDE..BCDEAABCF.HJB.F.HJNNF..KK... B99 D99 E99 F99 
7 4 3	VVB.DE..BCDEAABCF.HJ.CF.HJNNF..KK... C99 D99 E99 F99 
7 3 4	VVBC....BCDEAABCDEHJ..F.HJNNF.KK..F. D98 K99 
7 5 2	VV..D...BCD.AABC..HJBCFEHJNNFEKK..F. B99 C99 D99 E98 K99 
7 4 3	VVBC....BCD.AABCD.....F.HJNNFEHJKKFE E97 H99 J99 K99 
7 4 3	VVB.....BCD.AABCD..J.CF.HJNNFEH.KKFE C99 E97 H99 K99 
7 4 3	...VV...BCD.AABCD.HJBCF.HJNNFE.KK.FE V97 B99 C99 E97 
7 4 3	VVBCD...BCD.AABCF.HJ..FEHJNNFE....KK D99 E98 F99 K97 
7 4 3	..VV....BCD.AABCD.HJBCF.HJNNFE.KK.FE V98 B99 C99 E97 
7 4 3	.VV.....BCD.AABCD.HJBCF.HJNNFE.KK.FE V99 B99 C99 E97 
7 4 3	VVBCD...BCD.AABCF.HJ..F.HJNNFE...KKE D99 E97 F99 K98 
7 4 3	VVB..E..BCDEAABCD.HJ.CF.HJNNF..KK.F. C99 E99 K98 
7 4 3	VVBCD...BCD.AABCF.HJ..FEHJNNFE...KK. D99 E98 F99 K98 
7 4 3	VVB.D...BCD.AABCF.HJ.CFEHJNNFE.KK... C99 D99 E98 F99 
7 4 3	VVB.....BCD.AABCD.HJ.CF.HJNNFE..KKFE C99 E95 K99 
7 3 4	VVB.....BCD.AABCDEHJ.CFEHJNNF..KK.F. C99 E97 
7 5 2	.VVCD...BCD.AABC..HJB.FEHJNNFEKK..F. V99 B99 D99 E98 K99 
7 4 3	.VVC....BCD.AABCD.HJB.FEHJNNFE..KKF. V99 B99 E98 K99 
7 4 3	VV...E..BCDEAABCD.HJBCF.HJNNF...KKF. B99 C99 E99 K99 
7 5 2	VVB.DE..BCDEAABC..H..CF.HJNNF..JKKF. C99 D99 E99 J99 K99 
7 4 3	VVB.D...BCD.AABC.E.J.CFEHJNNF.HKK.F. C99 D99 E99 H99 
7 4 3	VV..D...BCDEAABC.EHJBCF.HJNNF...KKF. B99 C99 D99 K99 
7 4 3	VVB.D...BCDEAABC.EHJ.CF.HJNNF...KKF. C99 D99 K97 
7 3 4	VV.CD...BCDEAABCFEHJB.F.HJNNF..KK... B99 D99 F99 
7 4 3	VVB.....BCD.AABCD..J.CFEHJNNFEH.KKF. C99 E98 H99 K99 
7 4 3	VV.C....BCD.AABCD..JB.FEHJNNFEH.KKF. B99 E98 H99 K99 
7 4 3	VVB.D...BCD.AABC.EHJ.CFEHJNNF.KK..F. C99 D99 E99 K99 
7 4 3	VVBCD...BCD.AABC.EH...FEHJNNF..JKKF. D99 E99 J99 K99 
7 4 3	VV......BCD.AABCD..JBCF.HJNNFEHKK.FE B99 C99 E97 H99 
7 4 3	.VVCD...BCD.AABC.EHJB.FEHJNNF..KK.F. V99 B99 D99 E99 
7 4 3	.VVCD...BCDEAABC.E.JB.F.HJNNF.HKK.F. V99 B99 D99 H99 
7 4 3	VV..D...BCDEAABC.E.JBCF.HJNNF.HKK.F. B99 C99 D99 H99 
7 3 4	.VVC....BCDEAABCDEHJB.F.HJNNF.KK..F. V99 B99 K99 
7 4 3	VV......BCD.AABCD.HJBCF.HJNNFE..KKFE B99 C99 E97 K99 
7 4 3	.VVC....BCD.AABCD.HJB.F.HJNNFE..KKFE V99 B99 E97 K99 
7 4 3	VV.CD...BCDEAABC.E.JB.F.HJNNF.H.KKF. B99 D99 H99 K99 
7 4 3	.VVC....BCD.AABCD..JB.F.HJNNFEHKK.FE V99 B99 E97 H99 
7 4 3	VV......BCD.AABCD.HJBCFEHJNNFEKK..F. B99 C99 E98 K99 
7 4 3	.VV.D...BCDEAABC.EHJBCF.HJNNF..KK.F. V99 B99 C99 D99 
7 4 3	VV......BCD.AABCD..JBCFEHJNNFEHKK.F. B99 C99 E98 H99 
7 4 3	VV.CD...BCD.AABC.EHJB.FEHJNNF...KKF. B99 D99 E99 K99 
7 4 3	VVBCD...BCD.AABC.E.J..FEHJNNF.H.KKF. D99 E99 H99 K99 
7 4 3	..VV....BCD.AABCD.HJBCFEHJNNFE.KK.F. V98 B99 C99 E98 
7 4 3	VV.C....BCD.AABCD..JB.F.HJNNFEH.KKFE B99 E97 H99 K99 
7 4 3	VVB.D...BCD.AABC.EHJ.CFEHJNNF...KKF. C99 D99 E99 K99 
7 4 3	.VVC....BCD.AABCD.HJB.FEHJNNFEKK..F. V99 B99 E98 K99 
7 4 3	.VVC.E..BCDEAABCD.HJB.F.HJNNF..KK.F. V99 B99 E95 
7 4 3	VVBCD...BCD.AABC.E.J..FEHJNNF.H.KKF. D99 E99 H99 K99 
7 4 3	.VVC....BCD.AABCD.HJB.F.HJNNFE.KK.FE V99 B99 E97 
7 3 4	VVB.D...BCDEAABCFEHJ.CF.HJNNF..KK... C99 D99 F99 
7 4 3	.VVC....BCD.AABCD..JB.FEHJNNFEHKK.F. V99 B99 E98 H99 
7 4 3	.VV.....BCD.AABCD.HJBCFEHJNNFE.KK.F. V99 B99 C99 E98 
7 3 4	VVBCD...BCD.AABCFEHJ..FEHJNNF..KK... D99 E99 F99 
7 4 3	VV.C....BCD.AABCD.H.B.F.HJNNFE.JKKFE B99 E97 J99 K99 
7 3 4	VVB.....BCDEAABCDEHJ.CF.HJNNF..KK.F. C99 D98 
7 5 2	.VVCD...BCD.AABC..HJB.F.HJNNFEKK..FE V99 B99 D99 E97 K99 
7 5 2	.VVCD...BCD.AABC...JB.FEHJNNFEHKK.F. V99 B99 D99 E98 H99 
7 4 3	VVBCDE..BCDEAABCF.HJ..F.HJNNF...KK.. D99 E99 F99 K99 
7 5 2	VV.CDE..BCDEAABC..H.B.F.HJNNF..JKKF. B99 D99 E99 J99 K99 
7 4 3	VV..D...BCD.AABC.EHJBCFEHJNNF..KK.F. B99 C99 D99 E99 
7 5 2	VV..D...BCD.AABC..HJBCF.HJNNFEKK..FE B99 C99 D99 E97 K99 
7 4 3	VV.CD...BCD.AABC.EHJB.FEHJNNF.KK..F. B99 D99 E99 K99 
7 4 3	VVB.D...BCD.AABC.EHJ.CFEHJNNF.KK..F. C99 D99 E99 K99 
7 5 2	VV..D...BCD.AABC..HJBCF.HJNNFE..KKFE B99 C99 D99 E97 K99 
7 5 2	.VVCD...BCD.AABC..HJB.F.HJNNFE..KKFE V99 B99 D99 E97 K99 
7 4 3	VV.CD...BCD.AABCF.HJB.F.HJNNFE.KK..E B99 D99 E97 F99 
7 5 2	VVB.D...BCD.AABC..H..CFEHJNNFE.JKKF. C99 D99 E98 J99 K99 
7 4 3	VVB.D...BCD.AABC.EHJ.CFEHJNNF.KK..F. C99 D99 E99 K99 
7 5 2	VV..D...BCD.AABC...JBCFEHJNNFEHKK.F. B99 C99 D99 E98 H99 
7 4 3	.VVCD...BCDEAABC.EHJB.F.HJNNF.KK..F. V99 B99 D99 K99 
7 4 3	VVB.....BCD.AABCD.H..CFEHJNNFE.JKKF. C99 E98 J99 K99 
7 4 3	.VVC.E..BCDEAABCD.HJB.F.HJNNF...KKF. V99 B99 E99 K99 
7 4 3	VV.C....BCD.AABCD.H.B.FEHJNNFE.JKKF. B99 E98 J99 K99 
7 4 3	VV......BCD.AABCD.HJBCF.HJNNFEKK..FE B99 C99 E97 K99 
7 4 3	VVBCD...BCD.AABCF.HJ..FEHJNNFEKK.... D99 E98 F99 K99 
7 5 2	VV.CD...BCD.AABC..H.B.FEHJNNFE.JKKF. B99 D99 E98 J99 K99 
7 5 2	.VVCD...BCD.AABC...JB.F.HJNNFEHKK.FE V99 B99 D99 E97 H99 
7 4 3	VV.C....BCD.AABCD.HJB.FEHJNNFEKK..F. B99 E96 K99 
7 3 4	.VV.....BCDEAABCDEHJBCF.HJNNF..KK.F. V99 B99 C99 
7 4 3	VVBCD...BCD.AABCF..J..FEHJNNFEHKK... D99 E98 H99 F99 
7 5 2	VV..D...BCD.AABC..HJBCFEHJNNFE..KKF. B99 C99 D99 E98 K99 
7 5 2	.VVCD...BCD.AABC..HJB.FEHJNNFE..KKF. V99 B99 D99 E98 K99 
7 4 3	VV...E..BCDEAABCD.HJBCF.HJNNF.KK..F. B99 C99 E99 K99 
7 4 3	VVB.D...BCD.AABC.EHJ.CFEHJNNF..KK.F. C99 D99 E95 
7 5 2	VV..DE..BCDEAABC..HJBCF.HJNNF.KK..F. B99 C99 D99 E99 K99 
7 4 3	VV...E..BCDEAABCD.HJBCF.HJNNF..KK.F. B99 C99 E95 
7 4 3	VV...E..BCDEAABCD.HJBCF.HJNNF..KK.F. B99 C99 E93 
7 4 3	VVB.D...BCD.AABCF.HJ.CF.HJNNFE.KK..E C99 D99 E97 F99 
7 5 2	VV..DE..BCDEAABC...JBCF.HJNNF.HKK.F. B99 C99 D99 E99 H99 
7 5 2	..VVDE..BCDEAABC..HJBCF.HJNNF..KK.F. V98 B99 C99 D99 E99 
7 4 3	.VVC.E..BCDEAABCD.HJB.F.HJNNF.KK..F. V99 B99 E99 K99 
7 4 3	....VV..BCD.AABCD.HJBCF.HJNNFE.KK.FE V96 B99 C99 E97 
7 5 2	VVB.D...BCD.AABC..H..CF.HJNNFE.JKKFE C99 D99 E97 J99 K99 
7 3 4	VVB.....BCD.AABCDEHJ.CFEHJNNF.KK..F. C99 E99 K99 
7 5 2	VV.CD...BCD.AABC..H.B.F.HJNNFE.JKKFE B99 D99 E97 J99 K99 
7 4 3	.VV..E..BCDEAABCD.HJBCF.HJNNF..KK.F. V99 B99 C99 E99 
7 3 4	VV.C....BCDEAABCDE.JB.F.HJNNF.H.KKF. B99 H99 K99 
7 5 2	VVBCD...BCD.AABC......F.HJNNFEHJKKFE D99 E97 H99 J99 K99 
7 3 4	.VVC....BCD.AABCDEHJB.FEHJNNF..KK.F. V99 B99 E99 
7 5 2	VVB.D...BCD.AABC...J.CF.HJNNFEH.KKFE C99 D99 E97 H99 K99 
7 5 2	VV.CD...BCD.AABC...JB.F.HJNNFEH.KKFE B99 D99 E97 H99 K99 
7 5 2	.VVCDE..BCDEAABC..HJB.F.HJNNF.KK..F. V99 B99 D99 E99 K99 
7 5 2	.VVCDE..BCDEAABC...JB.F.HJNNF.HKK.F. V99 B99 D99 E99 H99 
7 3 4	VVBCD...BCDEAABCFEHJ..F.HJNNF.KK.... D99 F99 K99 
7 3 4	VVBC....BCD.AABCDE.J..FEHJNNF.H.KKF. E99 H99 K99 
7 4 3	VV.CD...BCD.AABCF.HJB.FEHJNNFE.KK... B99 D99 E98 F99 
7 4 3	VVBC....BCD.AABCD..J..FEHJNNFEH.KKF. E98 H99 K99 
7 3 4	VV......BCDEAABCDE.JBCF.HJNNF.HKK.F. B99 C99 H99 
7 3 4	VVB.....BCDEAABCDEH..CF.HJNNF..JKKF. C99 J99 K99 
7 4 3	VVB..E..BCDEAABCD.H..CF.HJNNF..JKKF. C99 E99 J99 K99 
8 5 3	VVB..E..BCDEAABCD....CF.HJNNF.HJKKF. C99 E99 H99 J99 K99 
8 4 4	VV......BCDEAABCDE.JBCF.HJNNF.H.KKF. B99 C99 H99 K99 
8 6 2	..VVDE..BCDEAABC..HJBCF.HJNNF...KKF. V98 B99 C99 D99 E99 K99 
8 6 2	..VVD...BCD.AABC..HJBCF.HJNNFE..KKFE V98 B99 C99 D99 E97 K99 
8 5 3	.VVC.E..BCDEAABCD..JB.F.HJNNF.H.KKF. V99 B99 E99 H99 K99 
8 4 4	VVB.....BCD.AABCDEH..CFEHJNNF..JKKF. C99 E99 J99 K99 
8 5 3	VVB.DE..BCDEAABCF.HJ.CF.HJNNF...KK.. C99 D99 E99 F99 K99 
8 4 4	...VV...BCDEAABCDE.JBCF.HJNNF.HKK.F. V97 B99 C99 H99 
8 5 3	VVBCD...BCD.AABC.EH...FEHJNNF..JKKF. D99 E95 J99 K99 
8 6 2	.VVCDE..BCDEAABC...JB.F.HJNNF.H.KKF. V99 B99 D99 E99 H99 K99 
8 4 4	VVB.....BCD.AABCDEHJ.CFEHJNNF.KK..F. C99 E97 K99 
8 5 3	VVBCD...BCD.AABCF..J..FEHJNNFEH.KK.. D99 E98 H99 F99 K99 
8 6 2	.VV.DE..BCDEAABC..HJBCF.HJNNF...KKF. V99 B99 C99 D99 E99 K99 
8 5 3	...VVE..BCDEAABCD..JBCF.HJNNF.HKK.F. V97 B99 C99 E99 H99 
8 5 3	VVB.D...BCD.AABC.EHJ.CFEHJNNF...KKF. C99 D99 E97 K99 
8 5 3	..VV.E..BCDEAABCD..JBCF.HJNNF.HKK.F. V98 B99 C99 E99 H99 
8 5 3	.VV..E..BCDEAABCD..JBCF.HJNNF.HKK.F. V99 B99 C99 E99 H99 
8 5 3	VVBCD...BCD.AABC.E.J..FEHJNNF.H.KKF. D99 E95 H99 K99 
8 4 4	VVBCD...BCDEAABCFEHJ..F.HJNNF....KK. D99 F99 K98 
8 5 3	VV.C.E..BCDEAABCD...B.F.HJNNF.HJKKF. B99 E99 H99 J99 K99 
8 4 4	VVB.....BCD.AABCDE.J.CFEHJNNF.H.KKF. C99 E99 H99 K99 
8 4 4	VVBCD...BCDEAABCFEHJ..F.HJNNF.....KK D99 F99 K97 
8 5 3	VVBCDE..BCDEAABCF..J..F.HJNNF.H...KK D99 E99 H99 F99 K97 
8 4 4	.VVC....BCDEAABCDEH.B.F.HJNNF..JKKF. V99 B99 J99 K99 
8 5 3	VVB.DE..BCDEAABCF.HJ.CF.HJNNF.....KK C99 D99 E99 F99 K97 
8 5 3	VV.CDE..BCDEAABCF.HJB.F.HJNNF.....KK B99 D99 E99 F99 K97 
8 4 4	.VVC....BCDEAABCDE.JB.F.HJNNF.H.KKF. V99 B99 H99 K99 
8 4 4	.VVC....BCD.AABCDEHJB.FEHJNNF...KKF. V99 B99 E99 K99 
8 5 3	VVB.D...BCD.AABCF.HJ.CFEHJNNFE.KK... C99 D99 E96 F99 
