0 0 0	VVBC....BCDEAABCDEHJ..F.HJNNF..KK.F. 
3 3 0	.VVC....BCDEAABCDEHJB.F.HJNNF.KK..F. V99 B99 K99 
3 3 0	.VVC....BCDEAABCDEHJB.F.HJNNF...KKF. V99 B99 K99 
3 3 0	..VV....BCDEAABCDEHJBCF.HJNNF..KK.F. V98 B99 C99 
3 3 0	...VV...BCDEAABCDEHJBCF.HJNNF..KK.F. V97 B99 C99 
3 3 0	....VV..BCDEAABCDEHJBCF.HJNNF..KK.F. V96 B99 C99 
3 3 0	VV..D...BCDEAABC.EHJBCF.HJNNF..KK.F. B99 C99 D99 
3 3 0	VV......BCD.AABCDEHJBCFEHJNNF..KK.F. B99 C99 E99 
3 3 0	VV......BCD.AABCD.HJBCFEHJNNFE.KK.F. B99 C99 E98 
3 3 0	VV......BCD.AABCD.HJBCF.HJNNFE.KK.FE B99 C99 E97 
3 3 0	VV...E..BCDEAABCD.HJBCF.HJNNF..KK.F. B99 C99 E99 
3 3 0	VV......BCDEAABCDE.JBCF.HJNNF.HKK.F. B99 C99 H99 
3 3 0	VV......BCDEAABCDEHJBCF.HJNNF.KK..F. B99 C99 K99 
3 3 0	VV......BCDEAABCDEHJBCF.HJNNF...KKF. B99 C99 K99 
3 3 0	VV.CD...BCD.AABC.EHJB.FEHJNNF..KK.F. B99 D99 E99 
3 3 0	VV.CD...BCD.AABC..HJB.FEHJNNFE.KK.F. B99 D99 E98 
3 3 0	VV.CD...BCD.AABC..HJB.F.HJNNFE.KK.FE B99 D99 E97 
3 3 0	VV.CDE..BCDEAABC..HJB.F.HJNNF..KK.F. B99 D99 E99 
3 3 0	VV.CD...BCDEAABC.E.JB.F.HJNNF.HKK.F. B99 D99 H99 
3 3 0	VV.CD...BCDEAABCFEHJB.F.HJNNF..KK... B99 D99 F99 
3 3 0	VV.CD...BCDEAABC.EHJB.F.HJNNF.KK..F. B99 D99 K99 
3 3 0	VV.CD...BCDEAABC.EHJB.F.HJNNF...KKF. B99 D99 K99 
3 3 0	VV.C....BCD.AABCDE.JB.FEHJNNF.HKK.F. B99 E99 H99 
3 3 0	VV.C....BCD.AABCDEHJB.FEHJNNF.KK..F. B99 E99 K99 
3 3 0	VV.C....BCD.AABCDEHJB.FEHJNNF...KKF. B99 E99 K99 
3 3 0	VV.C....BCD.AABCD..JB.FEHJNNFEHKK.F. B99 E98 H99 
3 3 0	VV.C....BCD.AABCD.HJB.FEHJNNFEKK..F. B99 E98 K99 
3 3 0	VV.C....BCD.AABCD.HJB.FEHJNNFE..KKF. B99 E98 K99 
3 3 0	VV.C....BCD.AABCD..JB.F.HJNNFEHKK.FE B99 E97 H99 
3 3 0	VV.C....BCD.AABCD.HJB.F.HJNNFEKK..FE B99 E97 K99 
3 3 0	VV.C....BCD.AABCD.HJB.F.HJNNFE..KKFE B99 E97 K99 
3 3 0	VV.C.E..BCDEAABCD..JB.F.HJNNF.HKK.F. B99 E99 H99 
3 3 0	VV.C.E..BCDEAABCD.HJB.F.HJNNF.KK..F. B99 E99 K99 
3 3 0	VV.C.E..BCDEAABCD.HJB.F.HJNNF...KKF. B99 E99 K99 
3 3 0	VV.C....BCDEAABCDE.JB.F.HJNNF.H.KKF. B99 H99 K99 
3 3 0	VV.C....BCDEAABCDEH.B.F.HJNNF..JKKF. B99 J99 K99 
3 3 0	VVB.D...BCD.AABC.EHJ.CFEHJNNF..KK.F. C99 D99 E99 
3 3 0	VVB.D...BCD.AABC..HJ.CFEHJNNFE.KK.F. C99 D99 E98 
3 3 0	VVB.D...BCD.AABC..HJ.CF.HJNNFE.KK.FE C99 D99 E97 
3 3 0	VVB.DE..BCDEAABC..HJ.CF.HJNNF..KK.F. C99 D99 E99 
3 3 0	VVB.D...BCDEAABC.E.J.CF.HJNNF.HKK.F. C99 D99 H99 
3 3 0	VVB.D...BCDEAABCFEHJ.CF.HJNNF..KK... C99 D99 F99 
3 3 0	VVB.D...BCDEAABC.EHJ.CF.HJNNF.KK..F. C99 D99 K99 
3 3 0	VVB.D...BCDEAABC.EHJ.CF.HJNNF...KKF. C99 D99 K99 
3 3 0	VVB.....BCD.AABCDE.J.CFEHJNNF.HKK.F. C99 E99 H99 
3 3 0	VVB.....BCD.AABCDEHJ.CFEHJNNF.KK..F. C99 E99 K99 
3 3 0	VVB.....BCD.AABCDEHJ.CFEHJNNF...KKF. C99 E99 K99 
3 3 0	VVB.....BCD.AABCD..J.CFEHJNNFEHKK.F. C99 E98 H99 
3 3 0	VVB.....BCD.AABCD.HJ.CFEHJNNFEKK..F. C99 E98 K99 
3 3 0	VVB.....BCD.AABCD.HJ.CFEHJNNFE..KKF. C99 E98 K99 
3 3 0	VVB.....BCD.AABCD..J.CF.HJNNFEHKK.FE C99 E97 H99 
3 3 0	VVB.....BCD.AABCD.HJ.CF.HJNNFEKK..FE C99 E97 K99 
3 3 0	VVB.....BCD.AABCD.HJ.CF.HJNNFE..KKFE C99 E97 K99 
3 3 0	VVB..E..BCDEAABCD..J.CF.HJNNF.HKK.F. C99 E99 H99 
3 3 0	VVB..E..BCDEAABCD.HJ.CF.HJNNF.KK..F. C99 E99 K99 
3 3 0	VVB..E..BCDEAABCD.HJ.CF.HJNNF...KKF. C99 E99 K99 
3 3 0	VVB.....BCDEAABCDE.J.CF.HJNNF.H.KKF. C99 H99 K99 
3 3 0	VVB.....BCDEAABCDEH..CF.HJNNF..JKKF. C99 J99 K99 
3 3 0	VVBCD...BCD.AABC.E.J..FEHJNNF.HKK.F. D99 E99 H99 
3 3 0	VVBCD...BCD.AABCFEHJ..FEHJNNF..KK... D99 E99 F99 
3 3 0	VVBCD...BCD.AABC.EHJ..FEHJNNF.KK..F. D99 E99 K99 
3 3 0	VVBCD...BCD.AABC.EHJ..FEHJNNF...KKF. D99 E99 K99 
3 3 0	VVBCD...BCD.AABC...J..FEHJNNFEHKK.F. D99 E98 H99 
3 3 0	VVBCD...BCD.AABCF.HJ..FEHJNNFE.KK... D99 E98 F99 
3 3 0	VVBCD...BCD.AABC..HJ..FEHJNNFEKK..F. D99 E98 K99 
3 3 0	VVBCD...BCD.AABC..HJ..FEHJNNFE..KKF. D99 E98 K99 
3 3 0	VVBCD...BCD.AABC...J..F.HJNNFEHKK.FE D99 E97 H99 
3 3 0	VVBCD...BCD.AABCF.HJ..F.HJNNFE.KK..E D99 E97 F99 
3 3 0	VVBCD...BCD.AABC..HJ..F.HJNNFEKK..FE D99 E97 K99 
3 3 0	VVBCD...BCD.AABC..HJ..F.HJNNFE..KKFE D99 E97 K99 
3 3 0	VVBCDE..BCDEAABC...J..F.HJNNF.HKK.F. D99 E99 H99 
3 3 0	VVBCDE..BCDEAABCF.HJ..F.HJNNF..KK... D99 E99 F99 
3 3 0	VVBCDE..BCDEAABC..HJ..F.HJNNF.KK..F. D99 E99 K99 
3 3 0	VVBCDE..BCDEAABC..HJ..F.HJNNF...KKF. D99 E99 K99 
3 3 0	VVBCD...BCDEAABCFE.J..F.HJNNF.HKK... D99 H99 F99 
3 3 0	VVBCD...BCDEAABC.E.J..F.HJNNF.H.KKF. D99 H99 K99 
3 3 0	VVBCD...BCDEAABCFEHJ..F.HJNNF.KK.... D99 F99 K99 
3 3 0	VVBCD...BCDEAABCFEHJ..F.HJNNF...KK.. D99 F99 K99 
3 3 0	VVBCD...BCDEAABCFEHJ..F.HJNNF....KK. D99 F99 K98 
3 3 0	VVBCD...BCDEAABCFEHJ..F.HJNNF.....KK D99 F99 K97 
3 3 0	VVBCD...BCDEAABC.EH...F.HJNNF..JKKF. D99 J99 K99 
3 3 0	VVBC....BCD.AABCDE.J..FEHJNNF.H.KKF. E99 H99 K99 
3 3 0	VVBC....BCD.AABCDEH...FEHJNNF..JKKF. E99 J99 K99 
3 3 0	VVBC....BCD.AABCD..J..FEHJNNFEH.KKF. E98 H99 K99 
3 3 0	VVBC....BCD.AABCD.H...FEHJNNFE.JKKF. E98 J99 K99 
3 3 0	VVBC....BCD.AABCD..J..F.HJNNFEH.KKFE E97 H99 K99 
3 3 0	VVBC....BCD.AABCD.H...F.HJNNFE.JKKFE E97 J99 K99 
3 3 0	VVBC.E..BCDEAABCD..J..F.HJNNF.H.KKF. E99 H99 K99 
3 3 0	VVBC.E..BCDEAABCD.H...F.HJNNF..JKKF. E99 J99 K99 
3 3 0	VVBC....BCDEAABCDE....F.HJNNF.HJKKF. H99 J99 K99 
4 4 0	.VV.D...BCDEAABC.EHJBCF.HJNNF..KK.F. V99 B99 C99 D99 
4 4 0	.VV.....BCD.AABCDEHJBCFEHJNNF..KK.F. V99 B99 C99 E99 
4 4 0	.VV.....BCD.AABCD.HJBCFEHJNNFE.KK.F. V99 B99 C99 E98 
4 4 0	.VV.....BCD.AABCD.HJBCF.HJNNFE.KK.FE V99 B99 C99 E97 
4 4 0	.VV..E..BCDEAABCD.HJBCF.HJNNF..KK.F. V99 B99 C99 E99 
4 4 0	.VV.....BCDEAABCDE.JBCF.HJNNF.HKK.F. V99 B99 C99 H99 
4 4 0	.VV.....BCDEAABCDEHJBCF.HJNNF.KK..F. V99 B99 C99 K99 
4 4 0	.VV.....BCDEAABCDEHJBCF.HJNNF...KKF. V99 B99 C99 K99 
4 4 0	.VVCD...BCD.AABC.EHJB.FEHJNNF..KK.F. V99 B99 D99 E99 
4 4 0	.VVCD...BCD.AABC..HJB.FEHJNNFE.KK.F. V99 B99 D99 E98 
4 4 0	.VVCD...BCD.AABC..HJB.F.HJNNFE.KK.FE V99 B99 D99 E97 
4 4 0	.VVCDE..BCDEAABC..HJB.F.HJNNF..KK.F. V99 B99 D99 E99 
4 4 0	.VVCD...BCDEAABC.E.JB.F.HJNNF.HKK.F. V99 B99 D99 H99 
4 4 0	.VVCD...BCDEAABCFEHJB.F.HJNNF..KK... V99 B99 D99 F99 
4 4 0	.VVCD...BCDEAABC.EHJB.F.HJNNF.KK..F. V99 B99 D99 K99 
4 4 0	.VVCD...BCDEAABC.EHJB.F.HJNNF...KKF. V99 B99 D99 K99 
4 4 0	.VVC....BCD.AABCDE.JB.FEHJNNF.HKK.F. V99 B99 E99 H99 
4 4 0	.VVC....BCD.AABCDEHJB.FEHJNNF.KK..F. V99 B99 E99 K99 
4 4 0	.VVC....BCD.AABCDEHJB.FEHJNNF...KKF. V99 B99 E99 K99 
4 4 0	.VVC....BCD.AABCD..JB.FEHJNNFEHKK.F. V99 B99 E98 H99 
4 4 0	.VVC....BCD.AABCD.HJB.FEHJNNFEKK..F. V99 B99 E98 K99 
4 4 0	.VVC....BCD.AABCD.HJB.FEHJNNFE..KKF. V99 B99 E98 K99 
4 4 0	.VVC....BCD.AABCD..JB.F.HJNNFEHKK.FE V99 B99 E97 H99 
4 4 0	.VVC....BCD.AABCD.HJB.F.HJNNFEKK..FE V99 B99 E97 K99 
4 4 0	.VVC....BCD.AABCD.HJB.F.HJNNFE..KKFE V99 B99 E97 K99 
4 4 0	.VVC.E..BCDEAABCD..JB.F.HJNNF.HKK.F. V99 B99 E99 H99 
4 4 0	.VVC.E..BCDEAABCD.HJB.F.HJNNF.KK..F. V99 B99 E99 K99 
4 4 0	.VVC.E..BCDEAABCD.HJB.F.HJNNF...KKF. V99 B99 E99 K99 
4 4 0	.VVC....BCDEAABCDE.JB.F.HJNNF.H.KKF. V99 B99 H99 K99 
4 4 0	.VVC....BCDEAABCDEH.B.F.HJNNF..JKKF. V99 B99 J99 K99 
4 4 0	..VVD...BCDEAABC.EHJBCF.HJNNF..KK.F. V98 B99 C99 D99 
4 4 0	..VV....BCD.AABCDEHJBCFEHJNNF..KK.F. V98 B99 C99 E99 
4 4 0	..VV....BCD.AABCD.HJBCFEHJNNFE.KK.F. V98 B99 C99 E98 
4 4 0	..VV....BCD.AABCD.HJBCF.HJNNFE.KK.FE V98 B99 C99 E97 
4 4 0	..VV.E..BCDEAABCD.HJBCF.HJNNF..KK.F. V98 B99 C99 E99 
4 4 0	..VV....BCDEAABCDE.JBCF.HJNNF.HKK.F. V98 B99 C99 H99 
4 4 0	..VV....BCDEAABCDEHJBCF.HJNNF.KK..F. V98 B99 C99 K99 
4 4 0	..VV....BCDEAABCDEHJBCF.HJNNF...KKF. V98 B99 C99 K99 
4 4 0	..BVV...BCDEAABCDEHJ.CF.HJNNF..KK.F. V97 B98 C99 
4 4 0	...VV...BCD.AABCDEHJBCFEHJNNF..KK.F. V97 B99 C99 E99 
4 4 0	...VV...BCD.AABCD.HJBCFEHJNNFE.KK.F. V97 B99 C99 E98 
4 4 0	...VV...BCD.AABCD.HJBCF.HJNNFE.KK.FE V97 B99 C99 E97 
4 4 0	...VVE..BCDEAABCD.HJBCF.HJNNF..KK.F. V97 B99 C99 E99 
4 4 0	...VV...BCDEAABCDE.JBCF.HJNNF.HKK.F. V97 B99 C99 H99 
4 4 0	...VV...BCDEAABCDEHJBCF.HJNNF.KK..F. V97 B99 C99 K99 
4 4 0	...VV...BCDEAABCDEHJBCF.HJNNF...KKF. V97 B99 C99 K99 
4 4 0	..B.VV..BCDEAABCDEHJ.CF.HJNNF..KK.F. V96 B98 C99 
4 4 0	...CVV..BCDEAABCDEHJB.F.HJNNF..KK.F. V96 B99 C98 
4 4 0	....VV..BCD.AABCDEHJBCFEHJNNF..KK.F. V96 B99 C99 E99 
4 4 0	....VV..BCD.AABCD.HJBCFEHJNNFE.KK.F. V96 B99 C99 E98 
4 4 0	....VV..BCD.AABCD.HJBCF.HJNNFE.KK.FE V96 B99 C99 E97 
4 4 0	....VV..BCDEAABCDE.JBCF.HJNNF.HKK.F. V96 B99 C99 H99 
4 4 0	....VV..BCDEAABCDEHJBCF.HJNNF.KK..F. V96 B99 C99 K99 
4 4 0	....VV..BCDEAABCDEHJBCF.HJNNF...KKF. V96 B99 C99 K99 
4 4 0	VV..D...BCD.AABC.EHJBCFEHJNNF..KK.F. B99 C99 D99 E99 
4 4 0	VV..D...BCD.AABC..HJBCFEHJNNFE.KK.F. B99 C99 D99 E98 
4 4 0	VV..D...BCD.AABC..HJBCF.HJNNFE.KK.FE B99 C99 D99 E97 
4 4 0	VV..DE..BCDEAABC..HJBCF.HJNNF..KK.F. B99 C99 D99 E99 
4 4 0	VV..D...BCDEAABC.E.JBCF.HJNNF.HKK.F. B99 C99 D99 H99 
4 4 0	VV..D...BCDEAABCFEHJBCF.HJNNF..KK... B99 C99 D99 F99 
4 4 0	VV..D...BCDEAABC.EHJBCF.HJNNF.KK..F. B99 C99 D99 K99 
4 4 0	VV..D...BCDEAABC.EHJBCF.HJNNF...KKF. B99 C99 D99 K99 
4 4 0	VV......BCD.AABCDE.JBCFEHJNNF.HKK.F. B99 C99 E99 H99 
4 4 0	VV......BCD.AABCDEHJBCFEHJNNF.KK..F. B99 C99 E99 K99 
4 4 0	VV......BCD.AABCDEHJBCFEHJNNF...KKF. B99 C99 E99 K99 
4 4 0	VV......BCD.AABCD..JBCFEHJNNFEHKK.F. B99 C99 E98 H99 
4 4 0	VV......BCD.AABCD.HJBCFEHJNNFEKK..F. B99 C99 E98 K99 
4 4 0	VV......BCD.AABCD.HJBCFEHJNNFE..KKF. B99 C99 E98 K99 
4 4 0	VV......BCD.AABCD..JBCF.HJNNFEHKK.FE B99 C99 E97 H99 
4 4 0	VV......BCD.AABCD.HJBCF.HJNNFEKK..FE B99 C99 E97 K99 
4 4 0	VV......BCD.AABCD.HJBCF.HJNNFE..KKFE B99 C99 E97 K99 
4 4 0	VV...E..BCDEAABCD..JBCF.HJNNF.HKK.F. B99 C99 E99 H99 
4 4 0	VV...E..BCDEAABCD.HJBCF.HJNNF.KK..F. B99 C99 E99 K99 
4 4 0	VV...E..BCDEAABCD.HJBCF.HJNNF...KKF. B99 C99 E99 K99 
4 4 0	VV......BCDEAABCDE.JBCF.HJNNF.H.KKF. B99 C99 H99 K99 
4 4 0	VV......BCDEAABCDEH.BCF.HJNNF..JKKF. B99 C99 J99 K99 
4 4 0	VV.CD...BCD.AABC.E.JB.FEHJNNF.HKK.F. B99 D99 E99 H99 
4 4 0	VV.CD...BCD.AABCFEHJB.FEHJNNF..KK... B99 D99 E99 F99 
4 4 0	VV.CD...BCD.AABC.EHJB.FEHJNNF.KK..F. B99 D99 E99 K99 
4 4 0	VV.CD...BCD.AABC.EHJB.FEHJNNF...KKF. B99 D99 E99 K99 
4 4 0	VV.CD...BCD.AABC...JB.FEHJNNFEHKK.F. B99 D99 E98 H99 
4 4 0	VV.CD...BCD.AABCF.HJB.FEHJNNFE.KK... B99 D99 E98 F99 
4 4 0	VV.CD...BCD.AABC..HJB.FEHJNNFEKK..F. B99 D99 E98 K99 
4 4 0	VV.CD...BCD.AABC..HJB.FEHJNNFE..KKF. B99 D99 E98 K99 
4 4 0	VV.CD...BCD.AABC...JB.F.HJNNFEHKK.FE B99 D99 E97 H99 
4 4 0	VV.CD...BCD.AABCF.HJB.F.HJNNFE.KK..E B99 D99 E97 F99 
4 4 0	VV.CD...BCD.AABC..HJB.F.HJNNFEKK..FE B99 D99 E97 K99 
4 4 0	VV.CD...BCD.AABC..HJB.F.HJNNFE..KKFE B99 D99 E97 K99 
4 4 0	VV.CDE..BCDEAABC...JB.F.HJNNF.HKK.F. B99 D99 E99 H99 
4 4 0	VV.CDE..BCDEAABCF.HJB.F.HJNNF..KK... B99 D99 E99 F99 
4 4 0	VV.CDE..BCDEAABC..HJB.F.HJNNF.KK..F. B99 D99 E99 K99 
4 4 0	VV.CDE..BCDEAABC..HJB.F.HJNNF...KKF. B99 D99 E99 K99 
4 4 0	VV.CD...BCDEAABCFE.JB.F.HJNNF.HKK... B99 D99 H99 F99 
4 4 0	VV.CD...BCDEAABC.E.JB.F.HJNNF.H.KKF. B99 D99 H99 K99 
4 4 0	VV.CD...BCDEAABCFEHJB.F.HJNNF.KK.... B99 D99 F99 K99 
4 4 0	VV.CD...BCDEAABCFEHJB.F.HJNNF...KK.. B99 D99 F99 K99 
4 4 0	VV.CD...BCDEAABCFEHJB.F.HJNNF....KK. B99 D99 F99 K98 
4 4 0	VV.CD...BCDEAABCFEHJB.F.HJNNF.....KK B99 D99 F99 K97 
4 4 0	VV.CD...BCDEAABC.EH.B.F.HJNNF..JKKF. B99 D99 J99 K99 
4 4 0	VV.C....BCD.AABCDE.JB.FEHJNNF.H.KKF. B99 E99 H99 K99 
4 4 0	VV.C....BCD.AABCDEH.B.FEHJNNF..JKKF. B99 E99 J99 K99 
4 4 0	VV.C....BCD.AABCD..JB.FEHJNNFEH.KKF. B99 E98 H99 K99 
4 4 0	VV.C....BCD.AABCD.H.B.FEHJNNFE.JKKF. B99 E98 J99 K99 
4 4 0	VV.C....BCD.AABCD..JB.F.HJNNFEH.KKFE B99 E97 H99 K99 
4 4 0	VV.C....BCD.AABCD.H.B.F.HJNNFE.JKKFE B99 E97 J99 K99 
4 4 0	VV.C.E..BCDEAABCD..JB.F.HJNNF.H.KKF. B99 E99 H99 K99 
4 4 0	VV.C.E..BCDEAABCD.H.B.F.HJNNF..JKKF. B99 E99 J99 K99 
4 4 0	VV.C....BCDEAABCDE..B.F.HJNNF.HJKKF. B99 H99 J99 K99 
4 4 0	VVB.D...BCD.AABC.E.J.CFEHJNNF.HKK.F. C99 D99 E99 H99 
4 4 0	VVB.D...BCD.AABCFEHJ.CFEHJNNF..KK... C99 D99 E99 F99 
4 4 0	VVB.D...BCD.AABC.EHJ.CFEHJNNF.KK..F. C99 D99 E99 K99 
4 4 0	VVB.D...BCD.AABC.EHJ.CFEHJNNF...KKF. C99 D99 E99 K99 
4 4 0	VVB.D...BCD.AABC...J.CFEHJNNFEHKK.F. C99 D99 E98 H99 
4 4 0	VVB.D...BCD.AABCF.HJ.CFEHJNNFE.KK... C99 D99 E98 F99 
4 4 0	VVB.D...BCD.AABC..HJ.CFEHJNNFEKK..F. C99 D99 E98 K99 
4 4 0	VVB.D...BCD.AABC..HJ.CFEHJNNFE..KKF. C99 D99 E98 K99 
4 4 0	VVB.D...BCD.AABC...J.CF.HJNNFEHKK.FE C99 D99 E97 H99 
4 4 0	VVB.D...BCD.AABCF.HJ.CF.HJNNFE.KK..E C99 D99 E97 F99 
4 4 0	VVB.D...BCD.AABC..HJ.CF.HJNNFEKK..FE C99 D99 E97 K99 
4 4 0	VVB.D...BCD.AABC..HJ.CF.HJNNFE..KKFE C99 D99 E97 K99 
4 4 0	VVB.DE..BCDEAABC...J.CF.HJNNF.HKK.F. C99 D99 E99 H99 
4 4 0	VVB.DE..BCDEAABCF.HJ.CF.HJNNF..KK... C99 D99 E99 F99 
4 4 0	VVB.DE..BCDEAABC..HJ.CF.HJNNF.KK..F. C99 D99 E99 K99 
4 4 0	VVB.DE..BCDEAABC..HJ.CF.HJNNF...KKF. C99 D99 E99 K99 
4 4 0	VVB.D...BCDEAABCFE.J.CF.HJNNF.HKK... C99 D99 H99 F99 
4 4 0	VVB.D...BCDEAABC.E.J.CF.HJNNF.H.KKF. C99 D99 H99 K99 
4 4 0	VVB.D...BCDEAABCFEHJ.CF.HJNNF.KK.... C99 D99 F99 K99 
4 4 0	VVB.D...BCDEAABCFEHJ.CF.HJNNF...KK.. C99 D99 F99 K99 
4 4 0	VVB.D...BCDEAABCFEHJ.CF.HJNNF....KK. C99 D99 F99 K98 
4 4 0	VVB.D...BCDEAABCFEHJ.CF.HJNNF.....KK C99 D99 F99 K97 
4 4 0	VVB.D...BCDEAABC.EH..CF.HJNNF..JKKF. C99 D99 J99 K99 
4 4 0	VVB.....BCD.AABCDE.J.CFEHJNNF.H.KKF. C99 E99 H99 K99 
4 4 0	VVB.....BCD.AABCDEH..CFEHJNNF..JKKF. C99 E99 J99 K99 
4 4 0	VVB.....BCD.AABCD..J.CFEHJNNFEH.KKF. C99 E98 H99 K99 
4 4 0	VVB.....BCD.AABCD.H..CFEHJNNFE.JKKF. C99 E98 J99 K99 
4 4 0	VVB.....BCD.AABCD..J.CF.HJNNFEH.KKFE C99 E97 H99 K99 
4 4 0	VVB.....BCD.AABCD.H..CF.HJNNFE.JKKFE C99 E97 J99 K99 
4 4 0	VVB..E..BCDEAABCD..J.CF.HJNNF.H.KKF. C99 E99 H99 K99 
4 4 0	VVB..E..BCDEAABCD.H..CF.HJNNF..JKKF. C99 E99 J99 K99 
4 4 0	VVB.....BCDEAABCDE...CF.HJNNF.HJKKF. C99 H99 J99 K99 
4 4 0	VVBCD...BCD.AABCFE.J..FEHJNNF.HKK... D99 E99 H99 F99 
4 4 0	VVBCD...BCD.AABC.E.J..FEHJNNF.H.KKF. D99 E99 H99 K99 
4 4 0	VVBCD...BCD.AABCFEHJ..FEHJNNF.KK.... D99 E99 F99 K99 
