0 0 0	.C....BC.PTUBAAPTUYYYOTU...O.....KK. 
2 2 0	.C.P..BC.PT.BAA.T.YYYOTU...O.U...KKU P99 U98 
2 2 0	.C.P.UBC.PTUBAA.TUYYYOT....O.....KK. P99 U99 
2 2 0	.C.P..BC.PTUB.AATUYYYOTU...O.....KK. P99 A99 
2 2 0	.C.P..BC.PTUBAAOTUYYYOTU.........KK. P99 O99 
2 2 0	.C.P..BC.PTUBAA.TUYYYOTU...O....KK.. P99 K99 
2 2 0	.C.P..BC.PTUBAA.TUYYYOTU...O...KK... P99 K98 
2 2 0	.C.P..BC.PTUBAA.TUYYYOTU...O..KK.... P99 K97 
2 2 0	.C.P..BC.PTUBAA.TUYYYOTU...O......KK P99 K99 
2 2 0	.C....BC.P..BAAPTUYYYOTU...OTU...KK. T99 U99 
2 2 0	.C....BC.P..BAAPT.YYYOTU...OTU...KKU T99 U98 
2 2 0	.C...UBC.P.UBAAPTUYYYOT....OT....KK. T99 U99 
2 2 0	.C....BC.P.UBAAPTUYYYOTU...OT...KK.. T99 K99 
2 2 0	.C....BC.P.UBAAPTUYYYOTU...OT..KK... T99 K98 
2 2 0	.C....BC.P.UBAAPTUYYYOTU...OT.KK.... T99 K97 
2 2 0	.C....BC.P.UBAAPTUYYYOTU...OT.....KK T99 K99 
2 2 0	.C..T.BC.PT.BAAPTUYYYO.U...O.U...KK. T99 U99 
2 2 0	.C..T.BC.PT.BAAPT.YYYO.U...O.U...KKU T99 U98 
2 2 0	.C..TUBC.PTUBAAPTUYYYO.....O.....KK. T99 U99 
2 2 0	.C..T.BC.PTUBAAPTUYYYO.U...O....KK.. T99 K99 
2 2 0	.C..T.BC.PTUBAAPTUYYYO.U...O...KK... T99 K98 
2 2 0	.C..T.BC.PTUBAAPTUYYYO.U...O..KK.... T99 K97 
2 2 0	.C..T.BC.PTUBAAPTUYYYO.U...O......KK T99 K99 
2 2 0	.C....BC.PT.BAAPTUYYYOTU...O.U..KK.. U99 K99 
2 2 0	.C....BC.PT.BAAPTUYYYOTU...O.U.KK... U99 K98 
2 2 0	.C....BC.PT.BAAPTUYYYOTU...O.UKK.... U99 K97 
2 2 0	.C....BC.PT.BAAPTUYYYOTU...O.U....KK U99 K99 
2 2 0	.C....BC.PT.BAAPT.YYYOTU...O.U..KK.U U98 K99 
2 2 0	.C....BC.PT.BAAPT.YYYOTU...O.U.KK..U U98 K98 
2 2 0	.C....BC.PT.BAAPT.YYYOTU...O.UKK...U U98 K97 
2 2 0	.C...UBC.PTUBAAPTUYYYOT....O....KK.. U99 K99 
2 2 0	.C...UBC.PTUBAAPTUYYYOT....O...KK... U99 K98 
2 2 0	.C...UBC.PTUBAAPTUYYYOT....O..KK.... U99 K97 
2 2 0	.C...UBC.PTUBAAPTUYYYOT....O......KK U99 K99 
2 2 0	.C....BC.P.UBAAP.UYYYOTU...OT...KKT. T98 K99 
2 2 0	.C....BC.P.UBAAP.UYYYOTU...OT..KK.T. T98 K98 
2 2 0	.C....BC.PTUBAAPTUYYY.TU...O...KKO.. O99 K98 
2 2 0	.C....BC.P.UBAAP.UYYYOTU...OT.KK..T. T98 K97 
2 2 0	.C....BC.PTUBAAPTUYYY.TU...O..KK.O.. O99 K97 
2 2 0	.C....BC.PTUBAAPTUYYY.TU...O.....OKK O99 K99 
3 3 0	BC.P..BC.P.U.AA.TUYYYOTU...OT....KK. B99 P99 T99 
3 3 0	BC.PT.BC.PTU.AA.TUYYYO.U...O.....KK. B99 P99 T99 
3 3 0	BC.P..BC.PT..AA.TUYYYOTU...O.U...KK. B99 P99 U99 
3 3 0	BC.P..BC.PT..AA.T.YYYOTU...O.U...KKU B99 P99 U98 
3 3 0	BC.P.UBC.PTU.AA.TUYYYOT....O.....KK. B99 P99 U99 
3 3 0	BC.P..BC.PTUAA..TUYYYOTU...O.....KK. B99 P99 A99 
3 3 0	BC.P..BC.PTU..AATUYYYOTU...O.....KK. B99 P99 A99 
3 3 0	BC.P..BC.PTU.AAOTUYYYOTU.........KK. B99 P99 O99 
3 3 0	BC.P..BC.PTU.AA.TUYYYOTU...O....KK.. B99 P99 K99 
3 3 0	BC.P..BC.PTU.AA.TUYYYOTU...O...KK... B99 P99 K98 
3 3 0	BC.P..BC.PTU.AA.TUYYYOTU...O..KK.... B99 P99 K97 
3 3 0	BC.P..BC.PTU.AA.TUYYYOTU...O......KK B99 P99 K99 
3 3 0	BC....BC.P...AAPTUYYYOTU...OTU...KK. B99 T99 U99 
3 3 0	BC....BC.P...AAPT.YYYOTU...OTU...KKU B99 T99 U98 
3 3 0	BC...UBC.P.U.AAPTUYYYOT....OT....KK. B99 T99 U99 
3 3 0	BC....BC.P.UAA.PTUYYYOTU...OT....KK. B99 T99 A99 
3 3 0	BC....BC.P.U.AAPTUYYYOTU...OT...KK.. B99 T99 K99 
3 3 0	BC....BC.P.U.AAPTUYYYOTU...OT..KK... B99 T99 K98 
3 3 0	BC....BC.P.U.AAPTUYYYOTU...OT.KK.... B99 T99 K97 
3 3 0	BC....BC.P.U.AAPTUYYYOTU...OT.....KK B99 T99 K99 
3 3 0	BC..T.BC.PT..AAPTUYYYO.U...O.U...KK. B99 T99 U99 
3 3 0	BC..T.BC.PT..AAPT.YYYO.U...O.U...KKU B99 T99 U98 
3 3 0	BC..TUBC.PTU.AAPTUYYYO.....O.....KK. B99 T99 U99 
3 3 0	BC..T.BC.PTUAA.PTUYYYO.U...O.....KK. B99 T99 A99 
3 3 0	BC..T.BC.PTU.AAPTUYYYO.U...O....KK.. B99 T99 K99 
3 3 0	BC..T.BC.PTU.AAPTUYYYO.U...O...KK... B99 T99 K98 
3 3 0	BC..T.BC.PTU.AAPTUYYYO.U...O..KK.... B99 T99 K97 
3 3 0	BC..T.BC.PTU.AAPTUYYYO.U...O......KK B99 T99 K99 
3 3 0	BC....BC.PT.AA.PTUYYYOTU...O.U...KK. B99 U99 A99 
3 3 0	BC....BC.PT..AAPTUYYYOTU...O.U..KK.. B99 U99 K99 
3 3 0	BC....BC.PT..AAPTUYYYOTU...O.U.KK... B99 U99 K98 
3 3 0	BC....BC.PT..AAPTUYYYOTU...O.UKK.... B99 U99 K97 
3 3 0	BC....BC.PT..AAPTUYYYOTU...O.U....KK B99 U99 K99 
3 3 0	BC....BC.PT.AA.PT.YYYOTU...O.U...KKU B99 U98 A99 
3 3 0	BC....BC.PT..AAPT.YYYOTU...O.U..KK.U B99 U98 K99 
3 3 0	BC....BC.PT..AAPT.YYYOTU...O.U.KK..U B99 U98 K98 
3 3 0	BC....BC.PT..AAPT.YYYOTU...O.UKK...U B99 U98 K97 
3 3 0	BC...UBC.PTUAA.PTUYYYOT....O.....KK. B99 U99 A99 
3 3 0	BC...UBC.PTU.AAPTUYYYOT....O....KK.. B99 U99 K99 
3 3 0	BC...UBC.PTU.AAPTUYYYOT....O...KK... B99 U99 K98 
3 3 0	BC...UBC.PTU.AAPTUYYYOT....O..KK.... B99 U99 K97 
3 3 0	BC...UBC.PTU.AAPTUYYYOT....O......KK B99 U99 K99 
3 3 0	BC....BC.PTUAA.PTUYYYOTU...O....KK.. B99 A99 K99 
3 3 0	BC....BC.PTUAA.PTUYYYOTU...O...KK... B99 A99 K98 
3 3 0	BC....BC.PTUAA.PTUYYYOTU...O..KK.... B99 A99 K97 
3 3 0	BC....BC.PTUAA.PTUYYYOTU...O......KK B99 A99 K99 
3 3 0	BC....BC.P.U.AAP.UYYYOTU...OT...KKT. B99 T98 K99 
3 3 0	BC....BC.P.U.AAP.UYYYOTU...OT..KK.T. B99 T98 K98 
3 3 0	BC....BC.PTU.AAPTUYYY.TU...O...KKO.. B99 O99 K98 
3 3 0	BC....BC.P.U.AAP.UYYYOTU...OT.KK..T. B99 T98 K97 
3 3 0	BC....BC.PTU.AAPTUYYY.TU...O..KK.O.. B99 O99 K97 
3 3 0	BC....BC.PTU.AAPTUYYY.TU...O.....OKK B99 O99 K99 
3 3 0	.C.P..BC.P..BAA.TUYYYOTU...OTU...KK. P99 T99 U99 
3 3 0	.C.P..BC.P..BAA.T.YYYOTU...OTU...KKU P99 T99 U98 
3 3 0	.C.P.UBC.P.UBAA.TUYYYOT....OT....KK. P99 T99 U99 
3 3 0	.C.P..BC.P.UB.AATUYYYOTU...OT....KK. P99 T99 A99 
3 3 0	.C.P..BC.P.UBAAOTUYYYOTU....T....KK. P99 T99 O99 
3 3 0	.C.P..BC.P.UBAA.TUYYYOTU...OT...KK.. P99 T99 K99 
3 3 0	.C.P..BC.P.UBAA.TUYYYOTU...OT..KK... P99 T99 K98 
3 3 0	.C.P..BC.P.UBAA.TUYYYOTU...OT.KK.... P99 T99 K97 
3 3 0	.C.P..BC.P.UBAA.TUYYYOTU...OT.....KK P99 T99 K99 
3 3 0	.C.PT.BC.PT.BAA.TUYYYO.U...O.U...KK. P99 T99 U99 
3 3 0	.C.PT.BC.PT.BAA.T.YYYO.U...O.U...KKU P99 T99 U98 
3 3 0	.C.PTUBC.PTUBAA.TUYYYO.....O.....KK. P99 T99 U99 
3 3 0	.C.PT.BC.PTUB.AATUYYYO.U...O.....KK. P99 T99 A99 
3 3 0	.C.PT.BC.PTUBAAOTUYYYO.U.........KK. P99 T99 O99 
3 3 0	.C.PT.BC.PTUBAA.TUYYYO.U...O....KK.. P99 T99 K99 
3 3 0	.C.PT.BC.PTUBAA.TUYYYO.U...O...KK... P99 T99 K98 
3 3 0	.C.PT.BC.PTUBAA.TUYYYO.U...O..KK.... P99 T99 K97 
3 3 0	.C.PT.BC.PTUBAA.TUYYYO.U...O......KK P99 T99 K99 
3 3 0	.C.P..BC.PT.B.AATUYYYOTU...O.U...KK. P99 U99 A99 
3 3 0	.C.P..BC.PT.BAAOTUYYYOTU.....U...KK. P99 U99 O99 
3 3 0	.C.P..BC.PT.BAA.TUYYYOTU...O.U..KK.. P99 U99 K99 
3 3 0	.C.P..BC.PT.BAA.TUYYYOTU...O.U.KK... P99 U99 K98 
3 3 0	.C.P..BC.PT.BAA.TUYYYOTU...O.UKK.... P99 U99 K97 
3 3 0	.C.P..BC.PT.BAA.TUYYYOTU...O.U....KK P99 U99 K99 
3 3 0	.C.P..BC.PT.B.AAT.YYYOTU...O.U...KKU P99 U98 A99 
3 3 0	.C.P..BC.PT.BAAOT.YYYOTU.....U...KKU P99 U98 O99 
3 3 0	.C.P..BC.PT.BAA.T.YYYOTU...O.U..KK.U P99 U98 K99 
3 3 0	.C.P..BC.PT.BAA.T.YYYOTU...O.U.KK..U P99 U98 K98 
3 3 0	.C.P..BC.PT.BAA.T.YYYOTU...O.UKK...U P99 U98 K97 
3 3 0	.C.P.UBC.PTUB.AATUYYYOT....O.....KK. P99 U99 A99 
3 3 0	.C.P.UBC.PTUBAAOTUYYYOT..........KK. P99 U99 O99 
3 3 0	.C.P.UBC.PTUBAA.TUYYYOT....O....KK.. P99 U99 K99 
3 3 0	.C.P.UBC.PTUBAA.TUYYYOT....O...KK... P99 U99 K98 
3 3 0	.C.P.UBC.PTUBAA.TUYYYOT....O..KK.... P99 U99 K97 
3 3 0	.C.P.UBC.PTUBAA.TUYYYOT....O......KK P99 U99 K99 
3 3 0	...P..BC.PTUBCAATUYYYOTU...O.....KK. C99 P99 A99 
3 3 0	.C.P..BC.PTUB.AATUYYYOTU...O....KK.. P99 A99 K99 
3 3 0	.C.P..BC.PTUB.AATUYYYOTU...O...KK... P99 A99 K98 
3 3 0	.C.P..BC.PTUB.AATUYYYOTU...O..KK.... P99 A99 K97 
3 3 0	.C.P..BC.PTUB.AATUYYYOTU...O......KK P99 A99 K99 
3 3 0	.C.P..BC.PTUBAAOTUYYYOTU........KK.. P99 O99 K99 
3 3 0	.C.P..BC.PTUBAAOTUYYYOTU.......KK... P99 O99 K98 
3 3 0	.C.P..BC.PTUBAAOTUYYYOTU......KK.... P99 O99 K97 
3 3 0	.C.P..BC.PTUBAAOTUYYYOTU..........KK P99 O99 K99 
3 3 0	.C.P..BC.P.UBAA..UYYYOTU...OT...KKT. P99 T98 K99 
3 3 0	.C.P..BC.P.UBAA..UYYYOTU...OT..KK.T. P99 T98 K98 
3 3 0	.C.P..BC.PTUBAA.TUYYY.TU...O...KKO.. P99 O99 K98 
3 3 0	.C.P..BC.P.UBAA..UYYYOTU...OT.KK..T. P99 T98 K97 
3 3 0	.C.P..BC.PTUBAA.TUYYY.TU...O..KK.O.. P99 O99 K97 
3 3 0	.C.P..BC.PTUBAA.TUYYY.TU...O.....OKK P99 O99 K99 
3 3 0	.C....BC.P..BAAPTUYYYOTU...OTU..KK.. T99 U99 K99 
3 3 0	.C....BC.P..BAAPTUYYYOTU...OTU.KK... T99 U99 K98 
3 3 0	.C....BC.P..BAAPTUYYYOTU...OTUKK.... T99 U99 K97 
3 3 0	.C....BC.P..BAAPTUYYYOTU...OTU....KK T99 U99 K99 
3 3 0	.C....BC.P..BAAPT.YYYOTU...OTU..KK.U T99 U98 K99 
3 3 0	.C....BC.P..BAAPT.YYYOTU...OTU.KK..U T99 U98 K98 
3 3 0	.C....BC.P..BAAPT.YYYOTU...OTUKK...U T99 U98 K97 
3 3 0	.C...UBC.P.UBAAPTUYYYOT....OT...KK.. T99 U99 K99 
3 3 0	.C...UBC.P.UBAAPTUYYYOT....OT..KK... T99 U99 K98 
3 3 0	.C...UBC.P.UBAAPTUYYYOT....OT.KK.... T99 U99 K97 
3 3 0	.C...UBC.P.UBAAPTUYYYOT....OT.....KK T99 U99 K99 
3 3 0	.C....BC.P.UBAAPTUYYY.TU...OT..KKO.. T99 O99 K98 
3 3 0	.C....BC.P.UBAAPTUYYY.TU...OT.KK.O.. T99 O99 K97 
3 3 0	.C....BC.P.UBAAPTUYYY.TU...OT....OKK T99 O99 K99 
3 3 0	.C..T.BC.PT.BAAPTUYYYO.U...O.U..KK.. T99 U99 K99 
3 3 0	.C..T.BC.PT.BAAPTUYYYO.U...O.U.KK... T99 U99 K98 
3 3 0	.C..T.BC.PT.BAAPTUYYYO.U...O.UKK.... T99 U99 K97 
3 3 0	.C..T.BC.PT.BAAPTUYYYO.U...O.U....KK T99 U99 K99 
3 3 0	.C..T.BC.PT.BAAPT.YYYO.U...O.U..KK.U T99 U98 K99 
3 3 0	.C..T.BC.PT.BAAPT.YYYO.U...O.U.KK..U T99 U98 K98 
3 3 0	.C..T.BC.PT.BAAPT.YYYO.U...O.UKK...U T99 U98 K97 
3 3 0	.C..TUBC.PTUBAAPTUYYYO.....O....KK.. T99 U99 K99 
3 3 0	.C..TUBC.PTUBAAPTUYYYO.....O...KK... T99 U99 K98 
3 3 0	.C..TUBC.PTUBAAPTUYYYO.....O..KK.... T99 U99 K97 
3 3 0	.C..TUBC.PTUBAAPTUYYYO.....O......KK T99 U99 K99 
3 3 0	.C..T.BC.PTUBAAPTUYYY..U...O...KKO.. T99 O99 K98 
3 3 0	.C..T.BC.PTUBAAPTUYYY..U...O..KK.O.. T99 O99 K97 
3 3 0	.C..T.BC.PTUBAAPTUYYY..U...O.....OKK T99 O99 K99 
3 3 0	.C....BC.P..BAAP.UYYYOTU...OTU..KKT. T98 U99 K99 
3 3 0	.C....BC.P..BAAP.UYYYOTU...OTU.KK.T. T98 U99 K98 
3 3 0	.C....BC.PT.BAAPTUYYY.TU...O.U.KKO.. U99 O99 K98 
3 3 0	.C....BC.P..BAAP.UYYYOTU...OTUKK..T. T98 U99 K97 
3 3 0	.C....BC.PT.BAAPTUYYY.TU...O.UKK.O.. U99 O99 K97 
3 3 0	.C....BC.PT.BAAPTUYYY.TU...O.U...OKK U99 O99 K99 
3 3 0	.C....BC.P..BAAP..YYYOTU...OTU..KKTU T98 U98 K99 
3 3 0	.C....BC.P..BAAP..YYYOTU...OTU.KK.TU T98 U98 K98 
3 3 0	.C....BC.PT.BAAPT.YYY.TU...O.U.KKO.U U98 O99 K98 
3 3 0	.C....BC.P..BAAP..YYYOTU...OTUKK..TU T98 U98 K97 
3 3 0	.C....BC.PT.BAAPT.YYY.TU...O.UKK.O.U U98 O99 K97 
3 3 0	.C...UBC.P.UBAAP.UYYYOT....OT...KKT. T98 U99 K99 
3 3 0	.C...UBC.P.UBAAP.UYYYOT....OT..KK.T. T98 U99 K98 
3 3 0	.C...UBC.PTUBAAPTUYYY.T....O...KKO.. U99 O99 K98 
3 3 0	.C...UBC.P.UBAAP.UYYYOT....OT.KK..T. T98 U99 K97 
3 3 0	.C...UBC.PTUBAAPTUYYY.T....O..KK.O.. U99 O99 K97 
3 3 0	.C...UBC.PTUBAAPTUYYY.T....O.....OKK U99 O99 K99 
3 3 0	.C....BC.P.UBAAP.UYYY.TU...OT..KKOT. T98 O99 K98 
3 3 0	.C....BC..TUBAAPTUYYYPTU...O...KKO.. P99 O99 K98 
3 3 0	.C....BC.PTUBAAPTU.YYYTU...O...KKO.. Y99 O99 K98 
3 3 0	.C....BC.P.UBAAP.UYYY.TU...OT.KK.OT. T98 O99 K97 
3 3 0	.C....BC..TUBAAPTUYYYPTU...O..KK.O.. P99 O99 K97 
3 3 0	.C....BC.PTUBAAPTU.YYYTU...O..KK.O.. Y99 O99 K97 
3 3 0	.C....BC..TUBAAPTUYYYPTU...O.....OKK P99 O99 K99 
3 3 0	.C....BC.PTUBAAPTU.YYYTU...O.....OKK Y99 O99 K99 
4 4 0	BC.P..BC.P...AA.TUYYYOTU...OTU...KK. B99 P99 T99 U99 
4 4 0	BC.P..BC.P...AA.T.YYYOTU...OTU...KKU B99 P99 T99 U98 
4 4 0	BC.P.UBC.P.U.AA.TUYYYOT....OT....KK. B99 P99 T99 U99 
4 4 0	BC.P..BC.P.UAA..TUYYYOTU...OT....KK. B99 P99 T99 A99 
4 4 0	BC.P..BC.P.U..AATUYYYOTU...OT....KK. B99 P99 T99 A99 
4 4 0	BC.P..BC.P.U.AAOTUYYYOTU....T....KK. B99 P99 T99 O99 
4 4 0	BC.P..BC.P.U.AA.TUYYYOTU...OT...KK.. B99 P99 T99 K99 
4 4 0	BC.P..BC.P.U.AA.TUYYYOTU...OT..KK... B99 P99 T99 K98 
4 4 0	BC.P..BC.P.U.AA.TUYYYOTU...OT.KK.... B99 P99 T99 K97 
4 4 0	BC.P..BC.P.U.AA.TUYYYOTU...OT.....KK B99 P99 T99 K99 
4 4 0	BC.PT.BC.PT..AA.TUYYYO.U...O.U...KK. B99 P99 T99 U99 
4 4 0	BC.PT.BC.PT..AA.T.YYYO.U...O.U...KKU B99 P99 T99 U98 
4 4 0	BC.PTUBC.PTU.AA.TUYYYO.....O.....KK. B99 P99 T99 U99 
4 4 0	BC.PT.BC.PTUAA..TUYYYO.U...O.....KK. B99 P99 T99 A99 
4 4 0	BC.PT.BC.PTU..AATUYYYO.U...O.....KK. B99 P99 T99 A99 
4 4 0	BC.PT.BC.PTU.AAOTUYYYO.U.........KK. B99 P99 T99 O99 
4 4 0	BC.PT.BC.PTU.AA.TUYYYO.U...O....KK.. B99 P99 T99 K99 
4 4 0	BC.PT.BC.PTU.AA.TUYYYO.U...O...KK... B99 P99 T99 K98 
4 4 0	BC.PT.BC.PTU.AA.TUYYYO.U...O..KK.... B99 P99 T99 K97 
4 4 0	BC.PT.BC.PTU.AA.TUYYYO.U...O......KK B99 P99 T99 K99 
4 4 0	BC.P..BC.PT.AA..TUYYYOTU...O.U...KK. B99 P99 U99 A99 
4 4 0	BC.P..BC.PT...AATUYYYOTU...O.U...KK. B99 P99 U99 A99 
4 4 0	BC.P..BC.PT..AAOTUYYYOTU.....U...KK. B99 P99 U99 O99 
4 4 0	BC.P..BC.PT..AA.TUYYYOTU...O.U..KK.. B99 P99 U99 K99 
4 4 0	BC.P..BC.PT..AA.TUYYYOTU...O.U.KK... B99 P99 U99 K98 
4 4 0	BC.P..BC.PT..AA.TUYYYOTU...O.UKK.... B99 P99 U99 K97 
4 4 0	BC.P..BC.PT..AA.TUYYYOTU...O.U....KK B99 P99 U99 K99 
4 4 0	BC.P..BC.PT.AA..T.YYYOTU...O.U...KKU B99 P99 U98 A99 
4 4 0	BC.P..BC.PT...AAT.YYYOTU...O.U...KKU B99 P99 U98 A99 
4 4 0	BC.P..BC.PT..AAOT.YYYOTU.....U...KKU B99 P99 U98 O99 
4 4 0	BC.P..BC.PT..AA.T.YYYOTU...O.U..KK.U B99 P99 U98 K99 
4 4 0	BC.P..BC.PT..AA.T.YYYOTU...O.U.KK..U B99 P99 U98 K98 
4 4 0	BC.P..BC.PT..AA.T.YYYOTU...O.UKK...U B99 P99 U98 K97 
4 4 0	BC.P.UBC.PTUAA..TUYYYOT....O.....KK. B99 P99 U99 A99 
4 4 0	BC.P.UBC.PTU..AATUYYYOT....O.....KK. B99 P99 U99 A99 
4 4 0	BC.P.UBC.PTU.AAOTUYYYOT..........KK. B99 P99 U99 O99 
4 4 0	BC.P.UBC.PTU.AA.TUYYYOT....O....KK.. B99 P99 U99 K99 
4 4 0	BC.P.UBC.PTU.AA.TUYYYOT....O...KK... B99 P99 U99 K98 
4 4 0	BC.P.UBC.PTU.AA.TUYYYOT....O..KK.... B99 P99 U99 K97 
4 4 0	BC.P.UBC.PTU.AA.TUYYYOT....O......KK B99 P99 U99 K99 
4 4 0	BC.P..BC.PTUAA.OTUYYYOTU.........KK. B99 P99 A99 O99 
4 4 0	BC.P..BC.PTUAA..TUYYYOTU...O....KK.. B99 P99 A99 K99 
4 4 0	BC.P..BC.PTUAA..TUYYYOTU...O...KK... B99 P99 A99 K98 
4 4 0	BC.P..BC.PTUAA..TUYYYOTU...O..KK.... B99 P99 A99 K97 
4 4 0	BC.P..BC.PTUAA..TUYYYOTU...O......KK B99 P99 A99 K99 
4 4 0	B..P..BC.PTU.CAATUYYYOTU...O.....KK. C99 B99 P99 A99 
4 4 0	BC.P..BC.PTU..AATUYYYOTU...O....KK.. B99 P99 A99 K99 
4 4 0	BC.P..BC.PTU..AATUYYYOTU...O...KK... B99 P99 A99 K98 
4 4 0	BC.P..BC.PTU..AATUYYYOTU...O..KK.... B99 P99 A99 K97 
4 4 0	BC.P..BC.PTU..AATUYYYOTU...O......KK B99 P99 A99 K99 
4 4 0	BC.P..BC.PTU.AAOTUYYYOTU........KK.. B99 P99 O99 K99 
4 4 0	BC.P..BC.PTU.AAOTUYYYOTU.......KK... B99 P99 O99 K98 
4 4 0	BC.P..BC.PTU.AAOTUYYYOTU......KK.... B99 P99 O99 K97 
4 4 0	BC.P..BC.PTU.AAOTUYYYOTU..........KK B99 P99 O99 K99 
4 4 0	BC.P..BC.P.U.AA..UYYYOTU...OT...KKT. B99 P99 T98 K99 
4 4 0	BC.P..BC.P.U.AA..UYYYOTU...OT..KK.T. B99 P99 T98 K98 
4 4 0	BC.P..BC.PTU.AA.TUYYY.TU...O...KKO.. B99 P99 O99 K98 
4 4 0	BC.P..BC.P.U.AA..UYYYOTU...OT.KK..T. B99 P99 T98 K97 
4 4 0	BC.P..BC.PTU.AA.TUYYY.TU...O..KK.O.. B99 P99 O99 K97 
4 4 0	BC.P..BC.PTU.AA.TUYYY.TU...O.....OKK B99 P99 O99 K99 
4 4 0	BC....BC.P..AA.PTUYYYOTU...OTU...KK. B99 T99 U99 A99 
4 4 0	BC....BC.P...AAPTUYYYOTU...OTU..KK.. B99 T99 U99 K99 
4 4 0	BC....BC.P...AAPTUYYYOTU...OTU.KK... B99 T99 U99 K98 
4 4 0	BC....BC.P...AAPTUYYYOTU...OTUKK.... B99 T99 U99 K97 
4 4 0	BC....BC.P...AAPTUYYYOTU...OTU....KK B99 T99 U99 K99 
4 4 0	BC....BC.P..AA.PT.YYYOTU...OTU...KKU B99 T99 U98 A99 
4 4 0	BC....BC.P...AAPT.YYYOTU...OTU..KK.U B99 T99 U98 K99 
4 4 0	BC....BC.P...AAPT.YYYOTU...OTU.KK..U B99 T99 U98 K98 
4 4 0	BC....BC.P...AAPT.YYYOTU...OTUKK...U B99 T99 U98 K97 
4 4 0	BC...UBC.P.UAA.PTUYYYOT....OT....KK. B99 T99 U99 A99 
4 4 0	BC...UBC.P.U.AAPTUYYYOT....OT...KK.. B99 T99 U99 K99 
4 4 0	BC...UBC.P.U.AAPTUYYYOT....OT..KK... B99 T99 U99 K98 
4 4 0	BC...UBC.P.U.AAPTUYYYOT....OT.KK.... B99 T99 U99 K97 
4 4 0	BC...UBC.P.U.AAPTUYYYOT....OT.....KK B99 T99 U99 K99 
4 4 0	BC....BC.P.UAA.PTUYYYOTU...OT...KK.. B99 T99 A99 K99 
4 4 0	BC....BC.P.UAA.PTUYYYOTU...OT..KK... B99 T99 A99 K98 
4 4 0	BC....BC.P.UAA.PTUYYYOTU...OT.KK.... B99 T99 A99 K97 
4 4 0	BC....BC.P.UAA.PTUYYYOTU...OT.....KK B99 T99 A99 K99 
4 4 0	BC....BC.P.U.AAPTUYYY.TU...OT..KKO.. B99 T99 O99 K98 
4 4 0	BC....BC.P.U.AAPTUYYY.TU...OT.KK.O.. B99 T99 O99 K97 
4 4 0	BC....BC.P.U.AAPTUYYY.TU...OT....OKK B99 T99 O99 K99 
4 4 0	BC..T.BC.PT.AA.PTUYYYO.U...O.U...KK. B99 T99 U99 A99 
4 4 0	BC..T.BC.PT..AAPTUYYYO.U...O.U..KK.. B99 T99 U99 K99 
4 4 0	BC..T.BC.PT..AAPTUYYYO.U...O.U.KK... B99 T99 U99 K98 
4 4 0	BC..T.BC.PT..AAPTUYYYO.U...O.UKK.... B99 T99 U99 K97 
4 4 0	BC..T.BC.PT..AAPTUYYYO.U...O.U....KK B99 T99 U99 K99 
4 4 0	BC..T.BC.PT.AA.PT.YYYO.U...O.U...KKU B99 T99 U98 A99 
4 4 0	BC..T.BC.PT..AAPT.YYYO.U...O.U..KK.U B99 T99 U98 K99 
