3 0 3	.CCBBBHH.FL..AAFLY...FLYG.DUU.G.DEE. C99 
8 6 2	.CCBBB..HHL.GAA.LYG.DFLY..DFUU.EEF.. H98 F98 G98 D99 U99 E98 
8 5 3	.CCBBBHHDFL.AADFL....FL.G..UUYG.EE.Y A99 Y98 D97 E99 
8 5 3	.CCBBBHH.FL.AA.FLYG.DFLYG.D.UU..EE.. A99 G99 D99 U99 E99 
8 6 2	CC.BBBGHHFL.GAAFL...DFLY..DUUY..EE.. C99 H99 Y99 G97 D99 E99 
8 6 2	.CCBBB.HHFL.AA.FL.G.DFLYG.DUUYEE.... H99 A99 Y99 G99 D99 E97 
8 6 2	CCDBBBHHDFL.AA.FL....FL.G.UU.YG.EE.Y C99 A99 D96 U99 Y98 E99 
8 6 2	CCDBBBHHDFL..AAFL....FL.G..UUYG.EE.Y C99 A98 D96 Y98 E99 
8 5 3	CCBBB..HHFL..AAFLYG..FLYG.DUU...D.EE C99 B99 H99 G99 E99 
8 6 2	CCDBBBHHDFL..AAFL....FLYGUU..YG..EE. C99 A98 Y99 D96 U98 
8 6 2	CCDBBBHHDF..AA.FL....FLYGUU.LYG..EE. C99 L99 A99 Y99 D96 U98 
8 5 3	.CCBBBHH.FL.AADFL...DFL.G..UUYG.EE.Y A99 Y98 D98 E99 
8 5 3	.CCBBB.HHFLY.AAFLYG.DFL.G.DUU.....EE H99 Y99 G99 D99 E99 
8 6 2	CCDBBBHHD.L.AA.FL....FLYGUUF.YG..EE. C99 F99 A99 Y99 D96 U98 
8 6 2	CC.BBBHH.FL.AA.FL.G.DFLYG.DUUY..EE.. C99 A99 Y99 G99 D99 E99 
8 6 2	CC.BBBHH..L...AALY..DFLYG.DFUUGEEF.. C99 A99 D99 F98 U99 E98 
8 6 2	CC.BBBHH..L.AA..LY..DFLYG.DFUUGEEF.. C99 A99 D99 F98 U99 E98 
8 6 2	CC.BBBGHHFL.GAAFL...DFL...DUUY..EE.Y C99 H99 D99 G97 Y98 E99 
8 5 3	.CCBBB.HHFLYAA.FLYG..FL.G.DUU...D.EE H99 A99 Y99 G99 E99 
8 6 2	.CCBBBHH..LY.AA.LYG.DFL.G.DFUUEE.F.. F98 Y99 G99 D99 U99 E97 
8 6 2	CC.BBB..HHL..AA.LY..DFLYG.DFUUGEEF.. C99 H98 D99 F98 U99 E98 
8 6 2	CCBBB.HH..L..AA.LY..DFLYG.DFUUGEEF.. C99 B99 D99 F98 U99 E98 
8 6 2	.CCBBBHH..L.AA..LYG.DFLYG.DFUUEE.F.. F98 A99 G99 D99 U99 E97 
8 6 2	.CCBBB.HH.L.GAA.LYG.DFLY..DFUU.EEF.. H99 F98 G98 D99 U99 E98 
8 6 2	.CCBBB.HH.L..AA.LYG.DFLYG.DFUU.EEF.. H99 F98 G99 D99 U99 E98 
8 5 3	CC.BBBHH.FL.GAAFLYG.DFLY..D.UU....EE C99 G98 D99 U99 E99 
8 6 2	.CCBBB.HH.L..AA.LYG.DFLYG.DFUUEE.F.. H99 F98 G99 D99 U99 E97 
8 6 2	.CCBBB.HH.LY.AA.LY..DFL.G.DFUUGEEF.. H99 F98 Y99 D99 U99 E98 
8 6 2	.CCBBB.HH.L...AALY..DFLYG.DFUUGEEF.. H99 F98 A99 D99 U99 E98 
8 5 3	.CCBBBHHDFL.AADFL....FLYG.UU.YG...EE A99 Y99 D97 U99 E99 
8 6 2	.CCBBB.HH.L.AA..LY..DFLYG.DFUUGEEF.. H99 F98 A99 D99 U99 E98 
8 6 2	CC.BBB.HH.L..AA.LY..DFLYG.DFUUGEEF.. C99 H99 D99 F98 U99 E98 
8 4 4	CC.BBB.HHFL.AADFLY..DFLYG..UU.G..EE. C99 H99 A99 D98 
8 5 3	.CCBBB.HHFL.AA.FLYG.DFLYG.DUU.EE.... H99 A99 G99 D99 E97 
8 5 3	.CCBBB.HH.L..AAFLYG.DFLYG.DFUU...EE. H99 F99 G99 D99 U99 
8 4 4	.CCBBBHHDFL.AADFLY...FLYG...UUGEE... A99 D97 U99 E98 
8 5 3	GCCBBBGHHFL.AA.FLY..DFLY..DUU.EE.... H99 A99 G96 D99 E97 
8 5 3	CC.BBB.HHFLY.AAFLY..DFL.G.D.UUG..EE. C99 H99 Y99 D99 U99 
8 5 3	CC.BBBHH..L..AAFLY..DFLYG.DFUUG.EE.. C99 F99 D99 U99 E99 
8 6 2	CCBBBY.HHFLY.AAFL....FL.G.D.UUG.D.EE C99 B99 H99 Y98 U99 E99 
8 5 3	CC.BBB.HHFL..AAFLY..DFLYG.D.UUG.EE.. C99 H99 D99 U99 E99 
8 5 3	GCCBBBGHHFL.AA.FLY..DFLY..D.UU...EE. H99 A99 G96 D99 U99 
8 5 3	.CCBBBHH.FLYAA.FLYG.DFL.G.DUU....EE. A99 Y95 G99 D99 
8 5 3	CCDBBBHHDFL.AA.FLY...FLYGUU...G.EE.. C99 A99 D96 U98 E99 
8 5 3	GCCBBBGHHFLYAA.FLY...FL...D.UU..DEE. H99 A99 Y99 G96 U99 
8 5 3	GCCBBBGHH.L.AA.FLY...FLY..DFUU..DEE. H99 F99 A99 G96 U99 
8 5 3	CC.BBB.HHFL.AA.FLY...FLYG.D.UUG.D.EE C99 H99 A99 U99 E99 
8 5 3	CCDBBBHHDFL.AA.FLYG..FLYGUU......EE. C99 A99 G99 D96 U98 
8 5 3	CCDBBBHHDFLYAA.FLY...FL.GUU...G..EE. C99 A99 Y99 D96 U98 
8 5 3	.CCBBB.HHFLY.AAFLYG.DFL.G.DUU....EE. H99 Y95 G99 D99 
8 5 3	CC.BBBHH.FL..AAFLYG.DFLYG.D.UU....EE C99 G99 D99 U99 E99 
8 5 3	CCDBBBHHDF..AA.FLY...FLYGUU.L.G..EE. C99 L99 A99 D96 U98 
8 5 3	CCDBBBHHDFL..AAFLY...FLYGUU...G..EE. C99 A98 D96 U98 
8 5 3	.CCBBBHH.FLYGAAFLYG.DFL...DUU.....EE Y97 G98 D99 E99 
8 5 3	CCDBBBHHD.L.AA.FLY...FLYGUUF..G..EE. C99 F99 A99 D96 U98 
8 5 3	.CCBBBHH.FL.AADFL...DFL.GUU..YG.EE.Y A99 Y98 D98 U98 E99 
8 5 3	CC.BBBHH.FLY.AAFLYG.DFL.G.DUU.....EE C99 Y99 G99 D99 E99 
8 5 3	.CCBBBHH.F..AADFL...DFL.GUU.LYG..EEY L99 A99 Y98 D98 U98 
8 5 3	.CCBBBHH.FL.AADFL.G.DFL.GUU..Y...EEY A99 Y98 G99 D98 U98 
8 5 3	CCBBB.HH.FL..AAFLY..DFLYG.D.UUG...EE C99 B99 D99 U99 E99 
8 5 3	.CCBBBHH..L.AADFL...DFL.GUUF.YG..EEY F99 A99 Y98 D98 U98 
8 5 3	.CCBBB.HHFL.AADFL...DFL.GUU..YG..EEY H99 A99 Y98 D98 U98 
8 5 3	CC.BBBHH.FLYAA.FLYG..FL.G.DUU...D.EE C99 A99 Y99 G99 E99 
8 5 3	CCDBBBHHDFL.AA.FLYG..FLYG..UU.....EE C99 A99 G99 D96 E99 
8 6 2	CCBBBYHH.FLYAA.FL....FL.G.D.UUG.D.EE C99 B99 A99 Y98 U99 E99 
8 6 2	CC.BBBHH.FL.AA.FL.G.DFLYG.DUUY.EE... C99 A99 D99 Y99 G99 E98 
8 5 3	CCDBBBHHDFL..AAFLY...FLYG..UU.G...EE C99 A98 D96 E99 
8 6 2	CCBBBYHH.FLYGAAFL.G.DFL...D.UU...EE. C99 B99 Y98 G98 D99 U99 
8 5 3	.CCBBBHH.FL..AAFLYG..FLYG.D.UUEED... G99 D98 U99 E97 
8 6 2	CCBBBYHH.FLY.AAFL...DFL.G.D.UUG...EE C99 B99 Y98 D99 U99 E99 
8 6 2	CCBBBYHH.FLY.AAFL.G.DFL.G.D.UU...EE. C99 B99 Y98 G99 D99 U99 
8 6 2	CCBBBYHH.FLYAA.FL...DFL.G.D.UUG..EE. C99 B99 A99 Y98 D99 U99 
8 6 2	.CCBBB.HHFL.AA.FL.G.DFLYG.DUUY.EE... H99 A99 Y99 G99 D99 E98 
8 6 2	CCBBBYHH..LY.AAFL...DFL.G.DFUUG..EE. C99 B99 F99 Y98 D99 U99 
8 6 2	CCBBBY.HHFLY.AAFL...DFL.G.D.UUG..EE. C99 B99 H99 Y98 D99 U99 
8 5 3	.CCBBBHH..L..AAFLYG.DFLYG.DFUU.EE... F99 G99 D99 U99 E98 
8 5 3	GCCBBBGHHFL.AA.FLY...FLY..D.UU..D.EE H99 A99 G96 U99 E99 
8 6 2	CCBBBYHH.FLYAA.FL.G..FL.G.DUU...D.EE C99 B99 A99 Y98 G99 E99 
8 5 3	CC.BBBHH.FLYAA.FLY..DFL.G.DUU.G..EE. C99 A99 D99 Y95 
8 6 2	CCBBBYHH.FLYAA.FL.G.DFL.G.DUU....EE. C99 B99 A99 Y98 G99 D99 
8 6 2	CCBBBYHH.FLYGAAFL.G..FL...D.UU..D.EE C99 B99 Y98 G98 U99 E99 
8 6 2	CCBBBYHH.FLY.AAFL.G..FL.G.D.UU..D.EE C99 B99 Y98 G99 U99 E99 
8 6 2	CCBBBY.HHFLYAA.FL.G..FL.G.DUU...DEE. C99 B99 H99 A99 Y98 G99 
8 6 2	CCBBBYHH.FLYGAAFL.G.DFL...DUU..EE... C99 B99 Y98 G98 D99 E98 
8 5 3	.CCBBBHH.FLY.AAFLYG.DFL.G.DUU..EE... Y97 G99 D99 E98 
8 6 2	CCBBBYHH.FLY.AAFL.G.DFL.G.DUU..EE... C99 B99 Y98 G99 D99 E98 
8 6 2	CCBBBYHH.FLYAA.FL...DFL.G.DUU.GEE... C99 B99 A99 Y98 D99 E98 
8 5 3	CC.BBBHH.FL..AAFLYG.DFLYG.D.UU.EE... C99 D99 G99 U99 E98 
8 5 3	CC.BBB.HHFLYAA.FLY...FL.G.DUU.G.DEE. C99 H99 A99 Y95 
8 5 3	.CCBBBHH.FL.GAAFLYG..FLY..D.UUEED... G98 D98 U99 E97 
8 5 3	.CCBBB.HHFLYGAAFLYG.DFL...DUU.....EE H99 Y99 G98 D99 E99 
8 6 2	GCCBBBGHH.L..AA.LY..DFLY..DFUU...FEE H99 F98 G96 D99 U99 E99 
8 5 3	.CCBBBHH..L.AADFL...DFLYGUUF.YG..EE. F99 A99 Y99 D98 U98 
8 6 2	CCBBBY.HHFLY.AAFL...DFL.G.DUU.GEE... C99 B99 H99 Y98 D99 E98 
8 6 2	.CCBBBHH..L.GAA.LYG..FLY..DFUUEEDF.. F98 G98 D98 U99 E97 
8 5 3	.CCBBB.HHFL.AADFL...DFLYGUU..YG..EE. H99 A99 Y99 D98 U98 
8 5 3	CC.BBBHH.FL.AADFL...DFLYGUU..YG..EE. C99 A99 D98 Y99 U98 
8 6 2	CCBBB.HH.FL..AAFL.G.DFLYG.DUUY....EE C99 B99 Y99 G99 D99 E99 
8 6 2	CCBBB.HH.FL.GAAFL.G.DFLY..DUUY..EE.. C99 B99 Y99 G98 D99 E99 
8 6 2	.CCBBBHH..LYGAA.LYG.DFL...DFUUEE.F.. F98 Y99 G98 D99 U99 E97 
8 6 2	.CCBBBHH..L.G.AALYG.DFLY..DFUUEE.F.. F98 A99 G98 D99 U99 E97 
8 5 3	.CCBBBHH.FLYAA.FLY..DFL.G.DUU.GEE... A99 Y97 D99 E98 
8 6 2	.CCBBB..HHL.GAA.LYG.DFLY..DFUUEE.F.. H98 F98 G98 D99 U99 E97 
8 6 2	.CCBBB.HH.L.GAA.LYG.DFLY..DFUUEE.F.. H99 F98 G98 D99 U99 E97 
8 5 3	.CCBBBHH.FLYGAAFLYG.DFL...D.UU..EE.. Y99 G98 D99 U99 E99 
8 5 3	CC.BBBHH.FLY.AAFLY..DFL.G.D.UUG.EE.. C99 Y99 D99 U99 E99 
8 5 3	.CCBBBGHHFL.GAAFLY..DFLY..D.UU..EE.. H99 G97 D99 U99 E99 
8 6 2	CC.BBBHH..L.GAA.LYG.DFLY..DFUUEE.F.. C99 G98 D99 F98 U99 E97 
8 5 3	CC.BBBHH..LYGAAFLYG..FL...DFUU..DEE. C99 F99 Y99 G98 U99 
8 5 3	CCBBB.HH.FL..AAFLY..DFLYG.D.UUG.EE.. C99 B99 D99 U99 E99 
8 5 3	CC.BBBHH..LY.AAFLYG..FL.G.DFUU..DEE. C99 F99 Y99 G99 U99 
8 6 2	CC.BBB.HHFL.AA.FL...DFLYG.DUUYGEE... C99 H99 A99 D99 Y99 E98 
8 6 2	CCBBB..HHFL..AAFL...DFLYG.DUUYG...EE C99 B99 H99 Y99 D99 E99 
8 5 3	CC.BBBHH.FL.AA.FLYG.DFLYG.DUU...EE.. C99 A99 D99 G99 E99 
8 5 3	CCBBB.HH.FL.GAAFLYG.DFLY..D.UU...EE. C99 B99 G98 D99 U99 
8 5 3	CCBBB.HH.FL..AAFLYG.DFLYG.DUU...EE.. C99 B99 D99 G99 E99 
8 6 2	CCBBB.HH.FL.AA.FL...DFLYG.DUUYG...EE C99 B99 A99 Y99 D99 E99 
8 5 3	CCBBB..HHFL..AAFLY..DFLYG.DUU.G.EE.. C99 B99 H99 D99 E99 
8 5 3	CC.BBB.HHFL.AA.FLY..DFLYG.DUU.G.EE.. C99 H99 A99 D99 E99 
8 5 3	GCCBBBGHHFLY.AAFLY..DFL...DUU....EE. H99 Y97 G96 D99 
8 5 3	.CCBBBHH.FL.AADFL...DFLYG.UU.YG.EE.. A99 Y99 D98 U99 E99 
8 5 3	CCDBBBHHDFL.AA.FLYG..FLYG.UU.....EE. C99 A99 G99 D96 U99 
8 5 3	CCDBBBHHDFL.AA.FLY...FLYG.UU..GEE... C99 A99 D96 U99 E98 
8 5 3	.CCBBBG.HHLYGAAFLY...FL...DFUU..DEE. H98 F99 Y99 G97 U99 
8 5 3	CCDBBBHHDFL.AA.FLY...FLYG.UU..G.EE.. C99 A99 D96 U99 E99 
8 6 2	CCBBB.HH.FL.GAAFL.G.DFLY..DUUY....EE C99 B99 Y99 G98 D99 E99 
8 5 3	CC.BBBHH.FLYGAAFLYG.DFL...DUU.....EE C99 G98 Y99 D99 E99 
8 5 3	CCDBBBHHDFLYAA.FLY...FL.G.UU..G..EE. C99 A99 Y99 D96 U99 
8 5 3	CCDBBBHHDFL..AAFLY...FLYG.UU..G..EE. C99 A98 D96 U99 
8 5 3	.CCBBBHH.FL.AADFL...DFLYGUU..YG.EE.. A99 Y99 D98 U98 E99 
8 5 3	CCDBBBHHDF..AA.FLY...FLYG.UUL.G..EE. C99 L99 A99 D96 U99 
8 5 3	CC.BBBHHDFL.AADFL....FL.G..UUYGEE..Y C99 A99 D97 Y98 E98 
8 5 3	GCCBBBGHHFL..AAFLY..DFLY..D.UU..EE.. H99 G96 D99 U99 E99 
8 6 2	GCCBBBGHHFL.AA.FL...DFLY..DUUYEE.... H99 A99 Y99 G96 D99 E97 
8 5 3	.CCBBB.HHFLY.AAFLY..DFL.G.D.UUG.EE.. H99 Y99 D99 U99 E99 
8 5 3	.CCBBBHHDFL.AADFL....FLYGUU..YGEE... A99 Y99 D97 U98 E98 
8 6 2	CCDBBBHHDF..AA.F.Y...FLYG.UUL.G.EEL. C99 L98 A99 D96 U99 E99 
8 5 3	.CCBBBHH.FLY.AAFLYG.DFL.G.D.UU....EE Y99 G99 D99 U99 E99 
8 5 3	.CCBBBHHDFL.AADFL....FLYGUU..YG.EE.. A99 Y99 D97 U98 E99 
8 5 3	.CCBBBHHDFL.AADFL.G..FLYGUU..Y...EE. A99 Y99 G99 D97 U98 
8 6 2	CC.BBB.HHFL..AAFL.G.DFLYG.DUUY....EE C99 H99 G99 D99 Y99 E99 
8 5 3	CC.BBBHH.FL.AADFL...DFL.G..UUYGEE..Y C99 A99 D98 Y98 E98 
8 5 3	.CCBBBHHDF..AADFL....FLYGUU.LYG..EE. L99 A99 Y99 D97 U98 
8 6 2	GCCBBBGHHFL.AA.FL...DFLY..DUUY..EE.. H99 A99 Y99 G96 D99 E99 
8 5 3	.CCBBBHHD.L.AADFL....FLYGUUF.YG..EE. F99 A99 Y99 D97 U98 
8 5 3	CC.BBBHHDFL.AADFL....FLYGUU..YG..EE. C99 D97 A99 Y99 U98 
8 4 4	CCBBB.HH.FL.AADFLY..DFLYG..UU.G..EE. C99 B99 A99 D98 
8 6 2	CC.BBB.HHFL.GAAFL.G.DFLY..DUUY....EE C99 H99 G98 D99 Y99 E99 
8 5 3	CC.BBB.HHFL.AA.FLY..DFLYG.DUU.GEE... C99 H99 A99 D99 E98 
8 5 3	CCBBB..HHFL.AA.FLY...FLYG.DUU.G.D.EE C99 B99 H99 A99 E99 
8 5 3	CCBBB.GHHFL.GAAFLY...FLY..DUU...D.EE C99 B99 H99 G97 E99 
8 7 1	CCBBBYHH..LYGAA.L.G..FL...DFUU..DFEE C99 B99 Y98 F98 G98 U99 E99 
8 7 1	CCBBBYHH..LY.AA.L.G..FL.G.DFUU..DFEE C99 B99 Y98 F98 G99 U99 E99 
8 6 2	CC.BBBHH..LYGAA.LYG..FL...DFUU..DFEE C99 Y99 F98 G98 U99 E99 
8 7 1	CCBBBYHH..LY..AAL....FL.G.DFUUG.DFEE C99 B99 A99 Y98 F98 U99 E99 
8 7 1	CCBBBYHH..LYAA..L....FL.G.DFUUG.DFEE C99 B99 A99 Y98 F98 U99 E99 
8 5 3	.CCBBBHH.FLY.AAFLYG.DFL.G.D.UU..EE.. Y99 G99 D99 U99 E99 
8 6 2	.CCBBB..HHLYGAA.LYG..FL...DFUU..DFEE H98 F98 Y99 G98 U99 E99 
8 7 1	CCBBBY..HHLY.AA.L....FL.G.DFUUG.DFEE C99 B99 H98 Y98 F98 U99 E99 
8 7 1	CCBBBY.HH.LY.AA.L....FL.G.DFUUG.DFEE C99 B99 H99 Y98 F98 U99 E99 
8 5 3	.CCBBBHH.FL.AA.FLYG.DFLYG.D.UU.EE... A99 G99 D99 U99 E98 
8 6 2	.CCBBB..HHLY.AA.LYG..FL.G.DFUU..DFEE H98 F98 Y99 G99 U99 E99 
8 5 3	CC.BBBHH..L..AAFLY...FLYG.DFUUG.D.EE C99 F97 U99 E99 
8 5 3	CC.BBB.HHFLYGAAFLYG..FL...DUU...D.EE C99 H99 Y99 G98 E99 
8 6 2	CC.BBB.HHFL.AA.FL...DFLYG.DUUYG...EE C99 H99 A99 Y99 D99 E99 
8 6 2	GCCBBBGHHFL..AAFL....FLY..DUUYEED... H99 Y99 G96 D98 E97 
8 5 3	.CCBBBHH.FL.AADFL...DFLYGUU..YG...EE A99 Y99 D98 U98 E99 
8 6 2	.CCBBBHH..LYAA..LYG..FL.G.DFUU..DFEE F98 A99 Y99 G99 U99 E99 
8 6 2	.CCBBBHH..LY..AALYG..FL.G.DFUU..DFEE F98 A99 Y99 G99 U99 E99 
8 4 4	.CCBBBHH.FL.AADFLY..DFLYGUU...G.EE.. A99 D98 U98 E99 
8 4 4	.CCBBBHH.F..AADFLY..DFLYGUU.L.G..EE. L99 A99 D98 U98 
8 4 4	.CCBBBHH.FLYAADFLY..DFL.GUU...G..EE. A99 Y99 D98 U98 
8 5 3	CC.BBBHHDFL.AADFL....FLYG..UUYG...EE C99 A99 Y99 D97 E99 
8 4 4	.CCBBBHH..L.AADFLY..DFLYGUUF..G..EE. F99 A99 D98 U98 
8 4 4	.CCBBB.HHFL.AADFLY..DFLYGUU...G..EE. H99 A99 D98 U98 
8 5 3	CCBBB.HH.FLYAA.FLY...FL.G.DUU.G.DEE. C99 B99 A99 Y95 
8 5 3	CC.BBBHH.FL.AADFL...DFLYG..UUYG...EE C99 A99 Y99 D98 E99 
8 6 2	CCBBB.HH..L..AA.LY..DFLYG.DFUUG..FEE C99 B99 F98 D99 U99 E99 
8 5 3	CCBBB.HH.FLY.AAFLY..DFL.G.D.UUG..EE. C99 B99 Y99 D99 U99 
8 4 4	CC.BBBHH.FL.AADFLY..DFLYGUU...G..EE. C99 A99 D98 U98 
8 5 3	CC.BBBHH.FLYAA.FLY...FL.G.DUU.G.D.EE C99 A99 Y97 E99 
8 5 3	CC.BBBHH.FL.AA.FLY..DFLYG.D.UUG...EE C99 A99 D99 U99 E99 
8 4 4	.CCBBBHH.FL.AADFLY..DFLYG.UU..G...EE A99 D98 U99 E99 
8 6 2	CCDBBBHHDFL.AA.FL.G..FL.G..UUYEE...Y C99 A99 G99 D96 Y98 E97 
8 5 3	.CCBBB.HHFL.AA.FLY..DFLYG.D.UUG...EE H99 A99 D99 U99 E99 
8 5 3	.CCBBB.HH.L.GAAFLYG..FLY..DFUU..D.EE H99 F99 G98 U99 E99 
8 5 3	.CCBBBHH..L.AA.FLYG..FLYG.DFUU..D.EE F99 A99 G99 U99 E99 
8 5 3	CCBBB..HHFLY.AAFLY...FL.G.DUU.G.DEE. C99 B99 H99 Y95 
8 5 3	.CCBBB.HH.L..AAFLY...FLYG.DFUUG.D.EE H99 F97 U99 E99 
8 4 4	.CCBBBHH.FL.AADFLY..DFLYG...UUGEE... A99 D98 U99 E98 
8 5 3	.CCBBBHH.FLYAA.FLY..DFL.G.D.UUG...EE A99 Y99 D99 U99 E99 
8 5 3	.CCBBBHH..LYAA.FLY...FL.G.DFUUG.D.EE F99 A99 Y99 U99 E99 
8 5 3	CC.BBBGHHFL.GAAFLY...FLY..D.UU..D.EE C99 H99 G97 U99 E99 
8 4 4	.CCBBBHH.FL.AADFLY..DFLYGUU...GEE... A99 D98 U98 E98 
8 4 4	.CCBBBHH.FLYAADFLY..DFL.G..UU.GEE... A99 Y99 D98 E98 
8 5 3	.CCBBB.HHFLYAA.FLYG..FL.G.DUU...DEE. H99 A99 Y95 G99 
8 5 3	GCCBBBGHHFLY.AAFLY...FL...D.UU..D.EE H99 Y99 G96 U99 E99 
8 5 3	CC.BBBHH.FLYAA.FLY...FL.G.D.UUG.D.EE C99 Y99 A99 U99 E99 
8 5 3	CC.BBBHH..LY.AAFLY...FL.G.DFUUG.D.EE C99 F99 Y99 U99 E99 
8 5 3	.CCBBB.HHFLYAA.FLY...FL.G.D.UUG.D.EE H99 A99 Y99 U99 E99 
8 5 3	.CCBBBGHHFLYGAAFLY...FL...D.UU..D.EE H99 Y99 G97 U99 E99 
8 5 3	.CCBBB.HH.LY.AAFLY...FL.G.DFUUG.D.EE H99 F99 Y99 U99 E99 
8 5 3	.CCBBB.HHFL.AADFL...DFLYG..UUYG...EE H99 A99 Y99 D98 E99 
8 5 3	.CCBBBHH.FLYGAAFLYG.DFL...DUU...EE.. Y95 G98 D99 E99 
8 6 2	CC.BBB.HH.L..AA.LY..DFLYG.DFUUG..FEE C99 H99 F98 D99 U99 E99 
8 6 2	CC.BBB..HHL..AA.LY..DFLYG.DFUUG..FEE C99 H98 F98 D99 U99 E99 
8 5 3	CCBBB..HHFL..AAFLYG.DFLYG.DUU....EE. C99 B99 H99 G99 D99 
8 5 3	CC.BBB.HHFLYAA.FLY...FL.G.DUU.G.D.EE C99 H99 Y99 A99 E99 
8 6 2	.CCBBB.HHFL.GAAFL.G..FLY..DUUYEED... H99 Y99 G98 D98 E97 
8 5 3	.CCBBB.HHFL..AAFLYG..FLYG.DUU.EED... H99 G99 D98 E97 
8 5 3	.CCBBB..HHL..AAFLY...FLYG.DFUUG.D.EE H98 F97 U99 E99 
8 5 3	CCBBB..HHFLY.AAFLYG..FL.G.DUU...DEE. C99 B99 H99 Y99 G99 
8 6 2	.CCBBBGHH.L.GAA.LY..DFLY..DFUU...FEE H99 F98 G97 D99 U99 E99 
8 6 2	GCCBBBG.HHL..AA.LY..DFLY..DFUU...FEE H98 F98 G96 D99 U99 E99 
8 6 2	CC.BBBHH..L...AALYG..FLYG.DFUU..DFEE C99 A99 F98 G99 U99 E99 
8 6 2	CC.BBBHH..LY..AALY...FL.G.DFUUG.DFEE C99 A99 Y99 F98 U99 E99 
8 5 3	.CCBBBHH..L.AAD.LY..DFLYG..FUUG..FEE F98 A99 D98 U99 E99 
8 6 2	CCDBBBHHDFL.AA.FL....FLYG.UU.YG...EE C99 A99 Y99 D96 U99 E99 
8 6 2	CCDBBBHHDFL.AA.FL.G..FLYG..UUY....EE C99 A99 Y99 G99 D96 E99 
8 5 3	CCBBB.HH.FL.GAAFLYG.DFLY..DUU..EE... C99 B99 G98 D99 E98 
8 6 2	.CCBBBHH..LY.AA.LYG.DFL.G.DFUU...FEE F98 Y99 G99 D99 U99 E99 
8 6 2	.CCBBB.HH.L...AALY..DFLYG.DFUUG..FEE H99 F98 A99 D99 U99 E99 
8 6 2	CCDBBBHHDFL..AAFL....FLYG..UUYG...EE C99 A98 Y99 D96 E99 
8 4 4	.CCBBBHHDFL.AADFLY...FLYG...UUG...EE A99 D97 U99 E99 
8 6 2	.CCBBB.HH.L.G.AALYG..FLY..DFUU..DFEE H99 F98 A99 G98 U99 E99 
8 6 2	.CCBBB.HH.L...AALYG..FLYG.DFUU..DFEE H99 F98 A99 G99 U99 E99 
8 5 3	.CCBBB.HHFLY.AAFLY..DFL.G.D.UUG...EE H99 Y99 D99 U99 E99 
8 6 2	CC.BBBGHHFL.GAAFL...DFL...DUUYEE...Y C99 G97 H99 D99 Y98 E97 
8 6 2	.CCBBB.HH.LY..AALY...FL.G.DFUUG.DFEE H99 F98 A99 Y99 U99 E99 
8 6 2	.CCBBB..HHL.G.AALYG..FLY..DFUU..DFEE H98 F98 A99 G98 U99 E99 
8 6 2	.CCBBBG.HHL.GAA.LY..DFLY..DFUU...FEE H98 F98 G97 D99 U99 E99 
8 6 2	.CCBBB..HHL...AALYG..FLYG.DFUU..DFEE H98 F98 A99 G99 U99 E99 
8 6 2	.CCBBB..HHLY..AALY...FL.G.DFUUG.DFEE H98 F98 A99 Y99 U99 E99 
8 5 3	.CCBBBHHD.L.AAD.LY...FLYG..FUUG..FEE F98 A99 D97 U99 E99 
8 6 2	CC.BBBHH..L.AA..LYG..FLYG.DFUU..DFEE C99 A99 F98 G99 U99 E99 
8 6 2	CCDBBBHHD.L.AA..LY...FLYG..FUUG..FEE C99 A99 F98 D96 U99 E99 
8 6 2	CCBBB..HHFL..AAFL.G..FLYG.DUUY..D.EE C99 B99 H99 G99 Y99 E99 
8 5 3	CCBBB..HHFL.GAAFLYG..FLY..DUU...D.EE C99 B99 H99 G98 E99 
8 6 2	CC.BBBHH..LYAA..LY...FL.G.DFUUG.DFEE C99 A99 Y99 F98 U99 E99 
8 6 2	.CCBBB.HH.L.AA..LYG..FLYG.DFUU..DFEE H99 F98 A99 G99 U99 E99 
8 5 3	.CCBBBHH..LYGAAFLYG..FL...DFUU..D.EE F99 Y99 G98 U99 E99 
8 6 2	.CCBBB.HH.LYAA..LY...FL.G.DFUUG.DFEE H99 F98 A99 Y99 U99 E99 
8 5 3	.CCBBB.HHFLYGAAFLYG..FL...D.UU..D.EE H99 Y99 G98 U99 E99 
8 6 2	.CCBBB.HH.L.AA..LY..DFLYG.DFUUG..FEE H99 F98 A99 D99 U99 E99 
8 6 2	CC.BBBHH..L.AA..LY..DFLYG.DFUUG..FEE C99 A99 D99 F98 U99 E99 
8 6 2	.CCBBB..HHL.AA..LY..DFLYG.DFUUG..FEE H98 F98 A99 D99 U99 E99 
8 6 2	.CCBBB..HHL.AA..LYG..FLYG.DFUU..DFEE H98 F98 A99 G99 U99 E99 
8 6 2	.CCBBB..HHL...AALY..DFLYG.DFUUG..FEE H98 F98 A99 D99 U99 E99 
8 6 2	.CCBBB..HHLYAA..LY...FL.G.DFUUG.DFEE H98 F98 A99 Y99 U99 E99 
8 6 2	CCDBBBHHDFL.AA.FL....FLYGUU..YG...EE C99 A99 Y99 D96 U98 E99 
8 6 2	CC.BBBHH..L.G.AALYG..FLY..DFUU..DFEE C99 A99 F98 G98 U99 E99 
8 5 3	CCBBB..HHFL.GAAFLYG..FLY..D.UU..DEE. C99 B99 H99 G98 U99 
