9 0 9	.B....SB.CDESAACDEHHHGDE..VG....VWW. 
8 5 3	...C..SB.C..SBAAD.HHHGDE..VGDE..VWWE B99 C99 A99 D99 E98 
8 5 3	S..C..SB.CD..BAAD.HHHGDE..VG.E..VWWE B99 S99 C99 E98 A99 
8 5 3	SB.C..SB.C....AAD.HHHGDE..VGDE..VWWE S99 C99 D99 E98 A99 
8 5 3	SB.CD.SB.CD...AAD.HHHG.E..VG.E..VWWE S99 C99 D99 E98 A99 
8 2 6	.B.C..SB.C.ESAA.DEHHHGDE..VGD...VWW. C99 D99 
8 2 6	SB.C..SB.CDE.AA.DEHHHGDE..VG....VWW. S99 C99 
8 2 6	.B.C..SB.CDESAA.DEHHHGDE..VG....V.WW C99 W99 
9 3 6	.B.C..SB.CDES.AADEHHHGDE..VG....V.WW C99 A99 W99 
9 6 3	S..CD.SB.CD..BAAD.HHHG.E..VG.E..VWWE B99 C99 D99 S99 A99 E98 
9 3 6	.B.C..SB.CD.SAAGD.HHHGDE..V..E..VWWE C99 E98 G99 
9 3 6	.B.C..SB.C.ESAA.DEHHHGDE..VGD...V.WW C99 D99 W99 
9 3 6	SB.C..SB.CDE.AA.DEHHHGDE..VG....V.WW S99 C99 W99 
9 3 6	.B.C..SB.CDESAA.DEHHH.DE..VG....VGWW C99 G99 W99 
9 3 6	.B.CD.SB.CDESAA.DEHHHG.E..VG....V.WW C99 D99 W99 
9 6 3	S..C..SB.C...BAAD.HHHGDE..VGDE..VWWE B99 C99 S99 A99 D99 E98 
9 3 6	.B.C..SB.CD.SAA.DEHHHGDE..VG.E..V.WW C99 E99 W99 
9 3 6	.B.C.ESB.CDESAA.DEHHHGD...VG....V.WW C99 E99 W99 
10 4 6	.B..D.SB.CD.SAACD.HHHG.E..VG.E..VWWE C98 D99 E98 
10 4 6	.B.CDESB.CDESAA.DEHHHG....VG....VWW. C99 D99 E95 
10 4 6	.B.C..SB.C..SAA.DEHHHGDE..VGDE..VWW. C99 D99 E97 
10 1 9	.B....SB.CDESAACDEHHHGDE..VG....V.WW W99 
10 4 6	.B.C..SB.C..SAAGD.HHHGDE..V.DE..VWWE C99 D99 E98 G99 
10 1 9	.B..D.SB.CDESAACDEHHHG.E..VG....VWW. D99 
10 4 6	.B.CDESB.CDESAA.DEHHHG....VG....V.WW C99 D99 E99 W99 
10 4 6	.B.C..SB.CDESAA.DE.HHHDE..VG....VGWW C99 H99 G99 W99 
10 4 6	.B.CD.SB.CD.SAA.DEHHHG.E..VG.E..V.WW C99 D99 E99 W99 
10 1 9	.B...ESB.CDESAACDEHHHGD...VG....VWW. E99 
10 4 6	.B....SB.C..SAACD.HHHGDE..VGDE..VWWE C98 D99 E98 
10 4 6	.B.CD.SB.CDESAA.DEHHH..E..VG....VGWW C99 D99 G99 W99 
10 4 6	.B.C..SB.CD.SAA.DEHHH.DE..VG.E..VGWW C99 E99 G99 W99 
10 4 6	.B.C.ESB.CDESAA.DEHHH.D...VG....VGWW C99 E99 G99 W99 
10 4 6	SB.C..SB.CD..AA.DEHHHGDE..VG.E..VWW. S99 C99 E97 
10 4 6	SB.C..SB.CDE.AA.DEHHH.DE..VG....VGWW S99 C99 G99 W99 
10 4 6	SB.C.ESB.CDE.AA.DEHHHGD...VG....V.WW S99 C99 E99 W99 
10 4 6	SB.C..SB.CDEAA..DEHHHGDE..VG....V.WW S99 C99 A99 W99 
10 4 6	SB.C..SB.CD..AAGD.HHHGDE..V..E..VWWE S99 C99 E98 G99 
10 4 6	.B.C.ESB.CDES.AADEHHHGD...VG....VWW. C99 E95 A99 
10 4 6	SB.CD.SB.CDE.AA.DEHHHG.E..VG....V.WW S99 C99 D99 W99 
10 4 6	SB.C..SB.CD..AA.DEHHHGDE..VG.E..V.WW S99 C99 E99 W99 
10 4 6	.B.C..SB.C.ESAA.DEHHH.DE..VGD...VGWW C99 D99 G99 W99 
10 1 9	.B....SB.C.ESAACDEHHHGDE..VGD...VWW. D99 
10 4 6	.B.C..SB.C..SAA.DEHHHGDE..VGDE..V.WW C99 D99 E99 W99 
10 4 6	.B.C.ESB.C.ESAA.DEHHHGD...VGD...V.WW C99 D99 E99 W99 
10 4 6	SB.C..SB.C.E.AA.DEHHHGDE..VGD...V.WW S99 C99 D99 W99 
10 4 6	.B.CD.SB.CDES.AADEHHHG.E..VG....V.WW C99 D99 A99 W99 
10 4 6	.B.C.ESB.CDES.AADEHHHGD...VG....V.WW C99 E99 A99 W99 
10 4 6	.B.C..SB.CD.S.AADEHHHGDE..VG.E..V.WW C99 E99 A99 W99 
10 4 6	SB.C..SB.CDE..AADEHHHGDE..VG....V.WW S99 C99 A99 W99 
10 4 6	.B.C..SB.C.ES.AADEHHHGDE..VGD...V.WW C99 D99 A99 W99 
10 4 6	.B.C..SB.CDES.AADEHHH.DE..VG....VGWW C99 A99 G99 W99 
10 4 6	.B.C.ESB.C.ESAA.DEHHHGD...VGD...VWW. C99 D99 E95 
10 4 6	...C..SB.CDESBAADEHHHGDE..VG....V.WW B99 C99 A99 W99 
10 4 6	.B.CD.SB.CD.SAAGD.HHHG.E..V..E..VWWE C99 D99 E98 G99 
10 4 6	.B.C..SB.CD.S.AADEHHHGDE..VG.E..VWW. C99 E97 A99 
10 4 6	SB....SB.CD..AACD.HHHGDE..VG.E..VWWE S99 C98 E98 
10 4 6	SB.C.ESB.CDE.AA.DEHHHGD...VG....VWW. S99 C99 E95 
10 1 9	SB....SB.CDE.AACDEHHHGDE..VG....VWW. S99 
10 1 9	.B....SB.CD.SAACDEHHHGDE..VG.E..VWW. E99 
10 4 6	.B.CD.SB.CD.SAA.DEHHHG.E..VG.E..VWW. C99 D99 E97 
11 5 6	...C..SB.CDESBAADEHHHGDE..VG....VWW. B99 C99 A99 E96 
11 5 6	.B.C..SB.C.ES.AADEHHHGDE..VGD...VWW. C99 D99 E96 A99 
11 2 9	SB..D.SB.CDE.AACDEHHHG.E..VG....VWW. S99 D99 
11 5 6	.B.C...B.CDE.AA.DESHHHDES.VG....VGWW S98 C99 H99 G99 W99 
11 5 6	.B.C...B.CDE.AA.DE.HHHDES.VG..S.VGWW S97 C99 H99 G99 W99 
11 5 6	.B.C...B.CDESAA.DESHHHDE..VG....VGWW S99 C99 H99 G99 W99 
11 2 9	.B.C..SB.CDESAAGDEHHHGDE..V.....VWW. C99 G99 
11 5 6	...C..SB.CD.SBAADEHHHGDE..VG.E..VWW. B99 C99 A99 E97 
11 5 6	.B.CDESB.CDESAA.DEHHH.....VG....VGWW C99 D99 E99 G99 W99 
11 5 6	...C..SB.CDESBAADEHHH.DE..VG....VGWW B99 C99 A99 G99 W99 
11 5 6	.B.CDESB.CDES.AADEHHHG....VG....V.WW C99 D99 E99 A99 W99 
11 5 6	.B.CD.SB.CDES.AADEHHHG.E..VG....VWW. C99 D99 E96 A99 
11 5 6	SB.CDESB.CDE.AA.DEHHHG....VG....V.WW S99 C99 D99 E99 W99 
11 5 6	.B.CD.SB.CD.S.AADEHHHG.E..VG.E..VWW. C99 D99 E97 A99 
11 5 6	SB.C..SB.CD.AA..DEHHHGDE..VG.E..VWW. S99 C99 E97 A99 
11 5 6	.B.CDESB.CDES.AADEHHHG....VG....VWW. C99 D99 E95 A99 
11 5 6	SB....SB.CD.AA.CD.HHHGDE..VG.E..VWWE S99 C98 E98 A99 
11 5 6	SB.CD.SB.CDE.AA.DEHHHG.E..VG....VWW. S99 C99 D99 E96 
11 5 6	SB.CD.SB.CD..AA.DEHHHG.E..VG.E..VWW. S99 C99 D99 E97 
11 2 9	SB...ESB.CDE.AACDEHHHGD...VG....VWW. S99 E99 
11 5 6	.B.CD.SB.CDESAA.DE..HHHE..VG....VGWW C99 D99 H98 G99 W99 
11 5 6	SB.CD.SB.CD..AAGD.HHHG.E..V..E..VWWE S99 C99 D99 E98 G99 
11 5 6	...C.ESB.CDESBAADEHHHGD...VG....VWW. B99 C99 A99 E95 
11 5 6	SB..D.SB.CD..AACD.HHHG.E..VG.E..VWWE S99 C98 D99 E98 
11 5 6	SB.C..SB.C.E.AA.DEHHHGDE..VGD...VWW. S99 C99 D99 E96 
11 5 6	SB.C..SB.CD.AA..DEHHHGDE..VG.E..V.WW S99 C99 E99 A99 W99 
11 5 6	SB.C..SB.C...AA.DEHHHGDE..VGDE..VWW. S99 C99 D99 E97 
11 5 6	SB.C..SB.CDEAA..DEHHHGDE..VG....VWW. S99 C99 E96 A99 
11 5 6	SB.C..SB.C...AAGD.HHHGDE..V.DE..VWWE S99 C99 D99 E98 G99 
11 5 6	.B.C.ESB.C.ES.AADEHHHGD...VGD...VWW. C99 D99 E95 A99 
11 5 6	S..C..SB.CDE.BAADEHHHGDE..VG....V.WW B99 S99 C99 A99 W99 
11 2 9	SB....SB.CDEAA.CDEHHHGDE..VG....VWW. S99 A99 
11 5 6	SB....SB.C...AACD.HHHGDE..VGDE..VWWE S99 C98 D99 E98 
11 5 6	...C..SB.CD.SBAADEHHHGDE..VG.E..V.WW B99 C99 A99 E99 W99 
11 5 6	SB.C.ESB.CDE..AADEHHHGD...VG....VWW. S99 C99 E95 A99 
11 5 6	...C.ESB.CDESBAADEHHHGD...VG....V.WW B99 C99 E99 A99 W99 
11 5 6	.B.C..SB.C..S.AADEHHHGDE..VGDE..VWW. C99 D99 E97 A99 
11 5 6	...CD.SB.CDESBAADEHHHG.E..VG....V.WW B99 C99 D99 A99 W99 
11 5 6	...C..SB.C.ESBAADEHHHGDE..VGD...V.WW B99 C99 A99 D99 W99 
11 5 6	SB.C..SB.C.E..AADEHHHGDE..VGD...V.WW S99 C99 D99 A99 W99 
11 5 6	.B.C..SB.C.ES.AADEHHH.DE..VGD...VGWW C99 D99 A99 G99 W99 
11 5 6	.B.C.ESB.C.ES.AADEHHHGD...VGD...V.WW C99 D99 E99 A99 W99 
11 2 9	SB....SB.C.E.AACDEHHHGDE..VGD...VWW. S99 D99 
11 5 6	SB.C..SB.CDE..AADEHHHGDE..VG....VWW. S99 C99 E96 A99 
11 5 6	SB.C..SB.C...AA.DEHHHGDE..VGDE..V.WW S99 C99 D99 E99 W99 
11 5 6	SB.C..SB.CD...AADEHHHGDE..VG.E..V.WW S99 C99 E99 A99 W99 
11 5 6	SB.C..SB.CD...AADEHHHGDE..VG.E..VWW. S99 C99 E97 A99 
11 5 6	SB.CD.SB.CDE..AADEHHHG.E..VG....V.WW S99 C99 D99 A99 W99 
11 5 6	SB.CD.SB.CDEAA..DEHHHG.E..VG....V.WW S99 C99 D99 A99 W99 
11 5 6	SB.C.ESB.CDEAA..DEHHHGD...VG....VWW. S99 C99 E95 A99 
11 5 6	SB.C.ESB.CDEAA..DEHHHGD...VG....V.WW S99 C99 E99 A99 W99 
11 5 6	SB.C..SB.C.EAA..DEHHHGDE..VGD...V.WW S99 C99 D99 A99 W99 
11 5 6	SB.C.ESB.CDE..AADEHHHGD...VG....V.WW S99 C99 E99 A99 W99 
11 5 6	.B.C..SB.C..S.AADEHHHGDE..VGDE..V.WW C99 D99 E99 A99 W99 
11 5 6	SB.C..SB.C.E.AA.DEHHH.DE..VGD...VGWW S99 C99 D99 G99 W99 
11 5 6	SB.C..SB.CDE..AADEHHH.DE..VG....VGWW S99 C99 A99 G99 W99 
11 5 6	SB.C.ESB.C.E.AA.DEHHHGD...VGD...V.WW S99 C99 D99 E99 W99 
11 5 6	SB.C..SB.CDEAA..DEHHH.DE..VG....VGWW S99 C99 A99 G99 W99 
11 5 6	.B.C.ESB.C.ESAA.DEHHH.D...VGD...VGWW C99 D99 E99 G99 W99 
11 5 6	.B.C.ESB.CDES.AADEHHH.D...VG....VGWW C99 E99 A99 G99 W99 
11 5 6	.B.C..SB.C..SAA.DEHHH.DE..VGDE..VGWW C99 D99 E99 G99 W99 
11 5 6	SB.C.ESB.CDE.AA.DEHHH.D...VG....VGWW S99 C99 E99 G99 W99 
11 5 6	.B.C..SB.CD.S.AADEHHH.DE..VG.E..VGWW C99 E99 A99 G99 W99 
11 5 6	SB.C.ESB.C.E.AA.DEHHHGD...VGD...VWW. S99 C99 D99 E95 
11 5 6	SB.C..SB.CD.AA.GD.HHHGDE..V..E..VWWE S99 C99 E98 A99 G99 
11 5 6	SB.C..SB.CD..AA.DEHHH.DE..VG.E..VGWW S99 C99 E99 G99 W99 
11 5 6	.B.CD.SB.CDES.AADEHHH..E..VG....VGWW C99 D99 A99 G99 W99 
11 5 6	SB.CDESB.CDE.AA.DEHHHG....VG....VWW. S99 C99 D99 E95 
11 2 9	.B...ESB.C.ESAACDEHHHGD...VGD...VWW. D99 E99 
11 5 6	SB.CD.SB.CDE.AA.DEHHH..E..VG....VGWW S99 C99 D99 G99 W99 
11 5 6	.B.CD.SB.CD.SAA.DEHHH..E..VG.E..VGWW C99 D99 E99 G99 W99 
11 5 6	SB.C..SB.CDE.AA.DE.HHHDE..VG....VGWW S99 C99 H99 G99 W99 
11 5 6	.B.C.ESB.CDESAA.DE.HHHD...VG....VGWW C99 E99 H99 G99 W99 
11 5 6	SB.CD.SB.CD..AA.DEHHHG.E..VG.E..V.WW S99 C99 D99 E99 W99 
11 5 6	.B.CD.SB.CD.S.AADEHHHG.E..VG.E..V.WW C99 D99 E99 A99 W99 
11 5 6	.B.C..SB.CDES.AADE.HHHDE..VG....VGWW C99 A99 H99 G99 W99 
11 5 6	.B.C..SB.C.ESAA.DE.HHHDE..VGD...VGWW C99 D99 H99 G99 W99 
11 5 6	.B.CD.SB.CDESAA.DE.HHH.E..VG....VGWW C99 D99 H99 G99 W99 
11 5 6	.B.C..SB.CD.SAA.DE.HHHDE..VG.E..VGWW C99 E99 H99 G99 W99 
12 6 6	...CDESB.CDESBAADEHHHG....VG....VWW. B99 C99 D99 A99 E95 
12 3 9	.B.C..SB.CDESAAGDEHHHGDE..V.....V.WW C99 G99 W99 
12 6 6	...CDESB.CDESBAADEHHHG....VG....V.WW B99 C99 D99 E99 A99 W99 
12 3 9	SB..D.SB.CDEAA.CDEHHHG.E..VG....VWW. S99 D99 A99 
12 6 6	.B.C...B.CDE..AADESHHHDES.VG....VGWW S98 C99 A99 H99 G99 W99 
12 6 6	.B.C...B.CD.SAA.DESHHHDE..VG.E..VGWW S99 C99 E99 H99 G99 W99 
12 6 6	.B.C...B.CDES.AADESHHHDE..VG....VGWW S99 C99 A99 H99 G99 W99 
12 6 6	SB.CDESB.CDE..AADEHHHG....VG....V.WW S99 C99 D99 E99 A99 W99 
12 6 6	.B.C..SB.CD.S.AADE.HHHDE..VG.E..VGWW C99 E99 A99 H99 G99 W99 
12 6 6	SB.CD.SB.CD..AA.DEHHH..E..VG.E..VGWW S99 C99 D99 E99 G99 W99 
12 6 6	.B.CD.SB.CD.SAA.DE.HHH.E..VG.E..VGWW C99 D99 E99 H99 G99 W99 
12 6 6	SB.C..SB.CD..AA.DE.HHHDE..VG.E..VGWW S99 C99 E99 H99 G99 W99 
12 6 6	S..C.ESB.CDE.BAADEHHHGD...VG....VWW. B99 S99 C99 E95 A99 
12 6 6	SB.C..SB.C.EAA..DEHHHGDE..VGD...VWW. S99 C99 D99 E96 A99 
12 6 6	SB.CDESB.CDEAA..DEHHHG....VG....VWW. S99 C99 D99 E95 A99 
12 6 6	.B.C..SB.C..SAA.DE.HHHDE..VGDE..VGWW C99 D99 E99 H99 G99 W99 
12 6 6	SB.C.ESB.CDE.AA.DE.HHHD...VG....VGWW S99 C99 E99 H99 G99 W99 
12 6 6	SB.C..SB.CDEAA..DE.HHHDE..VG....VGWW S99 C99 A99 H99 G99 W99 
12 6 6	.B.C.ESB.C.ESAA.DE.HHHD...VGD...VGWW C99 D99 E99 H99 G99 W99 
12 6 6	SB.CD.SB.CD.AA..DEHHHG.E..VG.E..VWW. S99 C99 D99 E97 A99 
12 6 6	SB.C..SB.C..AA.GD.HHHGDE..V.DE..VWWE S99 C99 D99 E98 A99 G99 
12 6 6	SB.C..SB.C.E.AA.DE.HHHDE..VGD...VGWW S99 C99 D99 H99 G99 W99 
12 6 6	SB.C.ESB.CDE..AADEHHH.D...VG....VGWW S99 C99 E99 A99 G99 W99 
12 6 6	SB.C.ESB.C.E.AA.DEHHH.D...VGD...VGWW S99 C99 D99 E99 G99 W99 
12 6 6	SB.CDESB.CDEAA..DEHHHG....VG....V.WW S99 C99 D99 E99 A99 W99 
12 6 6	SB.C..SB.C.EAA..DEHHH.DE..VGD...VGWW S99 C99 D99 A99 G99 W99 
12 6 6	SB.C.ESB.C.EAA..DEHHHGD...VGD...V.WW S99 C99 D99 E99 A99 W99 
12 6 6	SB.C.ESB.CDEAA..DEHHH.D...VG....VGWW S99 C99 E99 A99 G99 W99 
12 6 6	SB.CDESB.CDE..AADEHHHG....VG....VWW. S99 C99 D99 E95 A99 
12 6 6	SB.CD.SB.CD...AADEHHHG.E..VG.E..VWW. S99 C99 D99 E97 A99 
12 6 6	S..CD.SB.CDE.BAADEHHHG.E..VG....V.WW B99 S99 C99 D99 A99 W99 
12 6 6	S..C.ESB.CDE.BAADEHHHGD...VG....V.WW B99 S99 C99 E99 A99 W99 
12 6 6	SB.CD.SB.CDEAA..DEHHH..E..VG....VGWW S99 C99 D99 A99 G99 W99 
12 6 6	S..C..SB.CD..BAADEHHHGDE..VG.E..V.WW B99 S99 C99 E99 A99 W99 
12 6 6	SB.C..SB.C...AA.DEHHH.DE..VGDE..VGWW S99 C99 D99 E99 G99 W99 
12 6 6	.B.CD.SB.CD.SAA.DE..HHHE..VG.E..VGWW C99 D99 E99 H98 G99 W99 
12 6 6	SB.C..SB.CD.AA..DEHHH.DE..VG.E..VGWW S99 C99 E99 A99 G99 W99 
12 6 6	SB.C..SB.C....AADEHHHGDE..VGDE..V.WW S99 C99 D99 E99 A99 W99 
12 6 6	SB.C..SB.C..AA..DEHHHGDE..VGDE..V.WW S99 C99 D99 E99 A99 W99 
12 6 6	SB.CD.SB.CD.AA..DEHHHG.E..VG.E..V.WW S99 C99 D99 E99 A99 W99 
12 3 9	SB...ESB.C.E.AACDEHHHGD...VGD...VWW. S99 D99 E99 
12 6 6	.B.CD..B.CDE.AA.DE..HHHES.VG..S.VGWW S97 C99 D99 H98 G99 W99 
12 6 6	SB.CD.SB.CDE.AA.DE..HHHE..VG....VGWW S99 C99 D99 H98 G99 W99 
12 6 6	.B.CD..B.CDESAA.DES.HHHE..VG....VGWW S99 C99 D99 H98 G99 W99 
12 6 6	.B.CD..B.CDE.AA.DES.HHHES.VG....VGWW S98 C99 D99 H98 G99 W99 
12 6 6	...C..SB.CDESBAADE.HHHDE..VG....VGWW B99 C99 A99 H99 G99 W99 
12 6 6	.B.CD.SB.CDES.AADE..HHHE..VG....VGWW C99 D99 A99 H98 G99 W99 
12 6 6	...C..SB.CD.SBAADEHHH.DE..VG.E..VGWW B99 C99 E99 A99 G99 W99 
12 6 6	...C.ESB.CDESBAADEHHH.D...VG....VGWW B99 C99 E99 A99 G99 W99 
12 6 6	.B.CDESB.CDESAA.DE..HHH...VG....VGWW C99 D99 E99 H98 G99 W99 
12 6 6	...C..SB.C.ESBAADEHHH.DE..VGD...VGWW B99 C99 D99 A99 G99 W99 
12 6 6	...CD.SB.CDESBAADEHHH..E..VG....VGWW B99 C99 D99 A99 G99 W99 
12 3 9	SB....SB.C.EAA.CDEHHHGDE..VGD...VWW. S99 D99 A99 
12 6 6	SB.C..SB.CD...AADEHHH.DE..VG.E..VGWW S99 C99 E99 A99 G99 W99 
12 6 6	.B.CDESB.CDESAA.DE...HHH..VG....VGWW C99 D99 E99 H97 G99 W99 
12 6 6	S..C..SB.CDE.BAADEHHH.DE..VG....VGWW B99 C99 S99 A99 G99 W99 
12 6 6	.B.CDESB.CDES.AADEHHH.....VG....VGWW C99 D99 E99 A99 G99 W99 
12 6 6	.B.CDESB.CDESAA.DE.HHH....VG....VGWW C99 D99 E99 H99 G99 W99 
12 6 6	.B.C.E.B.CDESAA.DESHHHD...VG....VGWW S99 C99 E99 H99 G99 W99 
12 6 6	SB.CDESB.CDE.AA.DEHHH.....VG....VGWW S99 C99 D99 E99 G99 W99 
12 6 6	.B.CD..B.CDESAA.DESHHH.E..VG....VGWW S99 C99 D99 H99 G99 W99 
12 6 6	.B.C...B.CDE.AA.DEHHH.DES.VG..S.VGWW S97 C99 H98 G99 W99 
12 6 6	.B.C...B.C.ESAA.DESHHHDE..VGD...VGWW S99 C99 D99 H99 G99 W99 
12 3 9	SB.C..SB.CDE.AAGDEHHHGDE..V.....VWW. S99 C99 G99 
12 6 6	.B.C...B.CDE..AADE.HHHDES.VG..S.VGWW S97 C99 A99 H99 G99 W99 
12 6 6	.B.C...B.CDEAA..DE.HHHDES.VG..S.VGWW S97 C99 A99 H99 G99 W99 
12 6 6	.B.C.E.B.CDE.AA.DE.HHHD.S.VG..S.VGWW S97 C99 E99 H99 G99 W99 
12 6 6	.B.C...B.CD..AA.DE.HHHDES.VG.ES.VGWW S97 C99 E99 H99 G99 W99 
12 3 9	.B.C..SB.C.ESAAGDEHHHGDE..V.D...VWW. C99 D99 G99 
12 6 6	.B.CD..B.CDE.AA.DE.HHH.ES.VG..S.VGWW S97 C99 D99 H99 G99 W99 
12 6 6	...CD.SB.CD.SBAADEHHHG.E..VG.E..V.WW B99 C99 D99 A99 E99 W99 
12 6 6	S..C..SB.C.E.BAADEHHHGDE..VGD...V.WW B99 S99 C99 D99 A99 W99 
12 6 6	.B.C...B.C.E.AA.DE.HHHDES.VGD.S.VGWW S97 C99 D99 H99 G99 W99 
12 6 6	.B.C...B.CDEAA..DESHHHDES.VG....VGWW S98 C99 A99 H99 G99 W99 
12 6 6	.B.C.E.B.CDE.AA.DESHHHD.S.VG....VGWW S98 C99 E99 H99 G99 W99 
12 6 6	...C..SB.C..SBAADEHHHGDE..VGDE..V.WW B99 C99 D99 A99 E99 W99 
12 6 6	.B.C...B.CD..AA.DESHHHDES.VG.E..VGWW S98 C99 E99 H99 G99 W99 
12 6 6	.B.CD..B.CDE.AA.DESHHH.ES.VG....VGWW S98 C99 D99 H99 G99 W99 
12 6 6	...C.ESB.C.ESBAADEHHHGD...VGD...V.WW B99 C99 E99 D99 A99 W99 
12 6 6	.B.C...B.C.E.AA.DESHHHDES.VGD...VGWW S98 C99 D99 H99 G99 W99 
12 6 6	SB.C..SB.C.E..AADEHHHGDE..VGD...VWW. S99 C99 D99 E96 A99 
12 3 9	SB..DESB.CDE.AACDEHHHG....VG....VWW. S99 D99 E99 
12 6 6	SB.C..SB.C.E..AADEHHH.DE..VGD...VGWW S99 C99 D99 A99 G99 W99 
12 6 6	SB.C.ESB.C.E..AADEHHHGD...VGD...V.WW S99 C99 D99 E99 A99 W99 
12 3 9	SB..D.SB.CD..AACDEHHHG.E..VG.E..VWW. S99 D99 E99 
12 6 6	SB.C..SB.C....AADEHHHGDE..VGDE..VWW. S99 C99 D99 E97 A99 
12 6 6	S..C..SB.CDE.BAADEHHHGDE..VG....VWW. B99 S99 C99 E96 A99 
12 6 6	.B.C..SB.C.ES.AADE.HHHDE..VGD...VGWW C99 D99 A99 H99 G99 W99 
12 6 6	.B.C..SB.C..S.AADEHHH.DE..VGDE..VGWW C99 D99 E99 A99 G99 W99 
12 6 6	S..C..SB.CD..BAADEHHHGDE..VG.E..VWW. B99 S99 C99 E97 A99 
12 6 6	.B.C.ESB.C.ES.AADEHHH.D...VGD...VGWW C99 D99 E99 A99 G99 W99 
12 6 6	SB.CD.SB.CDE..AADEHHHG.E..VG....VWW. S99 C99 D99 E96 A99 
12 6 6	SB.CD.SB.CDE..AADEHHH..E..VG....VGWW S99 C99 D99 A99 G99 W99 
12 6 6	...C..SB.C.ESBAADEHHHGDE..VGD...VWW. B99 C99 A99 D99 E96 
12 6 6	SB.CD.SB.CD...AADEHHHG.E..VG.E..V.WW S99 C99 D99 E99 A99 W99 
12 6 6	...C..SB.C..SBAADEHHHGDE..VGDE..VWW. B99 C99 A99 D99 E97 
12 3 9	.B.CD.SB.CDESAAGDEHHHG.E..V.....VWW. C99 D99 G99 
12 6 6	SB.C.ESB.C.EAA..DEHHHGD...VGD...VWW. S99 C99 D99 E95 A99 
12 6 6	SB.C..SB.C..AA..DEHHHGDE..VGDE..VWW. S99 C99 D99 E97 A99 
12 6 6	SB....SB.C..AA.CD.HHHGDE..VGDE..VWWE S99 C98 D99 E98 A99 
12 6 6	SB.C..SB.CDE..AADE.HHHDE..VG....VGWW S99 C99 A99 H99 G99 W99 
12 3 9	.B.C..SB.CD.SAAGDEHHHGDE..V..E..VWW. C99 E99 G99 
12 6 6	SB.CD.SB.CDEAA..DEHHHG.E..VG....VWW. S99 C99 D99 E96 A99 
12 6 6	.B.C.ESB.CDES.AADE.HHHD...VG....VGWW C99 E99 A99 H99 G99 W99 
12 6 6	SB.CD.SB.CD.AA.GD.HHHG.E..V..E..VWWE S99 C99 D99 E98 A99 G99 
12 6 6	.B.CD.SB.CD.S.AADEHHH..E..VG.E..VGWW C99 D99 E99 A99 G99 W99 
12 6 6	.B.CD.SB.CDES.AADE.HHH.E..VG....VGWW C99 D99 A99 H99 G99 W99 
12 6 6	SB.C.ESB.C.E..AADEHHHGD...VGD...VWW. S99 C99 D99 E95 A99 
12 6 6	SB.CD.SB.CDE.AA.DE.HHH.E..VG....VGWW S99 C99 D99 H99 G99 W99 
12 3 9	.B.C.ESB.CDESAAGDEHHHGD...V.....VWW. C99 E99 G99 
12 6 6	...C.ESB.C.ESBAADEHHHGD...VGD...VWW. B99 C99 A99 D99 E95 
12 6 6	SB..D.SB.CD.AA.CD.HHHG.E..VG.E..VWWE S99 C98 D99 E98 A99 
12 6 6	...CD.SB.CDESBAADEHHHG.E..VG....VWW. B99 C99 D99 A99 E96 
