0 0 0	.C....BC.PTUBAAPTUYYYOTU..DOLL..D... 
5 5 0	.C.P...C.PTU..AATUBYYYTUB.DOLL..DO.. B98 P99 A99 Y99 O99 
5 5 0	.C.P...C.PTU..AATU.YYYTUB.DOLLB.DO.. B97 P99 A99 Y99 O99 
5 5 0	.C.P...C.PTUAA..TUBYYYTUB.DOLL..DO.. B98 P99 A99 Y99 O99 
5 5 0	.C.P...C.PTUAA..TU.YYYTUB.DOLLB.DO.. B97 P99 A99 Y99 O99 
5 5 0	.C.P...C.PTU.AA.TUYYY.TUB.DOLLB.DO.. B97 P99 Y98 O99 
5 5 0	.C..TU.C.PTUBAAPTUBYYY....DOLL..DO.. B99 T99 U99 Y99 O99 
5 5 0	.C..TU.C.PTU.AAPTUBYYY..B.DOLL..DO.. B98 T99 U99 Y99 O99 
5 5 0	.C..TU.C.PTU.AAPTU.YYY..B.DOLLB.DO.. B97 T99 U99 Y99 O99 
5 5 0	.C..TU.C.PTUBAAPTUB.YYY...DOLL..DO.. B99 T99 U99 Y98 O99 
5 5 0	.C..TU.C.PTU.AAPTUB.YYY.B.DOLL..DO.. B98 T99 U99 Y98 O99 
5 5 0	.C..TU.C.PTU.AAPTU..YYY.B.DOLLB.DO.. B97 T99 U99 Y98 O99 
5 5 0	.C..TU.C.PTUBAAPTUB..YYY..DOLL..DO.. B99 T99 U99 Y97 O99 
5 5 0	.C..TU.C.PTU.AAPTUB..YYYB.DOLL..DO.. B98 T99 U99 Y97 O99 
5 5 0	.C..TU.C.PTU.AAPTU...YYYB.DOLLB.DO.. B97 T99 U99 Y97 O99 
5 5 0	.C..TUBC.PTUBAAPTU..DYYY..DOLL...O.. T99 U99 Y97 O99 D99 
5 5 0	.C..T..C.PTUAA.PTUBYYY.UB.DOLL..DO.. B98 T99 A99 Y99 O99 
5 5 0	.C..T..C.PTUAA.PTU.YYY.UB.DOLLB.DO.. B97 T99 A99 Y99 O99 
5 5 0	.C..T..C.PTU.AAPTUYYY..UB.DOLLB.DO.. B97 T99 Y98 O99 
5 5 0	.C..T..C.PTUAA.PTUB.YYYUB.DOLL..DO.. B98 T99 A99 Y98 O99 
5 5 0	.C..T..C.PTUAA.PTU..YYYUB.DOLLB.DO.. B97 T99 A99 Y98 O99 
5 5 0	.C...U.C.PTUAA.PTUBYYYT.B.DOLL..DO.. B98 U99 A99 Y99 O99 
5 5 0	.C...U.C.PTUAA.PTU.YYYT.B.DOLLB.DO.. B97 U99 A99 Y99 O99 
5 5 0	.C...U.C.PTU.AAPTUYYY.T.B.DOLLB.DO.. B97 U99 Y98 O99 
5 5 0	.C.....C.PTUAA.PTUYYY.TUB.DOLLB.DO.. B97 A99 Y98 O99 
5 5 0	.C.....C..TU.AAPTUYYYPTUB.DOLLB.DO.. B97 P99 Y98 O99 
5 5 0	.C.....C.PTU.AAPTUYYYOTUB.DOLLB.D... B97 Y98 O98 
6 6 0	BC.PTUBC.PTUAA..TUYYY.....DOLL..DO.. B99 P99 T99 U99 A99 O99 
6 6 0	BC.PTUBC.PTUAA.OTUYYYO....D.LL..D... B99 P99 T99 U99 A99 O99 
6 6 0	B..PTUBC.PTU.CAATUYYYO....DOLL..D... C99 B99 P99 T99 U99 A99 
6 6 0	BC.PTUBC.PTU..AATUYYY.....DOLL..DO.. B99 P99 T99 U99 A99 O99 
6 6 0	BC.PTUBC.PTU.AA.TU.YYY....DOLL..DO.. B99 P99 T99 U99 Y99 O99 
6 6 0	BC.PTUBC.PTU.AA.TU..YYY...DOLL..DO.. B99 P99 T99 U99 Y98 O99 
6 6 0	BC.PTUBC.PTU.AA.TU...YYY..DOLL..DO.. B99 P99 T99 U99 Y97 O99 
6 6 0	BC.PTUBC.PTU.AAOTUYYYO....DLL...D... B99 P99 T99 U99 O99 L99 
6 6 0	BC.PT.BC.PTUAA..TU.YYY.U..DOLL..DO.. B99 P99 T99 A99 Y99 O99 
6 6 0	BC.PT.BC.PTUAA..TU..YYYU..DOLL..DO.. B99 P99 T99 A99 Y98 O99 
6 6 0	BC.PT.BC.PTUAA.OTUYYYO.U..DLL...D... B99 P99 T99 A99 O99 L99 
6 6 0	B..PT.BC.PTU.CAATUYYY..U..DOLL..DO.. C99 B99 P99 T99 A99 O99 
6 6 0	BC.PT.BC.PTU..AATU.YYY.U..DOLL..DO.. B99 P99 T99 A99 Y99 O99 
6 6 0	BC.PT.BC.PTU..AATU..YYYU..DOLL..DO.. B99 P99 T99 A99 Y98 O99 
6 6 0	BC.PT.BC.PT..AAOTUYYYO.U..DLLU..D... B99 P99 T99 U99 O99 L99 
6 6 0	BC.PT.BC.PT..AAOT.YYYO.U..DLLU..D..U B99 P99 T99 U98 O99 L99 
6 6 0	BC.P.UBC.PTUAA..TU.YYYT...DOLL..DO.. B99 P99 U99 A99 Y99 O99 
6 6 0	BC.P.UBC.PTUAA.OTUYYYOT...DLL...D... B99 P99 U99 A99 O99 L99 
6 6 0	B..P.UBC.PTU.CAATUYYY.T...DOLL..DO.. C99 B99 P99 U99 A99 O99 
6 6 0	BC.P.UBC.PTU..AATU.YYYT...DOLL..DO.. B99 P99 U99 A99 Y99 O99 
6 6 0	BC.P..BC.PT.AA.OTUYYYOTU..DLLU..D... B99 P99 U99 A99 O99 L99 
6 6 0	BC.P..BC.PT.AA.OT.YYYOTU..DLLU..D..U B99 P99 U98 A99 O99 L99 
6 6 0	B..P..BC.PTU.CAATU.YYYTU..DOLL..DO.. C99 B99 P99 A99 Y99 O99 
6 6 0	BC..TUBC..TUAA.PTUYYYP....DOLL..DO.. B99 P99 T99 U99 A99 O99 
6 6 0	BC..TUBC.PTUAA.PTU.YYY....DOLL..DO.. B99 T99 U99 A99 Y99 O99 
6 6 0	BC..TUBC.PTUAA.PTU..YYY...DOLL..DO.. B99 T99 U99 A99 Y98 O99 
6 6 0	BC..TUBC.PTUAA.PTU...YYY..DOLL..DO.. B99 T99 U99 A99 Y97 O99 
6 6 0	BC..TUBC.PTU.AAPTU..DYYY..DOLL...O.. B99 T99 U99 Y97 O99 D99 
6 6 0	...PTUBC.PTUBCAATUYYY.....DOLL..DO.. C99 P99 T99 U99 A99 O99 
6 6 0	.C.PTUBC.PTUB.AATU.YYY....DOLL..DO.. P99 T99 U99 A99 Y99 O99 
6 6 0	.C.PTUBC.PTUB.AATU..YYY...DOLL..DO.. P99 T99 U99 A99 Y98 O99 
6 6 0	.C.PTUBC.PTUB.AATU...YYY..DOLL..DO.. P99 T99 U99 A99 Y97 O99 
6 6 0	.C.PTU.C.PTUBAA.TUBYYY....DOLL..DO.. B99 P99 T99 U99 Y99 O99 
6 6 0	.C.PTU.C.PTU.AA.TUBYYY..B.DOLL..DO.. B98 P99 T99 U99 Y99 O99 
6 6 0	.C.PTU.C.PTU.AA.TU.YYY..B.DOLLB.DO.. B97 P99 T99 U99 Y99 O99 
6 6 0	.C.PTU.C.PTUBAA.TUB.YYY...DOLL..DO.. B99 P99 T99 U99 Y98 O99 
6 6 0	.C.PTU.C.PTU.AA.TUB.YYY.B.DOLL..DO.. B98 P99 T99 U99 Y98 O99 
6 6 0	.C.PTU.C.PTU.AA.TU..YYY.B.DOLLB.DO.. B97 P99 T99 U99 Y98 O99 
6 6 0	.C.PTU.C.PTUBAA.TUB..YYY..DOLL..DO.. B99 P99 T99 U99 Y97 O99 
6 6 0	.C.PTU.C.PTU.AA.TUB..YYYB.DOLL..DO.. B98 P99 T99 U99 Y97 O99 
6 6 0	.C.PTU.C.PTU.AA.TU...YYYB.DOLLB.DO.. B97 P99 T99 U99 Y97 O99 
6 6 0	.C.PTUBC.PTUBAA.TU..DYYY..DOLL...O.. P99 T99 U99 Y97 O99 D99 
6 6 0	...PT.BC.PTUBCAATU.YYY.U..DOLL..DO.. C99 P99 T99 A99 Y99 O99 
6 6 0	...PT.BC.PTUBCAATU..YYYU..DOLL..DO.. C99 P99 T99 A99 Y98 O99 
6 6 0	.C.PT..C.PTUB.AATUBYYY.U..DOLL..DO.. B99 P99 T99 A99 Y99 O99 
6 6 0	.C.PT..C.PTU..AATUBYYY.UB.DOLL..DO.. B98 P99 T99 A99 Y99 O99 
6 6 0	.C.PT..C.PTU..AATU.YYY.UB.DOLLB.DO.. B97 P99 T99 A99 Y99 O99 
6 6 0	...PT.B..PTUBCAATU.CYYYU..DOLL..DO.. C98 P99 T99 A99 Y98 O99 
6 6 0	...PT.B..PTUB.AATU.CYYYU.CDOLL..DO.. C97 P99 T99 A99 Y98 O99 
6 6 0	...PT.B..PTUB.AATU..YYYU.CDOLL.CDO.. C96 P99 T99 A99 Y98 O99 
6 6 0	.C.PT..C.PTUB.AATUB.YYYU..DOLL..DO.. B99 P99 T99 A99 Y98 O99 
6 6 0	.C.PT..C.PTU..AATUB.YYYUB.DOLL..DO.. B98 P99 T99 A99 Y98 O99 
6 6 0	.C.PT..C.PTU..AATU..YYYUB.DOLLB.DO.. B97 P99 T99 A99 Y98 O99 
6 6 0	.C.PT..C.PTUAA..TUBYYY.UB.DOLL..DO.. B98 P99 T99 A99 Y99 O99 
6 6 0	.C.PT..C.PTUAA..TU.YYY.UB.DOLLB.DO.. B97 P99 T99 A99 Y99 O99 
6 6 0	.C.PT..C.PTU.AA.TUYYY..UB.DOLLB.DO.. B97 P99 T99 Y98 O99 
6 6 0	.C.PT..C.PTUAA..TUB.YYYUB.DOLL..DO.. B98 P99 T99 A99 Y98 O99 
6 6 0	.C.PT..C.PTUAA..TU..YYYUB.DOLLB.DO.. B97 P99 T99 A99 Y98 O99 
6 6 0	...P.UBC.PTUBCAATU.YYYT...DOLL..DO.. C99 P99 U99 A99 Y99 O99 
6 6 0	.C.P.U.C.PTUB.AATUBYYYT...DOLL..DO.. B99 P99 U99 A99 Y99 O99 
6 6 0	.C.P.U.C.PTU..AATUBYYYT.B.DOLL..DO.. B98 P99 U99 A99 Y99 O99 
6 6 0	.C.P.U.C.PTU..AATU.YYYT.B.DOLLB.DO.. B97 P99 U99 A99 Y99 O99 
6 6 0	.C.P.U.C.PTUAA..TUBYYYT.B.DOLL..DO.. B98 P99 U99 A99 Y99 O99 
6 6 0	.C.P.U.C.PTUAA..TU.YYYT.B.DOLLB.DO.. B97 P99 U99 A99 Y99 O99 
6 6 0	.C.P.U.C.PTU.AA.TUYYY.T.B.DOLLB.DO.. B97 P99 U99 Y98 O99 
6 6 0	...P...C.PTUBCAATUBYYYTU..DOLL..DO.. C99 P99 B99 A99 Y99 O99 
