3 0 3	.C....BC.PTUBAAPTUYYYOTU..DOLL..D... 
8 5 3	BC..TUBC.PTU.AAPTU.YYY....DOLL..DO.. B99 T99 U99 Y99 O99 
8 5 3	.C..T..C.PTUAA.PTUBYYY.UB.DOLL..DO.. B98 T99 A99 Y99 O99 
8 5 3	.C..T..C.PTUAA.PTU..YYYUB.DOLLB.DO.. B97 T99 A99 Y98 O99 
8 5 3	.C...U.C.PTUAA.PTUBYYYT.B.DOLL..DO.. B98 U99 A99 Y99 O99 
8 5 3	.C..TU.C.PTU.AAPTU..YYY.B.DOLLB.DO.. B97 T99 U99 Y98 O99 
8 5 3	.C..TUBC.PTUBAAPTU..DYYY..DOLL...O.. T99 U99 Y97 O99 D99 
8 5 3	BC..TUBC.PTUAA.PTUYYY.....DOLL..DO.. B99 T99 U99 A99 O99 
8 5 3	BC.PT.BC.PTU.AAOTUYYYO.U..DLL...D... B99 P99 T99 O99 L99 
8 5 3	.C.....C.PTUAA.PTUYYY.TUB.DOLLB.DO.. B97 A99 Y98 O99 
8 5 3	.C.....C.PTU.AAPTUYYYOTUB.DOLLB.D... B97 Y98 O98 
8 5 3	.C..TU.C.PTU.AAPTUB.YYY.B.DOLL..DO.. B98 T99 U99 Y98 O99 
8 5 3	.C..T..C.PTUAA.PTUB.YYYUB.DOLL..DO.. B98 T99 A99 Y98 O99 
8 5 3	BC..TUBC.PTU.AAPTU...YYY..DOLL..DO.. B99 T99 U99 Y97 O99 
8 5 3	.C..TU.C.PTUBAAPTUBYYY....DOLL..DO.. B99 T99 U99 Y99 O99 
8 5 3	.C..TU.C.PTU.AAPTUBYYY..B.DOLL..DO.. B98 T99 U99 Y99 O99 
8 5 3	.C..TU.C.PTU.AAPTU.YYY..B.DOLLB.DO.. B97 T99 U99 Y99 O99 
8 5 3	BC..T.BC..TU.AAPTUYYYP.U..DOLL..DO.. B99 P97 T99 O99 
8 5 3	.C...U.C.PTUAA.PTU.YYYT.B.DOLLB.DO.. B97 U99 A99 Y99 O99 
8 5 3	BC..TUBC.PTU.AAPTU..YYY...DOLL..DO.. B99 T99 U99 Y98 O99 
8 5 3	.C..TU.C.PTU.AAPTU...YYYB.DOLLB.DO.. B97 T99 U99 Y97 O99 
8 5 3	.C..TU.C.PTUBAAPTUB..YYY..DOLL..DO.. B99 T99 U99 Y97 O99 
8 5 3	.C..TU.C.PTU.AAPTUB..YYYB.DOLL..DO.. B98 T99 U99 Y97 O99 
8 5 3	.C..T..C.PTUAA.PTU.YYY.UB.DOLLB.DO.. B97 T99 A99 Y99 O99 
8 5 3	BC.PT.BC.PTUAA.OTUYYYO.U..D.LL..D... B99 P99 T99 A99 O99 
8 5 3	BC..T.BC.PTUAA.PTU.YYY.U..DOLL..DO.. B99 T99 A99 Y99 O99 
8 5 3	.C...U.C.PTU.AAPTUYYY.T.B.DOLLB.DO.. B97 U99 Y98 O99 
8 5 3	BC...UBC..TU.AAPTUYYYPT...DOLL..DO.. B99 P97 U99 O99 
8 5 3	.C..TUBC..TUBAAPTUYYYP....DOLL..DO.. P97 T99 U99 O99 
8 5 3	BC.PTUBC.PTU.AAOTUYYYO....D.LL..D... B99 P99 T99 U99 O99 
8 5 3	.C..TU.C.PTUBAAPTUB.YYY...DOLL..DO.. B99 T99 U99 Y98 O99 
9 7 2	.C.PTU.C.PTU..AATU...YYYB.DOLLB.DO.. B97 P99 T99 U99 A99 Y97 O99 
9 7 2	BC.PTUBC.PTUAA..TU...YYY..DOLL..DO.. B99 P99 T99 U99 A99 Y97 O99 
9 7 2	...PTUB..PTUB.AATU.CYYY..CDOLL..DO.. C97 P99 T99 U99 A99 Y98 O99 
9 7 2	...PTUB..PTUBCAATU.CYYY...DOLL..DO.. C98 P99 T99 U99 A99 Y98 O99 
9 7 2	.C.P...C.PTUAA..TUYYYOTUB.DOLLB.D... B97 P99 A99 Y98 O98 
9 7 2	.C.PTU.C.PTU.AA.TUB.DYYYB.DOLL...O.. B98 P99 T99 U99 Y97 O99 D99 
9 7 2	.C.PTU.C.PTUBAA.TUB.DYYY..DOLL...O.. B99 P99 T99 U99 Y97 O99 D99 
9 7 2	...PTUB..PTUB.AATU.C.YYY.CDOLL..DO.. C97 P99 T99 U99 A99 Y97 O99 
9 7 2	...PTUB..PTUB.AATU...YYY.CDOLL.CDO.. C96 P99 T99 U99 A99 Y97 O99 
9 7 2	...PTUB..PTUBCAATU.C.YYY..DOLL..DO.. C98 P99 T99 U99 A99 Y97 O99 
9 7 2	.C.PTU.C.PTUAA..TUB.YYY.B.DOLL..DO.. B98 P99 T99 U99 A99 Y98 O99 
9 7 2	.C.P.U.C.PTUAA..TUYYY.T.B.DOLLB.DO.. B97 P99 U99 A99 Y98 O99 
9 7 2	BC.PTUBC.PTU.AA.TU..DYYY..DOLL...O.. B99 P99 T99 U99 Y97 O99 D99 
