0 0 0	..DII...DCLLAABC.OJ.B.POJFFFPOJ..... 
5 5 0	..D.II..DLL.AABCPOJ.BCPOJ.FFFOJ..... I99 C99 L99 P99 F99 
5 5 0	..D.II..D.LLAABCP.J.BCPOJ.FFFOJ....O I99 C99 O99 P99 F99 
5 5 0	..DCII..DCLLAAB.P.J.B.POJ.FFFOJ....O I99 C99 O99 P99 F99 
5 5 0	..DII...DLL.AABCP.J.BCPOJ.FFFOJ....O C99 L99 O99 P99 F99 
5 5 0	..DII...DLLOAABCPOJ.BCPOJ.FFF.J..... C99 L99 O99 P99 F99 
5 5 0	..DII...DLLOAABCPOJ.BCPOJ..FFFJ..... C99 L99 O99 P99 F98 
5 5 0	..DIIO..DLLOAABCPOJ.BCP.J.FFF.J..... C99 L99 O98 P99 F99 
5 5 0	..DIIO..DLLOAABCPOJ.BCP.J..FFFJ..... C99 L99 O98 P99 F98 
6 6 0	..D.II..DLL.AABCP.J.BCPOJ.FFFOJ....O I99 C99 L99 O99 P99 F99 
6 6 0	..D.II..DLLOAABCPOJ.BCPOJ.FFF.J..... I99 C99 L99 O99 P99 F99 
6 6 0	..D.II..DLLOAABCPOJ.BCPOJ..FFFJ..... I99 C99 L99 O99 P99 F98 
6 6 0	..DII...DLLOAA.CPOJ.BCPOJ.BFFFJ..... C99 L99 B99 O99 P99 F98 
6 6 0	..DII...DLLOAA.CPOJ..CPOJ.BFFFJ.B... C99 L99 B98 O99 P99 F98 
6 6 0	..DIIO..DLLOAA.CPOJ.BCP.J.BFFFJ..... C99 L99 B99 O98 P99 F98 
6 6 0	..DIIO..DLLOAA.CPOJ..CP.J.BFFFJ.B... C99 L99 B98 O98 P99 F98 
7 7 0	..D.II..DLLOAA.CPOJ.BCPOJ.BFFFJ..... I99 C99 L99 B99 O99 P99 F98 
7 7 0	..D.II..DLLOAA.CPOJ..CPOJ.BFFFJ.B... I99 C99 L99 B98 O99 P99 F98 
7 7 0	...II...DLLOAADCPOJ.BCPOJ.BFFFJ..... D99 L99 O99 C99 P99 B99 F98 
7 7 0	..DII...DLLO.AACPOJ.BCPOJ.BFFFJ..... C99 L99 A99 B99 O99 P99 F98 
7 7 0	...II...DLLOAADCPOJ..CPOJ.BFFFJ.B... D99 L99 O99 C99 P99 B98 F98 
7 7 0	...II....LLOAADCPOJ.DCPOJ.BFFFJ.B... D98 L99 O99 C99 P99 B98 F98 
7 7 0	..DII...DLLO.AACPOJ..CPOJ.BFFFJ.B... C99 L99 A99 B98 O99 P99 F98 
7 7 0	...IIO..DLLOAADCPOJ.BCP.J.BFFFJ..... D99 O98 L99 C99 P99 B99 F98 
7 7 0	..DIIO..DLLO.AACPOJ.BCP.J.BFFFJ..... C99 L99 A99 B99 O98 P99 F98 
7 7 0	...IIO..DLLOAADCPOJ..CP.J.BFFFJ.B... D99 O98 L99 C99 P99 B98 F98 
7 7 0	...IIO...LLOAADCPOJ.DCP.J.BFFFJ.B... D98 O98 L99 C99 P99 B98 F98 
7 7 0	..DIIO..DLLO.AACPOJ..CP.J.BFFFJ.B... C99 L99 A99 B98 O98 P99 F98 
8 8 0	....II..DLLOAADCPOJ.BCPOJ.BFFFJ..... D99 I99 L99 O99 C99 P99 B99 F98 
8 8 0	..D.II..DLLO.AACPOJ.BCPOJ.BFFFJ..... I99 C99 L99 A99 B99 O99 P99 F98 
8 8 0	....II..DLLOAADCPOJ..CPOJ.BFFFJ.B... D99 I99 L99 O99 C99 P99 B98 F98 
8 8 0	....II...LLOAADCPOJ.DCPOJ.BFFFJ.B... D98 I99 L99 O99 C99 P99 B98 F98 
8 8 0	..D.II..DLLO.AACPOJ..CPOJ.BFFFJ.B... I99 C99 L99 A99 B98 O99 P99 F98 
8 8 0	..II....DLLOAADCPOJ.BCPOJ.BFFFJ..... I99 D99 L99 O99 C99 P99 B99 F98 
8 8 0	.II.....DLLOAADCPOJ.BCPOJ.BFFFJ..... I98 D99 L99 O99 C99 P99 B99 F98 
8 8 0	II......DLLOAADCPOJ.BCPOJ.BFFFJ..... I97 D99 L99 O99 C99 P99 B99 F98 
8 8 0	..DII...DLLOJAACPOJ.BCPOJ.BFFF...... C99 L99 A99 B99 O99 J99 P99 F98 
8 8 0	..DII.J.DLLOJAACPOJ.BCPO..BFFF...... C99 L99 A99 B99 O99 J98 P99 F98 
8 8 0	J.DII.J.DLLOJAACPO..BCPO..BFFF...... C99 L99 A99 B99 O99 J97 P99 F98 
8 8 0	..II....DLLOAADCPOJ..CPOJ.BFFFJ.B... I99 D99 L99 O99 C99 P99 B98 F98 
8 8 0	.II.....DLLOAADCPOJ..CPOJ.BFFFJ.B... I98 D99 L99 O99 C99 P99 B98 F98 
8 8 0	II......DLLOAADCPOJ..CPOJ.BFFFJ.B... I97 D99 L99 O99 C99 P99 B98 F98 
8 8 0	..II.....LLOAADCPOJ.DCPOJ.BFFFJ.B... I99 L99 O99 D98 C99 P99 B98 F98 
8 8 0	.II......LLOAADCPOJ.DCPOJ.BFFFJ.B... I98 L99 O99 D98 C99 P99 B98 F98 
8 8 0	II.......LLOAADCPOJ.DCPOJ.BFFFJ.B... I97 L99 O99 D98 C99 P99 B98 F98 
8 8 0	...II...LL.OAADCPOJ.DCPOJ.BFFFJ.B... D98 L98 O99 C99 P99 B98 F98 
8 8 0	...II..LL..OAADCPOJ.DCPOJ.BFFFJ.B... D98 L97 O99 C99 P99 B98 F98 
8 8 0	...II.LL...OAADCPOJ.DCPOJ.BFFFJ.B... D98 L96 O99 C99 P99 B98 F98 
8 8 0	..DII...DLLOJAACPOJ..CPOJ.BFFF..B... C99 L99 A99 B98 O99 J99 P99 F98 
8 8 0	..DII.J.DLLOJAACPOJ..CPO..BFFF..B... C99 L99 A99 B98 O99 J98 P99 F98 
8 8 0	J.DII.J.DLLOJAACPO...CPO..BFFF..B... C99 L99 A99 B98 O99 J97 P99 F98 
8 8 0	..II.O..DLLOAADCPOJ.BCP.J.BFFFJ..... I99 O98 D99 L99 C99 P99 B99 F98 
8 8 0	.II..O..DLLOAADCPOJ.BCP.J.BFFFJ..... I98 O98 D99 L99 C99 P99 B99 F98 
8 8 0	II...O..DLLOAADCPOJ.BCP.J.BFFFJ..... I97 O98 D99 L99 C99 P99 B99 F98 
8 8 0	..DIIO..DLLOJAACPOJ.BCP.J.BFFF...... C99 L99 A99 B99 O98 J99 P99 F98 
8 8 0	..DIIOJ.DLLOJAACPOJ.BCP...BFFF...... C99 L99 A99 B99 O98 J98 P99 F98 
8 8 0	J.DIIOJ.DLLOJAACPO..BCP...BFFF...... C99 L99 A99 B99 O98 J97 P99 F98 
8 8 0	..II.O..DLLOAADCPOJ..CP.J.BFFFJ.B... I99 O98 D99 L99 C99 P99 B98 F98 
8 8 0	.II..O..DLLOAADCPOJ..CP.J.BFFFJ.B... I98 O98 D99 L99 C99 P99 B98 F98 
8 8 0	II...O..DLLOAADCPOJ..CP.J.BFFFJ.B... I97 O98 D99 L99 C99 P99 B98 F98 
8 8 0	..II.O...LLOAADCPOJ.DCP.J.BFFFJ.B... I99 O98 L99 D98 C99 P99 B98 F98 
8 8 0	.II..O...LLOAADCPOJ.DCP.J.BFFFJ.B... I98 O98 L99 D98 C99 P99 B98 F98 
8 8 0	II...O...LLOAADCPOJ.DCP.J.BFFFJ.B... I97 O98 L99 D98 C99 P99 B98 F98 
8 8 0	...IIO..LL.OAADCPOJ.DCP.J.BFFFJ.B... D98 O98 L98 C99 P99 B98 F98 
8 8 0	...IIO.LL..OAADCPOJ.DCP.J.BFFFJ.B... D98 O98 L97 C99 P99 B98 F98 
8 8 0	...IIOLL...OAADCPOJ.DCP.J.BFFFJ.B... D98 O98 L96 C99 P99 B98 F98 
8 8 0	..DIIO..DLLOJAACPOJ..CP.J.BFFF..B... C99 L99 A99 B98 O98 J99 P99 F98 
8 8 0	..DIIOJ.DLLOJAACPOJ..CP...BFFF..B... C99 L99 A99 B98 O98 J98 P99 F98 
8 8 0	J.DIIOJ.DLLOJAACPO...CP...BFFF..B... C99 L99 A99 B98 O98 J97 P99 F98 
9 9 0	..D.II..DLLOJAACPOJ.BCPOJ.BFFF...... I99 C99 L99 A99 B99 O99 J99 P99 F98 
9 9 0	..D.IIJ.DLLOJAACPOJ.BCPO..BFFF...... I99 C99 L99 A99 B99 O99 J98 P99 F98 
9 9 0	J.D.IIJ.DLLOJAACPO..BCPO..BFFF...... I99 C99 L99 A99 B99 O99 J97 P99 F98 
9 9 0	....II..LL.OAADCPOJ.DCPOJ.BFFFJ.B... D98 I99 L98 O99 C99 P99 B98 F98 
9 9 0	....II.LL..OAADCPOJ.DCPOJ.BFFFJ.B... D98 I99 L97 O99 C99 P99 B98 F98 
9 9 0	....IILL...OAADCPOJ.DCPOJ.BFFFJ.B... D98 I99 L96 O99 C99 P99 B98 F98 
9 9 0	..D.II..DLLOJAACPOJ..CPOJ.BFFF..B... I99 C99 L99 A99 B98 O99 J99 P99 F98 
9 9 0	..D.IIJ.DLLOJAACPOJ..CPO..BFFF..B... I99 C99 L99 A99 B98 O99 J98 P99 F98 
9 9 0	J.D.IIJ.DLLOJAACPO...CPO..BFFF..B... I99 C99 L99 A99 B98 O99 J97 P99 F98 
9 9 0	IID.....DLLOAA.CPOJ.BCPOJ.BFFFJ..... I97 D98 L99 O99 C99 P99 B99 F98 
9 9 0	IID.....DLLOAA.CPOJ..CPOJ.BFFFJ.B... I97 D98 L99 O99 C99 P99 B98 F98 
9 9 0	..II....LL.OAADCPOJ.DCPOJ.BFFFJ.B... I99 L98 O99 D98 C99 P99 B98 F98 
9 9 0	..II...LL..OAADCPOJ.DCPOJ.BFFFJ.B... I99 L97 O99 D98 C99 P99 B98 F98 
9 9 0	..II..LL...OAADCPOJ.DCPOJ.BFFFJ.B... I99 L96 O99 D98 C99 P99 B98 F98 
9 9 0	.II.....LL.OAADCPOJ.DCPOJ.BFFFJ.B... I98 L98 O99 D98 C99 P99 B98 F98 
9 9 0	.II....LL..OAADCPOJ.DCPOJ.BFFFJ.B... I98 L97 O99 D98 C99 P99 B98 F98 
9 9 0	.II...LL...OAADCPOJ.DCPOJ.BFFFJ.B... I98 L96 O99 D98 C99 P99 B98 F98 
9 9 0	II......LL.OAADCPOJ.DCPOJ.BFFFJ.B... I97 L98 O99 D98 C99 P99 B98 F98 
9 9 0	II.....LL..OAADCPOJ.DCPOJ.BFFFJ.B... I97 L97 O99 D98 C99 P99 B98 F98 
9 9 0	II....LL...OAADCPOJ.DCPOJ.BFFFJ.B... I97 L96 O99 D98 C99 P99 B98 F98 
9 9 0	...II...LLPOAADCPOJ.DC.OJ.BFFFJ.B... D98 L98 O99 C99 P98 B98 F98 
9 9 0	...II..LLC.OAADCPOJ.D.POJ.BFFFJ.B... D98 L97 O99 C98 P99 B98 F98 
9 9 0	...II..LL.POAADCPOJ.DC.OJ.BFFFJ.B... D98 L97 O99 C99 P98 B98 F98 
9 9 0	...II.LLD..OAADCPOJ..CPOJ.BFFFJ.B... D97 L96 O99 C99 P99 B98 F98 
9 9 0	..DII.LLD..OAA.CPOJ..CPOJ.BFFFJ.B... D96 L96 O99 C99 P99 B98 F98 
9 9 0	...II.LL.C.OAADCPOJ.D.POJ.BFFFJ.B... D98 L96 O99 C98 P99 B98 F98 
9 9 0	...II.LL..POAADCPOJ.DC.OJ.BFFFJ.B... D98 L96 O99 C99 P98 B98 F98 
9 9 0	IID..O..DLLOAA.CPOJ.BCP.J.BFFFJ..... I97 O98 D98 L99 C99 P99 B99 F98 
9 9 0	IID..O..DLLOAA.CPOJ..CP.J.BFFFJ.B... I97 O98 D98 L99 C99 P99 B98 F98 
9 9 0	..II.O..LL.OAADCPOJ.DCP.J.BFFFJ.B... I99 O98 L98 D98 C99 P99 B98 F98 
9 9 0	..II.O.LL..OAADCPOJ.DCP.J.BFFFJ.B... I99 O98 L97 D98 C99 P99 B98 F98 
9 9 0	..II.OLL...OAADCPOJ.DCP.J.BFFFJ.B... I99 O98 L96 D98 C99 P99 B98 F98 
9 9 0	.II..O..LL.OAADCPOJ.DCP.J.BFFFJ.B... I98 O98 L98 D98 C99 P99 B98 F98 
9 9 0	.II..O.LL..OAADCPOJ.DCP.J.BFFFJ.B... I98 O98 L97 D98 C99 P99 B98 F98 
9 9 0	.II..OLL...OAADCPOJ.DCP.J.BFFFJ.B... I98 O98 L96 D98 C99 P99 B98 F98 
9 9 0	II...O..LL.OAADCPOJ.DCP.J.BFFFJ.B... I97 O98 L98 D98 C99 P99 B98 F98 
9 9 0	II...O.LL..OAADCPOJ.DCP.J.BFFFJ.B... I97 O98 L97 D98 C99 P99 B98 F98 
9 9 0	II...OLL...OAADCPOJ.DCP.J.BFFFJ.B... I97 O98 L96 D98 C99 P99 B98 F98 
9 9 0	...IIO..LLPOAADCPOJ.DC..J.BFFFJ.B... D98 O98 L98 C99 P98 B98 F98 
9 9 0	...IIO.LLC.OAADCPOJ.D.P.J.BFFFJ.B... D98 O98 L97 C98 P99 B98 F98 
9 9 0	...IIO.LL.POAADCPOJ.DC..J.BFFFJ.B... D98 O98 L97 C99 P98 B98 F98 
9 9 0	...IIOLLD..OAADCPOJ..CP.J.BFFFJ.B... D97 O98 L96 C99 P99 B98 F98 
9 9 0	..DIIOLLD..OAA.CPOJ..CP.J.BFFFJ.B... D96 O98 L96 C99 P99 B98 F98 
9 9 0	...IIOLL.C.OAADCPOJ.D.P.J.BFFFJ.B... D98 O98 L96 C98 P99 B98 F98 
9 9 0	...IIOLL..POAADCPOJ.DC..J.BFFFJ.B... D98 O98 L96 C99 P98 B98 F98 
10 10 0	....II..LLPOAADCPOJ.DC.OJ.BFFFJ.B... D98 I99 L98 O99 C99 P98 B98 F98 
10 10 0	....II.LLC.OAADCPOJ.D.POJ.BFFFJ.B... D98 I99 L97 O99 C98 P99 B98 F98 
10 10 0	...CII.LLC.OAAD.POJ.D.POJ.BFFFJ.B... D98 I99 L97 O99 C97 P99 B98 F98 
10 10 0	....II.LL.POAADCPOJ.DC.OJ.BFFFJ.B... D98 I99 L97 O99 C99 P98 B98 F98 
10 10 0	....IILLD..OAADCPOJ..CPOJ.BFFFJ.B... D97 I99 L96 O99 C99 P99 B98 F98 
10 10 0	..D.IILLD..OAA.CPOJ..CPOJ.BFFFJ.B... D96 I99 L96 O99 C99 P99 B98 F98 
10 10 0	....IILL.C.OAADCPOJ.D.POJ.BFFFJ.B... D98 I99 L96 O99 C98 P99 B98 F98 
10 10 0	...CIILL.C.OAAD.POJ.D.POJ.BFFFJ.B... D98 I99 L96 O99 C97 P99 B98 F98 
10 10 0	....IILL..POAADCPOJ.DC.OJ.BFFFJ.B... D98 I99 L96 O99 C99 P98 B98 F98 
10 10 0	IID.....DLLO.AACPOJ.BCPOJ.BFFFJ..... I97 D98 L99 O99 A99 C99 P99 B99 F98 
10 10 0	IID.....DLLOAABCPOJ.BCPOJ..FFFJ..... I97 D98 L99 O99 C99 P99 B98 F98 
10 10 0	IID.....DLLO.AACPOJ..CPOJ.BFFFJ.B... I97 D98 L99 O99 A99 C99 P99 B98 F98 
10 10 0	..II....LLPOAADCPOJ.DC.OJ.BFFFJ.B... I99 L98 O99 D98 C99 P98 B98 F98 
10 10 0	..IIP...LLPOAADC.OJ.DC.OJ.BFFFJ.B... I99 L98 O99 D98 C99 P97 B98 F98 
10 10 0	..II...LLC.OAADCPOJ.D.POJ.BFFFJ.B... I99 L97 O99 D98 C98 P99 B98 F98 
10 10 0	..II...LL.POAADCPOJ.DC.OJ.BFFFJ.B... I99 L97 O99 D98 C99 P98 B98 F98 
10 10 0	..IIP..LL.POAADC.OJ.DC.OJ.BFFFJ.B... I99 L97 O99 D98 C99 P97 B98 F98 
10 10 0	..II..LLD..OAADCPOJ..CPOJ.BFFFJ.B... I99 L96 O99 D97 C99 P99 B98 F98 
10 10 0	..II..LL.C.OAADCPOJ.D.POJ.BFFFJ.B... I99 L96 O99 D98 C98 P99 B98 F98 
10 10 0	..II..LL..POAADCPOJ.DC.OJ.BFFFJ.B... I99 L96 O99 D98 C99 P98 B98 F98 
10 10 0	..IIP.LL..POAADC.OJ.DC.OJ.BFFFJ.B... I99 L96 O99 D98 C99 P97 B98 F98 
10 10 0	.II.....LLPOAADCPOJ.DC.OJ.BFFFJ.B... I98 L98 O99 D98 C99 P98 B98 F98 
10 10 0	.II.P...LLPOAADC.OJ.DC.OJ.BFFFJ.B... I98 L98 O99 D98 C99 P97 B98 F98 
10 10 0	.II....LLC.OAADCPOJ.D.POJ.BFFFJ.B... I98 L97 O99 D98 C98 P99 B98 F98 
10 10 0	.IIC...LLC.OAAD.POJ.D.POJ.BFFFJ.B... I98 L97 O99 D98 C97 P99 B98 F98 
10 10 0	.II....LL.POAADCPOJ.DC.OJ.BFFFJ.B... I98 L97 O99 D98 C99 P98 B98 F98 
10 10 0	.II.P..LL.POAADC.OJ.DC.OJ.BFFFJ.B... I98 L97 O99 D98 C99 P97 B98 F98 
10 10 0	.II...LLD..OAADCPOJ..CPOJ.BFFFJ.B... I98 L96 O99 D97 C99 P99 B98 F98 
10 10 0	.II...LL.C.OAADCPOJ.D.POJ.BFFFJ.B... I98 L96 O99 D98 C98 P99 B98 F98 
10 10 0	.IIC..LL.C.OAAD.POJ.D.POJ.BFFFJ.B... I98 L96 O99 D98 C97 P99 B98 F98 
10 10 0	.II...LL..POAADCPOJ.DC.OJ.BFFFJ.B... I98 L96 O99 D98 C99 P98 B98 F98 
10 10 0	.II.P.LL..POAADC.OJ.DC.OJ.BFFFJ.B... I98 L96 O99 D98 C99 P97 B98 F98 
10 10 0	II......LLPOAADCPOJ.DC.OJ.BFFFJ.B... I97 L98 O99 D98 C99 P98 B98 F98 
10 10 0	II..P...LLPOAADC.OJ.DC.OJ.BFFFJ.B... I97 L98 O99 D98 C99 P97 B98 F98 
10 10 0	II.....LLC.OAADCPOJ.D.POJ.BFFFJ.B... I97 L97 O99 D98 C98 P99 B98 F98 
10 10 0	II.C...LLC.OAAD.POJ.D.POJ.BFFFJ.B... I97 L97 O99 D98 C97 P99 B98 F98 
10 10 0	II.....LL.POAADCPOJ.DC.OJ.BFFFJ.B... I97 L97 O99 D98 C99 P98 B98 F98 
10 10 0	II..P..LL.POAADC.OJ.DC.OJ.BFFFJ.B... I97 L97 O99 D98 C99 P97 B98 F98 
10 10 0	II....LLD..OAADCPOJ..CPOJ.BFFFJ.B... I97 L96 O99 D97 C99 P99 B98 F98 
10 10 0	IID...LLD..OAA.CPOJ..CPOJ.BFFFJ.B... I97 L96 O99 D96 C99 P99 B98 F98 
10 10 0	II....LL.C.OAADCPOJ.D.POJ.BFFFJ.B... I97 L96 O99 D98 C98 P99 B98 F98 
10 10 0	II.C..LL.C.OAAD.POJ.D.POJ.BFFFJ.B... I97 L96 O99 D98 C97 P99 B98 F98 
10 10 0	II....LL..POAADCPOJ.DC.OJ.BFFFJ.B... I97 L96 O99 D98 C99 P98 B98 F98 
10 10 0	II..P.LL..POAADC.OJ.DC.OJ.BFFFJ.B... I97 L96 O99 D98 C99 P97 B98 F98 
10 10 0	...II..LLCPOAADCPOJ.D..OJ.BFFFJ.B... D98 L97 O99 C98 P98 B98 F98 
10 10 0	...II.LLDC.OAADCPOJ...POJ.BFFFJ.B... D97 L96 O99 C98 P99 B98 F98 
10 10 0	...II.LLD.POAADCPOJ..C.OJ.BFFFJ.B... D97 L96 O99 C99 P98 B98 F98 
10 10 0	...II.LLD..OAADCPOJ.BCPOJ.BFFFJ..... D97 L96 O99 C99 P99 B97 F98 
10 10 0	..DII.LLD..O.AACPOJ..CPOJ.BFFFJ.B... D96 L96 O99 A99 C99 P99 B98 F98 
10 10 0	..DII.LLDC.OAA.CPOJ...POJ.BFFFJ.B... D96 L96 O99 C98 P99 B98 F98 
10 10 0	..DII.LLD.POAA.CPOJ..C.OJ.BFFFJ.B... D96 L96 O99 C99 P98 B98 F98 
10 10 0	..DII.LLD..OAA.CPOJ.BCPOJ.BFFFJ..... D96 L96 O99 C99 P99 B97 F98 
10 10 0	..DII.LLD..OAABCPOJ.BCPOJ..FFFJ..... D96 L96 O99 C99 P99 B96 F98 
10 10 0	...II.LL.CPOAADCPOJ.D..OJ.BFFFJ.B... D98 L96 O99 C98 P98 B98 F98 
10 10 0	IID..O..DLLO.AACPOJ.BCP.J.BFFFJ..... I97 O98 D98 L99 A99 C99 P99 B99 F98 
10 10 0	IID..O..DLLOAABCPOJ.BCP.J..FFFJ..... I97 O98 D98 L99 C99 P99 B98 F98 
10 10 0	IID..O..DLLO.AACPOJ..CP.J.BFFFJ.B... I97 O98 D98 L99 A99 C99 P99 B98 F98 
10 10 0	..II.O..LLPOAADCPOJ.DC..J.BFFFJ.B... I99 O98 L98 D98 C99 P98 B98 F98 
10 10 0	..IIPO..LLPOAADC.OJ.DC..J.BFFFJ.B... I99 O98 L98 D98 C99 P97 B98 F98 
10 10 0	..II.O.LLC.OAADCPOJ.D.P.J.BFFFJ.B... I99 O98 L97 D98 C98 P99 B98 F98 
10 10 0	..II.O.LL.POAADCPOJ.DC..J.BFFFJ.B... I99 O98 L97 D98 C99 P98 B98 F98 
10 10 0	..IIPO.LL.POAADC.OJ.DC..J.BFFFJ.B... I99 O98 L97 D98 C99 P97 B98 F98 
10 10 0	..II.OLLD..OAADCPOJ..CP.J.BFFFJ.B... I99 O98 L96 D97 C99 P99 B98 F98 
10 10 0	..II.OLL.C.OAADCPOJ.D.P.J.BFFFJ.B... I99 O98 L96 D98 C98 P99 B98 F98 
10 10 0	..II.OLL..POAADCPOJ.DC..J.BFFFJ.B... I99 O98 L96 D98 C99 P98 B98 F98 
10 10 0	..IIPOLL..POAADC.OJ.DC..J.BFFFJ.B... I99 O98 L96 D98 C99 P97 B98 F98 
10 10 0	.II..O..LLPOAADCPOJ.DC..J.BFFFJ.B... I98 O98 L98 D98 C99 P98 B98 F98 
10 10 0	.II.PO..LLPOAADC.OJ.DC..J.BFFFJ.B... I98 O98 L98 D98 C99 P97 B98 F98 
10 10 0	.II..O.LLC.OAADCPOJ.D.P.J.BFFFJ.B... I98 O98 L97 D98 C98 P99 B98 F98 
10 10 0	.IIC.O.LLC.OAAD.POJ.D.P.J.BFFFJ.B... I98 O98 L97 D98 C97 P99 B98 F98 
