2 0 2	CHH..YC....YCFAADE.F..DE..RITTBBRI.. 
4 3 1	CHH.DYC...DYCF.AAE.F.I.E..RITTBBR... A99 D98 I99 
4 2 2	.HH..Y.....YCFAADECF.IDEC.RITTBBR... C98 I99 
4 2 2	CHH..YCF..DYCFAADE.....E..RITTBBRI.. F99 D99 
4 2 2	..HH.Y.....YCFAADECF..DEC.RITTBBRI.. C98 H99 
4 2 2	.HH..YC...DYCFAADECF...E..RITTBBRI.. C99 D99 
5 4 1	C.HHDYC...DYCFAA.E.FR..E..RITT.BBI.. H99 D98 R99 B99 
5 4 1	C.HHDYC...DYCFAA.E.FRI.E..RITTBB.... H99 D98 R99 I99 
5 4 1	.HH.DYC...DYCFRAAECFR..E...ITTBB.I.. C99 D98 A99 R98 
5 4 1	.HH.DYCF..DYCF.AAEC....E..RITTBBRI.. C99 D98 F99 A99 
5 4 1	.HH.DY....DY.FAA.ECFR..EC.RITTCBBI.. C97 D98 R99 B99 
5 4 1	.HH.DYC...DYC..AAECF...E.FRITTBBRI.. C99 D98 F99 A99 
5 4 1	HH..DYC...DYCF.AAECF...E..RITTBBRI.. H99 D98 C99 A99 
5 4 1	.HH.DY....DYCFAA.ECFR..EC.RITT.BBI.. C98 D98 R99 B99 
5 4 1	C.HHDYC...DYCAA..E.F...E.FRITTBBRI.. H99 F99 A99 D98 
5 4 1	.HH.DY....DYC.AA.ECF.I.ECFRITTBBR... C98 D98 F99 I99 
5 4 1	.HH.DYC...DYCFAA.ECF.I.E..RITTBBR... C97 D98 I99 
5 4 1	.HH.DYC...DYCFAA.ECFR..E..RITT.BBI.. C99 D98 R99 B99 
5 4 1	HH..DY....DYCFAA.ECF.I.EC.RITTBBR... H99 D98 C98 I99 
5 4 1	.HH.DY.F..DYCFAA.EC.R..EC.RITTBB.I.. C98 D98 F99 R99 
5 4 1	CHH.DYC...DYCFAA.E.FRI.E..RITT.BB... D98 R99 I99 B99 
5 4 1	.HH.DY....DYC.AA.ECFR..ECFRITTBB.I.. C98 D98 F99 R99 
5 4 1	.HH.DY.F..DYCF.AAEC....EC.RITTBBRI.. C98 D98 F99 A99 
5 4 1	HH..DY....DYCFAA.ECFR..EC.RITTBB.I.. H99 D98 C98 R99 
5 4 1	.HH.DYCF..DYCFAA.EC.R..E..RITTBB.I.. C99 D98 F99 R99 
5 4 1	..HHDY.F..DYCFAA.EC....EC.RITTBBRI.. C98 H99 D98 F99 
5 4 1	.HH.DYC...DYC.AA.ECFR..E.FRITTBB.I.. C99 D98 F99 R99 
5 4 1	.HH.DY.F..DYCFAA.EC..I.EC.RITTBBR... C98 D98 F99 I99 
5 4 1	HH..DYC...DYCFAA.ECFR..E..RITTBB.I.. H99 D98 C99 R99 
5 4 1	HH..DY.F..DYCFAA.EC....EC.RITTBBRI.. H99 D98 F99 C98 
5 4 1	CHH.DYC...DYCFAA.E.FRI.E..RITT..BB.. D98 R99 I99 B98 
5 4 1	CHH.DYC...DYCFAA.E.FRI.E..RITT...BB. D98 R99 I99 B97 
5 4 1	CHH.DYCF..DYCFAA.E..RI.E..RITTBB.... F99 D98 R99 I99 
5 4 1	CHH.DYC...DYCF.AAE.FRI.E..RITTBB.... A99 D98 R99 I99 
5 4 1	CHH.DYC...DYC.AA.E.FRI.E.FRITTBB.... F99 D98 R99 I99 
5 4 1	C.HHDYC...DYCF.AAE.F.I.E..RITTBBR... H99 A99 D98 I99 
5 4 1	.HH.DY....DYCFAA.ECFRI.EC.RITTBB.... C98 D98 R99 I99 
5 4 1	.HH.DYC...DYCFAA.ECFRI.E..RITTBB.... C99 D98 R99 I99 
5 4 1	C.HHDYC...DYC.AA.E.F.I.E.FRITTBBR... H99 F99 D98 I99 
5 4 1	..HHDY....DYC.AA.ECF...ECFRITTBBRI.. C98 H99 D98 F99 
5 4 1	..HHDYC...DYC.AA.ECF...E.FRITTBBRI.. C99 H99 D98 F99 
5 4 1	..HHDYC...DYCFAA.ECF.I.E..RITTBBR... C99 H99 D98 I99 
5 4 1	..HHDY....DYCFAA.ECF.I.EC.RITTBBR... C98 H99 D98 I99 
5 4 1	CFHHDYCF..DYC.AA.E...I.E..RITTBBR... H99 F98 D98 I99 
5 4 1	..HHDYCF..DYCFAA.EC....E..RITTBBRI.. C99 H99 D98 F99 
5 4 1	CHH.DYC...DYC..AAE.FR..E.FRITTBB.I.. F99 A99 D98 R99 
5 4 1	CFHHDYCF..DYCAA..E.....E..RITTBBRI.. H99 F98 A99 D98 
5 4 1	.HH.DYC...DYCF.AAECFR..E..RITTBB.I.. C99 D98 A99 R99 
5 4 1	.FHHDY.F..DYC.AA.EC....EC.RITTBBRI.. C98 F98 H99 D98 
5 4 1	CHH.DYC...DYCFAA.E.FRI.E..RITT....BB D98 R99 I99 B96 
5 4 1	.FHHDYCF..DYC.AA.EC....E..RITTBBRI.. C99 F98 H99 D98 
5 4 1	CHH.DYCF..DYCF.AAE...I.E..RITTBBR... F99 A99 D98 I99 
5 4 1	.HH.DY....DYCF.AAECF.I.EC.RITTBBR... C98 D98 A99 I99 
5 4 1	C.HHDYCF..DYCFAA.E...I.E..RITTBBR... H99 F99 D98 I99 
5 4 1	.HH.DY....DYCF.AAECFR..EC.RITTBB.I.. C98 D98 A99 R99 
5 4 1	.HH.DYCF..DYCFAA.EC..I.E..RITTBBR... C99 D98 F99 I99 
5 4 1	C.HHDYC...DYCFRAAE.FR..E...ITTBB.I.. H99 A99 D98 R98 
5 4 1	C.HHDYC.R.DYCFRAAE.F...E...ITTBB.I.. H99 A99 D98 R97 
5 4 1	HH..DY....DYCF.AAECF...EC.RITTBBRI.. H99 D98 C98 A99 
5 4 1	CFHHDYCF..DYC..AAE.....E..RITTBBRI.. H99 F98 A99 D98 
5 4 1	C.HHDYCF..DYCF.AAE.....E..RITTBBRI.. H99 F99 A99 D98 
5 4 1	C.HHDYC...DYC..AAE.F...E.FRITTBBRI.. H99 F99 A99 D98 
5 4 1	..HHDY....DYCF.AAECF...EC.RITTBBRI.. C98 H99 D98 A99 
5 4 1	CHH.DYCF..DYCF.AAE..R..E..RITTBB.I.. F99 A99 D98 R99 
5 4 1	CHH.DYC.R.DYCFRAAE.F...E...ITT.BBI.. A99 D98 R97 B99 
5 4 1	C.HHDYC...DYCF.AAE.FR..E..RITTBB.I.. H99 A99 D98 R99 
5 4 1	..HHDYC...DYCF.AAECF...E..RITTBBRI.. C99 H99 D98 A99 
5 4 1	CHH.DYC.R.DYCFRAAE.F.I.E...ITTBB.... A99 D98 R97 I99 
5 4 1	CHH.DYC.R.DYC.RAAE.F...E.F.ITTBB.I.. F99 A99 D98 R97 
5 4 1	CHH.DYCFR.DYCFRAAE.....E...ITTBB.I.. F99 A99 D98 R97 
5 4 1	CFHHDYCF..DYC.AA.E..R..E..RITTBB.I.. H99 F98 D98 R99 
5 4 1	.HH.DYC...DYC.AA.ECF.I.E.FRITTBBR... C99 D98 F99 I99 
5 4 1	CHH.DYC...DYCFRAAE.FRI.E...ITTBB.... A99 D98 R98 I99 
5 4 1	.HH.DY..R.DYCFRAAECF...EC..ITTBB.I.. C98 D98 R97 A99 
5 4 1	CHH.DYC...DYCFRAAE.FR..E...ITT.BBI.. A99 D98 R98 B99 
5 4 1	C.HHDYCF..DYCFAA.E..R..E..RITTBB.I.. H99 F99 D98 R99 
5 4 1	CHH.DYCF..DYCFRAAE..R..E...ITTBB.I.. F99 A99 D98 R98 
5 4 1	CHH.DYC...DYC.RAAE.FR..E.F.ITTBB.I.. F99 A99 D98 R98 
5 4 1	C.HHDYC...DYC.AA.E.FR..E.FRITTBB.I.. H99 F99 D98 R99 
5 4 1	.HH.DY....DYC..AAECF...ECFRITTBBRI.. C98 D98 A99 F99 
5 4 1	.HH.DY....DYCFRAAECFR..EC..ITTBB.I.. C98 D98 R98 A99 
5 4 1	CHHIDYC..IDYCAA..E.F...E.FR.TTBBR... F99 A99 D98 I96 
5 4 1	HH..DYC...DYC.AA.ECF...E.FRITTBBRI.. H99 D98 C99 F99 
5 4 1	HH..DYC...DYCFAA.ECF.I.E..RITTBBR... H99 D98 C99 I99 
5 4 1	..HHDY....DYCFAA.ECFR..EC.RITTBB.I.. C98 H99 D98 R99 
5 4 1	CHH.DYC...DYCAA..E.F.I.E.FRITTBBR... F99 A99 D98 I99 
5 4 1	..HHDYC...DYCFAA.ECFR..E..RITTBB.I.. C99 H99 D98 R99 
5 4 1	CHH.DYC...DYC..AAE.F.I.E.FRITTBBR... F99 A99 D98 I99 
5 4 1	CHH.DYC...DYCF.AAE.FR..E..RITT.BBI.. A99 D98 R99 B99 
5 4 1	.HH.DY....DYCAA..ECF...ECFRITTBBRI.. C98 D98 A99 F99 
5 4 1	.HH.DYC...DYCAA..ECF...E.FRITTBBRI.. C99 D98 A99 F99 
5 4 1	CHH.DYCF..DYCFAA.E..R..E..RITT.BBI.. F99 D98 R99 B99 
5 4 1	CHH.DYC...DYCAA..E.FR..E.FRITTBB.I.. F99 A99 D98 R99 
5 4 1	CHH.DYC...DYC.AA.E.FR..E.FRITT.BBI.. F99 D98 R99 B99 
5 4 1	.HH.DYC.R.DYCFRAAECF...E...ITTBB.I.. C99 D98 A99 R97 
5 4 1	HH..DY....DYC.AA.ECF...ECFRITTBBRI.. H99 D98 C98 F99 
5 4 1	HH..DYCF..DYCFAA.EC....E..RITTBBRI.. H99 D98 C99 F99 
5 4 1	.HH.DYC...DYCF.AAECF.I.E..RITTBBR... C99 D98 A99 I99 
5 3 2	.HH..Y.F...YCFAADEC..IDEC.RITTBBR... C98 F99 I99 
5 3 2	.HH..YC...DYCFAADECF.I.E..RITTBBR... C99 D99 I99 
5 3 2	.HH..Y.F..DYCFAADEC....EC.RITTBBRI.. C98 F99 D99 
5 3 2	..HH.Y.....YCFAADECFR.DEC.RITTBB.I.. C98 H99 R99 
5 3 2	.HH..YC...DYCFAADECFR..E..RITTBB.I.. C99 D99 R99 
5 3 2	C.HH.YC....YCFAADE.F..DE..RITTBBRI.. C96 H99 
5 3 2	..HH.YC....YCFAADECF..DE..RITTBBRI.. C97 H99 
5 3 2	..HH.Y.....YCFAADECF.IDEC.RITTBBR... C98 H99 I99 
5 3 2	HH...YC...DYCFAADECF...E..RITTBBRI.. H99 C99 D99 
6 5 1	.HH.DY....DYC..AAECFR..ECFRITTBB.I.. C98 D98 F99 A99 R99 
6 5 1	.HH.DY.F..DYCFRAAEC.R..EC..ITTBB.I.. C98 D98 F99 A99 R98 
6 5 1	.HH.DY.FR.DYCFRAAEC....EC..ITTBB.I.. C98 D98 F99 A99 R97 
6 5 1	HH..DY.F..DYCF.AAEC....EC.RITTBBRI.. H99 D98 F99 C98 A99 
6 5 1	..HHDY.F..DYCF.AAEC....EC.RITTBBRI.. C98 H99 D98 F99 A99 
6 5 1	C.HHDYC...DYCFAA.E.FRI.E..RITT.BB... H99 D98 R99 I99 B99 
6 5 1	.HH.DY....DYCAA..ECFR..ECFRITTBB.I.. C98 D98 F99 A99 R99 
6 5 1	..HHDY....DYC.AA.ECFR..ECFRITTBB.I.. C98 H99 D98 F99 R99 
6 5 1	..HHDY.F..DYCFAA.EC..I.EC.RITTBBR... C98 H99 D98 F99 I99 
6 5 1	.HH.DYC...DYCFRAAECFR..E...ITT.BBI.. C99 D98 A99 R98 B99 
6 5 1	.HH.DYCF..DYCF.AAEC..I.E..RITTBBR... C99 D98 F99 A99 I99 
6 5 1	CHH.DYCF..DYCFAA.E..RI.E..RITT.BB... F99 D98 R99 I99 B99 
6 5 1	HH..DY....DYC.AA.ECFR..ECFRITTBB.I.. H99 D98 C98 F99 R99 
6 5 1	.HH.DY....DYCFAA.ECFRI.EC.RITT.BB... C98 D98 R99 I99 B99 
6 5 1	CHH.DYC...DYC.AA.E.FRI.E.FRITT.BB... F99 D98 R99 I99 B99 
6 5 1	.HH.DYC...DYC..AAECF.I.E.FRITTBBR... C99 D98 F99 A99 I99 
6 5 1	.HH.DY.F..DYCF.AAEC.R..EC.RITTBB.I.. C98 D98 F99 A99 R99 
6 5 1	HH..DY.F..DYCFAA.EC..I.EC.RITTBBR... H99 D98 C98 F99 I99 
6 5 1	HH..DY....DYCFAA.ECFRI.EC.RITTBB.... H99 D98 C98 I99 R99 
6 5 1	..HHDY.F..DYCFAA.EC.R..EC.RITTBB.I.. C98 H99 D98 F99 R99 
6 5 1	.HH.DY.F..DYCFAA.EC.RI.EC.RITTBB.... C98 D98 F99 R99 I99 
6 5 1	.HH.DYCF..DYCFAA.EC.RI.E..RITTBB.... C99 D98 F99 R99 I99 
6 5 1	HH..DY.F..DYCFAA.EC.R..EC.RITTBB.I.. H99 D98 F99 C98 R99 
6 5 1	HH..DY....DYCF.AAECF.I.EC.RITTBBR... H99 D98 C98 A99 I99 
6 5 1	.HH.DY....DYC..AAECF.I.ECFRITTBBR... C98 D98 F99 A99 I99 
6 5 1	.HH.DYC...DYCF.AAECFR..E..RITT.BBI.. C99 D98 A99 R99 B99 
6 5 1	.HH.DYCF..DYCFAA.EC.R..E..RITT.BBI.. C99 D98 F99 R99 B99 
6 5 1	.HH.DYC...DYCFAA.ECFRI.E..RITT.BB... C99 D98 R99 I99 B99 
6 5 1	.HH.DYC...DYC.AA.ECFR..E.FRITT.BBI.. C99 D98 F99 R99 B99 
6 5 1	.HH.DY....DYC.AA.ECFRI.ECFRITTBB.... C98 D98 F99 R99 I99 
6 5 1	CHH.DYC...DYCF.AAE.FRI.E..RITT.BB... A99 D98 R99 I99 B99 
6 5 1	.HH.DY....DYCAA..ECF.I.ECFRITTBBR... C98 D98 F99 A99 I99 
6 5 1	HH..DYC...DYCFAA.ECFR..E..RITT.BBI.. H99 D98 C99 R99 B99 
6 5 1	..HHDY....DYC.AA.ECF.I.ECFRITTBBR... C98 H99 D98 F99 I99 
6 5 1	HH..DY....DYC.AA.ECF.I.ECFRITTBBR... H99 D98 C98 F99 I99 
6 5 1	C.HHDYC...DYCAA..E.F.I.E.FRITTBBR... H99 F99 A99 D98 I99 
6 5 1	C.HHDYC...DYCAA..E.FR..E.FRITTBB.I.. H99 F99 A99 D98 R99 
6 5 1	..HHDY....DYC..AAECF...ECFRITTBBRI.. C98 H99 D98 A99 F99 
6 5 1	CHH.DYC...DYCF.AAE.FRI.E..RITT....BB A99 D98 R99 I99 B96 
6 5 1	..HHDY....DYCAA..ECF...ECFRITTBBRI.. C98 H99 D98 A99 F99 
6 5 1	..HHDYC...DYCAA..ECF...E.FRITTBBRI.. C99 H99 D98 A99 F99 
6 5 1	.HH.DY....DYCF.AAECFR..EC.RITT.BBI.. C98 D98 A99 R99 B99 
6 5 1	.HH.DY.F..DYCFAA.EC.R..EC.RITT.BBI.. C98 D98 F99 R99 B99 
6 5 1	.HH.DY....DYC.AA.ECFR..ECFRITT.BBI.. C98 D98 F99 R99 B99 
6 5 1	CHH.DYCF..DYCFAA.E..RI.E..RITT....BB F99 D98 R99 I99 B96 
6 5 1	HH..DYC...DYCF.AAECF.I.E..RITTBBR... H99 D98 C99 A99 I99 
6 5 1	HH..DY....DYCFAA.ECFR..EC.RITT.BBI.. H99 D98 C98 R99 B99 
6 5 1	HHR.DYC.R.DYCF.AAECF...E...ITTBB.I.. H99 D98 C99 A99 R96 
6 5 1	HH..DYC.R.DYCFRAAECF...E...ITTBB.I.. H99 D98 C99 A99 R97 
6 5 1	HH..DYC...DYCF.AAECFR..E..RITTBB.I.. H99 D98 C99 A99 R99 
6 5 1	CHH.DYC...DYCF.AAE.FRI.E..RITT..BB.. A99 D98 R99 I99 B98 
6 5 1	.HH.DYC.R.DYC.RAAECF...E.F.ITTBB.I.. C99 D98 F99 A99 R97 
6 5 1	.HH.DY....DY.F.AAECFR..EC.RITTCBBI.. C97 D98 A99 R99 B99 
6 5 1	..HHDYC...DYC..AAECF...E.FRITTBBRI.. C99 H99 D98 F99 A99 
6 5 1	.HH.DYC...DYC..AAECFR..E.FRITTBB.I.. C99 D98 F99 A99 R99 
6 5 1	.HH.DY....DY.FAA.ECFRI.EC.RITTCBB... C97 D98 R99 I99 B99 
6 5 1	HH..DYC...DYC..AAECF...E.FRITTBBRI.. H99 D98 C99 A99 F99 
6 5 1	.HH.DY.F..DY.FAA.EC.R..EC.RITTCBBI.. C97 D98 F99 R99 B99 
6 5 1	CHH.DYC...DYC.AA.E.FRI.E.FRITT....BB F99 D98 R99 I99 B96 
6 5 1	.HH.DY....DY..AA.ECFR..ECFRITTCBBI.. C97 D98 F99 R99 B99 
6 5 1	C.HHDYC.R.DYCFRAAE.F.I.E...ITTBB.... H99 A99 D98 R97 I99 
6 5 1	.HH.DYCFR.DYCFRAAEC....E...ITTBB.I.. C99 D98 F99 A99 R97 
6 5 1	HH..DY....DY.FAA.ECFR..EC.RITTCBBI.. H99 D98 C97 R99 B99 
6 5 1	.HH.DYC...DYCFAA.ECFRI.E..RITT....BB C99 D98 R99 I99 B96 
6 5 1	..HHDYCF..DYCF.AAEC....E..RITTBBRI.. C99 H99 D98 F99 A99 
6 5 1	.HH.DYCF..DYCF.AAEC.R..E..RITTBB.I.. C99 D98 F99 A99 R99 
6 5 1	HH..DYCF..DYCF.AAEC....E..RITTBBRI.. H99 D98 C99 F99 A99 
6 5 1	.HH.DY....DYCFAA.ECFRI.EC.RITT....BB C98 D98 R99 I99 B96 
6 5 1	.HH.DYC...DYCFRAAECFRI.E...ITTBB.... C99 D98 A99 R98 I99 
6 5 1	.HH.DYCF..DYCFRAAEC.R..E...ITTBB.I.. C99 D98 F99 A99 R98 
6 5 1	.HH.DYC...DYC.RAAECFR..E.F.ITTBB.I.. C99 D98 F99 A99 R98 
6 5 1	C.HHDYC...DYCFAA.E.FRI.E..RITT....BB H99 D98 R99 I99 B96 
6 5 1	..HHDYC...DYCFRAAECFR..E...ITTBB.I.. C99 H99 D98 A99 R98 
6 5 1	.FHHDY.F..DYC.AA.EC..I.EC.RITTBBR... C98 H99 D98 F98 I99 
6 5 1	HH..DYC...DYCFRAAECFR..E...ITTBB.I.. H99 D98 C99 R98 A99 
6 5 1	C.HHDYC...DYCFAA.E.FRI.E..RITT..BB.. H99 D98 R99 I99 B98 
6 5 1	C.HHDYC...DYCFAA.E.FRI.E..RITT...BB. H99 D98 R99 I99 B97 
6 5 1	C.HHDYC...DYCF.AAE.FRI.E..RITTBB.... H99 A99 D98 R99 I99 
6 5 1	.FHHDYCF..DYC.AA.EC..I.E..RITTBBR... C99 H99 D98 F98 I99 
6 5 1	..HHDYC...DYCF.AAECFR..E..RITTBB.I.. C99 H99 D98 A99 R99 
6 5 1	HH..DY....DYCAA..ECF...ECFRITTBBRI.. H99 D98 C98 A99 F99 
6 5 1	CFHHDYCF..DYC.AA.E..RI.E..RITTBB.... H99 F98 D98 R99 I99 
6 5 1	C.HHDYC...DYC.AA.E.FRI.E.FRITTBB.... H99 F99 D98 R99 I99 
6 5 1	C.HHDYCF..DYCFAA.E..RI.E..RITTBB.... H99 F99 D98 R99 I99 
6 5 1	CHHIDYC..IDYCAA..E.FR..E.FR.TTBB.... F99 A99 D98 R99 I96 
6 5 1	CHHIDYC..IDYC.AA.E.F...E.FR.TTBBR... F99 A98 D98 I96 
6 5 1	CHHIDYC..IDYC..AAE.F...E.FR.TTBBR... F99 A97 D98 I96 
6 5 1	..HHDY....DYCFAA.ECFRI.EC.RITTBB.... C98 H99 D98 R99 I99 
6 5 1	CHH.DYC...DYC.RAAE.FR..E.F.ITT.BBI.. F99 A99 D98 R98 B99 
6 5 1	CHH.DYCF..DYCFRAAE..R..E...ITT.BBI.. F99 A99 D98 R98 B99 
6 5 1	.HHIDY...IDYCAA..ECF...ECFR.TTBBR... C98 I96 D98 A99 F99 
6 5 1	.HHIDYC..IDYCAA..ECF...E.FR.TTBBR... C99 I96 D98 A99 F99 
6 5 1	..HHDYC...DYCFAA.ECFRI.E..RITTBB.... C99 H99 D98 R99 I99 
6 5 1	CHH.DYC...DYCFRAAE.FRI.E...ITT...BB. A99 D98 R98 I99 B97 
6 5 1	.HH.DY....DY.FRAAECFR..EC..ITTCBBI.. C97 D98 R98 A99 B99 
6 5 1	.HH.DY....DYCFRAAECFR..EC..ITT.BBI.. C98 D98 R98 A99 B99 
6 5 1	CHH.DYC...DYCFRAAE.FRI.E...ITT.BB... A99 D98 R98 I99 B99 
6 5 1	CHH.DYC...DYCFRAAE.FRI.E...ITT..BB.. A99 D98 R98 I99 B98 
6 5 1	CFHHDYCF..DYC.AA.E..R..E..RITT.BBI.. H99 F98 D98 R99 B99 
6 5 1	C.HHDYC...DYCF.AAE.FR..E..RITT.BBI.. H99 A99 D98 R99 B99 
6 5 1	CHH.DYC...DYC..AAE.FR..E.FRITT.BBI.. F99 A99 D98 R99 B99 
6 5 1	CHH.DYC...DYC.RAAE.FRI.E.F.ITTBB.... F99 A99 D98 R98 I99 
6 5 1	CHH.DYC.R.DYCFRAAE.F.I.E...ITT....BB A99 D98 R97 I99 B96 
6 5 1	HH..DYC...DYC.AA.ECF.I.E.FRITTBBR... H99 D98 C99 F99 I99 
6 5 1	C.HHDYCF..DYCFAA.E..R..E..RITT.BBI.. H99 F99 D98 R99 B99 
6 5 1	CHH.DYC.R.DYCFRAAE.F.I.E...ITT.BB... A99 D98 R97 I99 B99 
6 5 1	CHH.DYC.R.DYCFRAAE.F.I.E...ITT..BB.. A99 D98 R97 I99 B98 
6 5 1	C.HHDYC...DYC.AA.E.FR..E.FRITT.BBI.. H99 F99 D98 R99 B99 
6 5 1	CHH.DYC.R.DYC.RAAE.F.I.E.F.ITTBB.... F99 A99 D98 R97 I99 
6 5 1	.HH.DYC.R.DYCFRAAECF.I.E...ITTBB.... C99 D98 R97 A99 I99 
6 5 1	..HHDY....DYCFAA.ECFR..EC.RITT.BBI.. C98 H99 D98 R99 B99 
6 5 1	C.HHDYC.R.DYCFRAAE.F...E...ITT.BBI.. H99 A99 D98 R97 B99 
6 5 1	HH..DY..R.DYCFRAAECF...EC..ITTBB.I.. H99 D98 C98 A99 R97 
6 5 1	.HH.DY..R.DY.FRAAECF...EC..ITTCBBI.. C97 D98 R97 A99 B99 
6 5 1	.HH.DY..R.DYCFRAAECF...EC..ITT.BBI.. C98 D98 R97 A99 B99 
6 5 1	HH..DY....DYC..AAECF...ECFRITTBBRI.. H99 D98 C98 F99 A99 
6 5 1	.HH.DYC.R.DYCFRAAECF...E...ITT.BBI.. C99 D98 R97 A99 B99 
6 5 1	..HHDY....DY.FAA.ECFR..EC.RITTCBBI.. C97 H99 D98 R99 B99 
6 5 1	C.HHDYCFR.DYCFRAAE.....E...ITTBB.I.. H99 F99 A99 D98 R97 
6 5 1	CFHHDYCFR.DYC.RAAE.....E...ITTBB.I.. H99 F98 A99 D98 R97 
6 5 1	..HHDY..R.DYCFRAAECF...EC..ITTBB.I.. C98 H99 D98 R97 A99 
6 5 1	C.HHDYC.R.DYC.RAAE.F...E.F.ITTBB.I.. H99 F99 A99 D98 R97 
6 5 1	..HHDYC...DYCFAA.ECFR..E..RITT.BBI.. C99 H99 D98 R99 B99 
6 5 1	.FHHDYCF..DYC.AA.EC.R..E..RITTBB.I.. C99 F98 H99 D98 R99 
6 5 1	..HHDYC.R.DYCFRAAECF...E...ITTBB.I.. C99 H99 D98 R97 A99 
6 5 1	CFHHDYCF..DYC.RAAE..R..E...ITTBB.I.. H99 F98 A99 D98 R98 
6 5 1	CHH.DYC...DYCFAA.E.FR..E..RITT...IBB D98 R99 I98 B96 
6 5 1	C.HHDYCF..DYCFRAAE..R..E...ITTBB.I.. H99 F99 A99 D98 R98 
6 5 1	C.HHDYC...DYC.RAAE.FR..E.F.ITTBB.I.. H99 F99 A99 D98 R98 
6 5 1	.FHHDY.F..DYC.AA.EC.R..EC.RITTBB.I.. C98 F98 H99 D98 R99 
6 5 1	..HHDY....DYCFRAAECFR..EC..ITTBB.I.. C98 H99 D98 R98 A99 
6 5 1	HH..DYCF..DYCFAA.EC..I.E..RITTBBR... H99 D98 C99 F99 I99 
