4 0 4	CHH..YC....YCFAADE.F..DE..RITTBBRI.. 
6 4 2	.HH.DY....DYCAA..ECF...ECFRITTBBRI.. C98 D98 A99 F99 
6 4 2	.HH.DYC...DYCAA..ECF...E.FRITTBBRI.. C99 D98 A99 F99 
6 4 2	.HH.DYCF..DYCF.AAEC....E..RITTBBRI.. C99 D98 F99 A99 
6 4 2	CHH.DYC...DYCAA..E.FR..E.FRITTBB.I.. F99 A99 D98 R99 
6 3 3	C.HH.YCF..DYCFAADE.....E..RITTBBRI.. H99 F99 D99 
6 4 2	.HH.DYC...DYC.AA.ECFR..E.FRITTBB.I.. C99 D98 F99 R99 
6 3 3	.HH..Y.F..DYCFAADEC....EC.RITTBBRI.. C98 F99 D99 
7 5 2	.HH.DYCF..DYCFAA.EC.RI.E..RITTBB.... C99 D98 F99 R99 I99 
7 5 2	HH..DYC...DYCFAA.ECFR..E..RITT.BBI.. H99 D98 C99 R99 B99 
7 3 4	CHH..YC....YC.AADE.FR.DE.FRITT.BBI.. F99 R99 B99 
6 4 2	CHH.DYC...DYC.AA.E.FR..E.FRITT.BBI.. F99 D98 R99 B99 
7 4 3	CHH..YC...DYCAA.DE.F.I.E.FRITTBBR... F99 A99 D99 I99 
7 5 2	..HHDY....DYCFAA.ECFRI.EC.RITTBB.... C98 H99 D98 R99 I99 
7 4 3	.HH..YCF..DYCFAADEC....E..RITTBBRI.. C99 D97 F99 
7 5 2	C.HHDYC...DYCFAA.E.FRI.E..RITT....BB H99 D98 R99 I99 B96 
7 5 2	.HH.DY....DY.FAA.ECFRI.EC.RITTC...BB C97 D98 R99 I99 B96 
7 3 4	C..HHYC...DYCFAADE.FR..E..RITTBB.I.. H98 D99 R99 
7 4 3	CHH..YC...DYC.AADE.FR..E.FRITT.BBI.. F99 D99 R99 B99 
7 5 2	.HH.DY....DYCFAA.ECFRI.EC.RITT....BB C98 D98 R99 I99 B96 
7 5 2	.HH.DY....DY..AA.ECFR..ECFRITTCBBI.. C97 D98 F99 R99 B99 
7 5 2	.HH.DYC...DYCFAA.ECFRI.E..RITT....BB C99 D98 R99 I99 B96 
7 5 2	C.HHDYC...DYCF.AAE.FR..E..RITT.BBI.. H99 A99 D98 R99 B99 
7 5 2	CHH.DYCF..DYCFAA.E..RI.E..RITT...BB. F99 D98 R99 I99 B97 
7 5 2	CHH.DYCF..DYCFAA.E..RI.E..RITT..BB.. F99 D98 R99 I99 B98 
7 3 4	.HH..Y.....YCFAADECFRIDEC.RITTBB.... C98 R99 I99 
7 5 2	CHH.DYCF..DYCFAA.E..RI.E..RITT.BB... F99 D98 R99 I99 B99 
7 5 2	CHH.DYCF..DYCF.AAE..RI.E..RITTBB.... F99 A99 D98 R99 I99 
7 5 2	.HH.DYC...DYCF.AAECF.I.E..RITTBBR... C97 A99 D98 I99 
7 5 2	C.HHDYCF..DYCFAA.E..RI.E..RITTBB.... H99 F99 D98 R99 I99 
7 5 2	..HHDY.F..DYCFAA.EC..I.EC.RITTBBR... C98 H99 D98 F99 I99 
7 3 4	CHH..YCF...YCFAADE..R.DE..RITT.BBI.. F99 R99 B99 
7 4 3	C.HH.YC...DYCFAADE.FR..E..RITT.BBI.. H99 D99 R99 B99 
7 4 3	.HH..Y....DYC.AADECF.I.ECFRITTBBR... C98 D99 F99 I99 
7 4 3	.HH..YC...DYC.AADECF.I.E.FRITTBBR... C99 D99 F99 I99 
7 3 4	C..HHYC....YCAA.DE.F..DE.FRITTBBRI.. H98 F99 A99 
7 3 4	CHHI.YC..I.YCAA.DE.F..DE.FR.TTBBR... F99 A99 I96 
7 5 2	CHH.DYC...DYCFAA.E.FR..E..RITT...IBB D98 R99 I98 B96 
7 3 4	..HH.YCF...YCFAADEC...DE..RITTBBRI.. C99 H99 F99 
7 5 2	.HH.DY.F..DYCF.AAEC.R..EC.RITTBB.I.. C98 D98 F99 A99 R99 
7 4 3	.HH..Y....DYCFAADECFR..EC.RITTBB.I.. C98 D97 R99 
7 5 2	HH..DY.F..DYCFAA.EC.R..EC.RITTBB.I.. H99 D98 F99 C98 R99 
7 3 4	C..HHYC...DYC.AADE.F...E.FRITTBBRI.. H98 F99 D99 
7 3 4	C..HHYC....YC.AADE.F.IDE.FRITTBBR... H98 F99 I99 
7 5 2	CHH.DYCF..DYCFAA.E..RI.E..RITT....BB F99 D98 R99 I99 B96 
7 3 4	...HHY.....YC.AADECF..DECFRITTBBRI.. C98 H98 F99 
7 3 4	...HHYC....YC.AADECF..DE.FRITTBBRI.. C99 H98 F99 
7 5 2	.HH.DY.F..DYCFAA.EC.R..EC.RITT.BBI.. C98 D98 F99 R99 B99 
7 3 4	CHH..YC....YCAA.DE.F.IDE.FRITTBBR... F99 A99 I99 
7 5 2	.HH.DY....DYC.AA.ECFR..ECFRITT.BBI.. C98 D98 F99 R99 B99 
7 5 2	HH..DY....DYCFAA.ECFR..EC.RITT.BBI.. H99 D98 C98 R99 B99 
7 5 2	CHH.DYC...DYCF.AAE.FRI.E..RITT.BB... A99 D98 R99 I99 B99 
7 5 2	CHH.DYC...DYC..AAE.F.I.E.FRITTBBR... F99 A99 D98 I99 
7 5 2	.HH.DY....DYC.AA.ECFRI.ECFRITTBB.... C98 D98 F99 R99 I99 
7 3 4	C.HH.YC....YCAA.DE.F..DE.FRITTBBRI.. H99 F99 A99 
6 4 2	C.HHDYC...DYCAA..E.F...E.FRITTBBRI.. H99 F99 A99 D98 
7 4 3	CFHH.YCF..DYC.AADE...I.E..RITTBBR... H99 F98 D99 I99 
7 3 4	.HH..YC....YCAA.DECF..DE.FRITTBBRI.. C99 A99 F99 
7 3 4	CHH..YC....YC.AADE.FRIDE.FRITTBB.... F99 R99 I99 
6 4 2	CHH.DYC...DYC.AA.E.FRI.E.FRITTBB.... F99 D98 R99 I99 
7 3 4	C..HHYC....YC.AADE.FR.DE.FRITTBB.I.. H98 F99 R99 
7 4 3	.HH..YCF..DYCFAADEC.R..E..RITTBB.I.. C99 F99 D99 R99 
7 5 2	..HHDYC...DYCF.AAECF.I.E..RITTBBR... C99 H99 D98 A99 I99 
7 5 2	.FHHDY.F..DYC.AA.EC..I.EC.RITTBBR... C98 H99 F98 D98 I99 
7 3 4	C.HH.YC....YC.AADE.FR.DE.FRITTBB.I.. H99 F99 R99 
7 3 4	.HH..Y.....YC.AADECFR.DECFRITTBB.I.. C98 F99 R99 
7 5 2	..HHDY....DYC.AA.ECF.I.ECFRITTBBR... C98 H99 D98 F99 I99 
7 5 2	CHH.DYC...DYC.AA.E.FRI.E.FRITT...BB. F99 D98 R99 I99 B97 
7 3 4	.HH..YC....YC.AADECFR.DE.FRITTBB.I.. C99 F99 R99 
7 4 3	C.HH.YCF..DYCFAADE...I.E..RITTBBR... H99 F99 D99 I99 
7 4 3	.HH..Y.F..DYCFAADEC..I.EC.RITTBBR... C98 F99 D99 I99 
7 3 4	CFHH.YCF...YCAA.DE....DE..RITTBBRI.. H99 F98 A99 
6 4 2	CFHHDYCF..DYCAA..E.....E..RITTBBRI.. H99 F98 A99 D98 
7 4 3	C.HH.YC...DYCFAADE.F...E..RITTBBRI.. H99 D99 R98 
7 5 2	CFHHDYCF..DYC.AA.E...I.E..RITTBBR... H99 F96 D98 I99 
7 3 4	..HH.Y.F...YCFAADEC...DEC.RITTBBRI.. C98 H99 F99 
7 5 2	C.HHDYC...DYC.AA.E.FRI.E.FRITTBB.... H99 F99 D98 R99 I99 
7 4 3	C.HH.YCF..DYCFAADE..R..E..RITTBB.I.. H99 F99 D99 R99 
7 4 3	..HH.Y....DYCFAADECFR..EC.RITTBB.I.. C98 H99 D99 R99 
7 3 4	.HH..Y.....YCFAADECFR.DEC.RITT.BBI.. C98 R99 B99 
7 3 4	CHH..YCF...YCFAADE..RIDE..RITTBB.... F99 R99 I99 
7 3 4	HH...Y.....YC.AADECF..DECFRITTBBRI.. H99 C98 F99 
7 3 4	HH...YC....YCFAADECF.IDE..RITTBBR... H99 C99 I99 
6 4 2	HH..DYC...DYCFAA.ECF.I.E..RITTBBR... H99 C99 D98 I99 
7 3 4	.HH..YC....YCFAADECFR.DE..RITT.BBI.. C99 R99 B99 
7 4 3	CFHH.YCF..DYC.AADE.....E..RITTBBRI.. H99 F98 D97 
7 5 2	..HHDY.F..DYCF.AAEC....EC.RITTBBRI.. C98 H99 D98 F99 A99 
7 3 4	HH...YC....YC.AADECF..DE.FRITTBBRI.. H99 C99 F99 
7 5 2	..HHDY....DYCFAA.ECF...EC.RITTBBRI.. C98 H99 D98 F98 
7 5 2	HH..DY....DYCFAA.ECF.I.EC.RITTBBR... H99 C98 D98 I99 
7 5 2	HH..DYC...DYCF.AAECF.I.E..RITTBBR... H99 C99 A99 D98 I99 
7 5 2	.FHHDY.F..DYC.AA.EC.R..EC.RITTBB.I.. C98 H99 F98 D98 R99 
7 3 4	..HH.Y.....YC.AADECF..DECFRITTBBRI.. C98 H99 F99 
7 4 3	.HH..YC...DYCAA.DECF...E.FRITTBBRI.. C99 D99 F99 A99 
7 5 2	.HH.DYC...DYCAA..ECFR..E.FRITTBB.I.. C99 D98 A99 F99 R99 
7 5 2	CHH.DYCF..DYCFRAAE..RI.E...ITTBB.... F99 A99 D98 R98 I99 
7 3 4	HH...YC....YCFAADECFR.DE..RITTBB.I.. H99 C99 R99 
7 3 4	...HHY.....YCFAADECF..DEC.RITTBBRI.. C98 H98 
7 3 4	CF.HHYCF...YC.AADE...IDE..RITTBBR... H98 F98 I99 
7 5 2	CHH.DYC...DYC.RAAE.FR..E.F.ITTBB.I.. F97 A99 D98 R98 
7 5 2	.HH.DYC...DYCAA..ECF.I.E.FRITTBBR... C99 D98 A99 F99 I99 
7 5 2	CHHIDYC..IDYC.AA.E.F...E.FR.TTBBR... F99 A98 D98 I96 
7 5 2	C.HHDYCF..DYCFRAAE..R..E...ITTBB.I.. H99 F99 A99 D98 R98 
7 3 4	.HH..YC....YC.AADECF.IDE.FRITTBBR... C99 F99 I99 
7 5 2	.HHIDYC..IDYCAA..ECF...E.FR.TTBBR... C99 I96 D98 A99 F99 
7 5 2	.HH.DYC...DYC..AAECF...E.FRITTBBRI.. C97 D98 A99 F99 
7 5 2	.HH.DYCF..DYCFRAAEC.R..E...ITTBB.I.. C99 D98 F99 R98 A99 
7 3 4	..HH.Y.F...YCFAADEC...DEC.RITTBBRI.. C98 H99 F99 
7 5 2	HH..DY....DYC..AAECF...ECFRITTBBRI.. H99 D98 C98 A99 F99 
7 5 2	HH..DYC...DYCFAA.ECFRI.E..RITTBB.... H99 D98 C99 R99 I99 
7 4 3	..HH.Y....DYC.AADECF...ECFRITTBBRI.. C98 H99 D99 F99 
7 5 2	.HH.DYC.R.DYC.RAAECF...E.F.ITTBB.I.. C99 D98 R97 A99 F99 
7 5 2	HH..DYC...DYCFAA.ECF...E..RITTBBRI.. H99 D98 C99 R98 
7 3 4	..HH.YC....YC.AADECF..DE.FRITTBBRI.. C99 H99 F99 
7 5 2	CHH.DYC.R.DYCFRAAE.F.I.E...ITT...BB. A99 D98 R97 I99 B97 
7 5 2	HH..DYC...DYCF.AAECFR..E..RITTBB.I.. H99 D98 C99 A99 R99 
7 5 2	CHH.DYC.R.DYCFRAAE.F.I.E...ITT..BB.. A99 D98 R97 I99 B98 
7 5 2	CHH.DYCFR.DYCFRAAE...I.E...ITTBB.... F99 A99 D98 R97 I99 
7 4 3	..HH.YC...DYC.AADECF...E.FRITTBBRI.. C99 H99 F99 D99 
7 5 2	.HH.DY.F..DYCFRAAEC.R..EC..ITTBB.I.. C98 D98 F99 R98 A99 
7 4 3	CHH..YCF..DYCFAADE..RI.E..RITTBB.... F99 D99 R99 I99 
7 5 2	.HH.DYCF..DYCFAA.EC.R..E..RITTBB.I.. C99 D98 F97 R99 
7 5 2	CHH.DYC...DYCF.AAE.F.I.E..RITTBBR... A99 D98 R94 I99 
7 5 2	CHH.DYC...DYCFRAAE.FRI.E...ITTBB.... A99 D98 R96 I99 
7 5 2	CHH.DYC...DYCF.AAE.FRI.E..RITTBB.... A99 D98 R95 I99 
7 4 3	CHH..YC...DYCFAADE.FR..E..RITT.BBI.. D97 R99 B99 
7 5 2	.HH.DY..R.DYCFRAAECF.I.EC..ITTBB.... C98 D98 R97 A99 I99 
7 5 2	C.HHDYC.R.DYCFRAAE.F.I.E...ITTBB.... H99 A99 D98 R97 I99 
7 5 2	.HH.DY.F..DYCF.AAEC..I.EC.RITTBBR... C98 D98 F99 A99 I99 
7 5 2	.HH.DYC.R.DYCFRAAECF.I.E...ITTBB.... C99 D98 R97 A99 I99 
7 5 2	HH..DYC...DYC..AAECF...E.FRITTBBRI.. H99 D98 C99 A99 F99 
7 4 3	HH...YC...DYCFAADECF.I.E..RITTBBR... H99 C99 D99 I99 
7 3 4	HH...Y.....YCFAADECFR.DEC.RITTBB.I.. H99 C98 R99 
7 4 3	CHH..YC...DYC.AADE.F...E.FRITTBBRI.. F99 D99 R98 
7 5 2	CHH.DYC.R.DYC.RAAE.F...E.F.ITT.BBI.. F99 A99 D98 R97 B99 
7 5 2	C.HHDYC.R.DYCFRAAE.F...E...ITT.BBI.. H99 A99 D98 R97 B99 
7 4 3	CHH..YC...DYC.AADE.FRI.E.FRITTBB.... F99 D99 R99 I99 
7 4 3	CHH..YC...DYCAA.DE.FR..E.FRITTBB.I.. F99 A99 D99 R99 
7 5 2	.HH.DYC.R.DYCFRAAECF...E...ITT.BBI.. C99 D98 R97 A99 B99 
7 5 2	CHH.DYC...DYC..AAE.FR..E.FRITTBB.I.. F97 A99 D98 R99 
7 5 2	HH..DYCF..DYCFAA.EC.R..E..RITTBB.I.. H99 D98 C99 F99 R99 
7 4 3	C.HH.YC...DYC.AADE.FR..E.FRITTBB.I.. H99 F99 D99 R99 
7 5 2	C.HHDYC...DYC.AA.E.FR..E.FRITT.BBI.. H99 F99 D98 R99 B99 
7 5 2	.HH.DY.F..DY.FAA.EC.R..EC.RITTCBBI.. C97 D98 F99 R99 B99 
7 5 2	.HH.DYCF..DYCFAA.EC.R..E..RITT.BBI.. C99 D98 F99 R99 B99 
