7 0 7	VVBC....BCDEAABCDEHJ..F.HJNNFI.KK.FI 
8 4 4	VVBCDE..BCDEAABC..H...F.HJNNFI.JKKFI D99 E99 J99 K99 
8 3 5	VVB.D...BCDEAABC.EHJ.CF.HJNNFI..KKFI C99 D99 K99 
8 4 4	VVBCDE..BCDEAABC...J..F.HJNNFIH.KKFI D99 E99 H99 K99 
8 1 7	VVBC....BCDEAABCDEHJ..F.HJNNFIKK..FI K99 
8 4 4	VV.CDE..BCDEAABC..HJB.F.HJNNFI..KKFI B99 D99 E99 K99 
8 4 4	VVBCDE..BCDEAABC...J..FIHJNNFIHKK.F. D99 E99 H99 I99 
8 3 5	VVBCD...BCDEAABC.EH...F.HJNNFI.JKKFI D99 J99 K99 
9 1 8	VVBC....BCDEAABCDEHJ..FIHJNNFI.KK.F. I99 
9 2 7	VV.C....BCDEAABCDEHJB.F.HJNNFI..KKFI B99 K99 
8 3 5	VV.CD...BCDEAABC.EHJB.F.HJNNFI..KKFI B99 D99 K99 
9 4 5	VV..D...BCDEAABC.EHJBCF.HJNNFIKK..FI B99 C99 D99 K99 
9 3 6	VVBCD...BCD.AABC.EHJ..FEHJNNFIKK..FI D99 E99 K99 
9 2 7	VV.C....BCDEAABCDEHJB.F.HJNNFIKK..FI B99 K99 
9 2 7	VV.C....BCDEAABCDE.JB.F.HJNNFIHKK.FI B99 H99 
9 5 4	VVB.DE..BCDEAABC...J.CF.HJNNFIH.KKFI C99 D99 E99 H99 K99 
9 2 7	VVB.....BCDEAABCDEHJ.CF.HJNNFI..KKFI C99 K99 
9 5 4	VV..DE..BCDEAABC..HJBCF.HJNNFIKK..FI B99 C99 D99 E99 K99 
9 5 4	.VVCDE..BCDEAABC..HJB.F.HJNNFIKK..FI V99 B99 D99 E99 K99 
9 5 4	VVB.DE..BCDEAABC..HJ.CFIHJNNFI..KKF. C99 D99 E99 I99 K99 
9 2 7	VVB.....BCDEAABCDEHJ.CF.HJNNFIKK..FI C99 K99 
9 3 6	VVB..E..BCDEAABCD.HJ.CFIHJNNFI.KK.F. C99 E99 I99 
9 2 7	VVB.....BCDEAABCDE.J.CF.HJNNFIHKK.FI C99 H99 
9 5 4	.VVCDE..BCDEAABC..HJB.FIHJNNFI.KK.F. V99 B99 D99 E99 I99 
9 5 4	VV.CDE..BCDEAABC..HJB.FIHJNNFIKK..F. B99 D99 E99 I99 K99 
9 5 4	VVB.DE..BCDEAABC..HJ.CFIHJNNFIKK..F. C99 D99 E99 I99 K99 
9 3 6	VVB.D...BCDEAABC.EHJ.CFIHJNNFI.KK.F. C99 D99 I99 
9 3 6	VVB..E..BCDEAABCD..J.CF.HJNNFIHKK.FI C99 E99 H99 
9 3 6	VVBC.E..BCDEAABCD..J..FIHJNNFIHKK.F. E99 H99 I99 
9 3 6	VVB.D...BCD.AABC.EHJ.CFEHJNNFI.KK.FI C99 D99 E99 
8 4 4	VVB.DE..BCDEAABC..HJ.CF.HJNNFI.KK.FI C99 D99 E97 
9 5 4	VVB.DE..BCDEAABC..HJ.CF.HJNNFIKK..FI C99 D99 E97 K99 
9 5 4	VVB.DE..BCDEAABC..HJ.CF.HJNNFI..KKFI C99 D99 E97 K99 
9 3 6	VV.C.E..BCDEAABCD.HJB.F.HJNNFIKK..FI B99 E99 K99 
9 5 4	VV.CDE..BCDEAABC..HJB.F.HJNNFI.KK.FI B99 D99 E99 H98 
9 3 6	VV.CD...BCD.AABC.EHJB.FEHJNNFI.KK.FI B99 D99 E99 
9 5 4	VVB.DE..BCDEAABC..HJ.CF.HJNNFI.KK.FI C99 D99 E99 H98 
9 4 5	VV.CD...BCDEAABC.EHJB.F.HJNNFI..KKFI B99 D99 K97 
9 3 6	VV.C.E..BCDEAABCD..JB.F.HJNNFIHKK.FI B99 E99 H99 
9 3 6	VVBCDE..BCDEAABCF.HJ..F.HJNNFI.KK..I D99 E99 F99 
9 4 5	VV.CD...BCDEAABC.E.JB.F.HJNNFIH.KKFI B99 D99 H99 K99 
9 3 6	VVBCD...BCDEAABC.EHJ..FIHJNNFIKK..F. D99 I99 K99 
9 5 4	VV.CDE..BCDEAABC...JB.F.HJNNFIH.KKFI B99 D99 E99 H99 K99 
9 4 5	.VVCD...BCDEAABC.EHJB.F.HJNNFI..KKFI V99 B99 D99 K99 
9 4 5	VV..D...BCDEAABC.E.JBCF.HJNNFIHKK.FI B99 C99 D99 H99 
9 4 5	VV.CD...BCDEAABC.EH.B.F.HJNNFI.JKKFI B99 D99 J99 K99 
9 5 4	VV..DE..BCDEAABC...JBCF.HJNNFIHKK.FI B99 C99 D99 E99 H99 
9 4 5	.VVCD...BCDEAABC.E.JB.F.HJNNFIHKK.FI V99 B99 D99 H99 
9 5 4	.VVCDE..BCDEAABC..HJB.F.HJNNFI..KKFI V99 B99 D99 E99 K99 
9 5 4	.VVCDE..BCDEAABC...JB.F.HJNNFIHKK.FI V99 B99 D99 E99 H99 
9 5 4	VV..DE..BCDEAABC..HJBCF.HJNNFI..KKFI B99 C99 D99 E99 K99 
9 3 6	VVBC.E..BCDEAABCD.H...F.HJNNFI.JKKFI E99 J99 K99 
9 3 6	VVBC.E..BCDEAABCD.HJ..FIHJNNFI..KKF. E99 I99 K99 
9 4 5	VV..D...BCDEAABC.EHJBCF.HJNNFI..KKFI B99 C99 D99 K99 
9 3 6	VVBC.E..BCDEAABCD..J..F.HJNNFIH.KKFI E99 H99 K99 
9 5 4	VV.CDE..BCDEAABC..H.B.F.HJNNFI.JKKFI B99 D99 E99 J99 K99 
9 5 4	VVB.DE..BCDEAABC..H..CF.HJNNFI.JKKFI C99 D99 E99 J99 K99 
9 3 6	VVBCD...BCDEAABC.EHJ..FIHJNNFI..KKF. D99 I99 K99 
9 3 6	VVB..E..BCDEAABCD.HJ.CF.HJNNFI..KKFI C99 E99 K99 
9 3 6	VV.C.E..BCDEAABCD.HJB.F.HJNNFI..KKFI B99 E99 K99 
9 2 7	VVBC....BCDEAABCDE.J..F.HJNNFIH.KKFI H99 K99 
9 4 5	.VVCD...BCDEAABC.EHJB.F.HJNNFIKK..FI V99 B99 D99 K99 
9 4 5	VVBCD...BCDEAABC.E....F.HJNNFIHJKKFI D99 H99 J99 K99 
9 5 4	VVBCDE..BCDEAABC......F.HJNNFIHJKKFI D99 E99 H99 J99 K99 
10 3 7	VVBCD...BCDEAABCFEHJ..F.HJNNFIKK...I D99 F99 K99 
10 4 6	VVB.D...BCD.AABC.EHJ.CFEHJNNFIKK..FI C99 D99 E99 K99 
10 6 4	VV..DE..BCDEAABC...JBCFIHJNNFIHKK.F. B99 C99 D99 E99 H99 I99 
10 6 4	.VV.DE..BCDEAABC..HJBCF.HJNNFI..KKFI V99 B99 C99 D99 E99 K99 
10 6 4	.VVCDE..BCDEAABC..H.B.F.HJNNFI.JKKFI V99 B99 D99 E99 J99 K99 
10 6 4	.VVCDE..BCDEAABC..HJB.F.HJNNFI.KK.FI V99 B99 D99 E99 K98 
10 6 4	.VV.DE..BCDEAABC...JBCF.HJNNFIHKK.FI V99 B99 C99 D99 E99 H99 
10 6 4	..VVDE..BCDEAABC...JBCF.HJNNFIHKK.FI V98 B99 C99 D99 E99 H99 
10 2 8	VVB.....BCDEAABCDEHJ.CFIHJNNFI.KK.F. C99 I99 
10 5 5	VV..D...BCDEAABC.EH.BCF.HJNNFI.JKKFI B99 C99 D99 J99 K99 
10 2 8	VVBC....BCDEAABCDE.J..FIHJNNFIHKK.F. H99 I99 
9 3 6	VVBCD...BCDEAABC.E.J..FIHJNNFIHKK.F. D99 H99 I99 
10 5 5	VV..D...BCDEAABC.EHJBCF.HJNNFI.KK.FI B99 C99 D99 K98 
10 5 5	.VVCD...BCDEAABC.EHJB.F.HJNNFI.KK.FI V99 B99 D99 K98 
10 5 5	..VVD...BCDEAABC.E.JBCF.HJNNFIHKK.FI V98 B99 C99 D99 H99 
10 3 7	VV.C....BCDEAABCDEH.B.F.HJNNFI.JKKFI B99 J99 K99 
10 5 5	.VVCD...BCDEAABC.EH.B.F.HJNNFI.JKKFI V99 B99 D99 J99 K99 
10 5 5	.VV.D...BCDEAABC.EHJBCF.HJNNFI..KKFI V99 B99 C99 D99 K99 
10 4 6	VVBCDE..BCDEAABC.IHJ..FIHJNNF.KK..F. D99 E99 I98 K99 
10 6 4	VV.CDE..BCDEAABC....B.F.HJNNFIHJKKFI B99 D99 E99 H99 J99 K99 
10 3 7	.VVC....BCDEAABCDEHJB.F.HJNNFIKK..FI V99 B99 K99 
10 5 5	VV.CD...BCDEAABC.E..B.F.HJNNFIHJKKFI B99 D99 H99 J99 K99 
10 4 6	VV.CD...BCD.AABC.E.JB.FEHJNNFIHKK.FI B99 D99 E99 H99 
10 4 6	VVBCDE..BCDEAABCF..J..F.HJNNFIHKK..I D99 E99 H99 F99 
10 4 6	.VVCD...BCD.AABC.EHJB.FEHJNNFI.KK.FI V99 B99 D99 E99 
10 5 5	.VVCD...BCDEAABC.E.JB.F.HJNNFIH.KKFI V99 B99 D99 H99 K99 
10 4 6	VV.CD...BCD.AABC.EHJB.FEHJNNFIKK..FI B99 D99 E99 K99 
10 4 6	VVB.DE..BCDEAABCF.HJ.CF.HJNNFI.KK..I C99 D99 E99 F99 
10 4 6	.VVC.E..BCDEAABCD..JB.F.HJNNFIHKK.FI V99 B99 E99 H99 
10 4 6	VVBCD...BCD.AABC.EHJ..FEHJNNFIKK..FI D99 E97 K99 
10 6 4	VV.CDE..BCDEAABC..HJB.FIHJNNFI..KKF. B99 D99 E99 I99 K97 
10 4 6	VV...E..BCDEAABCD..JBCF.HJNNFIHKK.FI B99 C99 E99 H99 
10 6 4	.VVCDE..BCDEAABC..HJB.FIHJNNFI..KKF. V99 B99 D99 E99 I99 K99 
10 4 6	VVBCDE..BCDEAABCF.HJ..F.HJNNFIKK...I D99 E99 F99 K99 
10 6 4	.VV.DE..BCDEAABC..HJBCFIHJNNFI.KK.F. V99 B99 C99 D99 E99 I99 
10 6 4	.VVCDE..BCDEAABC...JB.FIHJNNFIHKK.F. V99 B99 D99 E99 H99 I99 
10 2 8	VVBC.E..BCDEAABCDIHJ..FIHJNNF..KK.F. E99 I98 
10 4 6	VVB..E..BCDEAABCD.HJ.CF.HJNNFI.KK.FI C99 E99 I98 
10 4 6	VV...E..BCDEAABCD.HJBCFIHJNNFI.KK.F. B99 C99 E99 I99 
10 6 4	VV..DE..BCDEAABC..HJBCFIHJNNFI..KKF. B99 C99 D99 E99 I99 K99 
10 6 4	.VVCDE..BCDEAABC..HJB.FIHJNNFIKK..F. V99 B99 D99 E99 I99 K99 
10 6 4	VVB.DE..BCDEAABC..H..CFIHJNNFI.JKKF. C99 D99 E99 J99 I99 K99 
10 4 6	VVB..E..BCDEAABCD..J.CFIHJNNFIHKK.F. C99 E99 H99 I99 
9 5 4	VVB.DE..BCDEAABC...J.CFIHJNNFIHKK.F. C99 D99 E99 H99 I99 
10 4 6	VV.C.E..BCDEAABCD.HJB.FIHJNNFIKK..F. B99 E99 I99 K99 
10 6 4	VV..DE..BCDEAABC..HJBCF.HJNNFI.KK.FI B99 C99 D99 E99 K98 
10 4 6	VVBC.E..BCDEAABCD..J..FIHJNNFIH.KKF. E99 H99 I99 K99 
9 5 4	VVBCDE..BCDEAABC...J..FIHJNNFIH.KKF. D99 E99 H99 I99 K99 
10 4 6	VV...E..BCDEAABCD.HJBCF.HJNNFIKK..FI B99 C99 E99 K99 
10 6 4	VV..DE..BCDEAABC..HJBCFIHJNNFIKK..F. B99 C99 D99 E99 I99 K99 
10 6 4	VVB.DE..BCDEAABC..HJ.CF.HJNNFIKK..FI B98 C99 D99 E99 K99 
10 3 7	VV.CD...BCDEAABCFEHJB.F.HJNNFI.KK..I B99 D99 F99 
10 6 4	.VV.DE..BCDEAABC..HJBCF.HJNNFIKK..FI V99 B99 C99 D99 E99 K99 
10 4 6	.VVC.E..BCDEAABCD.HJB.F.HJNNFIKK..FI V99 B99 E99 K99 
10 3 7	VVB.....BCDEAABCDE.J.CF.HJNNFIH.KKFI C99 H99 K99 
9 4 5	VVB.D...BCDEAABC.E.J.CF.HJNNFIH.KKFI C99 D99 H99 K99 
10 5 5	VV..D...BCDEAABC.E.JBCF.HJNNFIH.KKFI B99 C99 D99 H99 K99 
10 6 4	VVB.DE..BCDEAABC..HJ.CF.HJNNFI..KKFI C99 D99 E99 H98 K99 
10 4 6	VVBCD...BCDEAABC.E.J..FIHJNNFIH.KKF. D99 H99 I99 K99 
10 6 4	VVB.DE..BCDEAABC.....CF.HJNNFIHJKKFI C99 D99 E99 H99 J99 K99 
10 6 4	.VVCDE..BCDEAABC...JB.F.HJNNFIH.KKFI V99 B99 D99 E99 H99 K99 
10 6 4	VV..DE..BCDEAABC...JBCF.HJNNFIH.KKFI B99 C99 D99 E99 H99 K99 
10 4 6	VVBCDE..BCDEAABC.IHJ..FIHJNNF...KKF. D99 E99 I98 K99 
10 3 7	VVBC....BCDEAABCDE.J..F.HJNNFIHKK.FI B98 H99 
10 3 7	.VVC....BCDEAABCDE.JB.F.HJNNFIHKK.FI V99 B99 H99 
10 3 7	VV......BCDEAABCDEHJBCF.HJNNFIKK..FI B99 C99 K99 
10 4 6	VVBCDE..BCDEAABCF.HJ..F.HJNNFI..KK.I D99 E99 F99 K99 
10 5 5	..VVD...BCDEAABC.EHJBCF.HJNNFIKK..FI V98 B99 C99 D99 K99 
10 3 7	VVBCD...BCDEAABCFE.J..F.HJNNFIHKK..I D99 H99 F99 
10 5 5	.VV.D...BCDEAABC.EHJBCF.HJNNFIKK..FI V99 B99 C99 D99 K99 
10 2 8	VVBC....BCD.AABCDEHJ..FEHJNNFI..KKFI E99 K99 
10 3 7	VV.C....BCDEAABCDE.JB.F.HJNNFIH.KKFI B99 H99 K99 
10 4 6	VV.CD...BCDEAABC.E.JB.FIHJNNFIHKK.F. B99 D99 H99 I99 
9 5 4	VV.CDE..BCDEAABC...JB.FIHJNNFIHKK.F. B99 D99 E99 H99 I99 
10 3 7	.VVC....BCDEAABCDEHJB.F.HJNNFI..KKFI V99 B99 K99 
10 4 6	VVBCD...BCD.AABC.EH...FEHJNNFI.JKKFI D99 E99 J99 K99 
10 4 6	VV.CDE..BCDEAABCF.HJB.F.HJNNFI.KK..I B99 D99 E99 F99 
10 4 6	VVB.D...BCDEAABC.EHJ.CFIHJNNFI..KKF. C99 D99 I99 K99 
10 2 8	VVBC....BCDEAABCDEHJ..FIHJNNFIKK..F. I99 K99 
9 3 6	VVBC.E..BCDEAABCD.HJ..FIHJNNFIKK..F. E99 I99 K99 
10 4 6	VVBCDE..BCDEAABCF.HJ..FIHJNNFI.KK... D99 E99 F99 I99 
10 4 6	VVB..E..BCDEAABCD.HJ.CFIHJNNFIKK..F. C99 E99 I99 K99 
10 6 4	VVBCDE..BCDEAABC......FIHJNNFIHJKKF. D99 E99 H99 J99 I99 K99 
10 5 5	..VVD...BCDEAABC.EHJBCF.HJNNFI..KKFI V98 B99 C99 D99 K99 
10 4 6	.VVC.E..BCDEAABCD.HJB.F.HJNNFI..KKFI V99 B99 E99 K99 
10 4 6	VVB..E..BCDEAABCD.HJ.CF.HJNNFIKK..FI C99 E99 K97 
10 4 6	VVBC.E..BCDEAABCD.HJ..FIHJNNFIKK..F. E99 I99 K97 
10 6 4	VV.CDE..BCDEAABC..H.B.FIHJNNFI.JKKF. B99 D99 E99 J99 I99 K99 
10 4 6	VVB..E..BCDEAABCD.HJ.CFIHJNNFI..KKF. C99 E99 I99 K99 
10 4 6	VVBC.E..BCDEAABCD.H...FIHJNNFI.JKKF. E99 J99 I99 K99 
9 5 4	VVBCDE..BCDEAABC..H...FIHJNNFI.JKKF. D99 E99 J99 I99 K99 
10 4 6	VV.C.E..BCDEAABCD.H.B.F.HJNNFI.JKKFI B99 E99 J99 K99 
10 6 4	..VVDE..BCDEAABC..HJBCF.HJNNFI..KKFI V98 B99 C99 D99 E99 K99 
11 4 7	VVBCD...BCDEAABCFEHJ..F.HJNNFI...KKI D99 F99 K96 
11 5 6	VVB.DE..BCDEAABCF.HJ.CF.HJNNFI.KK..I C99 D99 E97 F99 
11 3 8	VVBCD...BCDEAABCFEHJ..FIHJNNFI.KK... D99 F99 I99 
11 3 8	VVBC....BCDEAABCDEHJ..FIHJNNFI..KKF. I99 K97 
11 5 6	.VVC.E..BCDEAABCD.H.B.F.HJNNFI.JKKFI V99 B99 E99 J99 K99 
11 5 6	VV.CD...BCDEAABC.E.JB.FIHJNNFIH.KKF. B99 D99 H99 I99 K99 
11 3 8	VVBC.E..BCDEAABCDIHJ..FIHJNNF.KK..F. E99 I98 K99 
11 7 4	..VVDE..BCDEAABC...JBCF.HJNNFIH.KKFI V98 B99 C99 D99 E99 H99 K99 
11 3 8	VV......BCDEAABCDEHJBCFIHJNNFI.KK.F. B99 C99 I99 
10 4 6	VV..D...BCDEAABC.EHJBCFIHJNNFI.KK.F. B99 C99 D99 I99 
9 5 4	VV..DE..BCDEAABC..HJBCFIHJNNFI.KK.F. B99 C99 D99 E99 I99 
11 5 6	VV..D...BCDEAABC.EHJBCFIHJNNFIKK..F. B99 C99 D99 I99 K99 
11 5 6	VV.CDE..BCDEAABCF.HJB.F.HJNNFIKK...I B99 D99 E99 F99 K99 
11 5 6	VV.CD...BCD.AABC.EHJB.FEHJNNFIKK..FI B99 D99 E97 K99 
11 3 8	VV.C....BCDEAABCDEHJB.FIHJNNFIKK..F. B99 I99 K99 
10 4 6	VV.CD...BCDEAABC.EHJB.FIHJNNFIKK..F. B99 D99 I99 K99 
11 5 6	..VVD...BCDEAABC.EHJBCFIHJNNFI.KK.F. V98 B99 C99 D99 I99 
10 6 4	..VVDE..BCDEAABC..HJBCFIHJNNFI.KK.F. V98 B99 C99 D99 E99 I99 
11 5 6	.VVCD...BCD.AABC.EHJB.FEHJNNFI..KKFI V99 B99 D99 E99 K99 
11 5 6	VV..D...BCDEAABC.E.JBCFIHJNNFIHKK.F. B99 C99 D99 H99 I99 
11 4 7	VVB.D...BCDEAABCFEHJ.CF.HJNNFIKK...I C99 D99 F99 K99 
11 7 4	VV.CDE..BCDEAABC...JB.FIHJNNFIH.KKF. B99 D99 E99 H99 I99 K97 
11 5 6	VV.CD...BCDEAABC.EHJB.FIHJNNFI..KKF. B99 D99 I99 K97 
11 5 6	VV.CDE..BCDEAABC.IHJB.FIHJNNF...KKF. B99 D99 E99 I98 K99 
11 5 6	...VVE..BCDEAABCD.HJBCFIHJNNFI.KK.F. V97 B99 C99 E99 I99 
11 5 6	VVB.DE..BCDEAABCF.HJ.CF.HJNNFI...KKI C99 D99 E99 F99 K98 
11 5 6	VVBCDE..BCDEAABCF.HJ..FIHJNNFIKK.... D99 E99 F99 I99 K99 
11 5 6	VVB.DE..BCDEAABCF.HJ.CF.HJNNFI..KK.I C99 D99 E99 F99 K99 
11 5 6	VVBCDE..BCDEAABCF.HJ..F.HJNNFI...KKI D99 E99 F99 K96 
11 5 6	VVBCDE..BCDEAABCF..J..F.HJNNFIH..KKI D99 E99 H99 F99 K98 
11 7 4	..VVDE..BCDEAABC..H.BCF.HJNNFI.JKKFI V98 B99 C99 D99 E99 J99 K99 
11 5 6	.VV..E..BCDEAABCD.HJBCF.HJNNFI..KKFI V99 B99 C99 E99 K99 
11 5 6	VV.CDE..BCDEAABC.IHJB.FIHJNNF..KK.F. B99 D99 E99 I98 
11 3 8	VVB.....BCDEAABCDEHJ.CFIHJNNFIKK..F. C99 I99 K99 
10 4 6	VVB.D...BCDEAABC.EHJ.CFIHJNNFIKK..F. C99 D99 I99 K99 
11 5 6	VVBCDE..BCDEAABCF.HJ..FIHJNNFI...KK. D99 E99 F99 I99 K98 
11 5 6	VVBCD...BCD.AABC.EHJ..FEHJNNFI..KKFI D99 E99 J98 K99 
11 5 6	VV.CDE..BCDEAABCF.HJB.F.HJNNFI...KKI B99 D99 E99 F99 K98 
11 5 6	VVB.D...BCDEAABC.EH..CFIHJNNFI.JKKF. C99 D99 J99 I99 K99 
11 5 6	.VVCD...BCD.AABC.E.JB.FEHJNNFIHKK.FI V99 B99 D99 E99 H99 
11 5 6	.VVCD...BCDEAABC.E.JB.FIHJNNFIHKK.F. V99 B99 D99 H99 I99 
11 3 8	VV.C.E..BCDEAABCDIHJB.FIHJNNF..KK.F. B99 E99 I98 
10 4 6	VV.C.E..BCDEAABCD.HJB.FIHJNNFI.KK.F. B99 E99 I97 
11 4 7	VVBC....BCDEAABCDE.J..F.HJNNFIH.KKFI D98 H99 K99 
11 5 6	.VVC.E..BCDEAABCD.HJB.FIHJNNFI.KK.F. V99 B99 E99 I97 
11 5 6	VV.C.E..BCDEAABCD.HJB.FIHJNNFI..KKF. B99 E99 I97 K99 
11 5 6	VV.CDE..BCDEAABC.IHJB.FIHJNNF.KK..F. B99 D99 E99 I98 K99 
11 3 8	VVB.....BCD.AABCDE.J.CFEHJNNFIHKK.FI C99 E99 H99 
11 5 6	.VVCD...BCDEAABC.EHJB.FIHJNNFIKK..F. V99 B99 D99 I99 K99 
11 5 6	.VV..E..BCDEAABCD..JBCF.HJNNFIHKK.FI V99 B99 C99 E99 H99 
11 7 4	.VV.DE..BCDEAABC..HJBCFIHJNNFIKK..F. V99 B99 C99 D99 E99 I99 K99 
11 4 7	VV......BCDEAABCDEHJBCF.HJNNFI.KK.FI B99 C99 K98 
11 5 6	VVB.DE..BCDEAABCF.HJ.CF.HJNNFI..KK.I C99 D99 E99 F99 K99 
11 5 6	VV...E..BCDEAABCD.HJBCF.HJNNFI.KK.FI B99 C99 E99 H98 
11 4 7	.VVC....BCDEAABCDE.JB.F.HJNNFIH.KKFI V99 B99 H99 K99 
11 4 7	...VV...BCDEAABCDEHJBCF.HJNNFIKK..FI V97 B99 C99 K99 
11 4 7	..VV....BCDEAABCDEHJBCF.HJNNFIKK..FI V98 B99 C99 K99 
11 4 7	VVBCD...BCDEAABCFEHJ..F.HJNNFI.KK..I D99 E98 F99 
11 3 8	VVB.....BCDEAABCDE.J.CFIHJNNFIHKK.F. C99 H99 I99 
10 4 6	VVB.D...BCDEAABC.E.J.CFIHJNNFIHKK.F. C99 D99 H99 I99 
11 5 6	VVB.DE..BCDEAABC.IHJ.CFIHJNNF...KKF. C99 D99 E99 I98 K99 
11 3 8	VVB.....BCD.AABCDEHJ.CFEHJNNFIKK..FI C99 E99 K99 
11 5 6	VVB.D...BCDEAABC.E.J.CFIHJNNFIH.KKF. C99 D99 H99 I99 K99 
10 6 4	VVB.DE..BCDEAABC...J.CFIHJNNFIH.KKF. C99 D99 E99 H99 I99 K99 
11 5 6	VVB.D...BCD.AABC.E.J.CFEHJNNFIH.KKFI C99 D99 E99 H99 K99 
11 5 6	VV.CDE..BCDEAABCF.HJB.FIHJNNFI.KK... B99 D99 E99 F99 I99 
11 4 7	VV......BCDEAABCDE.JBCF.HJNNFIH.KKFI B99 C99 H99 K99 
11 3 8	VVBC....BCD.AABCDEHJ..FEHJNNFIKK..FI E97 K99 
11 4 7	VV.CD...BCDEAABCFEHJB.F.HJNNFI...KKI B99 D99 F99 K98 
11 7 4	..VVDE..BCDEAABC..HJBCF.HJNNFIKK..FI V98 B99 C99 D99 E99 K99 
11 3 8	VVBC.E..BCDEAABCDI.J..FIHJNNF.HKK.F. E99 H99 I98 
10 4 6	VVBCDE..BCDEAABC.I.J..FIHJNNF.HKK.F. D99 E99 H99 I98 
11 4 7	VV..D...BCDEAABCFEHJBCF.HJNNFI.KK..I B99 C99 D99 F99 
11 5 6	VVBCDE..BCDEAABC.IHJ..FIHJNNF..KK.F. D99 E99 H98 I98 
11 5 6	VVB..E..BCDEAABCD..J.CFIHJNNFIH.KKF. C99 E99 H99 I99 K99 
11 7 4	VVBCDE..BCDEAABC..H...FIHJNNFI.JKKF. C98 D99 E99 J99 I99 K99 
11 5 6	VVBC.E..BCDEAABCD.....FIHJNNFIHJKKF. E99 H99 J99 I99 K99 
11 5 6	..VV.E..BCDEAABCD.HJBCF.HJNNFIKK..FI V98 B99 C99 E99 K99 
11 4 7	VV......BCDEAABCDEHJBCF.HJNNFI..KKFI B99 C99 K97 
11 5 6	VV...E..BCDEAABCD.HJBCF.HJNNFI..KKFI B99 C99 E99 K97 
11 5 6	VV.C.E..BCDEAABCD..JB.FIHJNNFIH.KKF. B99 E99 H99 I99 K99 
11 5 6	VV.CDE..BCDEAABC.I.JB.FIHJNNF.HKK.F. B99 D99 E99 H99 I98 
11 7 4	VV..DE..BCDEAABC..H.BCFIHJNNFI.JKKF. B99 C99 D99 E99 J99 I99 K99 
