3 0 3	U.B..DU.BCCDAABT.DFW.TKKFWLLL..WOOO. 
8 7 1	U..T.DUCCT.DFAA..DFWB.KK.WBLLL.WBOOO B97 C98 A99 T98 F99 L99 O99 
8 7 1	...T.DUCCT.DUAA..DFWB.KKFWBLLL.WBOOO U99 T98 C98 A99 B97 L99 O99 
8 7 1	U..T.DUCCT.DF..AADFWB.KK.WBLLL.WBOOO B97 C98 A97 T98 F99 L99 O99 
8 7 1	U..T.DUCCT.D.W.AADFWB.KKFWBLLL..BOOO B97 C98 A97 T98 W99 L99 O99 
8 7 1	U..T.DUCCT.DF.AA.DFWB.KK.WBLLL.WBOOO B97 C98 A98 T98 F99 L99 O99 
8 7 1	...T.DUCCT.DU..AADFWB.KKFWBLLL.WBOOO U99 T98 C98 A97 B97 L99 O99 
8 7 1	...T.DUCCT.DU.AA.DFWB.KKFWBLLL.WBOOO U99 T98 C98 A98 B97 L99 O99 
8 7 1	U..T.DUCCT.D...AADFWBKK.FWBLLL.WBOOO B97 C98 A97 T98 K99 L99 O99 
8 6 2	.....DUCC..DUAAT.DFWBTKKFWBLLL.WBOOO U99 C98 A99 B97 L99 O99 
8 6 2	U....DU.CC.D.AAT.D.WBTKKFWBLLLFWBOOO B97 C99 A99 F99 L99 O99 
8 6 2	U....DUCC..D.AAT.D.WBTKKFWBLLLFWBOOO B97 C98 A99 F99 L99 O99 
8 6 2	U..T.DUCCT.DAAB..D.WBKK.FWBLLLFWOOO. B98 C98 T98 F99 K99 L99 
8 6 2	.....DU.CC.DUAAT.DFWBTKKFWBLLL.WBOOO U99 C99 A99 B97 L99 O99 
8 6 2	U....DUCC..DFAAT.DFWBTKK.WBLLL.WBOOO B97 C98 A99 F99 L99 O99 
8 6 2	U..T.DUCCT.DAAB..DFWB.KKFWBLLL.W.OOO B96 C98 T98 L99 O99 
8 6 2	.....D...CCDUAAT.DUWBTKKFWBLLLFWBOOO U98 A99 B97 F99 L99 O99 
8 6 2	.....DU..CCDUAAT.D.WBTKKFWBLLLFWBOOO U99 A99 B97 F99 L99 O99 
8 6 2	U....DU.CC.DFAAT.DFWBTKK.WBLLL.WBOOO B97 C99 A99 F99 L99 O99 
8 6 2	U..T..UCCT.DAAB..DFWBKKDFWBLLL.WOOO. B98 D99 C98 T98 K99 L99 
8 5 3	U....DU.CC.DAABT.DFWBTKKFWBLLL.W.OOO B96 C99 L99 O99 
8 5 3	U....DU.BCCDAABT.D.WBTKKFW.LLLFW.OOO B95 F99 L99 O99 
8 5 3	U....DU..CCDAABT.D.WBTKKFWBLLLFW.OOO B96 F99 L99 O99 
8 5 3	U....DUCC..DAABT.DFWBTKKFWBLLL.W.OOO B96 C98 L99 O99 
9 8 1	...T.D.CCT.DU.AA.DUWB.KKFWBLLLFWBOOO U98 T98 C98 A98 B97 F99 L99 O99 
9 8 1	...T.DUCCT.DUAA..D.WB.KKFWBLLLFWBOOO U99 T98 C98 A99 B97 F99 L99 O99 
9 8 1	U..T.DUCCT.D.W.AAD.WB.KKFWBLLLF.BOOO B97 C98 A97 T98 F99 W99 L99 O99 
9 8 1	...T.DUCCT.DU.AA.D.WB.KKFWBLLLFWBOOO U99 T98 C98 A98 B97 F99 L99 O99 
9 8 1	U..T.DUCCT.D...AAD.WBKK.FWBLLLFWBOOO B97 C98 A97 T98 F99 K99 L99 O99 
9 8 1	U..T.DUCCT.DFAA..DFWBKK..WBLLL.WBOOO B97 C98 A99 T98 F99 K99 L99 O99 
9 8 1	...T.D.CCT.DU..AADUWB.KKFWBLLLFWBOOO U98 T98 C98 A97 B97 F99 L99 O99 
9 8 1	...T.DUCCT.DU..AAD.WB.KKFWBLLLFWBOOO U99 T98 C98 A97 B97 F99 L99 O99 
9 8 1	U..T.DUCCT.D.WBAADFWB.KKFWBLLL...OOO B96 C98 A97 T98 W99 L99 O99 
9 8 1	U..T.DUCCT.D..BAADFWBKK.FWBLLL.W.OOO B96 C98 A97 T98 K99 L99 O99 
9 8 1	U..T.DUCCT.D..BAAD.WB.KKFWBLLLFW.OOO B96 C98 A97 T98 F99 L99 O99 
9 8 1	U..T.DUCCT.DF.BAADFWB.KK.WBLLL.W.OOO B96 C98 A97 T98 F99 L99 O99 
9 8 1	U..T.DUCCT.D..BAADFWB.KKFWBLLL.WOOO. B96 C98 A97 T98 L99 O98 
9 8 1	U..T..UCCT.DAA...D.WBKKDFWBLLLFWBOOO B97 D99 C98 T98 F99 K99 L99 O99 
9 8 1	...T.DUCCT.DU.BAADFWB.KKFWBLLL.W.OOO U99 T98 C98 B96 A97 L99 O99 
9 8 1	U..T..UCCT.D...AADFWBKKDFWBLLL.WBOOO B97 D99 C98 A97 T98 K99 L99 O99 
9 8 1	U..T.DUCCT.DF.AA.DFWBKK..WBLLL.WBOOO B97 C98 A98 T98 F99 K99 L99 O99 
9 8 1	U..T.DUCCT.D.WAA.DFWBKK.FWBLLL..BOOO B97 C98 A98 T98 W99 K99 L99 O99 
9 8 1	U..T.DUCCT.D..AA.D.WBKK.FWBLLLFWBOOO B97 C98 A98 T98 F99 K99 L99 O99 
9 8 1	U..T..UCCT.D..AA.DFWBKKDFWBLLL.WBOOO B97 D99 C98 A98 T98 K99 L99 O99 
9 8 1	...T.DUCCT.DU.AA.DFWBKK.FWBLLL.WBOOO U99 T98 C98 A98 B97 K99 L99 O99 
9 8 1	U..T.DUCCT.D.AA..D.WBKK.FWBLLLFWBOOO B97 C98 A99 T98 F99 K99 L99 O99 
9 8 1	...T.DUCCT.DU..AADFWBKK.FWBLLL.WBOOO U99 T98 C98 A97 B97 K99 L99 O99 
9 8 1	U..T..UCCT.D.AA..DFWBKKDFWBLLL.WBOOO B97 D99 C98 A99 T98 K99 L99 O99 
9 8 1	...T.DUCCT.DUAA..DFWBKK.FWBLLL.WBOOO U99 T98 C98 A99 B97 K99 L99 O99 
9 8 1	U..T.DUCCT.D.WAA.D.WB.KKFWBLLLF.BOOO B97 C98 A98 T98 F99 W99 L99 O99 
9 8 1	U..T.DUCCT.D.W.AADFWBKK.FWBLLL..BOOO B97 C98 A97 T98 W99 K99 L99 O99 
9 8 1	U..T.DUCCT.DF..AADFWBKK..WBLLL.WBOOO B97 C98 A97 T98 F99 K99 L99 O99 
9 8 1	...T.DUCCT.DUW.AADFWB.KKFWBLLL..BOOO U99 T98 C98 W99 A97 B97 L99 O99 
9 8 1	...T.D.CCT.DUAA..DUWB.KKFWBLLLFWBOOO U98 T98 C98 A99 B97 F99 L99 O99 
9 8 1	U..T.DUCCT.DFWAA.DFWB.KK.WBLLL..BOOO B97 C98 A98 T98 F99 W99 L99 O99 
9 8 1	U..T.DUCCT.DFW.AADFWB.KK.WBLLL..BOOO B97 C98 A97 T98 F99 W99 L99 O99 
9 8 1	...T.DUCCT.DUWAA.DFWB.KKFWBLLL..BOOO U99 T98 C98 W99 A98 B97 L99 O99 
9 7 2	U..T.DUCCT.DAAB..DFWBKK.FWBLLL.W.OOO B96 C98 T98 K99 L99 O99 
9 7 2	U....DUCCT.DAA.T.DFWBKK.FWBLLL.WBOOO B97 C98 T97 K99 L99 O99 
9 7 2	U..T.DUCCT.DAAB..D.WB.KKFWBLLLFW.OOO B96 C98 T98 F99 L99 O99 
9 7 2	.....D..CC.DUAAT.DUWBTKKFWBLLLFWBOOO U98 C99 A99 B97 F99 L99 O99 
9 7 2	.....DU.CC.DUAAT.D.WBTKKFWBLLLFWBOOO U99 C99 A99 B97 F99 L99 O99 
9 7 2	.....D.CC..DUAAT.DUWBTKKFWBLLLFWBOOO U98 C98 A99 B97 F99 L99 O99 
9 7 2	U..T..UCCT.DAAB..D.WBKKDFWBLLLFWOOO. B98 D99 C98 T98 F99 K99 L99 
9 7 2	U....DUCCT.D.AAT.DFWB.KKFWBLLL.WBOOO B97 C98 A99 T97 L99 O99 
9 7 2	.....DUCC..DUAAT.D.WBTKKFWBLLLFWBOOO U99 C98 A99 F99 B97 L99 O99 
9 7 2	U....DUCCT.DAA.T.D.WB.KKFWBLLLFWBOOO B97 C98 T97 F99 L99 O99 
9 7 2	.....DCC...DUAAT.DUWBTKKFWBLLLFWBOOO U98 C97 A99 B97 F99 L99 O99 
9 6 3	U....DU.CC.DAABT.D.WBTKKFWBLLLFW.OOO B96 C99 F99 L99 O99 
9 6 3	U....DUCC..DAABT.D.WBTKKFWBLLLFW.OOO B96 C98 F99 L99 O99 
9 6 3	U....DUCCT.DAABT.DFWBKK.FWBLLL.WOOO. B98 C98 T97 K99 L99 
9 6 3	U....DUCCT.DAABT.DFWB.KKFWBLLL.W.OOO B96 C98 T99 L99 O99 
9 6 3	U....DUCCT.DAABT.D.WB.KKFWBLLLFWOOO. B98 C98 T97 F99 L99 
10 9 1	...T.D.CCT.DU.AA.DUWBKK.FWBLLLFWBOOO U98 T98 C98 A98 B97 K99 F99 L99 O99 
10 9 1	...T.D.CCT.DUW.AADUWB.KKFWBLLLF.BOOO U98 T98 C98 W99 A97 B97 F99 L99 O99 
10 9 1	U..T..UCCT.DF..AADFWBKKD.WBLLL.WBOOO B97 D99 C98 A97 T98 F99 K99 L99 O99 
10 9 1	...T.DUCCT.DUW.AAD.WB.KKFWBLLLF.BOOO U99 T98 C98 W99 A97 B97 F99 L99 O99 
10 9 1	U..T.DUCCT.D.WBAADFWBKK.FWBLLL...OOO B96 C98 A97 T98 W99 K99 L99 O99 
10 9 1	...T.D.CCT.DUWAA.DUWB.KKFWBLLLF.BOOO U98 T98 C98 A98 W99 B97 F99 L99 O99 
10 9 1	...T.D.CCT.DU.BAADUWB.KKFWBLLLFW.OOO U98 T98 C98 A97 B96 F99 L99 O99 
10 9 1	...T.DCC.T.DU.AA.DUWB.KKFWBLLLFWBOOO U98 T98 C97 A98 B97 F99 L99 O99 
10 9 1	U..T.DUCCT.D.W.AAD.WBKK.FWBLLLF.BOOO B97 C98 A97 T98 F99 W99 K99 L99 O99 
10 9 1	...T.DUCCT.DUAA..D.WBKK.FWBLLLFWBOOO U99 T98 C98 A99 B97 K99 F99 L99 O99 
10 9 1	...T.DUCCT.DU.AA.D.WBKK.FWBLLLFWBOOO U99 T98 C98 A98 B97 K99 F99 L99 O99 
10 9 1	U..T..UCCT.DFAA..DFWBKKD.WBLLL.WBOOO B97 D99 C98 A99 T98 F99 K99 L99 O99 
10 9 1	U..T.DUCCT.D..BAAD.WBKK.FWBLLLFW.OOO B96 C98 A97 T98 F99 K99 L99 O99 
10 9 1	...T.DUCCT.DU.BAAD.WB.KKFWBLLLFW.OOO U99 T98 C98 A97 B96 F99 L99 O99 
10 9 1	U..T.DUCCT.D..BAAD.WB.KKFWBLLLFWOOO. B96 C98 A97 T98 F99 L99 O98 
10 9 1	...T.DCC.T.DUAA..DUWB.KKFWBLLLFWBOOO U98 T98 C97 A99 B97 F99 L99 O99 
10 9 1	U..T.DUCCT.D.WBAADFWB.KKFWBLLLOOO... B96 C98 A97 T98 W99 L99 O96 
10 9 1	U..T..UCCT.D.W.AADFWBKKDFWBLLL..BOOO B97 D99 C98 A97 T98 W99 K99 L99 O99 
10 9 1	U..T.DUCCT.D..BAADFWBKK.FWBLLL.WOOO. B96 C98 A97 T98 K99 L99 O98 
10 9 1	U..T.DUCCT.DF.BAADFWB.KK.WBLLL.WOOO. B96 C98 A97 T98 F99 L99 O98 
10 9 1	...T.DUCCT.DU.BAADFWB.KKFWBLLL.WOOO. U99 T98 C98 B96 A97 L99 O98 
10 9 1	U..T..UCCT.D..AA.D.WBKKDFWBLLLFWBOOO B97 D99 C98 A98 T98 F99 K99 L99 O99 
10 9 1	...T..UCCT.DU.AA.DFWBKKDFWBLLL.WBOOO U99 T98 C98 D99 A98 B97 K99 L99 O99 
10 9 1	...T.DUCCT.DUW.AADFWBKK.FWBLLL..BOOO U99 T98 C98 A97 W99 B97 K99 L99 O99 
10 9 1	U..T..UCCT.D.WAA.DFWBKKDFWBLLL..BOOO B97 D99 C98 A98 T98 W99 K99 L99 O99 
10 9 1	U..T.DUCCT.D.WAA.D.WBKK.FWBLLLF.BOOO B97 C98 A98 T98 F99 W99 K99 L99 O99 
10 9 1	...T.DUCCT.DUWAA.DFWBKK.FWBLLL..BOOO U99 T98 C98 W99 A98 B97 K99 L99 O99 
10 9 1	U..T.DUCCT.DFWAA.DFWBKK..WBLLL..BOOO B97 C98 A98 T98 F99 W99 K99 L99 O99 
10 9 1	U..T..UCCT.D.AA..D.WBKKDFWBLLLFWBOOO B97 D99 C98 A99 T98 F99 K99 L99 O99 
10 9 1	...T..UCCT.DU..AADFWBKKDFWBLLL.WBOOO U99 T98 C98 D99 A97 B97 K99 L99 O99 
10 9 1	U..T.DUCCT.DF.BAADFWBKK..WBLLL.W.OOO B96 C98 A97 T98 F99 K99 L99 O99 
10 9 1	U..T..UCCT.D..BAADFWBKKDFWBLLL.W.OOO B96 D99 C98 A97 T98 K99 L99 O99 
10 9 1	...T.DUCCT.DU.BAADFWBKK.FWBLLL.W.OOO U99 T98 C98 B96 A97 K99 L99 O99 
10 9 1	U..T.DUCCT.D.WBAADFWB.KKFWBLLL.OOO.. B96 C98 A97 T98 W99 L99 O97 
10 9 1	U..T.DUCCT.D.WBAADFWB.KKFWBLLL..OOO. B96 C98 A97 T98 W99 L99 O98 
10 9 1	U..T.DUCCT.DFWBAADFWB.KK.WBLLL...OOO B96 C98 A97 T98 F99 W99 L99 O99 
10 9 1	...T.DUCCT.DUWBAADFWB.KKFWBLLL...OOO U99 T98 C98 W99 B96 A97 L99 O99 
10 9 1	...T.DCC.T.DU..AADUWB.KKFWBLLLFWBOOO U98 T98 C97 A97 B97 F99 L99 O99 
10 9 1	U..T..UCCT.DF.AA.DFWBKKD.WBLLL.WBOOO B97 D99 C98 A98 T98 F99 K99 L99 O99 
10 9 1	U..T..UCCT.D...AAD.WBKKDFWBLLLFWBOOO B97 D99 C98 A97 T98 F99 K99 L99 O99 
10 9 1	...T.D.CCT.DU..AADUWBKK.FWBLLLFWBOOO U98 T98 C98 A97 B97 K99 F99 L99 O99 
10 9 1	...T..UCCT.DUAA..DFWBKKDFWBLLL.WBOOO U99 T98 C98 D99 A99 B97 K99 L99 O99 
10 9 1	...T.D.CCT.DUAA..DUWBKK.FWBLLLFWBOOO U98 T98 C98 A99 B97 K99 F99 L99 O99 
10 9 1	...T.DUCCT.DU..AAD.WBKK.FWBLLLFWBOOO U99 T98 C98 A97 B97 K99 F99 L99 O99 
10 9 1	...T.DUCCT.DUWAA.D.WB.KKFWBLLLF.BOOO U99 T98 C98 A98 W99 B97 F99 L99 O99 
10 9 1	U..T.DUCCT.DFW.AADFWBKK..WBLLL..BOOO B97 C98 A97 T98 F99 W99 K99 L99 O99 
10 9 1	U..T.DUCCT.D.WBAAD.WB.KKFWBLLLF..OOO B96 C98 A97 T98 F99 W99 L99 O99 
10 8 2	.....DCC.T.DUAAT.DUWB.KKFWBLLLFWBOOO U98 C97 A99 T99 B97 F99 L99 O99 
10 8 2	U....DUCCT.DFAAT.DFWB.KK.WBLLL.WBOOO B97 C98 A99 T97 F99 L99 O99 
10 8 2	U..T..UCCT.DAAB..DFWBKKDFWBLLL.W.OOO B96 D99 C98 T98 K99 L99 O99 
10 8 2	U....DUCCT.DAA.T.D.WBKK.FWBLLLFWBOOO B97 C98 T97 F99 K99 L99 O99 
10 8 2	U.....UCCT.DAA.T.DFWBKKDFWBLLL.WBOOO B97 D99 C98 T97 K99 L99 O99 
10 8 2	U....DUCCT.D.AAT.D.WB.KKFWBLLLFWBOOO B97 C98 A99 T97 F99 L99 O99 
10 8 2	U..T.DUCCT.DAAB..D.WBKK.FWBLLLFW.OOO B96 C98 T98 F99 K99 L99 O99 
10 8 2	U....DUCCT.D.AAT.DFWBKK.FWBLLL.WBOOO B97 C98 A99 T97 K99 L99 O99 
10 8 2	.....DUCCT.DUAAT.DFWB.KKFWBLLL.WBOOO T97 U99 C98 A99 B97 L99 O99 
10 7 3	U....DUCCT.DAABT.D.WBKK.FWBLLLFWOOO. B98 C98 T97 F99 K99 L99 
10 7 3	U.....UCCT.DAABT.DFWBKKDFWBLLL.WOOO. B98 D99 C98 T97 K99 L99 
11 10 1	U..T..UCCT.DF.BAADFWBKKD.WBLLL.W.OOO B96 D99 C98 A97 T98 F99 K99 L99 O99 
11 10 1	...T..UCCT.DUAA..D.WBKKDFWBLLLFWBOOO U99 T98 D99 C98 A99 B97 K99 F99 L99 O99 
11 10 1	...T.D.CCT.DUWAA.DUWBKK.FWBLLLF.BOOO U98 T98 C98 A98 W99 B97 K99 F99 L99 O99 
11 10 1	...T.D.CCT.DUW.AADUWBKK.FWBLLLF.BOOO U98 T98 C98 W99 A97 B97 K99 F99 L99 O99 
11 10 1	...T..UCCT.DU..AAD.WBKKDFWBLLLFWBOOO U99 T98 C98 D99 A97 F99 B97 K99 L99 O99 
11 10 1	...T.D.CCT.DUWBAADUWB.KKFWBLLLF..OOO U98 T98 C98 W99 A97 B96 F99 L99 O99 
11 10 1	U..T.DUCCT.D.WBAADFWBKK.FWBLLLOOO... B96 C98 A97 T98 W99 K99 L99 O96 
11 10 1	U..T..UCCT.D.W.AAD.WBKKDFWBLLLF.BOOO B97 D99 C98 A97 T98 F99 W99 K99 L99 O99 
11 10 1	U..T.DUCCT.DFWBAADFWB.KK.WBLLL..OOO. B96 C98 A97 T98 F99 W99 L99 O98 
11 10 1	...T.DUCCT.DUW.AAD.WBKK.FWBLLLF.BOOO U99 T98 C98 W99 A97 B97 K99 F99 L99 O99 
11 10 1	...T.DCC.T.DUWAA.DUWB.KKFWBLLLF.BOOO U98 T98 C97 A98 W99 B97 F99 L99 O99 
11 10 1	...T.D.CCT.DU.BAADUWB.KKFWBLLLFWOOO. U98 T98 C98 A97 B96 F99 L99 O98 
11 10 1	...T.DUCCT.DUWAA.D.WBKK.FWBLLLF.BOOO U99 T98 C98 A98 W99 B97 K99 F99 L99 O99 
11 10 1	U..T.DUCCT.D.WBAAD.WB.KKFWBLLLF.OOO. B96 C98 A97 T98 F99 W99 L99 O98 
11 10 1	U..T.DUCCT.DF.BAADFWBKK..WBLLL.WOOO. B96 C98 A97 T98 F99 K99 L99 O98 
11 10 1	...T.DUCCT.DU.BAAD.WB.KKFWBLLLFWOOO. U99 T98 C98 A97 B96 F99 L99 O98 
11 10 1	...T..UCCT.DUW.AADFWBKKDFWBLLL..BOOO U99 T98 C98 D99 W99 A97 B97 K99 L99 O99 
11 10 1	U..T.DUCCT.D.WBAADFWBKK.FWBLLL.OOO.. B96 C98 A97 T98 W99 K99 L99 O97 
11 10 1	...T.DCC.T.DUAA..DUWBKK.FWBLLLFWBOOO U98 T98 C97 A99 B97 K99 F99 L99 O99 
11 10 1	U..T.DUCCT.DFWBAADFWB.KK.WBLLLOOO... B96 C98 A97 T98 F99 W99 L99 O96 
11 10 1	...T.DUCCT.DUWBAADFWB.KKFWBLLL..OOO. U99 T98 C98 B96 A97 W99 L99 O98 
11 10 1	...T..UCCT.DUWAA.DFWBKKDFWBLLL..BOOO U99 T98 C98 D99 A98 W99 B97 K99 L99 O99 
11 10 1	U..T..UCCT.D.WAA.D.WBKKDFWBLLLF.BOOO B97 D99 C98 A98 T98 F99 W99 K99 L99 O99 
11 10 1	...T..UCCT.DU.BAADFWBKKDFWBLLL.W.OOO U99 T98 C98 D99 A97 B96 K99 L99 O99 
11 10 1	U..T..UCCT.D..BAADFWBKKDFWBLLL.WOOO. B96 D99 C98 A97 T98 K99 L99 O98 
11 10 1	U..T.DUCCT.D..BAAD.WBKK.FWBLLLFWOOO. B96 C98 A97 T98 F99 K99 L99 O98 
11 10 1	...T.DUCCT.DU.BAADFWBKK.FWBLLL.WOOO. U99 T98 C98 B96 A97 K99 L99 O98 
11 10 1	...T.DUCCT.DUWBAADFWB.KKFWBLLLOOO... U99 T98 C98 W99 B96 A97 L99 O96 
11 10 1	U..T..UCCT.D..BAAD.WBKKDFWBLLLFW.OOO B96 D99 C98 A97 T98 F99 K99 L99 O99 
11 10 1	...T.D.CCT.DU.BAADUWBKK.FWBLLLFW.OOO U98 T98 C98 A97 B96 K99 F99 L99 O99 
11 10 1	...T..UCCT.DU.AA.D.WBKKDFWBLLLFWBOOO U99 T98 D99 C98 A98 B97 K99 F99 L99 O99 
11 10 1	...T.DCC.T.DU.BAADUWB.KKFWBLLLFW.OOO U98 T98 C97 A97 B96 F99 L99 O99 
11 10 1	U..T.DUCCT.DFWBAADFWBKK..WBLLL...OOO B96 C98 A97 T98 F99 W99 K99 L99 O99 
11 10 1	U..T.DUCCT.D.WBAADFWBKK.FWBLLL..OOO. B96 C98 A97 T98 W99 K99 L99 O98 
11 10 1	...T...CCT.DUAA..DUWBKKDFWBLLLFWBOOO U98 T98 C98 D99 A99 B97 K99 F99 L99 O99 
11 10 1	U..T..UCCT.D.WBAADFWBKKDFWBLLL...OOO B96 D99 C98 A97 T98 W99 K99 L99 O99 
11 10 1	U..T.DUCCT.D.WBAAD.WBKK.FWBLLLF..OOO B96 C98 A97 T98 F99 W99 K99 L99 O99 
11 10 1	...T.DUCCT.DUWBAADFWBKK.FWBLLL...OOO U99 T98 C98 W99 B96 A97 K99 L99 O99 
11 10 1	...T.DUCCT.DUWBAAD.WB.KKFWBLLLF..OOO U99 T98 C98 W99 A97 B96 F99 L99 O99 
11 10 1	U..T..UCCT.DFW.AADFWBKKD.WBLLL..BOOO B97 D99 C98 A97 T98 F99 W99 K99 L99 O99 
11 10 1	...T.DCC.T.DUW.AADUWB.KKFWBLLLF.BOOO U98 T98 C97 W99 A97 B97 F99 L99 O99 
11 10 1	...T.DUCCT.DU.BAAD.WBKK.FWBLLLFW.OOO U99 T98 C98 B96 A97 K99 F99 L99 O99 
11 10 1	U..T.DUCCT.D.WBAAD.WB.KKFWBLLLFOOO.. B96 C98 A97 T98 F99 W99 L99 O97 
11 10 1	...T.DCC.T.DU.AA.DUWBKK.FWBLLLFWBOOO U98 T98 C97 A98 B97 K99 F99 L99 O99 
11 10 1	...T...CCT.DU.AA.DUWBKKDFWBLLLFWBOOO U98 T98 D99 C98 A98 B97 K99 F99 L99 O99 
