4 0 4	.B....SB.CDESAACDEHHHGDE..VG....VWW. 
5 3 2	.B.C..SB.CDESAA.DEHHH.DE..VG....VGWW C99 G99 W99 
5 2 3	.B.C..SB.C.ESAA.DEHHHGDE..VGD...VWW. C99 D99 
5 3 2	.B.CD.SB.CD.SAA.D.HHHG.E..VG.E..VWWE C99 D99 E98 
5 3 2	.B.C..SB.C..SAA.D.HHHGDE..VGDE..VWWE C99 D99 E98 
5 3 2	SB.C..SB.CDE.AA.DEHHHGDE..VG....V.WW S99 C99 W99 
5 1 4	SB....SB.CDE.AACDEHHHGDE..VG....VWW. S99 
5 3 2	SB.C..SB.CDEAA..DEHHHGDE..VG....VWW. S99 C99 A99 
6 3 3	SB.C.ESB.CDE.AA.DEHHHGD...VG....VWW. S99 C99 E99 
6 4 2	.B.CD.SB.CD.S.AAD.HHHG.E..VG.E..VWWE C99 D99 E98 A99 
6 4 2	SB.C..SB.CD...AADEHHHGDE..VG.E..VWW. S99 C99 E99 A99 
6 3 3	.B.C..SB.CD.SAAGD.HHHGDE..V..E..VWWE C99 E98 G99 
6 4 2	SB.C..SB.CD.AA..DEHHHGDE..VG.E..VWW. S99 C99 E99 A99 
6 2 4	.B.C..SB.CDESAAGDEHHHGDE..V.....VWW. C99 G99 
6 3 3	SB.CD.SB.CDE.AA.DEHHHG.E..VG....VWW. S99 C99 D99 
6 3 3	SB.C..SB.C.E.AA.DEHHHGDE..VGD...VWW. S99 C99 D99 
6 3 3	.B.C.ESB.CDES.AADEHHHGD...VG....VWW. C99 E99 A99 
6 4 2	.B.C..SB.CDES.AADEHHH.DE..VG....VGWW C99 A99 G99 W99 
6 1 5	.B...ESB.CDESAACDEHHHGD...VG....VWW. E99 
6 4 2	SB.C..SB.CDE..AADEHHHGDE..VG....V.WW S99 C99 A99 W99 
6 4 2	...C..SB.CDESBAADEHHHGDE..VG....V.WW B99 C99 A99 W99 
6 1 5	.B....SB.C.ESAACDEHHHGDE..VGD...VWW. D99 
6 3 3	.B.CD.SB.CDES.AADEHHHG.E..VG....VWW. C99 D99 A99 
6 2 4	SB....SB.CDEAA.CDEHHHGDE..VG....VWW. S99 A99 
6 3 3	.B.C..SB.C.ES.AADEHHHGDE..VGD...VWW. C99 D99 A99 
6 4 2	SB.C..SB.CDEAA..DEHHHGDE..VG....V.WW S99 C99 A99 W99 
6 2 4	SB....SB.CDE.AACDEHHHGDE..VG....V.WW S99 W99 
6 2 4	.B..D.SB.CD.SAACD.HHHG.E..VG.E..VWWE D99 E98 
6 4 2	.B.C..SB.CDESAA.DE.HHHDE..VG....VGWW C99 H99 G99 W99 
6 4 2	SB.CD.SB.CD..AA.D.HHHG.E..VG.E..VWWE S99 C99 D99 E98 
6 4 2	SB.C..SB.C...AA.D.HHHGDE..VGDE..VWWE S99 C99 D99 E98 
6 4 2	SB.C..SB.CDE.AA.DEHHH.DE..VG....VGWW S99 C99 G99 W99 
6 4 2	.B.C..SB.C..S.AAD.HHHGDE..VGDE..VWWE C99 D99 E98 A99 
6 2 4	.B....SB.C..SAACD.HHHGDE..VGDE..VWWE D99 E98 
6 5 1	S..C..SB.CD..BAAD.HHHGDE..VG.E..VWWE B99 S99 C99 E98 A99 
6 1 5	.B..D.SB.CDESAACDEHHHG.E..VG....VWW. D99 
6 3 3	.B.C.ESB.CDESAA.DEHHHGD...VG....V.WW C99 E99 W99 
6 3 3	.B.CD.SB.CDESAA.DEHHHG.E..VG....V.WW C99 D99 W99 
6 3 3	.B.C..SB.CD.SAA.DEHHHGDE..VG.E..V.WW C99 E99 W99 
6 3 3	.B.C..SB.C.ESAA.DEHHHGDE..VGD...V.WW C99 D99 W99 
6 4 2	S..C..SB.CDE.BAADEHHHGDE..VG....VWW. B99 C99 S99 A99 
6 3 3	.B.CD.SB.CD.SAA.DEHHHG.E..VG.E..VWW. C99 D99 E99 
6 3 3	.B.C..SB.C..SAA.DEHHHGDE..VGDE..VWW. C99 D99 E99 
6 3 3	SB....SB.CDE.AACDEHHH.DE..VG....VGWW S99 G99 W99 
6 4 2	...C..SB.CD.SBAADEHHHGDE..VG.E..VWW. B99 C99 A99 E99 
7 4 3	SB.C..SB.CD..AAGD.HHHGDE..V..E..VWWE S99 C99 E98 G99 
7 2 5	.B....SB.CD.SAACDEHHHGDE..VG.E..V.WW E99 W99 
7 4 3	SB.CD.SB.CD..AA.DEHHHG.E..VG.E..VWW. S99 C99 D99 E99 
7 5 2	SB.C..SB.CDEAA..DEHHH.DE..VG....VGWW S99 C99 A99 G99 W99 
7 3 4	SB....SB.CDEAA.CDEHHHGDE..VG....V.WW S99 A99 W99 
7 4 3	SB.C..SB.C...AA.DEHHHGDE..VGDE..VWW. S99 C99 D99 E99 
7 5 2	S..C..SB.CDE.BAADEHHHGDE..VG....V.WW B99 S99 C99 A99 W99 
7 4 3	.B.C.ESB.CDES.AADEHHHGD...VG....V.WW C99 E99 A99 W99 
7 5 2	.B.C..SB.CDES.AADE.HHHDE..VG....VGWW C99 A99 H99 G99 W99 
7 4 3	.B.C..SB.CD.S.AADEHHHGDE..VG.E..V.WW C99 E99 A99 W99 
7 4 3	.B.CD.SB.CDES.AADEHHHG.E..VG....V.WW C99 D99 A99 W99 
7 4 3	SB.C..SB.CD..AA.DEHHHGDE..VG.E..V.WW S99 C99 E99 W99 
7 5 2	SB.C..SB.CDE..AADEHHH.DE..VG....VGWW S99 C99 A99 G99 W99 
7 4 3	.B.C..SB.C.ES.AADEHHHGDE..VGD...V.WW C99 D99 A99 W99 
7 5 2	...C..SB.CDESBAADEHHH.DE..VG....VGWW B99 C99 A99 G99 W99 
7 5 2	S..C..SB.CD..BAADEHHHGDE..VG.E..VWW. B99 S99 C99 E99 A99 
7 2 5	.B...ESB.CDESAACDEHHHGD...VG....V.WW E99 W99 
7 4 3	SB.CD.SB.CDEAA..DEHHHG.E..VG....VWW. S99 C99 D99 A99 
7 4 3	SB.C..SB.C.EAA..DEHHHGDE..VGD...VWW. S99 C99 D99 A99 
7 2 5	.B..D.SB.CDESAACDEHHHG.E..VG....V.WW D99 W99 
7 2 5	SB..D.SB.CDE.AACDEHHHG.E..VG....VWW. S99 D99 
7 2 5	SB....SB.C.E.AACDEHHHGDE..VGD...VWW. S99 D99 
7 2 5	.B....SB.C.ESAACDEHHHGDE..VGD...V.WW D99 W99 
7 4 3	SB.C.ESB.CDE.AA.DEHHHGD...VG....V.WW S99 C99 E99 W99 
7 4 3	.B.CD.SB.CD.S.AADEHHHG.E..VG.E..VWW. C99 D99 E99 A99 
7 4 3	SB.CD.SB.CDE.AA.DEHHHG.E..VG....V.WW S99 C99 D99 W99 
7 4 3	SB.C..SB.C.E.AA.DEHHHGDE..VGD...V.WW S99 C99 D99 W99 
7 3 4	.B.C..SB.CDESAAGDEHHHGDE..V.....V.WW C99 G99 W99 
7 4 3	.B.C.ESB.CDESAA.DEHHH.D...VG....VGWW C99 E99 G99 W99 
7 4 3	.B.C..SB.CD.SAA.DEHHH.DE..VG.E..VGWW C99 E99 G99 W99 
7 5 2	SB.CD.SB.CD...AAD.HHHG.E..VG.E..VWWE S99 C99 D99 E98 A99 
7 4 3	.B.CD.SB.CDESAA.DEHHH..E..VG....VGWW C99 D99 G99 W99 
7 4 3	.B.C..SB.C.ESAA.DEHHH.DE..VGD...VGWW C99 D99 G99 W99 
7 5 2	...C..SB.C..SBAAD.HHHGDE..VGDE..VWWE B99 C99 D99 A99 E98 
7 2 5	.B..D.SB.CD.SAACDEHHHG.E..VG.E..VWW. D99 E99 
7 3 4	SB..D.SB.CD..AACD.HHHG.E..VG.E..VWWE S99 D99 E98 
7 3 4	SB....SB.C...AACD.HHHGDE..VGDE..VWWE S99 D99 E98 
7 5 2	SB.C..SB.C....AAD.HHHGDE..VGDE..VWWE S99 C99 D99 E98 A99 
7 4 3	...C.ESB.CDESBAADEHHHGD...VG....VWW. B99 C99 E99 A99 
7 5 2	SB.CD.SB.CD.AA..D.HHHG.E..VG.E..VWWE S99 C99 D99 E98 A99 
7 4 3	SB.C.ESB.CDE..AADEHHHGD...VG....VWW. S99 C99 E99 A99 
7 5 2	SB.C..SB.C..AA..D.HHHGDE..VGDE..VWWE S99 C99 D99 E98 A99 
7 4 3	SB.CD.SB.CDE..AADEHHHG.E..VG....VWW. S99 C99 D99 A99 
7 4 3	SB.C..SB.C.E..AADEHHHGDE..VGD...VWW. S99 C99 D99 A99 
7 4 3	...CD.SB.CDESBAADEHHHG.E..VG....VWW. B99 C99 D99 A99 
7 4 3	...C..SB.C.ESBAADEHHHGDE..VGD...VWW. B99 C99 D99 A99 
7 2 5	.B....SB.C..SAACDEHHHGDE..VGDE..VWW. D99 E99 
7 3 4	.B.C..SB.CD.SAAGDEHHHGDE..V..E..VWW. C99 E99 G99 
7 3 4	.B...ESB.CDESAACDEHHH.D...VG....VGWW E99 G99 W99 
7 4 3	SB....SB.CDEAA.CDEHHH.DE..VG....VGWW S99 A99 G99 W99 
7 3 4	.B....SB.CD.SAACDEHHH.DE..VG.E..VGWW E99 G99 W99 
7 3 4	.B..D.SB.CDESAACDEHHH..E..VG....VGWW D99 G99 W99 
7 5 2	...CD.SB.CD.SBAAD.HHHG.E..VG.E..VWWE B99 C99 D99 A99 E98 
7 3 4	.B....SB.C.ESAACDEHHH.DE..VGD...VGWW D99 G99 W99 
7 3 4	.B....SB..DESAACDEHHHCDE..VG....VGWW C99 G99 W99 
7 4 3	.B.C..SB.C..S.AADEHHHGDE..VGDE..VWW. C99 D99 E99 A99 
7 3 4	SB.C..SB.CDE.AAGDEHHHGDE..V.....VWW. S99 C99 G99 
7 3 4	.B.CDESB.CDESAA.DEHHHG....VG....VWW. C99 D99 E99 
7 3 4	.B....SB.CDESAACDE.HHHDE..VG....VGWW H99 G99 W99 
7 5 2	SB.C..SB.CDE.AA.DE.HHHDE..VG....VGWW S99 C99 H99 G99 W99 
7 5 2	.B.C...B.CDE.AA.DE.HHHDES.VG..S.VGWW S97 C99 H99 G99 W99 
7 3 4	.B.C.ESB.C.ESAA.DEHHHGD...VGD...VWW. C99 D99 E99 
7 5 2	.B.C...B.CDE.AA.DESHHHDES.VG....VGWW S98 C99 H99 G99 W99 
7 5 2	.B.C...B.CDESAA.DESHHHDE..VG....VGWW S99 C99 H99 G99 W99 
8 3 5	SB....SB.C.E.AACDEHHHGDE..VGD...V.WW S99 D99 W99 
8 3 5	SB..D.SB.CDE.AACDEHHHG.E..VG....V.WW S99 D99 W99 
8 5 3	...C..SB.C..SBAADEHHHGDE..VGDE..VWW. B99 C99 D99 A99 E99 
8 6 2	S..C..SB.CDE.BAADEHHH.DE..VG....VGWW B99 S99 C99 A99 G99 W99 
8 4 4	SB.C..SB.CD..AAGDEHHHGDE..V..E..VWW. S99 C99 E99 G99 
8 3 5	.B.C.ESB.CDESAAGDEHHHGD...V.....VWW. C99 E99 G99 
8 5 3	SB.C.ESB.CDEAA..DEHHHGD...VG....V.WW S99 C99 E99 A99 W99 
8 3 5	SB...ESB.CDEAA.CDEHHHGD...VG....VWW. S99 E99 A99 
8 5 3	SB.CD.SB.CDEAA..DEHHHG.E..VG....V.WW S99 C99 D99 A99 W99 
8 5 3	...CD.SB.CD.SBAADEHHHG.E..VG.E..VWW. B99 C99 D99 A99 E99 
8 5 3	SB.C..SB.C.EAA..DEHHHGDE..VGD...V.WW S99 C99 D99 A99 W99 
8 5 3	SB.C..SB.CD.AA..DEHHHGDE..VG.E..V.WW S99 C99 E99 A99 W99 
8 3 5	SB..D.SB.CDEAA.CDEHHHG.E..VG....VWW. S99 D99 A99 
8 3 5	SB....SB.C.EAA.CDEHHHGDE..VGD...VWW. S99 D99 A99 
8 5 3	SB.CD.SB.CDE..AADEHHHG.E..VG....V.WW S99 C99 D99 A99 W99 
8 5 3	...C..SB.C.ESBAADEHHHGDE..VGD...V.WW B99 C99 D99 A99 W99 
8 4 4	SB....SB.CD..AACDEHHHGDE..VG.E..VWW. S99 C98 E99 
8 5 3	SB.C..SB.C.E..AADEHHHGDE..VGD...V.WW S99 C99 D99 A99 W99 
8 5 3	SB.CD.SB.CD...AADEHHHG.E..VG.E..VWW. S99 C99 D99 E99 A99 
8 2 6	.B...ESB.C.ESAACDEHHHGD...VGD...VWW. D99 E99 
8 5 3	.B.C.ESB.CDES.AADEHHH.D...VG....VGWW C99 E99 A99 G99 W99 
8 5 3	.B.C..SB.CD.S.AADEHHH.DE..VG.E..VGWW C99 E99 A99 G99 W99 
8 6 2	SB.C..SB.CDEAA..DE.HHHDE..VG....VGWW S99 C99 A99 H99 G99 W99 
8 5 3	.B.CD.SB.CDES.AADEHHH..E..VG....VGWW C99 D99 A99 G99 W99 
8 5 3	.B.C..SB.C.ES.AADEHHH.DE..VGD...VGWW C99 D99 A99 G99 W99 
8 5 3	...CD.SB.CDESBAADEHHHG.E..VG....V.WW B99 C99 D99 A99 W99 
8 4 4	.B.C.ESB.C.ES.AADEHHHGD...VGD...VWW. C99 D99 E99 A99 
8 5 3	SB.CD.SB.CD.AA..DEHHHG.E..VG.E..VWW. S99 C99 D99 E99 A99 
8 5 3	SB.C..SB.C..AA..DEHHHGDE..VGDE..VWW. S99 C99 D99 E99 A99 
8 5 3	SB.C..SB.C....AADEHHHGDE..VGDE..VWW. S99 C99 D99 E99 A99 
8 4 4	SB.CDESB.CDE.AA.DEHHHG....VG....VWW. S99 C99 D99 E99 
8 2 6	.B..DESB.CDESAACDEHHHG....VG....VWW. D99 E99 
8 4 4	SB.C.ESB.C.E.AA.DEHHHGD...VGD...VWW. S99 C99 D99 E99 
8 5 3	SB.C..SB.CD...AADEHHHGDE..VG.E..V.WW S99 C99 E99 A99 W99 
8 5 3	...C..SB.CD.SBAADEHHHGDE..VG.E..V.WW B99 C99 E99 A99 W99 
8 5 3	...C.ESB.CDESBAADEHHHGD...VG....V.WW B99 C99 E99 A99 W99 
8 6 2	.B.C...B.CDEAA..DESHHHDES.VG....VGWW S98 C99 A99 H99 G99 W99 
8 5 3	SB.C.ESB.CDE..AADEHHHGD...VG....V.WW S99 C99 E99 A99 W99 
8 6 2	.B.C...B.CDEAA..DE.HHHDES.VG..S.VGWW S97 C99 A99 H99 G99 W99 
8 4 4	SB.C..SB.CDE.AAGDEHHHGDE..V.....V.WW S99 C99 G99 W99 
8 5 3	SB.C.ESB.CDE.AA.DEHHH.D...VG....VGWW S99 C99 E99 G99 W99 
8 3 5	SB....SB.CD..AACDEHHHGDE..VG.E..V.WW S99 E99 W99 
8 5 3	.B.CD.SB.CDESAA.DE..HHHE..VG....VGWW C99 D99 H98 G99 W99 
8 4 4	SB..D.SB.CD.AA.CD.HHHG.E..VG.E..VWWE S99 D99 E98 A99 
8 4 4	.B.....B.CDE.AACDESHHHDES.VG....VGWW S98 H99 G99 W99 
8 3 5	SB...ESB.CDE.AACDEHHHGD...VG....V.WW S99 E99 W99 
8 4 4	.B.....B.CDESAACDESHHHDE..VG....VGWW S99 H99 G99 W99 
8 4 4	SB.C..SB.CDEAA.GDEHHHGDE..V.....VWW. S99 C99 A99 G99 
8 5 3	.B.C.ESB.CDESAA.DE.HHHD...VG....VGWW C99 E99 H99 G99 W99 
8 6 2	SB.C..SB.CDE..AADE.HHHDE..VG....VGWW S99 C99 A99 H99 G99 W99 
8 3 5	.B.CD.SB.CDESAAGDEHHHG.E..V.....VWW. C99 D99 G99 
8 6 2	.B.C...B.CDE..AADE.HHHDES.VG..S.VGWW S97 C99 A99 H99 G99 W99 
8 6 2	.B.C...B.CDE..AADESHHHDES.VG....VGWW S98 C99 A99 H99 G99 W99 
8 5 3	SB.C..SB.CD.AA.GD.HHHGDE..V..E..VWWE S99 C99 E98 A99 G99 
8 6 2	.B.C...B.CDES.AADESHHHDE..VG....VGWW S99 C99 A99 H99 G99 W99 
8 6 2	...C..SB.CDESBAADE.HHHDE..VG....VGWW B99 C99 A99 H99 G99 W99 
8 4 4	SB....SB.C..AA.CD.HHHGDE..VGDE..VWWE S99 D99 E98 A99 
8 5 3	SB.C.ESB.CDEAA..DEHHHGD...VG....VWW. S99 C99 E95 A99 
8 5 3	SB....SB.CD.AA.CD.HHHGDE..VG.E..VWWE S99 C98 E98 A99 
8 3 5	SB...ESB.CDE.AACDEHHHGD...VG....VWW. S99 E95 
8 5 3	SB.C..SB.CD..AA.DEHHH.DE..VG.E..VGWW S99 C99 E99 G99 W99 
8 4 4	.B.C..SB.C..SAAGD.HHHGDE..V.DE..VWWE C99 D99 E98 G99 
8 6 2	.B.C...B.CDE.AA.DEHHH.DES.VG..S.VGWW S97 C99 H98 G99 W99 
8 5 3	SB.CD.SB.CDE.AA.DEHHH..E..VG....VGWW S99 C99 D99 G99 W99 
8 6 2	S..CD.SB.CD..BAAD.HHHG.E..VG.E..VWWE B99 S99 C99 D99 E98 A99 
8 4 4	SB....SB.CDE.AACDE.HHHDE..VG....VGWW S99 H99 G99 W99 
8 4 4	SB...ESB.CDE.AACDEHHH.D...VG....VGWW S99 E99 G99 W99 
8 4 4	SB....SB.CD..AACDEHHH.DE..VG.E..VGWW S99 E99 G99 W99 
8 4 4	SB..D.SB.CDE.AACDEHHH..E..VG....VGWW S99 D99 G99 W99 
8 5 3	S..C..SB.C.E.BAADEHHHGDE..VGD...VWW. B99 C99 S99 D99 A99 
8 4 4	SB....SB.C.E.AACDEHHH.DE..VGD...VGWW S99 D99 G99 W99 
8 4 4	.B.C..SB.C..SAA.DEHHHGDE..VGDE..V.WW C99 D99 E99 W99 
8 5 3	S..CD.SB.CDE.BAADEHHHG.E..VG....VWW. B99 C99 S99 D99 A99 
8 4 4	.B.CD.SB.CD.SAA.DEHHHG.E..VG.E..V.WW C99 D99 E99 W99 
8 4 4	.B.CDESB.CDESAA.DEHHHG....VG....V.WW C99 D99 E99 W99 
8 4 4	.B.C.ESB.C.ESAA.DEHHHGD...VGD...V.WW C99 D99 E99 W99 
8 4 4	.B.CD.SB.CD.SAAGD.HHHG.E..V..E..VWWE C99 D99 E98 G99 
8 6 2	S..C..SB.C...BAAD.HHHGDE..VGDE..VWWE B99 S99 C99 D99 E98 A99 
8 5 3	SB.C..SB.C.E.AA.DEHHH.DE..VGD...VGWW S99 C99 D99 G99 W99 
8 3 5	.B.C..SB.C.ESAAGDEHHHGDE..V.D...VWW. C99 D99 G99 
8 5 3	.B.C..SB.CD.SAA.DE.HHHDE..VG.E..VGWW C99 E99 H99 G99 W99 
8 4 4	.B.....B.CDE.AACDE.HHHDES.VG..S.VGWW S97 H99 G99 W99 
8 5 3	.B.CD.SB.CDESAA.DE.HHH.E..VG....VGWW C99 D99 H99 G99 W99 
8 5 3	.B.C..SB.C.ESAA.DE.HHHDE..VGD...VGWW C99 D99 H99 G99 W99 
9 6 3	S..C.ESB.CDE.BAADEHHHGD...VG....VWW. B99 S99 C99 E95 A99 
9 3 6	SB...ESB.C.E.AACDEHHHGD...VGD...VWW. S99 D99 E99 
9 4 5	SB.C.ESB.CDE.AAGDEHHHGD...V.....VWW. S99 C99 E99 G99 
9 6 3	...C.ESB.CDESBAADEHHH.D...VG....VGWW B99 C99 E99 A99 G99 W99 
9 6 3	.B.C.E.B.CDESAA.DESHHHD...VG....VGWW S99 C99 E99 H99 G99 W99 
9 7 2	S..C..SB.CDE.BAADE.HHHDE..VG....VGWW B99 S99 C99 A99 H99 G99 W99 
9 7 2	.B.C...B.CDE.AA.DEHHHGDES.VG..S.V.WW S97 C99 H98 G98 W99 
9 3 6	.B..D.SB.CD.SAACDEHHHG.E..VG.E..V.WW D99 E99 W99 
9 5 4	SB.C..SB.C...AA.DEHHHGDE..VGDE..V.WW S99 C99 D99 E99 W99 
9 4 5	SB....SB.C..AA.CDEHHHGDE..VGDE..VWW. S99 D99 E99 A99 
9 5 4	.B.CDESB.CDES.AADEHHHG....VG....VWW. C99 D99 E95 A99 
9 4 5	SB..D.SB.CD.AA.CDEHHHG.E..VG.E..VWW. S99 D99 E99 A99 
9 7 2	...C...B.CDESBAADESHHHDE..VG....VGWW B99 C99 S99 A99 H99 G99 W99 
9 5 4	SB.CD.SB.CD..AA.DEHHHG.E..VG.E..V.WW S99 C99 D99 E99 W99 
9 4 5	SB...ESB.CDEAA.CDEHHHGD...VG....V.WW S99 E99 A99 W99 
9 7 2	.B.C...B.CDE..AADEHHH.DES.VG..S.VGWW S97 C99 A99 H98 G99 W99 
9 7 2	...C...B.CDE.BAADESHHHDES.VG....VGWW B99 C99 A99 S98 H99 G99 W99 
9 7 2	...C...B.CDE.BAADE.HHHDES.VG..S.VGWW B99 C99 A99 H99 S97 G99 W99 
9 5 4	.B.CD.SB.CD.S.AADEHHHG.E..VG.E..V.WW C99 D99 E99 A99 W99 
9 3 6	SB..DESB.CDE.AACDEHHHG....VG....VWW. S99 D99 E99 
9 5 4	.B.CDESB.CDES.AADEHHHG....VG....V.WW C99 D99 E99 A99 W99 
9 6 3	.B.C.ESB.CDES.AADE.HHHD...VG....VGWW C99 E99 A99 H99 G99 W99 
9 6 3	.B.CD..B.CDE.AA.DE..HHHES.VG..S.VGWW S97 C99 D99 H98 G99 W99 
9 6 3	SB.CD.SB.CDE.AA.DE..HHHE..VG....VGWW S99 C99 D99 H98 G99 W99 
9 5 4	SB.C..SB.CD.AA.GDEHHHGDE..V..E..VWW. S99 C99 E99 A99 G99 
9 5 4	.B.C..SB.C..S.AADEHHHGDE..VGDE..V.WW C99 D99 E99 A99 W99 
9 7 2	.B.C...B.CDEAA..DEHHH.DES.VG..S.VGWW S97 C99 A99 H98 G99 W99 
9 6 3	.B.CD..B.CDE.AA.DES.HHHES.VG....VGWW S98 C99 D99 H98 G99 W99 
9 6 3	.B.CD..B.CDESAA.DES.HHHE..VG....VGWW S99 C99 D99 H98 G99 W99 
9 5 4	SB....SB.CD.AA.CDEHHHGDE..VG.E..VWW. S99 C98 E99 A99 
9 4 5	SB.C..SB.C.E.AAGDEHHHGDE..V.D...VWW. S99 C99 D99 G99 
9 6 3	.B.CD.SB.CDES.AADE..HHHE..VG....VGWW C99 D99 A99 H98 G99 W99 
9 4 5	SB.CD.SB.CDE.AAGDEHHHG.E..V.....VWW. S99 C99 D99 G99 
9 6 3	SB.C..SB.CD...AADEHHH.DE..VG.E..VGWW S99 C99 E99 A99 G99 W99 
9 5 4	SB.C.ESB.C.EAA..DEHHHGD...VGD...VWW. S99 C99 D99 E99 A99 
9 6 3	SB.C.ESB.CDE..AADEHHH.D...VG....VGWW S99 C99 E99 A99 G99 W99 
9 6 3	.B.CD..B.CDESAA.DESHHH.E..VG....VGWW S99 C99 D99 H99 G99 W99 
9 6 3	.B.C...B.CD.SAA.DESHHHDE..VG.E..VGWW S99 C99 E99 H99 G99 W99 
9 6 3	S..CD.SB.CD..BAADEHHHG.E..VG.E..VWW. B99 S99 C99 D99 E99 A99 
9 6 3	.B.C...B.C.ESAA.DESHHHDE..VGD...VGWW S99 C99 D99 H99 G99 W99 
9 6 3	.B.C.E.B.CDE.AA.DESHHHD.S.VG....VGWW S98 C99 E99 H99 G99 W99 
9 6 3	.B.CD..B.CDE.AA.DESHHH.ES.VG....VGWW S98 C99 D99 H99 G99 W99 
9 6 3	.B.C...B.CD..AA.DESHHHDES.VG.E..VGWW S98 C99 E99 H99 G99 W99 
9 6 3	.B.C...B.C.E.AA.DESHHHDES.VGD...VGWW S98 C99 D99 H99 G99 W99 
9 3 6	.B..DESB.CDESAACDEHHHG....VG....V.WW D99 E99 W99 
9 5 4	SB.CDESB.CDE.AA.DEHHHG....VG....V.WW S99 C99 D99 E99 W99 
9 5 4	...CDESB.CDESBAADEHHHG....VG....VWW. B99 C99 D99 E99 A99 
9 6 3	.B.C.E.B.CDE.AA.DE.HHHD.S.VG..S.VGWW S97 C99 E99 H99 G99 W99 
9 6 3	.B.C...B.CD..AA.DE.HHHDES.VG.ES.VGWW S97 C99 E99 H99 G99 W99 
9 5 4	.B.CD.SB.CD.SAA.DEHHH..E..VG.E..VGWW C99 D99 E99 G99 W99 
9 6 3	.B.CD..B.CDE.AA.DE.HHH.ES.VG..S.VGWW S97 C99 D99 H99 G99 W99 
9 6 3	.B.C...B.C.E.AA.DE.HHHDES.VGD.S.VGWW S97 C99 D99 H99 G99 W99 
9 4 5	.B.C..SB.C..SAAGDEHHHGDE..V.DE..VWW. C99 D99 E99 G99 
9 6 3	SB.C..SB.CD..AA.DE.HHHDE..VG.E..VGWW S99 C99 E99 H99 G99 W99 
9 6 3	SB.CD.SB.CDE.AA.DE.HHH.E..VG....VGWW S99 C99 D99 H99 G99 W99 
9 6 3	SB.C..SB.C.E.AA.DE.HHHDE..VGD...VGWW S99 C99 D99 H99 G99 W99 
9 5 4	.B.C.ESB.C.ESAA.DEHHH.D...VGD...VGWW C99 D99 E99 G99 W99 
9 5 4	.B.CDESB.CDESAA.DEHHH.....VG....VGWW C99 D99 E99 G99 W99 
9 5 4	SB....SB.CD.AA.CDEHHH.DE..VG.E..VGWW S99 E99 A99 G99 W99 
9 5 4	SB.C.ESB.C.E.AA.DEHHHGD...VGD...V.WW S99 C99 D99 E99 W99 
9 5 4	SB..D.SB.CDEAA.CDEHHH..E..VG....VGWW S99 D99 A99 G99 W99 
9 5 4	SB....SB.C.EAA.CDEHHH.DE..VGD...VGWW S99 D99 A99 G99 W99 
9 6 3	S..C..SB.C...BAADEHHHGDE..VGDE..VWW. B99 S99 C99 D99 E99 A99 
9 4 5	.B..DESB.CDESAACDEHHH.....VG....VGWW D99 E99 G99 W99 
9 4 5	.B...ESB.C.ESAACDEHHH.D...VGD...VGWW D99 E99 G99 W99 
9 5 4	SB.C..SB.CDEAA.GDEHHHGDE..V.....V.WW S99 C99 A99 G99 W99 
