6 0 6	...BYYGGGBS..AACSTF..C.TF..CPPF.DD.. 
9 5 4	...BYYGGGBS.F.AASTF..C.TF..CPPDD.C.. A99 C99 F99 D98 
9 5 4	...BYYGGGB..F.AASTF..CSTF..CPP...CDD S99 A99 C99 F99 D98 
9 3 6	...BYYGGGBSTFAACSTF..C..F..CPPDD.... T99 F99 D98 
9 3 6	...BYYGGGB.T.AACSTF..CS.F..CPPF..DD. S99 T99 D99 
9 5 4	...BYYGGGB..FAA.STF..CSTF..CPPDD.C.. S99 C99 F99 D98 
9 5 4	...BYYGGGBSTF.AASTF..C..F..CPP.DDC.. A99 C99 T99 F99 D99 
9 3 6	....YYGGGBS..AABSTF..C.TF..CPPFDDC.. B99 C99 D99 
9 5 4	...BYYGGGB.TFAA.STF..CS.F..CPP.DDC.. S99 C99 T99 F99 D99 
9 5 4	...BYYGGGB..F.AASTF..CSTF..CPP.DDC.. S99 A99 C99 F99 D99 
9 4 5	..YY..GGGBS..AABSTF..C.TF..CPPFDDC.. Y98 B99 C99 D99 
8 5 3	..YY.TGGGBST.AABS.F..C..F..CPPFDDC.. Y98 B99 T98 C99 D99 
8 6 2	..YYSTGGGBST.AAB..F..C..F..CPPFDDC.. Y98 B99 S99 T98 C99 D99 
9 4 5	YY....GGGBS..AABSTF..C.TF..CPPFDDC.. Y96 B99 C99 D99 
8 5 3	YY.B..GGGBS..AA.STF..C.TF..CPPFDDC.. Y96 B98 C99 D99 
7 6 1	YY.B.TGGGBST.AA.S.F..C..F..CPPFDDC.. Y96 B98 T98 C99 D99 
7 7 0	YY.BSTGGGBST.AA...F..C..F..CPPFDDC.. Y96 B98 S99 T98 C99 D99 
8 6 2	YY.BS.GGGBS..AA..TF..C.TF..CPPFDDC.. Y96 B98 S99 C99 D99 
8 8 0	YY.BSTGGGBST..AA..F..C..F..CPPFDDC.. Y96 B98 S99 A99 T98 C99 D99 
8 8 0	YY.BSTGGGBST...AA.F..C..F..CPPFDDC.. Y96 B98 S99 A98 T98 C99 D99 
8 8 0	YY.BSTGGGBST....AAF..C..F..CPPFDDC.. Y96 B98 S99 A97 T98 C99 D99 
