3 0 3	U.B..DU.BCCDAABT.DFW.TKKFWLLL..W..GG 
7 5 2	U..T.DUCCT.DAAB..DFWB.KKFWBLLL.W..GG B96 C98 T98 L99 
7 5 2	U....DU..CCD.AAT.D.WBTKKFWBLLLFWBGG. B97 A99 F99 L99 G99 
7 5 2	U....DU.CC.DFAAT.DFWBTKK.WBLLL.WB.GG B97 C99 A99 F99 L99 
7 5 2	.....DU..CCDUAAT.DFWBTKKFWBLLL.WBGG. U99 A99 B97 L99 G99 
7 5 2	.....DU.CC.DUAAT.DFWBTKKFWBLLL.WB.GG U99 C99 A99 B97 L99 
7 5 2	U....DU.CC.D.AAT.D.WBTKKFWBLLLFWB.GG B97 C99 A99 F99 L99 
7 5 2	U....DUCC..D.AAT.DFWBTKKFWBLLL.WBGG. B97 C98 A99 L99 G99 
7 5 2	U....DUCC..DAA.T.D.WBTKKFWBLLLFWBGG. B97 C98 F99 L99 G99 
7 5 2	U....DU.CC.D.AAT.DFWBTKKFWBLLL.WBGG. B97 C99 A99 L99 G99 
7 5 2	.....DU..CCDUAAT.D.WBTKKFWBLLLFWB.GG U99 A99 B97 F99 L99 
7 5 2	U....DU.CC.DAA.T.D.WBTKKFWBLLLFWBGG. B97 C99 F99 L99 G99 
7 5 2	.....DUCC..DUAAT.DFWBTKKFWBLLL.WB.GG U99 C98 A99 B97 L99 
7 5 2	.....D...CCDUAAT.DUWBTKKFWBLLLFWB.GG U98 A99 B97 F99 L99 
7 5 2	U....DUCC..DFAAT.DFWBTKK.WBLLL.WB.GG B97 C98 A99 F99 L99 
7 4 3	U....DUCC..DAABT.DFWBTKKFWBLLL.WGG.. B98 C98 L99 G98 
7 4 3	U....DU.CC.DAABT.DFWBTKKFWBLLL.WGG.. B98 C99 L99 G98 
7 4 3	U....DU..CCDAABT.D.WBTKKFWBLLLFWGG.. B98 F99 L99 G98 
7 4 3	U....DU.CC.DAABT.DFWBTKKFWBLLL.W..GG B96 C99 L99 
7 4 3	U....DUCC..DAABT.DFWBTKKFWBLLL.W..GG B96 C98 L99 
7 4 3	U....DU.BCCDAABT.D.WBTKKFW.LLLFW..GG B95 F99 L99 
7 4 3	U....DU.BCCDAABT.D.WBTKKFW.LLLFWGG.. B99 F99 L99 G98 
7 4 3	U....DU.BCCDAABT.DFWBTKKFW.LLL.W.GG. B95 L99 G99 
7 4 3	U....DU..CCDAABT.DFWBTKKFWBLLL.W.GG. B96 L99 G99 
7 4 3	U....DU..CCDAABT.D.WBTKKFWBLLLFW..GG B96 F99 L99 
8 7 1	...T.DUCCT.DUAA..D.WB.KKFWBLLLFWB.GG U99 T98 C98 A99 F99 B97 L99 
8 7 1	U..T.DUCCT.D.WAA.DFWB.KKFWBLLL..BGG. B97 C98 A98 T98 W99 L99 G99 
8 7 1	U..T.DUCCT.D..BAAD.WB.KKFWBLLLFW..GG B96 C98 A97 T98 F99 L99 
8 7 1	...T.DUCCT.DU.BAADFWB.KKFWBLLL.W..GG U99 T98 C98 B96 A97 L99 
8 7 1	...T.DUCCT.DUAA..DFWB.KKFWBLLL.WBGG. U99 T98 C98 A99 B97 L99 G99 
8 7 1	U..T.DUCCT.D..BAADFWB.KKFWBLLL.WGG.. B96 C98 A97 T98 L99 G98 
8 7 1	...T.D.CCT.DU..AADUWB.KKFWBLLLFWB.GG U98 T98 C98 A97 B97 F99 L99 
8 7 1	...T.D.CCT.DUAA..DUWB.KKFWBLLLFWB.GG U98 T98 C98 A99 B97 F99 L99 
8 7 1	U..T.DUCCT.DFW.AADFWB.KK.WBLLL..B.GG B97 C98 A97 T98 F99 W99 L99 
8 7 1	U..T.DUCCT.D...AADFWBKK.FWBLLL.WBGG. B97 C98 A97 T98 K99 L99 G99 
8 7 1	U..T.DUCCT.DF.BAADFWB.KK.WBLLL.W..GG B96 C98 A97 T98 F99 L99 
8 7 1	U..T.DUCCT.D..BAADFWBKK.FWBLLL.W..GG B96 C98 A97 T98 K99 L99 
8 7 1	U..T.DUCCT.D...AAD.WBKK.FWBLLLFWB.GG B97 C98 A97 T98 F99 K99 L99 
8 7 1	U..T.DUCCT.DF..AADFWBKK..WBLLL.WB.GG B97 C98 A97 T98 F99 K99 L99 
8 7 1	U..T.DUCCT.D.W.AADFWBKK.FWBLLL..B.GG B97 C98 A97 T98 W99 K99 L99 
8 7 1	...T.D.CCT.DU.AA.DUWB.KKFWBLLLFWB.GG U98 T98 C98 A98 B97 F99 L99 
8 7 1	...T.DUCCT.DU..AADFWBKK.FWBLLL.WB.GG U99 T98 C98 A97 B97 K99 L99 
8 7 1	U..T.DUCCT.DF.AA.DFWBKK..WBLLL.WB.GG B97 C98 A98 T98 F99 K99 L99 
8 7 1	U..T.DUCCT.D.AA..D.WBKK.FWBLLLFWB.GG B97 C98 A99 T98 F99 K99 L99 
8 7 1	U..T.DUCCT.D.WAA.DFWBKK.FWBLLL..B.GG B97 C98 A98 T98 W99 K99 L99 
8 7 1	U..T.DUCCT.D..AA.D.WBKK.FWBLLLFWB.GG B97 C98 A98 T98 F99 K99 L99 
8 7 1	...T.DUCCT.DU.AA.DFWBKK.FWBLLL.WB.GG U99 T98 C98 A98 B97 K99 L99 
8 7 1	U..T.DUCCT.D.WAA.D.WB.KKFWBLLLF.B.GG B97 C98 A98 T98 F99 W99 L99 
8 7 1	U..T.DUCCT.DFWAA.DFWB.KK.WBLLL..B.GG B97 C98 A98 T98 F99 W99 L99 
8 7 1	...T.DUCCT.DU.AA.D.WB.KKFWBLLLFWB.GG U99 T98 C98 A98 F99 B97 L99 
8 7 1	U..T.DUCCT.DFAA..DFWBKK..WBLLL.WB.GG B97 C98 A99 T98 F99 K99 L99 
8 7 1	U..T.DUCCT.DF.AA.DFWB.KK.WBLLL.WBGG. B97 C98 A98 T98 F99 L99 G99 
8 7 1	...T.DUCCT.DUWAA.DFWB.KKFWBLLL..B.GG U99 T98 C98 W99 A98 B97 L99 
8 7 1	...T.DUCCT.DU.AA.DFWB.KKFWBLLL.WBGG. U99 T98 C98 A98 B97 L99 G99 
8 7 1	U..T.DUCCT.D..AA.D.WB.KKFWBLLLFWBGG. B97 C98 A98 T98 F99 L99 G99 
8 7 1	U..T..UCCT.DAA...D.WBKKDFWBLLLFWB.GG B97 D99 C98 T98 F99 K99 L99 
8 7 1	U..T..UCCT.D...AADFWBKKDFWBLLL.WB.GG B97 D99 C98 A97 T98 K99 L99 
8 7 1	U..T..UCCT.D.AA..DFWBKKDFWBLLL.WB.GG B97 D99 C98 A99 T98 K99 L99 
8 7 1	U..T..UCCT.D..AA.DFWBKKDFWBLLL.WB.GG B97 D99 C98 A98 T98 K99 L99 
8 7 1	...T.DUCCT.DUW.AADFWB.KKFWBLLL..B.GG U99 T98 C98 W99 A97 B97 L99 
8 7 1	U..T.DUCCT.D.WBAADFWB.KKFWBLLL....GG B96 C98 A97 T98 W99 L99 
8 7 1	U..T.DUCCT.DAA...D.WBKK.FWBLLLFWBGG. B97 C98 T98 F99 K99 L99 G99 
8 7 1	U..T.DUCCT.D..AA.DFWBKK.FWBLLL.WBGG. B97 C98 A98 T98 K99 L99 G99 
8 7 1	U..T..UCCT.DAA...DFWBKKDFWBLLL.WBGG. B97 D99 C98 T98 K99 L99 G99 
8 7 1	U..T.DUCCT.D..BAADFWB.KKFWBLLL.W.GG. B96 C98 A97 T98 L99 G99 
8 7 1	U..T.DUCCT.DF..AADFWB.KK.WBLLL.WBGG. B97 C98 A97 T98 F99 L99 G99 
8 7 1	U..T.DUCCT.D.W.AADFWB.KKFWBLLL..BGG. B97 C98 A97 T98 W99 L99 G99 
8 7 1	U..T.DUCCT.D.AA..DFWBKK.FWBLLL.WBGG. B97 C98 A99 T98 K99 L99 G99 
8 7 1	U..T.DUCCT.D...AAD.WB.KKFWBLLLFWBGG. B97 C98 A97 T98 F99 L99 G99 
8 7 1	...T.DUCCT.DU..AADFWB.KKFWBLLL.WBGG. U99 T98 C98 A97 B97 L99 G99 
8 7 1	U..T.DUCCT.DFAA..DFWB.KK.WBLLL.WBGG. B97 C98 A99 T98 F99 L99 G99 
8 7 1	U..T.DUCCT.D.W.AAD.WB.KKFWBLLLF.B.GG B97 C98 A97 T98 F99 W99 L99 
8 7 1	...T.DUCCT.DU..AAD.WB.KKFWBLLLFWB.GG U99 T98 C98 A97 B97 F99 L99 
8 7 1	U..T.DUCCT.D.AA..D.WB.KKFWBLLLFWBGG. B97 C98 A99 T98 F99 L99 G99 
8 7 1	...T.DUCCT.DUAA..DFWBKK.FWBLLL.WB.GG U99 T98 C98 A99 B97 K99 L99 
8 6 2	.....D...CCDUAAT.DUWBTKKFWBLLLFWBGG. U98 A99 B97 F99 L99 G99 
8 6 2	U....DUCC..DFAAT.DFWBTKK.WBLLL.WBGG. B97 C98 A99 F99 L99 G99 
8 6 2	.....DCC...DUAAT.DUWBTKKFWBLLLFWB.GG U98 C97 A99 B97 F99 L99 
8 6 2	U....DU.CC.DFAAT.DFWBTKK.WBLLL.WBGG. B97 C99 A99 F99 L99 G99 
8 6 2	U....DUCC..D.AAT.D.WBTKKFWBLLLFWBGG. B97 C98 A99 F99 L99 G99 
8 6 2	U..T.DUCCT.DAAB..DFWB.KKFWBLLL.WGG.. B96 C98 T98 L99 G98 
8 6 2	U..T.DUCCT.DAAB..DFWBKK.FWBLLL.W..GG B96 C98 T98 K99 L99 
8 6 2	.....D..CC.DUAAT.DUWBTKKFWBLLLFWB.GG U98 C99 A99 B97 F99 L99 
8 6 2	.....DU.CC.DUAAT.D.WBTKKFWBLLLFWB.GG U99 C99 A99 F99 B97 L99 
8 6 2	U....DU.CC.D.AAT.D.WBTKKFWBLLLFWBGG. B97 C99 A99 F99 L99 G99 
8 6 2	.....DU.CC.DUAAT.DFWBTKKFWBLLL.WBGG. U99 C99 A99 B97 L99 G99 
8 6 2	.....DUCC..DUAAT.DFWBTKKFWBLLL.WBGG. U99 C98 A99 B97 L99 G99 
8 6 2	U....DUCCT.DAA.T.DFWBKK.FWBLLL.WB.GG B97 C98 T97 K99 L99 
8 6 2	.....DUCC..DUAAT.D.WBTKKFWBLLLFWB.GG U99 C98 A99 B97 F99 L99 
8 6 2	.....DU..CCDUAAT.D.WBTKKFWBLLLFWBGG. U99 A99 B97 F99 L99 G99 
8 6 2	U....DUCCT.DAA.T.D.WB.KKFWBLLLFWB.GG B97 C98 T97 F99 L99 
8 6 2	U....DUCCT.DAA.T.DFWB.KKFWBLLL.WBGG. B97 C98 T97 L99 G99 
8 6 2	U..T.DUCCT.DAAB..D.WB.KKFWBLLLFW..GG B96 C98 T98 F99 L99 
8 6 2	U..T.DUCCT.DAAB..DFWB.KKFWBLLL.W.GG. B96 C98 T98 L99 G99 
8 6 2	.....D.CC..DUAAT.DUWBTKKFWBLLLFWB.GG U98 C98 A99 B97 F99 L99 
8 6 2	U....DUCCT.D.AAT.DFWB.KKFWBLLL.WB.GG B97 C98 A99 T97 L99 
8 5 3	U....DUCC..DAABT.D.WBTKKFWBLLLFWGG.. B98 C98 F99 L99 G98 
8 5 3	U....DU.CC.DAABT.D.WBTKKFWBLLLFWGG.. B98 C99 F99 L99 G98 
8 5 3	U....DUCCT.DAABT.DFWB.KKFWBLLL.WGG.. B98 C98 T99 L99 G98 
8 5 3	U....DUCC..DAABT.D.WBTKKFWBLLLFW..GG B96 C98 F99 L99 
8 5 3	U....DU..CCDAABT.D.WBTKKFWBLLLFW.GG. B96 F99 L99 G99 
8 5 3	U....DUCCT.DAABT.DFWB.KKFWBLLL.W..GG B96 C98 T99 L99 
8 5 3	U....DU.CC.DAABT.DFWBTKKFWBLLL.W.GG. B96 C99 L99 G99 
8 5 3	U....DU.BCCDAABT.D.WBTKKFW.LLLFW.GG. B95 F99 L99 G99 
8 5 3	U....DU.CC.DAABT.D.WBTKKFWBLLLFW..GG B96 C99 F99 L99 
8 5 3	U....DUCC..DAABT.DFWBTKKFWBLLL.W.GG. B96 C98 L99 G99 
9 8 1	U..T.DUCCT.D.W.AADFWBKK.FWBLLL..BGG. B97 C98 A97 T98 W99 K99 L99 G99 
9 8 1	U..T.DUCCT.DF.BAADFWB.KK.WBLLL.W.GG. B96 C98 A97 T98 F99 L99 G99 
9 8 1	...T.DUCCT.DU..AAD.WBKK.FWBLLLFWB.GG U99 T98 C98 A97 B97 K99 F99 L99 
9 8 1	U..T..UCCT.D..BAADFWBKKDFWBLLL.W..GG B96 D99 C98 A97 T98 K99 L99 
9 8 1	...T.D.CCT.DU.AA.DUWBKK.FWBLLLFWB.GG U98 T98 C98 A98 B97 K99 F99 L99 
9 8 1	U..T.DUCCT.D..BAADFWBKK.FWBLLL.W.GG. B96 C98 A97 T98 K99 L99 G99 
9 8 1	U..T.DUCCT.D...AAD.WBKK.FWBLLLFWBGG. B97 C98 A97 T98 F99 K99 L99 G99 
9 8 1	U..T.DUCCT.DF..AADFWBKK..WBLLL.WBGG. B97 C98 A97 T98 F99 K99 L99 G99 
9 8 1	...T.DUCCT.DUAA..D.WB.KKFWBLLLFWBGG. U99 T98 C98 A99 F99 B97 L99 G99 
9 8 1	U..T..UCCT.D...AADFWBKKDFWBLLL.WBGG. B97 D99 C98 A97 T98 K99 L99 G99 
9 8 1	...T.DUCCT.DU..AADFWBKK.FWBLLL.WBGG. U99 T98 C98 A97 B97 K99 L99 G99 
9 8 1	U..T.DUCCT.DFW.AADFWBKK..WBLLL..B.GG B97 C98 A97 T98 F99 W99 K99 L99 
9 8 1	U..T.DUCCT.DFWBAADFWB.KK.WBLLL....GG B96 C98 A97 T98 F99 W99 L99 
9 8 1	...T.DCC.T.DUAA..DUWB.KKFWBLLLFWB.GG U98 T98 C97 A99 B97 F99 L99 
9 8 1	...T.D.CCT.DUAA..DUWBKK.FWBLLLFWB.GG U98 T98 C98 A99 B97 K99 F99 L99 
9 8 1	...T.D.CCT.DU..AADUWBKK.FWBLLLFWB.GG U98 T98 C98 A97 B97 K99 F99 L99 
9 8 1	...T.D.CCT.DUW.AADUWB.KKFWBLLLF.B.GG U98 T98 C98 A97 W99 B97 F99 L99 
9 8 1	...T.DCC.T.DU..AADUWB.KKFWBLLLFWB.GG U98 T98 C97 A97 B97 F99 L99 
9 8 1	U..T.DUCCT.D.WBAADFWB.KKFWBLLL..GG.. B96 C98 A97 T98 W99 L99 G98 
9 8 1	U..T.DUCCT.DF.BAADFWB.KK.WBLLL.WGG.. B96 C98 A97 T98 F99 L99 G98 
9 8 1	...T.DUCCT.DU.BAADFWB.KKFWBLLL.W.GG. U99 T98 C98 B96 A97 L99 G99 
9 8 1	U..T.DUCCT.DFW.AADFWB.KK.WBLLL..BGG. B97 C98 A97 T98 F99 W99 L99 G99 
9 8 1	...T.DUCCT.DU.BAADFWBKK.FWBLLL.W..GG U99 T98 C98 B96 A97 K99 L99 
9 8 1	...T.DUCCT.DUWBAADFWB.KKFWBLLL....GG U99 T98 C98 B96 A97 W99 L99 
9 8 1	U..T.DUCCT.D..BAAD.WB.KKFWBLLLFW.GG. B96 C98 A97 T98 F99 L99 G99 
9 8 1	U..T.DUCCT.D..BAAD.WBKK.FWBLLLFW..GG B96 C98 A97 T98 F99 K99 L99 
9 8 1	U..T.DUCCT.D.WAA.DFWBKK.FWBLLL..BGG. B97 C98 A98 T98 W99 K99 L99 G99 
9 8 1	U..T.DUCCT.D.WBAAD.WB.KKFWBLLLF...GG B96 C98 A97 T98 F99 W99 L99 
9 8 1	...T.DUCCT.DU.BAADFWB.KKFWBLLL.WGG.. U99 T98 C98 B96 A97 L99 G98 
9 8 1	...T.D.CCT.DUAA..DUWB.KKFWBLLLFWBGG. U98 T98 C98 A99 B97 F99 L99 G99 
9 8 1	...T.D.CCT.DU.BAADUWB.KKFWBLLLFW..GG U98 T98 C98 B96 A97 F99 L99 
9 8 1	...T.DUCCT.DU.BAAD.WB.KKFWBLLLFW..GG U99 T98 C98 B96 A97 F99 L99 
9 8 1	U..T.DUCCT.D..BAAD.WB.KKFWBLLLFWGG.. B96 C98 A97 T98 F99 L99 G98 
9 8 1	U..T.DUCCT.DFWAA.DFWB.KK.WBLLL..BGG. B97 C98 A98 T98 F99 W99 L99 G99 
9 8 1	U..T.DUCCT.D.WAA.D.WB.KKFWBLLLF.BGG. B97 C98 A98 T98 F99 W99 L99 G99 
9 8 1	...T.DUCCT.DUAA..DFWBKK.FWBLLL.WBGG. U99 T98 C98 A99 B97 K99 L99 G99 
9 8 1	...T.D.CCT.DU..AADUWB.KKFWBLLLFWBGG. U98 T98 C98 A97 B97 F99 L99 G99 
9 8 1	...T.DUCCT.DUWAA.DFWB.KKFWBLLL..BGG. U99 T98 C98 W99 A98 B97 L99 G99 
9 8 1	...T.DUCCT.DUAA..D.WBKK.FWBLLLFWB.GG U99 T98 C98 A99 F99 B97 K99 L99 
9 8 1	U..T.DUCCT.D..BAADFWBKK.FWBLLL.WGG.. B96 C98 A97 T98 K99 L99 G98 
9 8 1	U..T.DUCCT.D.WBAADFWBKK.FWBLLL....GG B96 C98 A97 T98 W99 K99 L99 
9 8 1	U..T.DUCCT.DF.AA.DFWBKK..WBLLL.WBGG. B97 C98 A98 T98 F99 K99 L99 G99 
9 8 1	U..T.DUCCT.D.W.AAD.WB.KKFWBLLLF.BGG. B97 C98 A97 T98 F99 W99 L99 G99 
9 8 1	...T.DUCCT.DU..AAD.WB.KKFWBLLLFWBGG. U99 T98 C98 A97 B97 F99 L99 G99 
9 8 1	U..T.DUCCT.DF.BAADFWBKK..WBLLL.W..GG B96 C98 A97 T98 F99 K99 L99 
9 8 1	U..T.DUCCT.D.W.AAD.WBKK.FWBLLLF.B.GG B97 C98 A97 T98 F99 W99 K99 L99 
9 8 1	...T..UCCT.DU..AADFWBKKDFWBLLL.WB.GG U99 T98 D99 C98 A97 B97 K99 L99 
9 8 1	U..T..UCCT.D..AA.D.WBKKDFWBLLLFWB.GG B97 D99 C98 A98 T98 F99 K99 L99 
9 8 1	U..T..UCCT.DF..AADFWBKKD.WBLLL.WB.GG B97 D99 C98 A97 T98 F99 K99 L99 
9 8 1	...T.D.CCT.DU.AA.DUWB.KKFWBLLLFWBGG. U98 T98 C98 A98 B97 F99 L99 G99 
9 8 1	U..T.DUCCT.D.AA..D.WBKK.FWBLLLFWBGG. B97 C98 A99 T98 F99 K99 L99 G99 
9 8 1	U..T.DUCCT.D.WAA.D.WBKK.FWBLLLF.B.GG B97 C98 A98 T98 F99 W99 K99 L99 
9 8 1	U..T.DUCCT.D..AA.D.WBKK.FWBLLLFWBGG. B97 C98 A98 T98 F99 K99 L99 G99 
9 8 1	...T.DUCCT.DUWAA.D.WB.KKFWBLLLF.B.GG U99 T98 C98 W99 A98 B97 F99 L99 
9 8 1	...T.DUCCT.DU.AA.DFWBKK.FWBLLL.WBGG. U99 T98 C98 A98 B97 K99 L99 G99 
9 8 1	...T..UCCT.DU.AA.DFWBKKDFWBLLL.WB.GG U99 T98 D99 C98 A98 B97 K99 L99 
9 8 1	U..T..UCCT.DFAA..DFWBKKD.WBLLL.WB.GG B97 D99 C98 A99 T98 F99 K99 L99 
9 8 1	...T.DCC.T.DU.AA.DUWB.KKFWBLLLFWB.GG U98 T98 C97 A98 B97 F99 L99 
9 8 1	...T.DUCCT.DU.AA.D.WB.KKFWBLLLFWBGG. U99 T98 C98 A98 F99 B97 L99 G99 
9 8 1	U..T.DUCCT.DFAA..DFWBKK..WBLLL.WBGG. B97 C98 A99 T98 F99 K99 L99 G99 
9 8 1	...T.DUCCT.DU.AA.D.WBKK.FWBLLLFWB.GG U99 T98 C98 A98 B97 K99 F99 L99 
9 8 1	U..T.DUCCT.D.WBAADFWB.KKFWBLLLGG.... B96 C98 A97 T98 W99 L99 G96 
9 8 1	U..T..UCCT.D...AAD.WBKKDFWBLLLFWB.GG B97 D99 C98 A97 T98 F99 K99 L99 
9 8 1	U..T..UCCT.DAA...D.WBKKDFWBLLLFWBGG. B97 D99 C98 T98 F99 K99 L99 G99 
9 8 1	U..T..UCCT.D.AA..D.WBKKDFWBLLLFWB.GG B97 D99 C98 A99 T98 F99 K99 L99 
9 8 1	U..T..UCCT.D.AA..DFWBKKDFWBLLL.WBGG. B97 D99 C98 A99 T98 K99 L99 G99 
9 8 1	...T.DUCCT.DUW.AAD.WB.KKFWBLLLF.B.GG U99 T98 C98 W99 A97 F99 B97 L99 
9 8 1	U..T..UCCT.D..AA.DFWBKKDFWBLLL.WBGG. B97 D99 C98 A98 T98 K99 L99 G99 
