3 0 3	..GGOS..DFOSAADFO.T.DF..TVKKJJ.VIII. G98 
6 3 3	GG.FOS..DFOSAADFO...D...TVKKJJTVIII. G98 F99 T99 
6 3 3	.GG..S..DFOSAADFO...DFO.TVKKJJTVIII. G99 O99 T99 
6 2 4	..GG....DFOSAADFOST.DFO.TVKKJJ.VIII. O99 S99 
7 3 4	.GG.....DFO.AADFOST.DFOSTVKKJJ.VIII. G99 O99 S98 
7 3 4	GG.FO...DFO.AADFOST.D..STVKKJJ.VIII. G98 S98 F99 
7 4 3	...GGS..DFOSAADFO.TVDFO.TVKKJJ...III G99 O99 V99 I99 
7 4 3	.GG.OS..DFOSAADFO..VDF..TVKKJJTIII.. G99 T99 V99 I99 
7 3 4	.GG.O...DFO.AADFOST.DF.STVKKJJ.V.III G99 S98 I99 
7 4 3	GGDFOS..DFOSAADFO.T.....TVKKJJ.V.III G98 D99 F99 I99 
7 3 4	.GG.O...DFOSAADFOST.DF..TVKKJJ.V.III G99 S99 I99 
7 3 4	.GG.....DFOSAADFOST.DFO.TVKKJJ.VIII. G99 O99 S99 
7 3 4	GG.FO...DFOSAADFOST.D...TVKKJJ.VIII. G98 S99 F99 
7 4 3	GGD..S..DFOSAADFO.T..FO.TVKKJJ.V.III G98 O99 D99 I99 
7 4 3	GG.FOS..DFOSAADFO..VD...TVKKJJT.III. G98 F99 T99 V99 
7 4 3	.GGFOS..DFOSAADFO.TVD...TVKKJJ...III G99 F99 V99 I99 
7 4 3	.GGFOS..DFOSAADFO..VD...TVKKJJT.III. G99 F99 T99 V99 
7 4 3	GGD.OS..DFOSAADFO..V.F..TVKKJJT.III. G98 D99 T99 V99 
7 4 3	.GGFOS..DFOSAADFO.TVD...TVKKJJIII... G99 F99 V99 I98 
7 4 3	GG...S..DFOSAADFO..VDFO.TVKKJJT.III. G98 O99 T99 V99 
7 4 3	.GG..S..DFOSAADFO.TVDFO.TVKKJJ...III G99 O99 V99 I99 
7 4 3	GGD.OS..DFOSAADFO.TV.F..TVKKJJ...III G98 D99 V99 I99 
7 4 3	GG.FOS..DFOSAADFO.TVD...TVKKJJ...III G98 F99 V99 I99 
7 4 3	.GG..S..DFOSAADFO...DFO.TVKKJJTV.III G99 O99 T99 I99 
7 3 4	.GG.O...DFO.AADFOSTVDF.STVKKJJ..III. G99 S98 V99 
7 4 3	.GGFOS..DFOSAADFO.TVD...TVKKJJ.III.. G99 F99 V99 I99 
7 4 3	GG...S..DFOSAADFO.TVDFO.TVKKJJ...III G98 O99 V99 I99 
7 4 3	GG..OS..DFOSAADFO..VDF..TVKKJJT..III G98 T99 V99 I99 
7 4 3	GG...S..DFOSAADFO.TVDFO.TVKKJJIII... G98 O99 V99 I98 
7 4 3	.GGF.S..DFOSAADFO.TVD.O.TVKKJJ..III. G99 O99 F99 V99 
7 3 4	.GG.O...DFOSAADFOSTVDF..TVKKJJ..III. G99 S99 V99 
7 4 3	.GG..S..DFOSAADFO..VDFO.TVKKJJT.III. G99 O99 T99 V99 
7 4 3	.GG.OS..DFOSAADFO..VDF..TVKKJJT..III G99 T99 V99 I99 
7 4 3	.GG..S..DFOSAADFO.TVDFO.TVKKJJ.III.. G99 O99 V99 I99 
7 4 3	GG..OS..DFOSAADFO..VDF..TVKKJJTIII.. G98 T99 V99 I99 
7 4 3	GGD.OS..DFOSAADFO....F..TVKKJJTV.III G98 D99 T99 I99 
7 4 3	GG.F.S..DFOSAADFO.T.D.O.TVKKJJ.V.III G98 F99 O99 I99 
7 3 4	GG......DFO.AADFOST.DFOSTVKKJJ.VIII. G98 S98 O99 
7 4 3	.GG..S..DFOSAADFO.TVDFO.TVKKJJIII... G99 O99 V99 I98 
7 3 4	GG......DFOSAADFOST.DFO.TVKKJJ.VIII. G98 S99 O99 
7 4 3	.GGF.S..DFOSAADFO...D.O.TVKKJJTVIII. G99 O99 F99 T99 
7 4 3	GG...S..DFOSAADFO...DFO.TVKKJJTV.III G98 O99 T99 I99 
7 4 3	.GGFOS..DFOSAADFO...D...TVKKJJTV.III G99 F99 T99 I99 
7 3 4	..GGO...DFO.AADFOSTVDF.STVKKJJIII... S98 V99 I98 
7 3 4	GGD.O...DFO.AADFOST..F.STVKKJJ.VIII. G98 S98 D99 
7 4 3	.GGF.S..DFOSAADFO.T.D.O.TVKKJJ.V.III G99 O99 F99 I99 
7 4 3	GGDFOS..DFOSAADFO.......TVKKJJTVIII. G98 D99 F99 T99 
7 3 4	GG..O...DFO.AADFOST.DF.STVKKJJ.V.III G98 S98 I99 
7 4 3	...GGS..DFOSAADFO...DFO.TVKKJJTV.III G99 O99 T99 I99 
7 4 3	..DGGS..DFOSAADFO.T..FO.TVKKJJ.V.III G99 O99 D99 I99 
7 3 4	GG..O...DFOSAADFOST.DF..TVKKJJ.V.III G98 S99 I99 
7 4 3	GG.FOS..DFOSAADFO...D...TVKKJJTV.III G98 F99 T99 I99 
7 3 4	..GGO...DFOSAADFOSTVDF..TVKKJJ...III S99 V99 I99 
7 3 4	..GGO...DFO.AADFOSTVDF.STVKKJJ...III S98 V99 I99 
7 3 4	..GG....DFOSAADFOSTVDFO.TVKKJJ..III. O99 S99 V99 
7 3 4	..GG....DFOSAADFOS..DFO.TVKKJJTVIII. O99 S99 T99 
7 3 4	GG..O...DFO.AADFOSTVDF.STVKKJJ..III. G98 S98 V99 
7 4 3	GG.FOS..DFOSAADFO.TVD...TVKKJJIII... G98 F99 V99 I98 
7 3 4	....GG..DFOSAADFOST.DFO.TVKKJJ.VIII. G98 O99 S99 
7 3 4	GG..O...DFOSAADFOSTVDF..TVKKJJ..III. G98 S99 V99 
7 3 4	..GG....DFO.AADFOST.DFOSTVKKJJ.V.III O99 S98 I99 
7 3 4	..GGO...DFO.AADFOSTVDF.STVKKJJ.III.. S98 V99 I99 
7 3 4	..GG....DFOSAADFOST.DFO.TVKKJJ.V.III O99 S99 I99 
7 4 3	GGD.OS..DFOSAADFO.TV.F..TVKKJJIII... G98 D99 V99 I98 
7 3 4	..GGO...DFOSAADFOS..DF..TVKKJJTV.III S99 T99 I99 
7 4 3	...GGS..DFOSAADFO.TVDFO.TVKKJJ.III.. G99 O99 V99 I99 
7 3 4	..GGO...DFO.AADFOS.VDF.STVKKJJT.III. S98 T99 V99 
7 4 3	..DGGS..DFOSAADFO.TV.FO.TVKKJJ..III. G99 O99 D99 V99 
7 3 4	..GGO...DFOSAADFOS.VDF..TVKKJJT.III. S99 T99 V99 
7 3 4	..GGO...DFO.AADFOS..DF.STVKKJJTV.III S98 T99 I99 
7 3 4	GGD.O...DFOSAADFOST..F..TVKKJJ.VIII. G98 S99 D99 
7 4 3	...GGS..DFOSAADFO..VDFO.TVKKJJT.III. G99 O99 T99 V99 
7 3 4	.GGFO...DFOSAADFOST.D...TVKKJJ.VIII. G99 S99 F99 
7 4 3	..GG.S..DFOSAADFO..VDFO.TVKKJJT..III O99 T99 V99 I99 
7 3 4	..GG....DFO.AADFOSTVDFOSTVKKJJ..III. O99 S98 V99 
7 3 4	..GGO...DFOSAADFOSTVDF..TVKKJJ.III.. S99 V99 I99 
7 4 3	GG.FOS..DFOSAADFO.TVD...TVKKJJ.III.. G98 F99 V99 I99 
7 4 3	GGD.OS..DFOSAADFO.TV.F..TVKKJJ.III.. G98 D99 V99 I99 
7 4 3	GGDFOS..DFOSAADFO.TV....TVKKJJ..III. G98 D99 F99 V99 
7 3 4	..GGO...DFOSAADFOSTVDF..TVKKJJIII... S99 V99 I98 
7 3 4	..GG....DFO.AADFOS..DFOSTVKKJJTVIII. O99 S98 T99 
7 4 3	..GG.S..DFOSAADFO..VDFO.TVKKJJTIII.. O99 T99 V99 I99 
7 4 3	..DGGS..DFOSAADFO....FO.TVKKJJTVIII. G99 O99 D99 T99 
7 4 3	...GGS..DFOSAADFO.TVDFO.TVKKJJIII... G99 O99 V99 I98 
7 3 4	...GG...DFO.AADFOST.DFOSTVKKJJ.VIII. G99 O99 S98 
7 3 4	.GG.O...DFO.AADFOS..DF.STVKKJJTVIII. G99 S98 T99 
7 3 4	.GG.O...DFOSAADFOS..DF..TVKKJJTVIII. G99 S99 T99 
7 4 3	GG...S..DFOSAADFO.TVDFO.TVKKJJ.III.. G98 O99 V99 I99 
7 4 3	GGD..S..DFOSAADFO.TV.FO.TVKKJJ..III. G98 D99 O99 V99 
7 3 4	.GGFO...DFO.AADFOST.D..STVKKJJ.VIII. G99 S98 F99 
7 3 4	...GG...DFOSAADFOST.DFO.TVKKJJ.VIII. G99 O99 S99 
7 4 3	GG.F.S..DFOSAADFO.TVD.O.TVKKJJ..III. G98 F99 O99 V99 
7 4 3	GGDF.S..DFOSAADFO.T...O.TVKKJJ.VIII. G98 D99 F99 O99 
7 3 4	GG..O...DFO.AADFOS..DF.STVKKJJTVIII. G98 S98 T99 
7 3 4	....GG..DFO.AADFOST.DFOSTVKKJJ.VIII. G98 O99 S98 
7 3 4	GG..O...DFOSAADFOS..DF..TVKKJJTVIII. G98 S99 T99 
7 4 3	GG.F.S..DFOSAADFO...D.O.TVKKJJTVIII. G98 F99 O99 T99 
7 4 3	GGD..S..DFOSAADFO....FO.TVKKJJTVIII. G98 D99 O99 T99 
8 4 4	GG......DFO.AADFOS..DFOSTVKKJJTVIII. G98 S98 O99 T99 
8 4 4	.GG.O...DFO.AADFOS..DF.STVKKJJTV.III G99 S98 T99 I99 
8 4 4	.GG.....DFOSAADFOS..DFO.TVKKJJTVIII. G99 O99 S99 T99 
8 5 3	GGDFOS..DFOSAADFO.......TVKKJJTV.III G98 D99 F99 T99 I99 
8 5 3	.GG..S..DFOSAADFO..VDFO.TVKKJJT..III G99 O99 T99 V99 I99 
8 4 4	GG......DFOSAADFOS..DFO.TVKKJJTVIII. G98 S99 O99 T99 
8 4 4	.GG.....DFOSAADFOSTVDFO.TVKKJJ..III. G99 O99 S99 V99 
8 4 4	GG.FO...DFO.AADFOST.D..STVKKJJ.V.III G98 S98 F99 I99 
8 4 4	.GG.....DFO.AADFOS..DFOSTVKKJJTVIII. G99 O99 S98 T99 
8 4 4	GGD.O...DFO.AADFOST..F.STVKKJJ.V.III G98 S98 D99 I99 
8 4 4	GG.FO...DFOSAADFOS..D...TVKKJJTVIII. G98 S99 F99 T99 
8 5 3	GGDFOS..DFOSAADFO.TV....TVKKJJ...III G98 D99 F99 V99 I99 
8 4 4	GGD.O...DFOSAADFOST..F..TVKKJJ.V.III G98 S99 D99 I99 
8 5 3	...GGS..DFOSAADFO..VDFO.TVKKJJT..III G99 O99 T99 V99 I99 
8 5 3	.GGFOS..DFOSAADFO..VD...TVKKJJTIII.. G99 F99 T99 V99 I99 
8 4 4	.GGFO...DFO.AADFOS..D..STVKKJJTVIII. G99 S98 F99 T99 
8 4 4	GG..O...DFO.AADFOS.VDF.STVKKJJT.III. G98 S98 T99 V99 
8 5 3	GG.FOS..DFOSAADFO..VD...TVKKJJT..III G98 F99 T99 V99 I99 
8 5 3	GG...S..DFOSAADFO..VDFO.TVKKJJT..III G98 O99 T99 V99 I99 
8 4 4	GG..O...DFOSAADFOS.VDF..TVKKJJT.III. G98 S99 T99 V99 
8 5 3	GGD..S..DFOSAADFO.TV.FO.TVKKJJ...III G98 O99 D99 V99 I99 
8 4 4	..D.GG..DFO.AADFOST..FOSTVKKJJ.VIII. G98 O99 S98 D99 
8 5 3	.GGFOS..DFOSAADFO..VD...TVKKJJT..III G99 F99 T99 V99 I99 
8 4 4	.GG.....DFO.AADFOST.DFOSTVKKJJ.V.III G99 O99 S98 I99 
8 5 3	GGDF.S..DFOSAADFO.TV..O.TVKKJJ..III. G98 O99 D99 F99 V99 
8 5 3	..DGGS..DFOSAADFO.TV.FO.TVKKJJIII... G99 O99 D99 V99 I98 
8 5 3	GGD..S..DFOSAADFO.TV.FO.TVKKJJ.III.. G98 O99 D99 V99 I99 
8 4 4	GG..O...DFO.AADFOSTVDF.STVKKJJ...III G98 S98 V99 I99 
8 5 3	GGD.OS..DFOSAADFO..V.F..TVKKJJT..III G98 D99 T99 V99 I99 
8 4 4	GG..O...DFOSAADFOSTVDF..TVKKJJ...III G98 S99 V99 I99 
8 5 3	GG.F.S..DFOSAADFO.TVD.O.TVKKJJ.III.. G98 O99 F99 V99 I99 
8 5 3	.GGF.S..DFOSAADFO...D.O.TVKKJJTV.III G99 O99 F99 T99 I99 
8 4 4	.GG.O...DFO.AADFOS.VDF.STVKKJJT.III. G99 S98 T99 V99 
8 5 3	GG.F.S..DFOSAADFO...D.O.TVKKJJTV.III G98 F99 O99 T99 I99 
8 5 3	GGDF.S..DFOSAADFO.....O.TVKKJJTVIII. G98 O99 D99 F99 T99 
8 4 4	....GG..DFOSAADFOSTVDFO.TVKKJJ..III. G98 O99 S99 V99 
8 4 4	.GG.O...DFOSAADFOS.VDF..TVKKJJT.III. G99 S99 T99 V99 
8 4 4	.GGFO...DFOSAADFOSTVD...TVKKJJ..III. G99 S99 F99 V99 
8 4 4	.GG.O...DFO.AADFOSTVDF.STVKKJJ.III.. G99 S98 V99 I99 
8 5 3	GGD..S..DFOSAADFO.TV.FO.TVKKJJIII... G98 D99 O99 V99 I98 
8 5 3	GG.F.S..DFOSAADFO.TVD.O.TVKKJJIII... G98 F99 O99 V99 I98 
8 4 4	.GG.O...DFOSAADFOSTVDF..TVKKJJ.III.. G99 S99 V99 I99 
8 4 4	.GGFO...DFO.AADFOSTVD..STVKKJJ..III. G99 S98 F99 V99 
8 4 4	.GG.O...DFO.AADFOSTVDF.STVKKJJIII... G99 S98 V99 I98 
8 5 3	.GGF.S..DFOSAADFO.TVD.O.TVKKJJ.III.. G99 O99 F99 V99 I99 
8 4 4	.GG.O...DFOSAADFOSTVDF..TVKKJJIII... G99 S99 V99 I98 
8 5 3	GG.F.S..DFOSAADFO.TVD.O.TVKKJJ...III G98 O99 F99 V99 I99 
8 4 4	.GG.....DFOSAADFOST.DFO.TVKKJJ.V.III G99 O99 S99 I99 
8 4 4	.GGFO...DFOSAADFOS..D...TVKKJJTVIII. G99 S99 F99 T99 
8 5 3	GG...S..DFOSAADFO..VDFO.TVKKJJTIII.. G98 O99 T99 V99 I99 
8 4 4	.GG.....DFO.AADFOSTVDFOSTVKKJJ..III. G99 O99 S98 V99 
8 5 3	.GGF.S..DFOSAADFO.TVD.O.TVKKJJIII... G99 O99 F99 V99 I98 
8 5 3	GGD.OS..DFOSAADFO..V.F..TVKKJJTIII.. G98 D99 T99 V99 I99 
8 4 4	.GGFO...DFO.AADFOST.D..STVKKJJ.V.III G99 S98 F99 I99 
8 4 4	.GGFO...DFOSAADFOST.D...TVKKJJ.V.III G99 S99 F99 I99 
8 4 4	GG.FO...DFO.AADFOS..D..STVKKJJTVIII. G98 S98 F99 T99 
8 5 3	GGD..S..DFOSAADFO..V.FO.TVKKJJT.III. G98 O99 D99 T99 V99 
8 4 4	.GG.O...DFO.AADFOSTVDF.STVKKJJ...III G99 S98 V99 I99 
8 5 3	.GGF.S..DFOSAADFO..VD.O.TVKKJJT.III. G99 O99 F99 T99 V99 
8 5 3	.GGF.S..DFOSAADFO.TVD.O.TVKKJJ...III G99 O99 F99 V99 I99 
8 5 3	GG.FOS..DFOSAADFO..VD...TVKKJJTIII.. G98 F99 T99 V99 I99 
8 5 3	GGDFOS..DFOSAADFO..V....TVKKJJT.III. G98 D99 F99 T99 V99 
8 4 4	...GG...DFO.AADFOST.DFOSTVKKJJ.V.III G99 O99 S98 I99 
8 4 4	...GG...DFOSAADFOST.DFO.TVKKJJ.V.III G99 O99 S99 I99 
8 5 3	GG.F.S..DFOSAADFO..VD.O.TVKKJJT.III. G98 O99 F99 T99 V99 
8 5 3	GGD..S..DFOSAADFO....FO.TVKKJJTV.III G98 O99 D99 T99 I99 
8 5 3	GGDF.S..DFOSAADFO.T...O.TVKKJJ.V.III G98 O99 D99 F99 I99 
8 5 3	..DGGS..DFOSAADFO....FO.TVKKJJTV.III G99 O99 D99 T99 I99 
8 5 3	.GG..S..DFOSAADFO..VDFO.TVKKJJTIII.. G99 O99 T99 V99 I99 
8 5 3	..DGGS..DFOSAADFO.TV.FO.TVKKJJ...III G99 O99 D99 V99 I99 
8 4 4	....GG..DFOSAADFOS..DFO.TVKKJJTVIII. G98 O99 S99 T99 
8 4 4	..GGO...DFOSAADFOS.VDF..TVKKJJTIII.. S99 T99 V99 I99 
8 4 4	..GGO...DFO.AADFOS.VDF.STVKKJJTIII.. S98 T99 V99 I99 
8 4 4	GG..O...DFOSAADFOSTVDF..TVKKJJIII... G98 S99 V99 I98 
8 4 4	..GG....DFOSAADFOSTVDFO.TVKKJJIII... O99 S99 V99 I98 
8 4 4	..DGG...DFOSAADFOST..FO.TVKKJJ.VIII. G99 O99 S99 D99 
8 4 4	GG..O...DFOSAADFOSTVDF..TVKKJJ.III.. G98 S99 V99 I99 
8 4 4	...GG...DFO.AADFOS..DFOSTVKKJJTVIII. G99 O99 S98 T99 
8 4 4	...GG...DFOSAADFOS..DFO.TVKKJJTVIII. G99 O99 S99 T99 
8 4 4	...FGG..DFOSAADFOST.D.O.TVKKJJ.VIII. G98 O99 S99 F99 
8 4 4	..GG....DFOSAADFOSTVDFO.TVKKJJ.III.. O99 S99 V99 I99 
8 4 4	....GG..DFOSAADFOST.DFO.TVKKJJ.V.III G98 O99 S99 I99 
8 5 3	GGDFOS..DFOSAADFO.TV....TVKKJJIII... G98 D99 F99 V99 I98 
8 4 4	GG......DFO.AADFOST.DFOSTVKKJJ.V.III G98 O99 S98 I99 
8 4 4	....GG..DFO.AADFOST.DFOSTVKKJJ.V.III G98 O99 S98 I99 
8 4 4	..D.GG..DFOSAADFOST..FO.TVKKJJ.VIII. G98 O99 S99 D99 
8 4 4	...GG...DFO.AADFOSTVDFOSTVKKJJ..III. G99 O99 S98 V99 
8 4 4	GG......DFOSAADFOST.DFO.TVKKJJ.V.III G98 O99 S99 I99 
8 4 4	...GG...DFOSAADFOSTVDFO.TVKKJJ..III. G99 O99 S99 V99 
8 4 4	.GGF....DFOSAADFOST.D.O.TVKKJJ.VIII. G99 O99 S99 F99 
8 4 4	..GGO...DFO.AADFOS.VDF.STVKKJJT..III S98 T99 V99 I99 
8 4 4	GGD.....DFOSAADFOST..FO.TVKKJJ.VIII. G98 O99 S99 D99 
8 5 3	...GGS..DFOSAADFO..VDFO.TVKKJJTIII.. G99 O99 T99 V99 I99 
8 4 4	..GG....DFOSAADFOS.VDFO.TVKKJJT.III. O99 S99 T99 V99 
8 4 4	...FGG..DFO.AADFOST.D.OSTVKKJJ.VIII. G98 O99 S98 F99 
8 4 4	..GG....DFOSAADFOSTVDFO.TVKKJJ...III O99 S99 V99 I99 
8 4 4	GG..O...DFO.AADFOSTVDF.STVKKJJIII... G98 S98 V99 I98 
8 4 4	..GG....DFOSAADFOS..DFO.TVKKJJTV.III O99 S99 T99 I99 
8 4 4	..GGO...DFOSAADFOS.VDF..TVKKJJT..III S99 T99 V99 I99 
8 5 3	..DGGS..DFOSAADFO.TV.FO.TVKKJJ.III.. G99 O99 D99 V99 I99 
8 5 3	..DGGS..DFOSAADFO..V.FO.TVKKJJT.III. G99 O99 D99 T99 V99 
8 4 4	GGDFO...DFO.AADFOST....STVKKJJ.VIII. G98 S98 D99 F99 
8 4 4	GGDFO...DFOSAADFOST.....TVKKJJ.VIII. G98 S99 D99 F99 
8 4 4	GGD.O...DFO.AADFOS...F.STVKKJJTVIII. G98 S98 D99 T99 
8 4 4	GGD.O...DFOSAADFOS...F..TVKKJJTVIII. G98 S99 D99 T99 
8 4 4	..GG....DFO.AADFOSTVDFOSTVKKJJ...III O99 S98 V99 I99 
8 4 4	..GG....DFO.AADFOS.VDFOSTVKKJJT.III. O99 S98 T99 V99 
8 4 4	....GG..DFO.AADFOSTVDFOSTVKKJJ..III. G98 O99 S98 V99 
8 4 4	GG.FO...DFO.AADFOSTVD..STVKKJJ..III. G98 S98 F99 V99 
8 4 4	..GG....DFO.AADFOS..DFOSTVKKJJTV.III O99 S98 T99 I99 
8 4 4	GG.FO...DFOSAADFOSTVD...TVKKJJ..III. G98 S99 F99 V99 
8 4 4	GGD.....DFO.AADFOST..FOSTVKKJJ.VIII. G98 O99 S98 D99 
8 4 4	.GGF....DFO.AADFOST.D.OSTVKKJJ.VIII. G99 O99 S98 F99 
8 4 4	GGD.O...DFO.AADFOSTV.F.STVKKJJ..III. G98 S98 D99 V99 
8 4 4	GGD.O...DFOSAADFOSTV.F..TVKKJJ..III. G98 S99 D99 V99 
8 4 4	..GG....DFO.AADFOSTVDFOSTVKKJJ.III.. O99 S98 V99 I99 
8 4 4	..GG....DFO.AADFOSTVDFOSTVKKJJIII... O99 S98 V99 I98 
8 4 4	GG.FO...DFOSAADFOST.D...TVKKJJ.V.III G98 S99 F99 I99 
8 4 4	.GG.O...DFOSAADFOSTVDF..TVKKJJ...III G99 S99 V99 I99 
