0 0 0	VVBC....BCDEAABCDEHJ..F.HJNNFI.KK.FI 
3 3 0	VV.C....BCDEAABCDE.JB.FIHJNNFIHKK.F. B99 H99 I99 
3 3 0	VV.C....BCDEAABCDE.JB.F.HJNNFIH.KKFI B99 H99 K99 
3 3 0	VV.C....BCDEAABCDEHJB.FIHJNNFIKK..F. B99 I99 K99 
3 3 0	VV.C....BCDEAABCDEHJB.FIHJNNFI..KKF. B99 I99 K99 
3 3 0	VV.C....BCDEAABCDEH.B.F.HJNNFI.JKKFI B99 J99 K99 
3 3 0	VVB.D...BCD.AABC.EHJ.CFEHJNNFI.KK.FI C99 D99 E99 
3 3 0	VVB.DE..BCDEAABC..HJ.CF.HJNNFI.KK.FI C99 D99 E99 
3 3 0	VVB.D...BCDEAABC.E.J.CF.HJNNFIHKK.FI C99 D99 H99 
3 3 0	VVB.D...BCDEAABCFEHJ.CF.HJNNFI.KK..I C99 D99 F99 
3 3 0	VVB.D...BCDEAABC.EHJ.CFIHJNNFI.KK.F. C99 D99 I99 
3 3 0	VVB.D...BCDEAABC.EHJ.CF.HJNNFIKK..FI C99 D99 K99 
3 3 0	VVB.D...BCDEAABC.EHJ.CF.HJNNFI..KKFI C99 D99 K99 
3 3 0	VVB.....BCD.AABCDE.J.CFEHJNNFIHKK.FI C99 E99 H99 
3 3 0	VVB.....BCD.AABCDEHJ.CFEHJNNFIKK..FI C99 E99 K99 
3 3 0	VVB.....BCD.AABCDEHJ.CFEHJNNFI..KKFI C99 E99 K99 
3 3 0	VVB..E..BCDEAABCD..J.CF.HJNNFIHKK.FI C99 E99 H99 
3 3 0	VVB..E..BCDEAABCD.HJ.CFIHJNNFI.KK.F. C99 E99 I99 
3 3 0	VVB..E..BCDEAABCDIHJ.CFIHJNNF..KK.F. C99 E99 I98 
3 3 0	VVB..E..BCDEAABCD.HJ.CF.HJNNFIKK..FI C99 E99 K99 
3 3 0	VVB..E..BCDEAABCD.HJ.CF.HJNNFI..KKFI C99 E99 K99 
3 3 0	VVB.....BCDEAABCDE.J.CFIHJNNFIHKK.F. C99 H99 I99 
3 3 0	VVB.....BCDEAABCDE.J.CF.HJNNFIH.KKFI C99 H99 K99 
3 3 0	VVB.....BCDEAABCDEHJ.CFIHJNNFIKK..F. C99 I99 K99 
3 3 0	VVB.....BCDEAABCDEHJ.CFIHJNNFI..KKF. C99 I99 K99 
3 3 0	VVB.....BCDEAABCDEH..CF.HJNNFI.JKKFI C99 J99 K99 
3 3 0	VVBCD...BCD.AABC.E.J..FEHJNNFIHKK.FI D99 E99 H99 
3 3 0	VVBCD...BCD.AABCFEHJ..FEHJNNFI.KK..I D99 E99 F99 
3 3 0	VVBCD...BCD.AABC.EHJ..FEHJNNFIKK..FI D99 E99 K99 
3 3 0	VVBCD...BCD.AABC.EHJ..FEHJNNFI..KKFI D99 E99 K99 
3 3 0	VVBCDE..BCDEAABC...J..F.HJNNFIHKK.FI D99 E99 H99 
3 3 0	VVBCDE..BCDEAABCF.HJ..F.HJNNFI.KK..I D99 E99 F99 
3 3 0	VVBCDE..BCDEAABC..HJ..FIHJNNFI.KK.F. D99 E99 I99 
3 3 0	VVBCDE..BCDEAABC.IHJ..FIHJNNF..KK.F. D99 E99 I98 
3 3 0	VVBCDE..BCDEAABC..HJ..F.HJNNFIKK..FI D99 E99 K99 
3 3 0	VVBCDE..BCDEAABC..HJ..F.HJNNFI..KKFI D99 E99 K99 
3 3 0	VVBCD...BCDEAABCFE.J..F.HJNNFIHKK..I D99 H99 F99 
3 3 0	VVBCD...BCDEAABC.E.J..FIHJNNFIHKK.F. D99 H99 I99 
3 3 0	VVBCD...BCDEAABC.E.J..F.HJNNFIH.KKFI D99 H99 K99 
3 3 0	VVBCD...BCDEAABCFEHJ..FIHJNNFI.KK... D99 F99 I99 
3 3 0	VVBCD...BCDEAABCFEHJ..F.HJNNFIKK...I D99 F99 K99 
3 3 0	VVBCD...BCDEAABCFEHJ..F.HJNNFI..KK.I D99 F99 K99 
3 3 0	VVBCD...BCDEAABCFEHJ..F.HJNNFI...KKI D99 F99 K98 
3 3 0	VVBCD...BCDEAABC.EHJ..FIHJNNFIKK..F. D99 I99 K99 
3 3 0	VVBCD...BCDEAABC.EHJ..FIHJNNFI..KKF. D99 I99 K99 
3 3 0	VVBCD...BCDEAABC.EH...F.HJNNFI.JKKFI D99 J99 K99 
3 3 0	VVBC....BCD.AABCDE.J..FEHJNNFIH.KKFI E99 H99 K99 
3 3 0	VVBC....BCD.AABCDEH...FEHJNNFI.JKKFI E99 J99 K99 
3 3 0	VVBC.E..BCDEAABCD..J..FIHJNNFIHKK.F. E99 H99 I99 
3 3 0	VVBC.E..BCDEAABCDI.J..FIHJNNF.HKK.F. E99 H99 I98 
3 3 0	VVBC.E..BCDEAABCD..J..F.HJNNFIH.KKFI E99 H99 K99 
3 3 0	VVBC.E..BCDEAABCD.HJ..FIHJNNFIKK..F. E99 I99 K99 
3 3 0	VVBC.E..BCDEAABCD.HJ..FIHJNNFI..KKF. E99 I99 K99 
3 3 0	VVBC.E..BCDEAABCDIHJ..FIHJNNF.KK..F. E99 I98 K99 
3 3 0	VVBC.E..BCDEAABCDIHJ..FIHJNNF...KKF. E99 I98 K99 
3 3 0	VVBC.E..BCDEAABCD.H...F.HJNNFI.JKKFI E99 J99 K99 
3 3 0	VVBC....BCDEAABCDE.J..FIHJNNFIH.KKF. H99 I99 K99 
3 3 0	VVBC....BCDEAABCDE....F.HJNNFIHJKKFI H99 J99 K99 
3 3 0	VVBC....BCDEAABCDEH...FIHJNNFI.JKKF. J99 I99 K99 
4 4 0	.VV.D...BCDEAABC.EHJBCF.HJNNFI.KK.FI V99 B99 C99 D99 
4 4 0	.VV.....BCD.AABCDEHJBCFEHJNNFI.KK.FI V99 B99 C99 E99 
4 4 0	.VV..E..BCDEAABCD.HJBCF.HJNNFI.KK.FI V99 B99 C99 E99 
4 4 0	.VV.....BCDEAABCDE.JBCF.HJNNFIHKK.FI V99 B99 C99 H99 
4 4 0	.VV.....BCDEAABCDEHJBCFIHJNNFI.KK.F. V99 B99 C99 I99 
4 4 0	.VV.....BCDEAABCDEHJBCF.HJNNFIKK..FI V99 B99 C99 K99 
4 4 0	.VV.....BCDEAABCDEHJBCF.HJNNFI..KKFI V99 B99 C99 K99 
4 4 0	.VVCD...BCD.AABC.EHJB.FEHJNNFI.KK.FI V99 B99 D99 E99 
4 4 0	.VVCDE..BCDEAABC..HJB.F.HJNNFI.KK.FI V99 B99 D99 E99 
4 4 0	.VVCD...BCDEAABC.E.JB.F.HJNNFIHKK.FI V99 B99 D99 H99 
4 4 0	.VVCD...BCDEAABCFEHJB.F.HJNNFI.KK..I V99 B99 D99 F99 
4 4 0	.VVCD...BCDEAABC.EHJB.FIHJNNFI.KK.F. V99 B99 D99 I99 
4 4 0	.VVCD...BCDEAABC.EHJB.F.HJNNFIKK..FI V99 B99 D99 K99 
4 4 0	.VVCD...BCDEAABC.EHJB.F.HJNNFI..KKFI V99 B99 D99 K99 
4 4 0	.VVC....BCD.AABCDE.JB.FEHJNNFIHKK.FI V99 B99 E99 H99 
4 4 0	.VVC....BCD.AABCDEHJB.FEHJNNFIKK..FI V99 B99 E99 K99 
4 4 0	.VVC....BCD.AABCDEHJB.FEHJNNFI..KKFI V99 B99 E99 K99 
4 4 0	.VVC.E..BCDEAABCD..JB.F.HJNNFIHKK.FI V99 B99 E99 H99 
4 4 0	.VVC.E..BCDEAABCD.HJB.FIHJNNFI.KK.F. V99 B99 E99 I99 
4 4 0	.VVC.E..BCDEAABCDIHJB.FIHJNNF..KK.F. V99 B99 E99 I98 
4 4 0	.VVC.E..BCDEAABCD.HJB.F.HJNNFIKK..FI V99 B99 E99 K99 
4 4 0	.VVC.E..BCDEAABCD.HJB.F.HJNNFI..KKFI V99 B99 E99 K99 
4 4 0	.VVC....BCDEAABCDE.JB.FIHJNNFIHKK.F. V99 B99 H99 I99 
4 4 0	.VVC....BCDEAABCDE.JB.F.HJNNFIH.KKFI V99 B99 H99 K99 
4 4 0	.VVC....BCDEAABCDEHJB.FIHJNNFIKK..F. V99 B99 I99 K99 
4 4 0	.VVC....BCDEAABCDEHJB.FIHJNNFI..KKF. V99 B99 I99 K99 
4 4 0	.VVC....BCDEAABCDEH.B.F.HJNNFI.JKKFI V99 B99 J99 K99 
4 4 0	..VVD...BCDEAABC.EHJBCF.HJNNFI.KK.FI V98 B99 C99 D99 
4 4 0	..VV....BCD.AABCDEHJBCFEHJNNFI.KK.FI V98 B99 C99 E99 
4 4 0	..VV.E..BCDEAABCD.HJBCF.HJNNFI.KK.FI V98 B99 C99 E99 
4 4 0	..VV....BCDEAABCDE.JBCF.HJNNFIHKK.FI V98 B99 C99 H99 
4 4 0	..VV....BCDEAABCDEHJBCFIHJNNFI.KK.F. V98 B99 C99 I99 
4 4 0	..VV....BCDEAABCDEHJBCF.HJNNFIKK..FI V98 B99 C99 K99 
4 4 0	..VV....BCDEAABCDEHJBCF.HJNNFI..KKFI V98 B99 C99 K99 
4 4 0	..BVV...BCDEAABCDEHJ.CF.HJNNFI.KK.FI V97 B98 C99 
4 4 0	...VV...BCD.AABCDEHJBCFEHJNNFI.KK.FI V97 B99 C99 E99 
4 4 0	...VVE..BCDEAABCD.HJBCF.HJNNFI.KK.FI V97 B99 C99 E99 
4 4 0	...VV...BCDEAABCDE.JBCF.HJNNFIHKK.FI V97 B99 C99 H99 
4 4 0	...VV...BCDEAABCDEHJBCFIHJNNFI.KK.F. V97 B99 C99 I99 
4 4 0	...VV...BCDEAABCDEHJBCF.HJNNFIKK..FI V97 B99 C99 K99 
4 4 0	...VV...BCDEAABCDEHJBCF.HJNNFI..KKFI V97 B99 C99 K99 
4 4 0	..B.VV..BCDEAABCDEHJ.CF.HJNNFI.KK.FI V96 B98 C99 
4 4 0	...CVV..BCDEAABCDEHJB.F.HJNNFI.KK.FI V96 B99 C98 
4 4 0	....VV..BCD.AABCDEHJBCFEHJNNFI.KK.FI V96 B99 C99 E99 
4 4 0	....VV..BCDEAABCDE.JBCF.HJNNFIHKK.FI V96 B99 C99 H99 
4 4 0	....VV..BCDEAABCDEHJBCFIHJNNFI.KK.F. V96 B99 C99 I99 
4 4 0	....VV..BCDEAABCDEHJBCF.HJNNFIKK..FI V96 B99 C99 K99 
4 4 0	....VV..BCDEAABCDEHJBCF.HJNNFI..KKFI V96 B99 C99 K99 
4 4 0	VV..D...BCD.AABC.EHJBCFEHJNNFI.KK.FI B99 C99 D99 E99 
4 4 0	VV..DE..BCDEAABC..HJBCF.HJNNFI.KK.FI B99 C99 D99 E99 
4 4 0	VV..D...BCDEAABC.E.JBCF.HJNNFIHKK.FI B99 C99 D99 H99 
4 4 0	VV..D...BCDEAABCFEHJBCF.HJNNFI.KK..I B99 C99 D99 F99 
4 4 0	VV..D...BCDEAABC.EHJBCFIHJNNFI.KK.F. B99 C99 D99 I99 
4 4 0	VV..D...BCDEAABC.EHJBCF.HJNNFIKK..FI B99 C99 D99 K99 
4 4 0	VV..D...BCDEAABC.EHJBCF.HJNNFI..KKFI B99 C99 D99 K99 
4 4 0	VV......BCD.AABCDE.JBCFEHJNNFIHKK.FI B99 C99 E99 H99 
4 4 0	VV......BCD.AABCDEHJBCFEHJNNFIKK..FI B99 C99 E99 K99 
4 4 0	VV......BCD.AABCDEHJBCFEHJNNFI..KKFI B99 C99 E99 K99 
4 4 0	VV...E..BCDEAABCD..JBCF.HJNNFIHKK.FI B99 C99 E99 H99 
4 4 0	VV...E..BCDEAABCD.HJBCFIHJNNFI.KK.F. B99 C99 E99 I99 
4 4 0	VV...E..BCDEAABCDIHJBCFIHJNNF..KK.F. B99 C99 E99 I98 
4 4 0	VV...E..BCDEAABCD.HJBCF.HJNNFIKK..FI B99 C99 E99 K99 
4 4 0	VV...E..BCDEAABCD.HJBCF.HJNNFI..KKFI B99 C99 E99 K99 
4 4 0	VV......BCDEAABCDE.JBCFIHJNNFIHKK.F. B99 C99 H99 I99 
4 4 0	VV......BCDEAABCDE.JBCF.HJNNFIH.KKFI B99 C99 H99 K99 
4 4 0	VV......BCDEAABCDEHJBCFIHJNNFIKK..F. B99 C99 I99 K99 
4 4 0	VV......BCDEAABCDEHJBCFIHJNNFI..KKF. B99 C99 I99 K99 
4 4 0	VV......BCDEAABCDEH.BCF.HJNNFI.JKKFI B99 C99 J99 K99 
4 4 0	VV.CD...BCD.AABC.E.JB.FEHJNNFIHKK.FI B99 D99 E99 H99 
4 4 0	VV.CD...BCD.AABCFEHJB.FEHJNNFI.KK..I B99 D99 E99 F99 
4 4 0	VV.CD...BCD.AABC.EHJB.FEHJNNFIKK..FI B99 D99 E99 K99 
4 4 0	VV.CD...BCD.AABC.EHJB.FEHJNNFI..KKFI B99 D99 E99 K99 
4 4 0	VV.CDE..BCDEAABC...JB.F.HJNNFIHKK.FI B99 D99 E99 H99 
4 4 0	VV.CDE..BCDEAABCF.HJB.F.HJNNFI.KK..I B99 D99 E99 F99 
4 4 0	VV.CDE..BCDEAABC..HJB.FIHJNNFI.KK.F. B99 D99 E99 I99 
4 4 0	VV.CDE..BCDEAABC.IHJB.FIHJNNF..KK.F. B99 D99 E99 I98 
4 4 0	VV.CDE..BCDEAABC..HJB.F.HJNNFIKK..FI B99 D99 E99 K99 
4 4 0	VV.CDE..BCDEAABC..HJB.F.HJNNFI..KKFI B99 D99 E99 K99 
4 4 0	VV.CD...BCDEAABCFE.JB.F.HJNNFIHKK..I B99 D99 H99 F99 
4 4 0	VV.CD...BCDEAABC.E.JB.FIHJNNFIHKK.F. B99 D99 H99 I99 
4 4 0	VV.CD...BCDEAABC.E.JB.F.HJNNFIH.KKFI B99 D99 H99 K99 
4 4 0	VV.CD...BCDEAABCFEHJB.FIHJNNFI.KK... B99 D99 F99 I99 
4 4 0	VV.CD...BCDEAABCFEHJB.F.HJNNFIKK...I B99 D99 F99 K99 
4 4 0	VV.CD...BCDEAABCFEHJB.F.HJNNFI..KK.I B99 D99 F99 K99 
4 4 0	VV.CD...BCDEAABCFEHJB.F.HJNNFI...KKI B99 D99 F99 K98 
4 4 0	VV.CD...BCDEAABC.EHJB.FIHJNNFIKK..F. B99 D99 I99 K99 
4 4 0	VV.CD...BCDEAABC.EHJB.FIHJNNFI..KKF. B99 D99 I99 K99 
4 4 0	VV.CD...BCDEAABC.EH.B.F.HJNNFI.JKKFI B99 D99 J99 K99 
4 4 0	VV.C....BCD.AABCDE.JB.FEHJNNFIH.KKFI B99 E99 H99 K99 
4 4 0	VV.C....BCD.AABCDEH.B.FEHJNNFI.JKKFI B99 E99 J99 K99 
4 4 0	VV.C.E..BCDEAABCD..JB.FIHJNNFIHKK.F. B99 E99 H99 I99 
4 4 0	VV.C.E..BCDEAABCDI.JB.FIHJNNF.HKK.F. B99 E99 H99 I98 
4 4 0	VV.C.E..BCDEAABCD..JB.F.HJNNFIH.KKFI B99 E99 H99 K99 
4 4 0	VV.C.E..BCDEAABCD.HJB.FIHJNNFIKK..F. B99 E99 I99 K99 
4 4 0	VV.C.E..BCDEAABCD.HJB.FIHJNNFI..KKF. B99 E99 I99 K99 
4 4 0	VV.C.E..BCDEAABCDIHJB.FIHJNNF.KK..F. B99 E99 I98 K99 
4 4 0	VV.C.E..BCDEAABCDIHJB.FIHJNNF...KKF. B99 E99 I98 K99 
4 4 0	VV.C.E..BCDEAABCD.H.B.F.HJNNFI.JKKFI B99 E99 J99 K99 
4 4 0	VV.C....BCDEAABCDE.JB.FIHJNNFIH.KKF. B99 H99 I99 K99 
4 4 0	VV.C....BCDEAABCDE..B.F.HJNNFIHJKKFI B99 H99 J99 K99 
4 4 0	VV.C....BCDEAABCDEH.B.FIHJNNFI.JKKF. B99 J99 I99 K99 
4 4 0	VVB.D...BCD.AABC.E.J.CFEHJNNFIHKK.FI C99 D99 E99 H99 
4 4 0	VVB.D...BCD.AABCFEHJ.CFEHJNNFI.KK..I C99 D99 E99 F99 
4 4 0	VVB.D...BCD.AABC.EHJ.CFEHJNNFIKK..FI C99 D99 E99 K99 
4 4 0	VVB.D...BCD.AABC.EHJ.CFEHJNNFI..KKFI C99 D99 E99 K99 
4 4 0	VVB.DE..BCDEAABC...J.CF.HJNNFIHKK.FI C99 D99 E99 H99 
4 4 0	VVB.DE..BCDEAABCF.HJ.CF.HJNNFI.KK..I C99 D99 E99 F99 
4 4 0	VVB.DE..BCDEAABC..HJ.CFIHJNNFI.KK.F. C99 D99 E99 I99 
4 4 0	VVB.DE..BCDEAABC.IHJ.CFIHJNNF..KK.F. C99 D99 E99 I98 
4 4 0	VVB.DE..BCDEAABC..HJ.CF.HJNNFIKK..FI C99 D99 E99 K99 
4 4 0	VVB.DE..BCDEAABC..HJ.CF.HJNNFI..KKFI C99 D99 E99 K99 
4 4 0	VVB.D...BCDEAABCFE.J.CF.HJNNFIHKK..I C99 D99 H99 F99 
4 4 0	VVB.D...BCDEAABC.E.J.CFIHJNNFIHKK.F. C99 D99 H99 I99 
4 4 0	VVB.D...BCDEAABC.E.J.CF.HJNNFIH.KKFI C99 D99 H99 K99 
4 4 0	VVB.D...BCDEAABCFEHJ.CFIHJNNFI.KK... C99 D99 F99 I99 
4 4 0	VVB.D...BCDEAABCFEHJ.CF.HJNNFIKK...I C99 D99 F99 K99 
4 4 0	VVB.D...BCDEAABCFEHJ.CF.HJNNFI..KK.I C99 D99 F99 K99 
4 4 0	VVB.D...BCDEAABCFEHJ.CF.HJNNFI...KKI C99 D99 F99 K98 
4 4 0	VVB.D...BCDEAABC.EHJ.CFIHJNNFIKK..F. C99 D99 I99 K99 
4 4 0	VVB.D...BCDEAABC.EHJ.CFIHJNNFI..KKF. C99 D99 I99 K99 
4 4 0	VVB.D...BCDEAABC.EH..CF.HJNNFI.JKKFI C99 D99 J99 K99 
4 4 0	VVB.....BCD.AABCDE.J.CFEHJNNFIH.KKFI C99 E99 H99 K99 
4 4 0	VVB.....BCD.AABCDEH..CFEHJNNFI.JKKFI C99 E99 J99 K99 
4 4 0	VVB..E..BCDEAABCD..J.CFIHJNNFIHKK.F. C99 E99 H99 I99 
4 4 0	VVB..E..BCDEAABCDI.J.CFIHJNNF.HKK.F. C99 E99 H99 I98 
4 4 0	VVB..E..BCDEAABCD..J.CF.HJNNFIH.KKFI C99 E99 H99 K99 
4 4 0	VVB..E..BCDEAABCD.HJ.CFIHJNNFIKK..F. C99 E99 I99 K99 
4 4 0	VVB..E..BCDEAABCD.HJ.CFIHJNNFI..KKF. C99 E99 I99 K99 
4 4 0	VVB..E..BCDEAABCDIHJ.CFIHJNNF.KK..F. C99 E99 I98 K99 
4 4 0	VVB..E..BCDEAABCDIHJ.CFIHJNNF...KKF. C99 E99 I98 K99 
4 4 0	VVB..E..BCDEAABCD.H..CF.HJNNFI.JKKFI C99 E99 J99 K99 
4 4 0	VVB.....BCDEAABCDE.J.CFIHJNNFIH.KKF. C99 H99 I99 K99 
4 4 0	VVB.....BCDEAABCDE...CF.HJNNFIHJKKFI C99 H99 J99 K99 
4 4 0	VVB.....BCDEAABCDEH..CFIHJNNFI.JKKF. C99 J99 I99 K99 
4 4 0	VVBCD...BCD.AABCFE.J..FEHJNNFIHKK..I D99 E99 H99 F99 
4 4 0	VVBCD...BCD.AABC.E.J..FEHJNNFIH.KKFI D99 E99 H99 K99 
4 4 0	VVBCD...BCD.AABCFEHJ..FEHJNNFIKK...I D99 E99 F99 K99 
4 4 0	VVBCD...BCD.AABCFEHJ..FEHJNNFI..KK.I D99 E99 F99 K99 
4 4 0	VVBCD...BCD.AABCFEHJ..FEHJNNFI...KKI D99 E99 F99 K98 
4 4 0	VVBCD...BCD.AABC.EH...FEHJNNFI.JKKFI D99 E99 J99 K99 
4 4 0	VVBCDE..BCDEAABCF..J..F.HJNNFIHKK..I D99 E99 H99 F99 
4 4 0	VVBCDE..BCDEAABC...J..FIHJNNFIHKK.F. D99 E99 H99 I99 
4 4 0	VVBCDE..BCDEAABC.I.J..FIHJNNF.HKK.F. D99 E99 H99 I98 
4 4 0	VVBCDE..BCDEAABC...J..F.HJNNFIH.KKFI D99 E99 H99 K99 
4 4 0	VVBCDE..BCDEAABCF.HJ..FIHJNNFI.KK... D99 E99 F99 I99 
4 4 0	VVBCDE..BCDEAABCFIHJ..FIHJNNF..KK... D99 E99 F99 I98 
4 4 0	VVBCDE..BCDEAABCF.HJ..F.HJNNFIKK...I D99 E99 F99 K99 
4 4 0	VVBCDE..BCDEAABCF.HJ..F.HJNNFI..KK.I D99 E99 F99 K99 
