0 0 0	.B....SB.CDESAACDEHHHGDE..VG....VWW. 
3 3 0	SB.C..SB.CDE.AA.DEHHHGDE..VG....V.WW S99 C99 W99 
3 3 0	SB....SB.C...AACDEHHHGDE..VGDE..VWW. S99 D99 E99 
3 3 0	SB....SB.C...AACD.HHHGDE..VGDE..VWWE S99 D99 E98 
3 3 0	SB...ESB.C.E.AACDEHHHGD...VGD...VWW. S99 D99 E99 
3 3 0	SB....SB.C.EAA.CDEHHHGDE..VGD...VWW. S99 D99 A99 
3 3 0	SB....SB.C.E.AACDEHHHGDE..VGD...V.WW S99 D99 W99 
3 3 0	SB..D.SB.CD..AACDEHHHG.E..VG.E..VWW. S99 D99 E99 
3 3 0	SB..D.SB.CD..AACD.HHHG.E..VG.E..VWWE S99 D99 E98 
3 3 0	SB..DESB.CDE.AACDEHHHG....VG....VWW. S99 D99 E99 
3 3 0	SB..D.SB.CDEAA.CDEHHHG.E..VG....VWW. S99 D99 A99 
3 3 0	SB..D.SB.CDE.AACDEHHHG.E..VG....V.WW S99 D99 W99 
3 3 0	SB....SB.CD.AA.CDEHHHGDE..VG.E..VWW. S99 E99 A99 
3 3 0	SB....SB.CD..AACDEHHHGDE..VG.E..V.WW S99 E99 W99 
3 3 0	SB....SB.CD.AA.CD.HHHGDE..VG.E..VWWE S99 E98 A99 
3 3 0	SB...ESB.CDEAA.CDEHHHGD...VG....VWW. S99 E99 A99 
3 3 0	SB...ESB.CDE.AACDEHHHGD...VG....V.WW S99 E99 W99 
3 3 0	SB....SB.CDEAA.CDEHHHGDE..VG....V.WW S99 A99 W99 
3 3 0	SB....SB.CDE.AACDEHHH.DE..VG....VGWW S99 G99 W99 
3 3 0	.B.C..SB.C..SAA.DEHHHGDE..VGDE..VWW. C99 D99 E99 
3 3 0	.B.C..SB.C..SAA.D.HHHGDE..VGDE..VWWE C99 D99 E98 
3 3 0	.B.C.ESB.C.ESAA.DEHHHGD...VGD...VWW. C99 D99 E99 
3 3 0	.B.C..SB.C.ES.AADEHHHGDE..VGD...VWW. C99 D99 A99 
3 3 0	.B.C..SB.C.ESAAGDEHHHGDE..V.D...VWW. C99 D99 G99 
3 3 0	.B.C..SB.C.ESAA.DEHHHGDE..VGD...V.WW C99 D99 W99 
3 3 0	.B.CD.SB.CD.SAA.DEHHHG.E..VG.E..VWW. C99 D99 E99 
3 3 0	.B.CD.SB.CD.SAA.D.HHHG.E..VG.E..VWWE C99 D99 E98 
3 3 0	.B.CDESB.CDESAA.DEHHHG....VG....VWW. C99 D99 E99 
3 3 0	.B.CD.SB.CDES.AADEHHHG.E..VG....VWW. C99 D99 A99 
3 3 0	.B.CD.SB.CDESAAGDEHHHG.E..V.....VWW. C99 D99 G99 
3 3 0	.B.CD.SB.CDESAA.DEHHHG.E..VG....V.WW C99 D99 W99 
3 3 0	.B.C..SB.CD.S.AADEHHHGDE..VG.E..VWW. C99 E99 A99 
3 3 0	.B.C..SB.CD.SAAGDEHHHGDE..V..E..VWW. C99 E99 G99 
3 3 0	.B.C..SB.CD.SAA.DEHHHGDE..VG.E..V.WW C99 E99 W99 
3 3 0	.B.C..SB.CD.S.AAD.HHHGDE..VG.E..VWWE C99 E98 A99 
3 3 0	.B.C..SB.CD.SAAGD.HHHGDE..V..E..VWWE C99 E98 G99 
3 3 0	.B.C.ESB.CDES.AADEHHHGD...VG....VWW. C99 E99 A99 
3 3 0	.B.C.ESB.CDESAAGDEHHHGD...V.....VWW. C99 E99 G99 
3 3 0	.B.C.ESB.CDESAA.DEHHHGD...VG....V.WW C99 E99 W99 
3 3 0	...C..SB.CDESBAADEHHHGDE..VG....VWW. B99 C99 A99 
3 3 0	.B.C..SB.CDES.AADEHHHGDE..VG....V.WW C99 A99 W99 
3 3 0	.B.C..SB.CDESAAGDEHHHGDE..V.....V.WW C99 G99 W99 
3 3 0	.B.C..SB.CDESAA.DEHHH.DE..VG....VGWW C99 G99 W99 
3 3 0	.B....SB.C..SAACDEHHHGDE..VGDE..V.WW D99 E99 W99 
3 3 0	.B...ESB.C.ESAACDEHHHGD...VGD...V.WW D99 E99 W99 
3 3 0	.B....SB.C.ESAACDEHHH.DE..VGD...VGWW D99 G99 W99 
3 3 0	.B..D.SB.CD.SAACDEHHHG.E..VG.E..V.WW D99 E99 W99 
3 3 0	.B..DESB.CDESAACDEHHHG....VG....V.WW D99 E99 W99 
3 3 0	.B..D.SB.CDESAACDEHHH..E..VG....VGWW D99 G99 W99 
3 3 0	.B....SB.CD.SAACDEHHH.DE..VG.E..VGWW E99 G99 W99 
3 3 0	.B...ESB.CDESAACDEHHH.D...VG....VGWW E99 G99 W99 
3 3 0	.B....SB..DESAACDEHHHCDE..VG....VGWW C99 G99 W99 
3 3 0	.B....SB.CDESAACDE.HHHDE..VG....VGWW H99 G99 W99 
4 4 0	SB.C..SB.C...AA.DEHHHGDE..VGDE..VWW. S99 C99 D99 E99 
4 4 0	SB.C..SB.C...AA.D.HHHGDE..VGDE..VWWE S99 C99 D99 E98 
4 4 0	SB.C.ESB.C.E.AA.DEHHHGD...VGD...VWW. S99 C99 D99 E99 
4 4 0	SB.C..SB.C.EAA..DEHHHGDE..VGD...VWW. S99 C99 D99 A99 
4 4 0	SB.C..SB.C.E..AADEHHHGDE..VGD...VWW. S99 C99 D99 A99 
4 4 0	SB.C..SB.C.E.AAGDEHHHGDE..V.D...VWW. S99 C99 D99 G99 
4 4 0	SB.C..SB.C.E.AA.DEHHHGDE..VGD...V.WW S99 C99 D99 W99 
4 4 0	SB.CD.SB.CD..AA.DEHHHG.E..VG.E..VWW. S99 C99 D99 E99 
4 4 0	SB.CD.SB.CD..AA.D.HHHG.E..VG.E..VWWE S99 C99 D99 E98 
4 4 0	SB.CDESB.CDE.AA.DEHHHG....VG....VWW. S99 C99 D99 E99 
4 4 0	SB.CD.SB.CDEAA..DEHHHG.E..VG....VWW. S99 C99 D99 A99 
4 4 0	SB.CD.SB.CDE..AADEHHHG.E..VG....VWW. S99 C99 D99 A99 
4 4 0	SB.CD.SB.CDE.AAGDEHHHG.E..V.....VWW. S99 C99 D99 G99 
4 4 0	SB.CD.SB.CDE.AA.DEHHHG.E..VG....V.WW S99 C99 D99 W99 
4 4 0	SB.C..SB.CD.AA..DEHHHGDE..VG.E..VWW. S99 C99 E99 A99 
4 4 0	SB.C..SB.CD...AADEHHHGDE..VG.E..VWW. S99 C99 E99 A99 
4 4 0	SB.C..SB.CD..AAGDEHHHGDE..V..E..VWW. S99 C99 E99 G99 
4 4 0	SB.C..SB.CD..AA.DEHHHGDE..VG.E..V.WW S99 C99 E99 W99 
4 4 0	SB.C..SB.CD.AA..D.HHHGDE..VG.E..VWWE S99 C99 E98 A99 
4 4 0	SB.C..SB.CD...AAD.HHHGDE..VG.E..VWWE S99 C99 E98 A99 
4 4 0	SB.C..SB.CD..AAGD.HHHGDE..V..E..VWWE S99 C99 E98 G99 
4 4 0	SB.C.ESB.CDEAA..DEHHHGD...VG....VWW. S99 C99 E99 A99 
4 4 0	SB.C.ESB.CDE..AADEHHHGD...VG....VWW. S99 C99 E99 A99 
4 4 0	SB.C.ESB.CDE.AAGDEHHHGD...V.....VWW. S99 C99 E99 G99 
4 4 0	SB.C.ESB.CDE.AA.DEHHHGD...VG....V.WW S99 C99 E99 W99 
4 4 0	SB.C..SB.CDEAA.GDEHHHGDE..V.....VWW. S99 C99 A99 G99 
4 4 0	SB.C..SB.CDEAA..DEHHHGDE..VG....V.WW S99 C99 A99 W99 
4 4 0	S..C..SB.CDE.BAADEHHHGDE..VG....VWW. B99 S99 C99 A99 
4 4 0	SB.C..SB.CDE..AADEHHHGDE..VG....V.WW S99 C99 A99 W99 
4 4 0	SB.C..SB.CDE.AAGDEHHHGDE..V.....V.WW S99 C99 G99 W99 
4 4 0	SB.C..SB.CDE.AA.DEHHH.DE..VG....VGWW S99 C99 G99 W99 
4 4 0	SB....SB.C..AA.CDEHHHGDE..VGDE..VWW. S99 D99 E99 A99 
4 4 0	SB....SB.C...AACDEHHHGDE..VGDE..V.WW S99 D99 E99 W99 
4 4 0	SB....SB.C..AA.CD.HHHGDE..VGDE..VWWE S99 D99 E98 A99 
4 4 0	SB...ESB.C.EAA.CDEHHHGD...VGD...VWW. S99 D99 E99 A99 
4 4 0	SB...ESB.C.E.AACDEHHHGD...VGD...V.WW S99 D99 E99 W99 
4 4 0	SB....SB.C.EAA.CDEHHHGDE..VGD...V.WW S99 D99 A99 W99 
4 4 0	SB....SB.C.E.AACDEHHH.DE..VGD...VGWW S99 D99 G99 W99 
4 4 0	SB..D.SB.CD.AA.CDEHHHG.E..VG.E..VWW. S99 D99 E99 A99 
4 4 0	SB..D.SB.CD..AACDEHHHG.E..VG.E..V.WW S99 D99 E99 W99 
4 4 0	SB..D.SB.CD.AA.CD.HHHG.E..VG.E..VWWE S99 D99 E98 A99 
4 4 0	SB..DESB.CDEAA.CDEHHHG....VG....VWW. S99 D99 E99 A99 
4 4 0	SB..DESB.CDE.AACDEHHHG....VG....V.WW S99 D99 E99 W99 
4 4 0	SB..D.SB.CDEAA.CDEHHHG.E..VG....V.WW S99 D99 A99 W99 
4 4 0	SB..D.SB.CDE.AACDEHHH..E..VG....VGWW S99 D99 G99 W99 
4 4 0	SB....SB.CD.AA.CDEHHHGDE..VG.E..V.WW S99 E99 A99 W99 
4 4 0	SB....SB.CD..AACDEHHH.DE..VG.E..VGWW S99 E99 G99 W99 
4 4 0	SB...ESB.CDEAA.CDEHHHGD...VG....V.WW S99 E99 A99 W99 
4 4 0	SB...ESB.CDE.AACDEHHH.D...VG....VGWW S99 E99 G99 W99 
4 4 0	SB....SB.CDEAA.CDEHHH.DE..VG....VGWW S99 A99 G99 W99 
4 4 0	SB....SB..DE.AACDEHHHCDE..VG....VGWW S99 C99 G99 W99 
4 4 0	SB....SB.CDE.AACDE.HHHDE..VG....VGWW S99 H99 G99 W99 
4 4 0	.B.C..SB.C..S.AADEHHHGDE..VGDE..VWW. C99 D99 E99 A99 
4 4 0	.B.C..SB.C..SAAGDEHHHGDE..V.DE..VWW. C99 D99 E99 G99 
4 4 0	.B.C..SB.C..SAA.DEHHHGDE..VGDE..V.WW C99 D99 E99 W99 
4 4 0	.B.C..SB.C..S.AAD.HHHGDE..VGDE..VWWE C99 D99 E98 A99 
4 4 0	.B.C..SB.C..SAAGD.HHHGDE..V.DE..VWWE C99 D99 E98 G99 
4 4 0	.B.C.ESB.C.ES.AADEHHHGD...VGD...VWW. C99 D99 E99 A99 
4 4 0	.B.C.ESB.C.ESAAGDEHHHGD...V.D...VWW. C99 D99 E99 G99 
4 4 0	.B.C.ESB.C.ESAA.DEHHHGD...VGD...V.WW C99 D99 E99 W99 
4 4 0	...C..SB.C.ESBAADEHHHGDE..VGD...VWW. B99 C99 A99 D99 
4 4 0	.B.C..SB.C.ES.AADEHHHGDE..VGD...V.WW C99 D99 A99 W99 
4 4 0	.B.C..SB.C.ESAAGDEHHHGDE..V.D...V.WW C99 D99 G99 W99 
4 4 0	.B.C..SB.C.ESAA.DEHHH.DE..VGD...VGWW C99 D99 G99 W99 
4 4 0	.B.CD.SB.CD.S.AADEHHHG.E..VG.E..VWW. C99 D99 E99 A99 
4 4 0	.B.CD.SB.CD.SAAGDEHHHG.E..V..E..VWW. C99 D99 E99 G99 
4 4 0	.B.CD.SB.CD.SAA.DEHHHG.E..VG.E..V.WW C99 D99 E99 W99 
4 4 0	.B.CD.SB.CD.S.AAD.HHHG.E..VG.E..VWWE C99 D99 E98 A99 
4 4 0	.B.CD.SB.CD.SAAGD.HHHG.E..V..E..VWWE C99 D99 E98 G99 
4 4 0	.B.CDESB.CDES.AADEHHHG....VG....VWW. C99 D99 E99 A99 
4 4 0	.B.CDESB.CDESAAGDEHHHG....V.....VWW. C99 D99 E99 G99 
4 4 0	.B.CDESB.CDESAA.DEHHHG....VG....V.WW C99 D99 E99 W99 
4 4 0	...CD.SB.CDESBAADEHHHG.E..VG....VWW. B99 C99 D99 A99 
4 4 0	.B.CD.SB.CDES.AADEHHHG.E..VG....V.WW C99 D99 A99 W99 
4 4 0	.B.CD.SB.CDESAAGDEHHHG.E..V.....V.WW C99 D99 G99 W99 
4 4 0	.B.CD.SB.CDESAA.DEHHH..E..VG....VGWW C99 D99 G99 W99 
4 4 0	...C..SB.CD.SBAADEHHHGDE..VG.E..VWW. B99 C99 A99 E99 
4 4 0	.B.C..SB.CD.S.AADEHHHGDE..VG.E..V.WW C99 E99 A99 W99 
4 4 0	.B.C..SB.CD.SAAGDEHHHGDE..V..E..V.WW C99 E99 G99 W99 
4 4 0	.B.C..SB.CD.SAA.DEHHH.DE..VG.E..VGWW C99 E99 G99 W99 
4 4 0	...C..SB.CD.SBAAD.HHHGDE..VG.E..VWWE B99 C99 A99 E98 
4 4 0	...C.ESB.CDESBAADEHHHGD...VG....VWW. B99 C99 E99 A99 
4 4 0	.B.C.ESB.CDES.AADEHHHGD...VG....V.WW C99 E99 A99 W99 
4 4 0	.B.C.ESB.CDESAAGDEHHHGD...V.....V.WW C99 E99 G99 W99 
4 4 0	.B.C.ESB.CDESAA.DEHHH.D...VG....VGWW C99 E99 G99 W99 
4 4 0	...C..SB.CDESBAADEHHHGDE..VG....V.WW B99 C99 A99 W99 
4 4 0	.B.C..SB.CDES.AADEHHH.DE..VG....VGWW C99 A99 G99 W99 
4 4 0	.B.C..SB.CDESAA.DE.HHHDE..VG....VGWW C99 H99 G99 W99 
4 4 0	.B....SB.C..SAACDEHHH.DE..VGDE..VGWW D99 E99 G99 W99 
4 4 0	.B...ESB.C.ESAACDEHHH.D...VGD...VGWW D99 E99 G99 W99 
4 4 0	.B....SB...ESAACDEHHHCDE..VGD...VGWW C99 D99 G99 W99 
4 4 0	.B....SB.C.ESAACDE.HHHDE..VGD...VGWW D99 H99 G99 W99 
4 4 0	.B..D.SB.CD.SAACDEHHH..E..VG.E..VGWW D99 E99 G99 W99 
4 4 0	.B..DESB.CDESAACDEHHH.....VG....VGWW D99 E99 G99 W99 
4 4 0	.B..D.SB..DESAACDEHHHC.E..VG....VGWW C99 D99 G99 W99 
4 4 0	.B..D.SB.CDESAACDE.HHH.E..VG....VGWW D99 H99 G99 W99 
4 4 0	.B..D.SB.CDESAACDE..HHHE..VG....VGWW D99 H98 G99 W99 
4 4 0	.B....SB..D.SAACDEHHHCDE..VG.E..VGWW C99 E99 G99 W99 
4 4 0	.B....SB.CD.SAACDE.HHHDE..VG.E..VGWW E99 H99 G99 W99 
4 4 0	.B...ESB..DESAACDEHHHCD...VG....VGWW C99 E99 G99 W99 
4 4 0	.B...ESB.CDESAACDE.HHHD...VG....VGWW E99 H99 G99 W99 
4 4 0	.B.....B.CDESAACDESHHHDE..VG....VGWW S99 H99 G99 W99 
4 4 0	.B.....B.CDE.AACDESHHHDES.VG....VGWW S98 H99 G99 W99 
4 4 0	.B.....B.CDE.AACDE.HHHDES.VG..S.VGWW S97 H99 G99 W99 
5 5 0	SB.C..SB.C..AA..DEHHHGDE..VGDE..VWW. S99 C99 D99 E99 A99 
5 5 0	SB.C..SB.C....AADEHHHGDE..VGDE..VWW. S99 C99 D99 E99 A99 
5 5 0	SB.C..SB.C...AAGDEHHHGDE..V.DE..VWW. S99 C99 D99 E99 G99 
5 5 0	SB.C..SB.C...AA.DEHHHGDE..VGDE..V.WW S99 C99 D99 E99 W99 
5 5 0	SB.C..SB.C..AA..D.HHHGDE..VGDE..VWWE S99 C99 D99 E98 A99 
5 5 0	SB.C..SB.C....AAD.HHHGDE..VGDE..VWWE S99 C99 D99 E98 A99 
5 5 0	SB.C..SB.C...AAGD.HHHGDE..V.DE..VWWE S99 C99 D99 E98 G99 
5 5 0	SB.C.ESB.C.EAA..DEHHHGD...VGD...VWW. S99 C99 D99 E99 A99 
5 5 0	SB.C.ESB.C.E..AADEHHHGD...VGD...VWW. S99 C99 D99 E99 A99 
5 5 0	SB.C.ESB.C.E.AAGDEHHHGD...V.D...VWW. S99 C99 D99 E99 G99 
5 5 0	SB.C.ESB.C.E.AA.DEHHHGD...VGD...V.WW S99 C99 D99 E99 W99 
5 5 0	SB.C..SB.C.EAA.GDEHHHGDE..V.D...VWW. S99 C99 D99 A99 G99 
5 5 0	SB.C..SB.C.EAA..DEHHHGDE..VGD...V.WW S99 C99 D99 A99 W99 
5 5 0	S..C..SB.C.E.BAADEHHHGDE..VGD...VWW. B99 S99 C99 D99 A99 
5 5 0	SB.C..SB.C.E..AADEHHHGDE..VGD...V.WW S99 C99 D99 A99 W99 
5 5 0	SB.C..SB.C.E.AAGDEHHHGDE..V.D...V.WW S99 C99 D99 G99 W99 
5 5 0	SB.C..SB.C.E.AA.DEHHH.DE..VGD...VGWW S99 C99 D99 G99 W99 
5 5 0	SB.CD.SB.CD.AA..DEHHHG.E..VG.E..VWW. S99 C99 D99 E99 A99 
5 5 0	SB.CD.SB.CD...AADEHHHG.E..VG.E..VWW. S99 C99 D99 E99 A99 
5 5 0	SB.CD.SB.CD..AAGDEHHHG.E..V..E..VWW. S99 C99 D99 E99 G99 
5 5 0	SB.CD.SB.CD..AA.DEHHHG.E..VG.E..V.WW S99 C99 D99 E99 W99 
5 5 0	SB.CD.SB.CD.AA..D.HHHG.E..VG.E..VWWE S99 C99 D99 E98 A99 
5 5 0	SB.CD.SB.CD...AAD.HHHG.E..VG.E..VWWE S99 C99 D99 E98 A99 
5 5 0	SB.CD.SB.CD..AAGD.HHHG.E..V..E..VWWE S99 C99 D99 E98 G99 
5 5 0	SB.CDESB.CDEAA..DEHHHG....VG....VWW. S99 C99 D99 E99 A99 
5 5 0	SB.CDESB.CDE..AADEHHHG....VG....VWW. S99 C99 D99 E99 A99 
5 5 0	SB.CDESB.CDE.AAGDEHHHG....V.....VWW. S99 C99 D99 E99 G99 
5 5 0	SB.CDESB.CDE.AA.DEHHHG....VG....V.WW S99 C99 D99 E99 W99 
5 5 0	SB.CD.SB.CDEAA.GDEHHHG.E..V.....VWW. S99 C99 D99 A99 G99 
5 5 0	SB.CD.SB.CDEAA..DEHHHG.E..VG....V.WW S99 C99 D99 A99 W99 
5 5 0	S..CD.SB.CDE.BAADEHHHG.E..VG....VWW. B99 S99 C99 D99 A99 
5 5 0	SB.CD.SB.CDE..AADEHHHG.E..VG....V.WW S99 C99 D99 A99 W99 
5 5 0	SB.CD.SB.CDE.AAGDEHHHG.E..V.....V.WW S99 C99 D99 G99 W99 
5 5 0	SB.CD.SB.CDE.AA.DEHHH..E..VG....VGWW S99 C99 D99 G99 W99 
5 5 0	SB.C..SB.CD.AA.GDEHHHGDE..V..E..VWW. S99 C99 E99 A99 G99 
5 5 0	SB.C..SB.CD.AA..DEHHHGDE..VG.E..V.WW S99 C99 E99 A99 W99 
5 5 0	S..C..SB.CD..BAADEHHHGDE..VG.E..VWW. B99 S99 C99 E99 A99 
5 5 0	SB.C..SB.CD...AADEHHHGDE..VG.E..V.WW S99 C99 E99 A99 W99 
5 5 0	SB.C..SB.CD..AAGDEHHHGDE..V..E..V.WW S99 C99 E99 G99 W99 
5 5 0	SB.C..SB.CD..AA.DEHHH.DE..VG.E..VGWW S99 C99 E99 G99 W99 
5 5 0	SB.C..SB.CD.AA.GD.HHHGDE..V..E..VWWE S99 C99 E98 A99 G99 
5 5 0	S..C..SB.CD..BAAD.HHHGDE..VG.E..VWWE B99 S99 C99 E98 A99 
5 5 0	SB.C.ESB.CDEAA.GDEHHHGD...V.....VWW. S99 C99 E99 A99 G99 
5 5 0	SB.C.ESB.CDEAA..DEHHHGD...VG....V.WW S99 C99 E99 A99 W99 
5 5 0	S..C.ESB.CDE.BAADEHHHGD...VG....VWW. B99 S99 C99 E99 A99 
5 5 0	SB.C.ESB.CDE..AADEHHHGD...VG....V.WW S99 C99 E99 A99 W99 
5 5 0	SB.C.ESB.CDE.AAGDEHHHGD...V.....V.WW S99 C99 E99 G99 W99 
5 5 0	SB.C.ESB.CDE.AA.DEHHH.D...VG....VGWW S99 C99 E99 G99 W99 
5 5 0	SB.C..SB.CDEAA.GDEHHHGDE..V.....V.WW S99 C99 A99 G99 W99 
5 5 0	SB.C..SB.CDEAA..DEHHH.DE..VG....VGWW S99 C99 A99 G99 W99 
5 5 0	S..C..SB.CDE.BAADEHHHGDE..VG....V.WW B99 S99 C99 A99 W99 
5 5 0	SB.C..SB.CDE..AADEHHH.DE..VG....VGWW S99 C99 A99 G99 W99 
5 5 0	SB.C..SB.CDE.AA.DE.HHHDE..VG....VGWW S99 C99 H99 G99 W99 
5 5 0	SB....SB.C..AA.CDEHHHGDE..VGDE..V.WW S99 D99 E99 A99 W99 
5 5 0	SB....SB.C...AACDEHHH.DE..VGDE..VGWW S99 D99 E99 G99 W99 
5 5 0	SB...ESB.C.EAA.CDEHHHGD...VGD...V.WW S99 D99 E99 A99 W99 
5 5 0	SB...ESB.C.E.AACDEHHH.D...VGD...VGWW S99 D99 E99 G99 W99 
5 5 0	SB....SB.C.EAA.CDEHHH.DE..VGD...VGWW S99 D99 A99 G99 W99 
5 5 0	SB....SB...E.AACDEHHHCDE..VGD...VGWW S99 C99 D99 G99 W99 
5 5 0	SB....SB.C.E.AACDE.HHHDE..VGD...VGWW S99 D99 H99 G99 W99 
5 5 0	SB..D.SB.CD.AA.CDEHHHG.E..VG.E..V.WW S99 D99 E99 A99 W99 
5 5 0	SB..D.SB.CD..AACDEHHH..E..VG.E..VGWW S99 D99 E99 G99 W99 
5 5 0	SB..DESB.CDEAA.CDEHHHG....VG....V.WW S99 D99 E99 A99 W99 
5 5 0	SB..DESB.CDE.AACDEHHH.....VG....VGWW S99 D99 E99 G99 W99 
5 5 0	SB..D.SB.CDEAA.CDEHHH..E..VG....VGWW S99 D99 A99 G99 W99 
5 5 0	SB..D.SB..DE.AACDEHHHC.E..VG....VGWW S99 C99 D99 G99 W99 
5 5 0	SB..D.SB.CDE.AACDE.HHH.E..VG....VGWW S99 D99 H99 G99 W99 
5 5 0	SB..D.SB.CDE.AACDE..HHHE..VG....VGWW S99 D99 H98 G99 W99 
5 5 0	SB....SB.CD.AA.CDEHHH.DE..VG.E..VGWW S99 E99 A99 G99 W99 
5 5 0	SB....SB..D..AACDEHHHCDE..VG.E..VGWW S99 C99 E99 G99 W99 
5 5 0	SB....SB.CD..AACDE.HHHDE..VG.E..VGWW S99 E99 H99 G99 W99 
5 5 0	SB...ESB.CDEAA.CDEHHH.D...VG....VGWW S99 E99 A99 G99 W99 
5 5 0	SB...ESB..DE.AACDEHHHCD...VG....VGWW S99 C99 E99 G99 W99 
5 5 0	SB...ESB.CDE.AACDE.HHHD...VG....VGWW S99 E99 H99 G99 W99 
5 5 0	SB....SB..DEAA.CDEHHHCDE..VG....VGWW S99 C99 A99 G99 W99 
5 5 0	SB....SB.CDEAA.CDE.HHHDE..VG....VGWW S99 A99 H99 G99 W99 
5 5 0	...C..SB.C..SBAADEHHHGDE..VGDE..VWW. B99 C99 A99 D99 E99 
5 5 0	.B.C..SB.C..S.AADEHHHGDE..VGDE..V.WW C99 D99 E99 A99 W99 
5 5 0	.B.C..SB.C..SAAGDEHHHGDE..V.DE..V.WW C99 D99 E99 G99 W99 
5 5 0	.B.C..SB.C..SAA.DEHHH.DE..VGDE..VGWW C99 D99 E99 G99 W99 
5 5 0	...C..SB.C..SBAAD.HHHGDE..VGDE..VWWE B99 C99 A99 D99 E98 
5 5 0	...C.ESB.C.ESBAADEHHHGD...VGD...VWW. B99 C99 E99 A99 D99 
5 5 0	.B.C.ESB.C.ES.AADEHHHGD...VGD...V.WW C99 D99 E99 A99 W99 
5 5 0	.B.C.ESB.C.ESAAGDEHHHGD...V.D...V.WW C99 D99 E99 G99 W99 
5 5 0	.B.C.ESB.C.ESAA.DEHHH.D...VGD...VGWW C99 D99 E99 G99 W99 
5 5 0	...C..SB.C.ESBAADEHHHGDE..VGD...V.WW B99 C99 A99 D99 W99 
5 5 0	.B.C..SB.C.ES.AADEHHH.DE..VGD...VGWW C99 D99 A99 G99 W99 
