12 0 12	VVBC....BCDEAABCDEHJ..F.HJNNFI.KK.FI 
12 6 6	VV..DE..BCDEAABC..HJBCFIHJNNFIKK..F. B99 C99 D99 E99 I99 K99 
12 6 6	VV..DE..BCDEAABC...JBCFIHJNNFIHKK.F. B99 C99 D99 E99 H99 I99 
12 6 6	VVB.DE..BCDEAABC...J.CFIHJNNFIH.KKF. C99 D99 E99 H99 I99 K99 
12 6 6	VV..DE..BCDEAABC...JBCF.HJNNFIH.KKFI B99 C99 D99 E99 H99 K99 
12 3 9	VVBCDE..BCDEAABCF.HJ..F.HJNNFI.KK..I D99 E99 F99 
12 6 6	VV.CDE..BCDEAABC...JB.FIHJNNFIH.KKF. B99 D99 E99 H99 I99 K99 
12 6 6	.VVCDE..BCDEAABC..H.B.F.HJNNFI.JKKFI V99 B99 D99 E99 J99 K99 
12 6 6	VV..DE..BCDEAABC..H.BCF.HJNNFI.JKKFI B99 C99 D99 E99 J99 K99 
12 6 6	VVB.DE..BCDEAABC.....CF.HJNNFIHJKKFI C99 D99 E99 H99 J99 K99 
12 6 6	VVBCDE..BCDEAABC......FIHJNNFIHJKKF. D99 E99 H99 J99 I99 K99 
12 6 6	VV.CDE..BCDEAABC....B.F.HJNNFIHJKKFI B99 D99 E99 H99 J99 K99 
12 6 6	.VV.DE..BCDEAABC..HJBCF.HJNNFI..KKFI V99 B99 C99 D99 E99 K99 
12 6 6	VV.CDE..BCDEAABC..H.B.FIHJNNFI.JKKF. B99 D99 E99 J99 I99 K99 
12 6 6	VVB.DE..BCDEAABC..H..CFIHJNNFI.JKKF. C99 D99 E99 J99 I99 K99 
12 6 6	.VVCDE..BCDEAABC..HJB.FIHJNNFI..KKF. V99 B99 D99 E99 I99 K99 
12 6 6	.VV.DE..BCDEAABC..HJBCF.HJNNFIKK..FI V99 B99 C99 D99 E99 K99 
12 6 6	.VVCDE..BCDEAABC..HJB.FIHJNNFIKK..F. V99 B99 D99 E99 I99 K99 
12 6 6	.VVCDE..BCDEAABC...JB.FIHJNNFIHKK.F. V99 B99 D99 E99 H99 I99 
12 6 6	.VVCDE..BCDEAABC...JB.F.HJNNFIH.KKFI V99 B99 D99 E99 H99 K99 
12 6 6	.VV.DE..BCDEAABC..HJBCFIHJNNFI.KK.F. V99 B99 C99 D99 E99 I99 
12 6 6	.VV.DE..BCDEAABC...JBCF.HJNNFIHKK.FI V99 B99 C99 D99 E99 H99 
13 4 9	VVBCDE..BCDEAABCF.HJ..F.HJNNFI..KK.I D99 E99 F99 K99 
13 4 9	VVBCDE..BCDEAABC.IHJ..FIHJNNF.KK..F. D99 E99 I98 K99 
13 1 12	VVB.....BCDEAABCDEHJ.CF.HJNNFI.KK.FI C99 
13 7 6	.VV.DE..BCDEAABC..HJBCFIHJNNFIKK..F. V99 B99 C99 D99 E99 I99 K99 
13 7 6	.VV.DE..BCDEAABC...JBCFIHJNNFIHKK.F. V99 B99 C99 D99 E99 H99 I99 
13 7 6	..VVDE..BCDEAABC..HJBCFIHJNNFIKK..F. V98 B99 C99 D99 E99 I99 K99 
13 7 6	VV..DE..BCDEAABC..H.BCFIHJNNFI.JKKF. B99 C99 D99 E99 J99 I99 K99 
13 7 6	.VV.DE..BCDEAABC..HJBCFIHJNNFI..KKF. V99 B99 C99 D99 E99 I99 K99 
13 7 6	VV..DE..BCDEAABC...JBCFIHJNNFIH.KKF. B99 C99 D99 E99 H99 I99 K99 
13 4 9	VV.CDE..BCDEAABC.IHJB.FIHJNNF..KK.F. B99 D99 E99 I98 
13 1 12	VVBC....BCDEAABCDEHJ..FIHJNNFI.KK.F. I99 
13 4 9	VV.CDE..BCDEAABCF.HJB.F.HJNNFI.KK..I B99 D99 E99 F99 
13 7 6	..VVDE..BCDEAABC...JBCFIHJNNFIHKK.F. V98 B99 C99 D99 E99 H99 I99 
13 7 6	..VVDE..BCDEAABC...JBCF.HJNNFIH.KKFI V98 B99 C99 D99 E99 H99 K99 
13 7 6	..VVDE..BCDEAABC..H.BCF.HJNNFI.JKKFI V98 B99 C99 D99 E99 J99 K99 
13 7 6	..VVDE..BCDEAABC..HJBCFIHJNNFI..KKF. V98 B99 C99 D99 E99 I99 K99 
13 4 9	VV.CD...BCD.AABC.EHJB.FEHJNNFI.KK.FI B99 D99 E97 
13 4 9	VVBCDE..BCDEAABCF..J..F.HJNNFIHKK..I D99 E99 H99 F99 
13 1 12	VV.C....BCDEAABCDEHJB.F.HJNNFI.KK.FI B99 
13 4 9	VVBCD...BCD.AABC.E.J..FEHJNNFIHKK.FI D99 E97 H99 
13 4 9	VV.C.E..BCDEAABCD.HJB.F.HJNNFI.KK.FI B99 D98 E99 
13 4 9	VVBC.E..BCDEAABCD..J..F.HJNNFIHKK.FI D98 E99 H99 
13 4 9	VVBCDE..BCDEAABC.I.J..FIHJNNF.HKK.F. D99 E99 H99 I98 
13 4 9	VVBCD...BCD.AABC.EHJ..FEHJNNFI..KKFI D99 E97 K99 
13 4 9	VVBCD...BCD.AABC.EHJ..FEHJNNFIKK..FI D99 E97 K99 
13 4 9	VVBCDE..BCDEAABCF.HJ..F.HJNNFIKK...I D99 E99 F99 K99 
13 4 9	VVBC.E..BCDEAABCD.HJ..F.HJNNFIKK..FI D98 E99 K99 
13 4 9	VVBCDE..BCDEAABCF.HJ..FIHJNNFI.KK... D99 E99 F99 I99 
13 1 12	VVBC....BCDEAABCDEHJ..F.HJNNFI..KKFI K99 
13 1 12	VVBC....BCDEAABCDE.J..F.HJNNFIHKK.FI H99 
13 4 9	VVB.DE..BCDEAABC.IHJ.CFIHJNNF..KK.F. C99 D99 E99 I98 
13 4 9	VVB.DE..BCDEAABCF.HJ.CF.HJNNFI.KK..I C99 D99 E99 F99 
13 4 9	VVB.D...BCD.AABC.EHJ.CFEHJNNFI.KK.FI C99 D99 E97 
13 4 9	VVB..E..BCDEAABCD.HJ.CF.HJNNFI.KK.FI C99 D98 E99 
13 4 9	VVBCDE..BCDEAABC.IHJ..FIHJNNF...KKF. D99 E99 I98 K99 
13 1 12	VVBC....BCDEAABCDEHJ..F.HJNNFIKK..FI K99 
13 4 9	VVBC.E..BCDEAABCD.HJ..FIHJNNFI.KK.F. D98 E99 I99 
13 1 12	VVBC....BCD.AABCDEHJ..FEHJNNFI.KK.FI E99 
13 4 9	VVBC.E..BCDEAABCD.HJ..F.HJNNFI..KKFI D98 E99 K99 
13 7 6	.VVCDE..BCDEAABC....B.F.HJNNFIHJKKFI V99 B99 D99 E99 H99 J99 K99 
13 7 6	.VVCDE..BCDEAABC..H.B.FIHJNNFI.JKKF. V99 B99 D99 E99 J99 I99 K99 
13 7 6	.VV.DE..BCDEAABC..H.BCF.HJNNFI.JKKFI V99 B99 C99 D99 E99 J99 K99 
13 4 9	VVBCDE..BCDEAABCF.HJ..F.HJNNFI...KKI D99 E99 F99 K98 
13 7 6	VV.CDE..BCDEAABC....B.FIHJNNFIHJKKF. B99 D99 E99 H99 J99 I99 K99 
13 7 6	.VVCDE..BCDEAABC...JB.FIHJNNFIH.KKF. V99 B99 D99 E99 H99 I99 K99 
13 7 6	VV..DE..BCDEAABC....BCF.HJNNFIHJKKFI B99 C99 D99 E99 H99 J99 K99 
13 7 6	VVB.DE..BCDEAABC.....CFIHJNNFIHJKKF. C99 D99 E99 H99 J99 I99 K99 
13 7 6	.VV.DE..BCDEAABC...JBCF.HJNNFIH.KKFI V99 B99 C99 D99 E99 H99 K99 
14 5 9	VVB.DE..BCDEAABC.IHJ.CFIHJNNF...KKF. C99 D99 E99 I98 K99 
14 5 9	VVB.DE..BCDEAABCF.HJ.CF.HJNNFI..KK.I C99 D99 E99 F99 K99 
14 5 9	VVB.D...BCD.AABC.EHJ.CFEHJNNFI..KKFI C99 D99 E97 K99 
14 5 9	VV.CDE..BCDEAABC.IHJB.FIHJNNF...KKF. B99 D99 E99 I98 K99 
14 5 9	VVB.D...BCDEAABC.EHJ.CF.HJNNFI..KKFI C99 D99 E98 K99 
14 5 9	.VVCDE..BCDEAABC.IHJB.FIHJNNF..KK.F. V99 B99 D99 E99 I98 
14 5 9	VVB..E..BCDEAABCD.HJ.CF.HJNNFI..KKFI C99 D98 E99 K99 
14 5 9	VV.CD...BCD.AABC.EHJB.FEHJNNFI..KKFI B99 D99 E97 K99 
14 5 9	VV.CD...BCDEAABC.EHJB.F.HJNNFI..KKFI B99 D99 E98 K99 
14 5 9	VV.CDE..BCDEAABCF.HJB.F.HJNNFI..KK.I B99 D99 E99 F99 K99 
14 5 9	.VVCDE..BCDEAABCF.HJB.F.HJNNFI.KK..I V99 B99 D99 E99 F99 
14 5 9	VV.CDE..BCDEAABCF.HJB.F.HJNNFIKK...I B99 D99 E99 F99 K99 
14 5 9	VV.CD...BCD.AABC.EHJB.FEHJNNFIKK..FI B99 D99 E97 K99 
14 5 9	.VVCD...BCD.AABC.EHJB.FEHJNNFI.KK.FI V99 B99 D99 E97 
14 5 9	VV.CD...BCDEAABC.EHJB.F.HJNNFIKK..FI B99 D99 E98 K99 
14 5 9	VV.C.E..BCDEAABCD.HJB.F.HJNNFIKK..FI B99 D98 E99 K99 
14 5 9	VVBCDE..BCDEAABCF.H...F.HJNNFI.JKK.I D99 E99 J99 F99 K99 
14 2 12	VVBCD...BCDEAABCFEHJ..F.HJNNFI.KK..I D99 F99 
14 5 9	.VVCD...BCDEAABC.EHJB.F.HJNNFI.KK.FI V99 B99 D99 E98 
14 5 9	VVBCD...BCD.AABC.EH...FEHJNNFI.JKKFI D99 E97 J99 K99 
14 5 9	.VVC.E..BCDEAABCD.HJB.F.HJNNFI.KK.FI V99 B99 D98 E99 
14 5 9	VVBCD...BCDEAABC.EH...F.HJNNFI.JKKFI D99 E98 J99 K99 
14 5 9	VVBC.E..BCDEAABCD.H...F.HJNNFI.JKKFI D98 E99 J99 K99 
14 2 12	VVBC.E..BCDEAABCDIHJ..FIHJNNF..KK.F. E99 I98 
14 5 9	VV.CDE..BCDEAABC.I.JB.FIHJNNF.HKK.F. B99 D99 E99 H99 I98 
14 5 9	VVBCDE..BCDEAABCF..J..F.HJNNFIH.KK.I D99 E99 H99 F99 K99 
14 5 9	VVB.DE..BCDEAABC.IHJ.CFIHJNNF.KK..F. C99 D99 E99 I98 K99 
14 5 9	VVBCD...BCD.AABC.E.J..FEHJNNFIH.KKFI D99 E97 H99 K99 
14 5 9	VVBCD...BCDEAABC.E.J..F.HJNNFIH.KKFI D99 E98 H99 K99 
14 5 9	VVBC.E..BCDEAABCD..J..F.HJNNFIH.KKFI D98 E99 H99 K99 
14 5 9	VVBCD...BCDEAABC.EHJ..FIHJNNFI..KKF. D99 E98 I99 K99 
14 5 9	VVBC.E..BCDEAABCD.HJ..FIHJNNFI..KKF. D98 E99 I99 K99 
14 5 9	VVBCDE..BCDEAABCF..J..FIHJNNFIHKK... D99 E99 H99 F99 I99 
14 5 9	VVBCD...BCDEAABC.E.J..FIHJNNFIHKK.F. D99 E98 H99 I99 
14 5 9	VVBC.E..BCDEAABCD..J..FIHJNNFIHKK.F. D98 E99 H99 I99 
14 5 9	VVB.DE..BCDEAABCF.HJ.CF.HJNNFIKK...I C99 D99 E99 F99 K99 
14 5 9	VVB.D...BCD.AABC.EHJ.CFEHJNNFIKK..FI C99 D99 E97 K99 
14 5 9	VVB.D...BCDEAABC.EHJ.CF.HJNNFIKK..FI C99 D99 E98 K99 
14 2 12	VV.C....BCDEAABCDEHJB.F.HJNNFIKK..FI B99 K99 
14 5 9	VVB..E..BCDEAABCD.HJ.CF.HJNNFIKK..FI C99 D98 E99 K99 
14 5 9	VV.CDE..BCDEAABC.IHJB.FIHJNNF.KK..F. B99 D99 E99 I98 K99 
14 5 9	VVB.DE..BCDEAABCF.HJ.CFIHJNNFI.KK... C99 D99 E99 F99 I99 
14 5 9	VVB.D...BCDEAABC.EHJ.CFIHJNNFI.KK.F. C99 D99 E98 I99 
14 5 9	VVBCDE..BCDEAABCF.H...F.HJNNFI.J.KKI D99 E99 J99 F99 K98 
14 5 9	VVB..E..BCDEAABCD.HJ.CFIHJNNFI.KK.F. C99 D98 E99 I99 
14 5 9	VVB.DE..BCDEAABC.I.J.CFIHJNNF.HKK.F. C99 D99 E99 H99 I98 
14 5 9	VV.C.E..BCDEAABCD.HJB.F.HJNNFI..KKFI B99 D98 E99 K99 
14 2 12	VV.C....BCDEAABCDEHJB.F.HJNNFI..KKFI B99 K99 
14 5 9	VVB.DE..BCDEAABCF.HJ.CF.HJNNFI...KKI C99 D99 E99 F99 K98 
14 5 9	VVBCDE..BCDEAABCF..J..F.HJNNFIH..KKI D99 E99 H99 F99 K98 
14 2 12	VV.C....BCDEAABCDE.JB.F.HJNNFIHKK.FI B99 H99 
14 8 6	.VVCDE..BCDEAABC....B.FIHJNNFIHJKKF. V99 B99 D99 E99 H99 J99 I99 K99 
14 2 12	.VVC....BCDEAABCDEHJB.F.HJNNFI.KK.FI V99 B99 
14 5 9	VVBCDE..BCDEAABCF.HJ..FIHJNNFIKK.... D99 E99 F99 I99 K99 
14 5 9	VVB.DE..BCDEAABCF..J.CF.HJNNFIHKK..I C99 D99 E99 H99 F99 
14 8 6	.VV.DE..BCDEAABC....BCF.HJNNFIHJKKFI V99 B99 C99 D99 E99 H99 J99 K99 
14 5 9	VVB.D...BCD.AABC.E.J.CFEHJNNFIHKK.FI C99 D99 E97 H99 
14 5 9	VVB.D...BCDEAABC.E.J.CF.HJNNFIHKK.FI C99 D99 E98 H99 
14 5 9	VVB..E..BCDEAABCD..J.CF.HJNNFIHKK.FI C99 D98 E99 H99 
14 8 6	..VVDE..BCDEAABC....BCF.HJNNFIHJKKFI V98 B99 C99 D99 E99 H99 J99 K99 
14 2 12	VVBC....BCDEAABCDE.J..F.HJNNFIH.KKFI H99 K99 
14 2 12	VVBC....BCDEAABCDEHJ..FIHJNNFIKK..F. I99 K99 
14 5 9	VV.CDE..BCDEAABCF.HJB.F.HJNNFI...KKI B99 D99 E99 F99 K98 
14 2 12	VVBC....BCDEAABCDEHJ..FIHJNNFI..KKF. I99 K99 
14 5 9	VVBCD...BCDEAABC.EHJ..FIHJNNFIKK..F. D99 E98 I99 K99 
14 2 12	VV.C....BCDEAABCDEHJB.FIHJNNFI.KK.F. B99 I99 
14 2 12	VVBC....BCDEAABCDE.J..FIHJNNFIHKK.F. H99 I99 
14 5 9	VVBC.E..BCDEAABCD.HJ..FIHJNNFIKK..F. D98 E99 I99 K99 
14 8 6	..VVDE..BCDEAABC...JBCFIHJNNFIH.KKF. V98 B99 C99 D99 E99 H99 I99 K99 
14 8 6	.VV.DE..BCDEAABC...JBCFIHJNNFIH.KKF. V99 B99 C99 D99 E99 H99 I99 K99 
14 8 6	..VVDE..BCDEAABC..H.BCFIHJNNFI.JKKF. V98 B99 C99 D99 E99 J99 I99 K99 
14 8 6	VV..DE..BCDEAABC....BCFIHJNNFIHJKKF. B99 C99 D99 E99 H99 J99 I99 K99 
14 2 12	VVBC....BCDEAABCDEH...F.HJNNFI.JKKFI J99 K99 
14 8 6	.VV.DE..BCDEAABC..H.BCFIHJNNFI.JKKF. V99 B99 C99 D99 E99 J99 I99 K99 
14 5 9	VV..DE..BCDEAABC.IHJBCFIHJNNF..KK.F. B99 C99 D99 E99 I98 
14 2 12	VVB.....BCDEAABCDEHJ.CF.HJNNFI..KKFI C99 K99 
14 5 9	VVBCDE..BCDEAABCF.HJ..FIHJNNFI....KK D99 E99 F99 I99 K97 
14 5 9	VV..DE..BCDEAABCF.HJBCF.HJNNFI.KK..I B99 C99 D99 E99 F99 
14 2 12	VVB.....BCDEAABCDEHJ.CFIHJNNFI.KK.F. C99 I99 
14 2 12	VVB.....BCDEAABCDEHJ.CF.HJNNFIKK..FI C99 K99 
14 2 12	VVB.....BCD.AABCDEHJ.CFEHJNNFI.KK.FI C99 E99 
14 2 12	VVB.....BCDEAABCDE.J.CF.HJNNFIHKK.FI C99 H99 
14 5 9	VV..D...BCD.AABC.EHJBCFEHJNNFI.KK.FI B99 C99 D99 E97 
14 5 9	VV..D...BCDEAABC.EHJBCF.HJNNFI.KK.FI B99 C99 D99 E98 
14 2 12	VV......BCDEAABCDEHJBCF.HJNNFI.KK.FI B99 C99 
14 5 9	VV...E..BCDEAABCD.HJBCF.HJNNFI.KK.FI B99 C99 D98 E99 
14 5 9	VVBCDE..BCDEAABC.IH...FIHJNNF..JKKF. D99 E99 J99 I98 K99 
14 5 9	VV.CDE..BCDEAABCF.HJB.FIHJNNFI.KK... B99 D99 E99 F99 I99 
14 5 9	VV.CD...BCDEAABC.EHJB.FIHJNNFI.KK.F. B99 D99 E98 I99 
14 5 9	VV.C.E..BCDEAABCD.HJB.FIHJNNFI.KK.F. B99 D98 E99 I99 
14 5 9	VVBCDE..BCDEAABC.I.J..FIHJNNF.H.KKF. D99 E99 H99 I98 K99 
14 5 9	VVBCDE..BCDEAABCF.HJ..FIHJNNFI...KK. D99 E99 F99 I99 K98 
14 5 9	VV.CDE..BCDEAABCF..JB.F.HJNNFIHKK..I B99 D99 E99 H99 F99 
14 5 9	VV.CD...BCDEAABC.E.JB.F.HJNNFIHKK.FI B99 D99 E98 H99 
14 5 9	VV.CD...BCD.AABC.E.JB.FEHJNNFIHKK.FI B99 D99 E97 H99 
14 5 9	VV.C.E..BCDEAABCD..JB.F.HJNNFIHKK.FI B99 D98 E99 H99 
14 5 9	VVBCDE..BCDEAABCF.HJ..FIHJNNFI..KK.. D99 E99 F99 I99 K99 
15 6 9	VV.CD...BCDEAABC.EH.B.F.HJNNFI.JKKFI B99 D99 E98 J99 K99 
15 3 12	VVBCD...BCDEAABCFE.J..F.HJNNFIHKK..I D99 H99 F99 
15 6 9	VVB.DE..BCDEAABCF..J.CFIHJNNFIHKK... C99 D99 E99 H99 F99 I99 
15 6 9	VVBC.E..BCDEAABCD..J..FIHJNNFIH.KKF. D98 E99 H99 I99 K99 
15 6 9	VV..DE..BCDEAABCF..JBCF.HJNNFIHKK..I B99 C99 D99 E99 H99 F99 
15 6 9	.VVCDE..BCDEAABC.IHJB.FIHJNNF.KK..F. V99 B99 D99 E99 I98 K99 
15 6 9	VV..D...BCD.AABC.E.JBCFEHJNNFIHKK.FI B99 C99 D99 E97 H99 
15 6 9	VVBCDE..BCDEAABCF..J..FIHJNNFIH.KK.. D99 E99 H99 F99 I99 K99 
15 6 9	VV..D...BCDEAABC.E.JBCF.HJNNFIHKK.FI B99 C99 D99 E98 H99 
15 6 9	VV...E..BCDEAABCD..JBCF.HJNNFIHKK.FI B99 C99 D98 E99 H99 
15 6 9	VV..DE..BCDEAABC.I.JBCFIHJNNF.HKK.F. B99 C99 D99 E99 H99 I98 
15 6 9	.VVCDE..BCDEAABCF.HJB.F.HJNNFI..KK.I V99 B99 D99 E99 F99 K99 
15 6 9	VVB.DE..BCDEAABC.IH..CFIHJNNF..JKKF. C99 D99 E99 J99 I98 K99 
15 6 9	.VVCD...BCD.AABC.EHJB.FEHJNNFI..KKFI V99 B99 D99 E97 K99 
15 6 9	VVBCDE..BCDEAABCF.H...FIHJNNFI.J..KK D99 E99 J99 F99 I99 K97 
15 6 9	.VVCD...BCDEAABC.EHJB.F.HJNNFI..KKFI V99 B99 D99 E98 K99 
15 6 9	.VVC.E..BCDEAABCD.HJB.F.HJNNFI..KKFI V99 B99 D98 E99 K99 
15 3 12	VVB.....BCDEAABCDEH..CF.HJNNFI.JKKFI C99 J99 K99 
15 6 9	VV.CD...BCDEAABC.E.JB.FIHJNNFIHKK.F. B99 D99 E98 H99 I99 
15 6 9	VV.C.E..BCDEAABCD..JB.FIHJNNFIHKK.F. B99 D98 E99 H99 I99 
15 6 9	VV..D...BCDEAABC.EHJBCFIHJNNFI.KK.F. B99 C99 D99 E98 I99 
15 3 12	VVB.....BCDEAABCDEHJ.CFIHJNNFI..KKF. C99 I99 K99 
15 3 12	VVBC....BCDEAABCDEH...FIHJNNFI.JKKF. J99 I99 K99 
15 6 9	VV...E..BCDEAABCD.HJBCFIHJNNFI.KK.F. B99 C99 D98 E99 I99 
15 6 9	VV.CDE..BCDEAABCF.HJB.FIHJNNFI...KK. B99 D99 E99 F99 I99 K98 
15 6 9	VV.CDE..BCDEAABCF..JB.F.HJNNFIH.KK.I B99 D99 E99 H99 F99 K99 
15 3 12	VVBC....BCDEAABCDE....F.HJNNFIHJKKFI H99 J99 K99 
15 6 9	VV.CD...BCD.AABC.E.JB.FEHJNNFIH.KKFI B99 D99 E97 H99 K99 
15 6 9	VV.CD...BCDEAABC.E.JB.F.HJNNFIH.KKFI B99 D99 E98 H99 K99 
15 9 6	..VVDE..BCDEAABC....BCFIHJNNFIHJKKF. V98 B99 C99 D99 E99 H99 J99 I99 K99 
15 3 12	VVB.....BCDEAABCDE.J.CF.HJNNFIH.KKFI C99 H99 K99 
15 6 9	VV.C.E..BCDEAABCD..JB.F.HJNNFIH.KKFI B99 D98 E99 H99 K99 
15 6 9	VV.CD...BCDEAABC.EHJB.FIHJNNFIKK..F. B99 D99 E98 I99 K99 
15 6 9	VV.C.E..BCDEAABCD.HJB.FIHJNNFIKK..F. B99 D98 E99 I99 K99 
15 6 9	.VVCDE..BCDEAABC.IHJB.FIHJNNF...KKF. V99 B99 D99 E99 I98 K99 
15 6 9	VVBCDE..BCDEAABCF.H...FIHJNNFI.JKK.. D99 E99 J99 F99 I99 K99 
15 3 12	.VV.....BCDEAABCDEHJBCF.HJNNFI.KK.FI V99 B99 C99 
15 3 12	.VVC....BCDEAABCDEHJB.FIHJNNFI.KK.F. V99 B99 I99 
